start, end, rate
1000, 1999, 6.0e-07
4000, 4999, 5.97238e-07
7000, 7999, 5.94488e-07
10000, 10999, 5.91751e-07
13000, 13999, 5.89027e-07
16000, 16999, 5.86315e-07
19000, 19999, 5.83616e-07
22000, 22999, 5.80929e-07
25000, 25999, 5.78255e-07
28000, 28999, 5.75593e-07
31000, 31999, 5.72943e-07
34000, 34999, 5.70305e-07
37000, 37999, 5.67679e-07
40000, 40999, 5.65066e-07
43000, 43999, 5.62465e-07
46000, 46999, 5.59875e-07
49000, 49999, 5.57298e-07
52000, 52999, 5.54732e-07
55000, 55999, 5.52178e-07
58000, 58999, 5.49636e-07
61000, 61999, 5.47106e-07
64000, 64999, 5.44587e-07
67000, 67999, 5.4208e-07
70000, 70999, 5.39584e-07
73000, 73999, 5.371e-07
76000, 76999, 5.34627e-07
79000, 79999, 5.32166e-07
82000, 82999, 5.29716e-07
85000, 85999, 5.27277e-07
88000, 88999, 5.2485e-07
91000, 91999, 5.22433e-07
94000, 94999, 5.20028e-07
97000, 97999, 5.17634e-07
100000, 100999, 5.15251e-07
103000, 103999, 5.12879e-07
106000, 106999, 5.10518e-07
109000, 109999, 5.08168e-07
112000, 112999, 5.05828e-07
115000, 115999, 5.03499e-07
118000, 118999, 5.01181e-07
121000, 121999, 4.98874e-07
124000, 124999, 4.96577e-07
127000, 127999, 4.94291e-07
130000, 130999, 4.92016e-07
133000, 133999, 4.89751e-07
136000, 136999, 4.87496e-07
139000, 139999, 4.85251e-07
142000, 142999, 4.83018e-07
145000, 145999, 4.80794e-07
148000, 148999, 4.7858e-07
151000, 151999, 4.76377e-07
154000, 154999, 4.74184e-07
157000, 157999, 4.72001e-07
160000, 160999, 4.69828e-07
163000, 163999, 4.67665e-07
166000, 166999, 4.65512e-07
169000, 169999, 4.63369e-07
172000, 172999, 4.61236e-07
175000, 175999, 4.59112e-07
178000, 178999, 4.56999e-07
181000, 181999, 4.54895e-07
184000, 184999, 4.528e-07
187000, 187999, 4.50716e-07
190000, 190999, 4.48641e-07
193000, 193999, 4.46575e-07
196000, 196999, 4.44519e-07
199000, 199999, 4.42473e-07
202000, 202999, 4.40436e-07
205000, 205999, 4.38408e-07
208000, 208999, 4.3639e-07
211000, 211999, 4.34381e-07
214000, 214999, 4.32381e-07
217000, 217999, 4.3039e-07
220000, 220999, 4.28409e-07
223000, 223999, 4.26437e-07
226000, 226999, 4.24474e-07
229000, 229999, 4.22519e-07
232000, 232999, 4.20574e-07
235000, 235999, 4.18638e-07
238000, 238999, 4.16711e-07
241000, 241999, 4.14792e-07
244000, 244999, 4.12883e-07
247000, 247999, 4.10982e-07
250000, 250999, 4.0909e-07
253000, 253999, 4.07206e-07
256000, 256999, 4.05332e-07
259000, 259999, 4.03466e-07
262000, 262999, 4.01608e-07
265000, 265999, 3.99759e-07
268000, 268999, 3.97919e-07
271000, 271999, 3.96087e-07
274000, 274999, 3.94263e-07
277000, 277999, 3.92448e-07
280000, 280999, 3.90642e-07
283000, 283999, 3.88843e-07
286000, 286999, 3.87053e-07
289000, 289999, 3.85271e-07
292000, 292999, 3.83497e-07
295000, 295999, 3.81732e-07
298000, 298999, 3.79975e-07
301000, 301999, 3.78225e-07
304000, 304999, 3.76484e-07
307000, 307999, 3.74751e-07
310000, 310999, 3.73025e-07
313000, 313999, 3.71308e-07
316000, 316999, 3.69599e-07
319000, 319999, 3.67897e-07
322000, 322999, 3.66203e-07
325000, 325999, 3.64518e-07
328000, 328999, 3.62839e-07
331000, 331999, 3.61169e-07
334000, 334999, 3.59506e-07
337000, 337999, 3.57851e-07
340000, 340999, 3.56204e-07
343000, 343999, 3.54564e-07
346000, 346999, 3.52931e-07
349000, 349999, 3.51307e-07
352000, 352999, 3.49689e-07
355000, 355999, 3.48079e-07
358000, 358999, 3.46477e-07
361000, 361999, 3.44882e-07
364000, 364999, 3.43294e-07
367000, 367999, 3.41714e-07
370000, 370999, 3.4014e-07
373000, 373999, 3.38575e-07
376000, 376999, 3.37016e-07
379000, 379999, 3.35464e-07
382000, 382999, 3.3392e-07
385000, 385999, 3.32383e-07
388000, 388999, 3.30852e-07
391000, 391999, 3.29329e-07
394000, 394999, 3.27813e-07
397000, 397999, 3.26304e-07
400000, 400999, 3.24802e-07
403000, 403999, 3.23306e-07
406000, 406999, 3.21818e-07
409000, 409999, 3.20336e-07
412000, 412999, 3.18862e-07
415000, 415999, 3.17394e-07
418000, 418999, 3.15932e-07
421000, 421999, 3.14478e-07
424000, 424999, 3.1303e-07
427000, 427999, 3.11589e-07
430000, 430999, 3.10155e-07
433000, 433999, 3.08727e-07
436000, 436999, 3.07305e-07
439000, 439999, 3.05891e-07
442000, 442999, 3.04482e-07
445000, 445999, 3.03081e-07
448000, 448999, 3.01685e-07
451000, 451999, 3.00296e-07
454000, 454999, 2.98914e-07
457000, 457999, 2.97538e-07
460000, 460999, 2.96168e-07
463000, 463999, 2.94804e-07
466000, 466999, 2.93447e-07
469000, 469999, 2.92096e-07
472000, 472999, 2.90752e-07
475000, 475999, 2.89413e-07
478000, 478999, 2.88081e-07
481000, 481999, 2.86754e-07
484000, 484999, 2.85434e-07
487000, 487999, 2.8412e-07
490000, 490999, 2.82812e-07
493000, 493999, 2.8151e-07
496000, 496999, 2.80214e-07
499000, 499999, 2.78924e-07
502000, 502999, 2.7764e-07
505000, 505999, 2.76362e-07
508000, 508999, 2.75089e-07
511000, 511999, 2.73823e-07
514000, 514999, 2.72562e-07
517000, 517999, 2.71308e-07
520000, 520999, 2.70059e-07
523000, 523999, 2.68815e-07
526000, 526999, 2.67578e-07
529000, 529999, 2.66346e-07
532000, 532999, 2.6512e-07
535000, 535999, 2.63899e-07
538000, 538999, 2.62684e-07
541000, 541999, 2.61475e-07
544000, 544999, 2.60271e-07
547000, 547999, 2.59073e-07
550000, 550999, 2.5788e-07
553000, 553999, 2.56693e-07
556000, 556999, 2.55511e-07
559000, 559999, 2.54335e-07
562000, 562999, 2.53164e-07
565000, 565999, 2.51998e-07
568000, 568999, 2.50838e-07
571000, 571999, 2.49683e-07
574000, 574999, 2.48534e-07
577000, 577999, 2.4739e-07
580000, 580999, 2.46251e-07
583000, 583999, 2.45117e-07
586000, 586999, 2.43989e-07
589000, 589999, 2.42865e-07
592000, 592999, 2.41747e-07
595000, 595999, 2.40634e-07
598000, 598999, 2.39527e-07
601000, 601999, 2.38424e-07
604000, 604999, 2.37326e-07
607000, 607999, 2.36234e-07
610000, 610999, 2.35146e-07
613000, 613999, 2.34063e-07
616000, 616999, 2.32986e-07
619000, 619999, 2.31913e-07
622000, 622999, 2.30846e-07
625000, 625999, 2.29783e-07
628000, 628999, 2.28725e-07
631000, 631999, 2.27672e-07
634000, 634999, 2.26624e-07
637000, 637999, 2.2558e-07
640000, 640999, 2.24542e-07
643000, 643999, 2.23508e-07
646000, 646999, 2.22479e-07
649000, 649999, 2.21455e-07
652000, 652999, 2.20435e-07
655000, 655999, 2.19421e-07
658000, 658999, 2.1841e-07
661000, 661999, 2.17405e-07
664000, 664999, 2.16404e-07
667000, 667999, 2.15408e-07
670000, 670999, 2.14416e-07
673000, 673999, 2.13429e-07
676000, 676999, 2.12446e-07
679000, 679999, 2.11468e-07
682000, 682999, 2.10495e-07
685000, 685999, 2.09526e-07
688000, 688999, 2.08561e-07
691000, 691999, 2.07601e-07
694000, 694999, 2.06645e-07
697000, 697999, 2.05694e-07
700000, 700999, 2.04747e-07
703000, 703999, 2.03804e-07
706000, 706999, 2.02866e-07
709000, 709999, 2.01932e-07
712000, 712999, 2.01002e-07
715000, 715999, 2.00077e-07
718000, 718999, 1.99156e-07
721000, 721999, 1.98239e-07
724000, 724999, 1.97326e-07
727000, 727999, 1.96418e-07
730000, 730999, 1.95514e-07
733000, 733999, 1.94614e-07
736000, 736999, 1.93718e-07
739000, 739999, 1.92826e-07
742000, 742999, 1.91938e-07
745000, 745999, 1.91054e-07
748000, 748999, 1.90175e-07
751000, 751999, 1.89299e-07
754000, 754999, 1.88428e-07
757000, 757999, 1.8756e-07
760000, 760999, 1.86697e-07
763000, 763999, 1.85837e-07
766000, 766999, 1.84982e-07
769000, 769999, 1.8413e-07
772000, 772999, 1.83283e-07
775000, 775999, 1.82439e-07
778000, 778999, 1.81599e-07
781000, 781999, 1.80763e-07
784000, 784999, 1.79931e-07
787000, 787999, 1.79102e-07
790000, 790999, 1.78278e-07
793000, 793999, 1.77457e-07
796000, 796999, 1.7664e-07
799000, 799999, 1.75827e-07
802000, 802999, 1.75017e-07
805000, 805999, 1.74212e-07
808000, 808999, 1.7341e-07
811000, 811999, 1.72611e-07
814000, 814999, 1.71817e-07
817000, 817999, 1.71026e-07
820000, 820999, 1.70238e-07
823000, 823999, 1.69454e-07
826000, 826999, 1.68674e-07
829000, 829999, 1.67898e-07
832000, 832999, 1.67125e-07
835000, 835999, 1.66355e-07
838000, 838999, 1.6559e-07
841000, 841999, 1.64827e-07
844000, 844999, 1.64068e-07
847000, 847999, 1.63313e-07
850000, 850999, 1.62561e-07
853000, 853999, 1.61813e-07
856000, 856999, 1.61068e-07
859000, 859999, 1.60326e-07
862000, 862999, 1.59588e-07
865000, 865999, 1.58854e-07
868000, 868999, 1.58122e-07
871000, 871999, 1.57394e-07
874000, 874999, 1.5667e-07
877000, 877999, 1.55948e-07
880000, 880999, 1.5523e-07
883000, 883999, 1.54516e-07
886000, 886999, 1.53804e-07
889000, 889999, 1.53096e-07
892000, 892999, 1.52392e-07
895000, 895999, 1.5169e-07
898000, 898999, 1.50992e-07
901000, 901999, 1.50296e-07
904000, 904999, 1.49605e-07
907000, 907999, 1.48916e-07
910000, 910999, 1.4823e-07
913000, 913999, 1.47548e-07
916000, 916999, 1.46869e-07
919000, 919999, 1.46192e-07
922000, 922999, 1.45519e-07
925000, 925999, 1.44849e-07
928000, 928999, 1.44183e-07
931000, 931999, 1.43519e-07
934000, 934999, 1.42858e-07
937000, 937999, 1.422e-07
940000, 940999, 1.41546e-07
943000, 943999, 1.40894e-07
946000, 946999, 1.40245e-07
949000, 949999, 1.396e-07
952000, 952999, 1.38957e-07
955000, 955999, 1.38317e-07
958000, 958999, 1.37681e-07
961000, 961999, 1.37047e-07
964000, 964999, 1.36416e-07
967000, 967999, 1.35788e-07
970000, 970999, 1.35163e-07
973000, 973999, 1.3454e-07
976000, 976999, 1.33921e-07
979000, 979999, 1.33304e-07
982000, 982999, 1.32691e-07
985000, 985999, 1.3208e-07
988000, 988999, 1.31472e-07
991000, 991999, 1.30867e-07
994000, 994999, 1.30264e-07
997000, 997999, 1.29664e-07
1000000, 1000999, 1.29067e-07
1003000, 1003999, 1.28473e-07
1006000, 1006999, 1.27882e-07
1009000, 1009999, 1.27293e-07
1012000, 1012999, 1.26707e-07
1015000, 1015999, 1.26124e-07
1018000, 1018999, 1.25543e-07
1021000, 1021999, 1.24965e-07
1024000, 1024999, 1.2439e-07
1027000, 1027999, 1.23817e-07
1030000, 1030999, 1.23247e-07
1033000, 1033999, 1.2268e-07
1036000, 1036999, 1.22115e-07
1039000, 1039999, 1.21553e-07
1042000, 1042999, 1.20993e-07
1045000, 1045999, 1.20436e-07
1048000, 1048999, 1.19882e-07
1051000, 1051999, 1.1933e-07
1054000, 1054999, 1.1878e-07
1057000, 1057999, 1.18233e-07
1060000, 1060999, 1.17689e-07
1063000, 1063999, 1.17147e-07
1066000, 1066999, 1.16608e-07
1069000, 1069999, 1.16071e-07
1072000, 1072999, 1.15537e-07
1075000, 1075999, 1.15005e-07
1078000, 1078999, 1.14475e-07
1081000, 1081999, 1.13948e-07
1084000, 1084999, 1.13424e-07
1087000, 1087999, 1.12902e-07
1090000, 1090999, 1.12382e-07
1093000, 1093999, 1.11865e-07
1096000, 1096999, 1.1135e-07
1099000, 1099999, 1.10837e-07
1102000, 1102999, 1.10327e-07
1105000, 1105999, 1.09819e-07
1108000, 1108999, 1.09313e-07
1111000, 1111999, 1.0881e-07
1114000, 1114999, 1.08309e-07
1117000, 1117999, 1.0781e-07
1120000, 1120999, 1.07314e-07
1123000, 1123999, 1.0682e-07
1126000, 1126999, 1.06328e-07
1129000, 1129999, 1.05839e-07
1132000, 1132999, 1.05351e-07
1135000, 1135999, 1.04866e-07
1138000, 1138999, 1.04384e-07
1141000, 1141999, 1.03903e-07
1144000, 1144999, 1.03425e-07
1147000, 1147999, 1.02949e-07
1150000, 1150999, 1.02475e-07
1153000, 1153999, 1.02003e-07
1156000, 1156999, 1.01533e-07
1159000, 1159999, 1.01066e-07
1162000, 1162999, 1.00601e-07
1165000, 1165999, 1.00137e-07
1168000, 1168999, 9.96764e-08
1171000, 1171999, 9.92175e-08
1174000, 1174999, 9.87607e-08
1177000, 1177999, 9.8306e-08
1180000, 1180999, 9.78534e-08
1183000, 1183999, 9.74029e-08
1186000, 1186999, 9.69545e-08
1189000, 1189999, 9.65082e-08
1192000, 1192999, 9.60639e-08
1195000, 1195999, 9.56216e-08
1198000, 1198999, 9.51814e-08
1201000, 1201999, 9.47432e-08
1204000, 1204999, 9.4307e-08
1207000, 1207999, 9.38729e-08
1210000, 1210999, 9.34407e-08
1213000, 1213999, 9.30105e-08
1216000, 1216999, 9.25823e-08
1219000, 1219999, 9.21561e-08
1222000, 1222999, 9.17318e-08
1225000, 1225999, 9.13095e-08
1228000, 1228999, 9.08891e-08
1231000, 1231999, 9.04707e-08
1234000, 1234999, 9.00542e-08
1237000, 1237999, 8.96396e-08
