Species Windows piS_obs piS_est Fis_obs fdel s_del usweep tau lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 0.5cM 0.00297295557840182 0.248287497500448 0.9 3.97988547196923e-09 0.0153931479862881 9.99594597122039e-10 100.957763075074 -4375.07072451047 -2602.00226473583 -807.966775600532 0.497061057140334 0.112784080674218
Ae_caudata 0.5cM 0.00892814527681417 0.0202395128208878 0.6 1.32574721114947e-09 0.00556015661295846 1.38240157722194e-07 25.4033499062354 -7737.08819502773 -5122.81178038231 -1333.84326912216 0.408273686997175 0.0982522411605027
Ae_comosa 0.5cM 0.00583652758803966 0.0356173322092599 0.8 4.14389764312515e-09 0.0134706419360046 1.0052655690084e-09 99.6686107054357 -7809.38094297228 -4019.41879721287 -959.812234819053 0.553313983294761 0.180973555711512
Ae_longissima 0.5cM 0.0061778440002715 22.777168767986 0.7 2.00118907042578e-08 0.0719954910717306 8.0519770138662e-10 120.364921058407 -7595.97581915246 -3312.45403969249 -1012.12102933474 0.650610002226153 0.385743435333536
Ae_mutica 0.5cM 0.0210275224924686 0.038532928761564 0 2.93434912065909e-09 0.0265118073424937 1e-06 190.181373983979 -9150.58339489356 -3443.96265019324 -1035.7161944934 0.703230330672438 0.338486799583755
Ae_searsii 0.5cM 0.00240073634934691 12.4698752075503 0.9 6.97261266329195e-09 0.0233141758417292 1.00139376429165e-09 100.329264973083 -629.817043223143 -255.761114725023 -104.955356784534 0.712675240283274 0.236722867902993
Ae_sharonensis 0.5cM 0.00751851991779237 36.6802901587108 0.7 2.13606695736039e-08 0.0666739733003643 7.86219903774729e-10 124.959912013395 -10959.2021321791 -4562.73415748737 -1041.94127911442 0.644983334558056 0.286582705437742
Ae_speltoides 0.5cM 0.025930679361464 0.0426327955692058 0 1.30184264256216e-09 0.00479754416234602 7.26990817888117e-08 12.5185865551058 -10841.1439438349 -4747.15424242402 -1579.80403890353 0.658003028067896 0.220192564133681
Ae_tauschii 0.5cM 0.00388339797065268 0.192106487563433 0.9 2.97881346670994e-09 0.0330930596195133 9.96607049683105e-10 101.3364644108 -2688.34547722022 -2059.04713227382 -1060.58811720689 0.386604515147916 0.146136627529813
Ae_umbellulata 0.5cM 0.00373473343867556 0.0649610269141503 0.8 5.16415577528456e-09 0.0292548120792373 9.92249665305783e-10 100.726038985446 -4660.97892513685 -2935.34723308599 -808.512912510616 0.447929115116188 0.113976611665746
Ae_uniaristata 0.5cM 0.00313212105178468 0.00753738552258291 0.9 1.72311641322498e-10 0.000314705396272754 2.16096625538295e-07 108.766577952817 -3653.8137657777 -2247.86187458736 -771.396302048018 0.487768308679034 0.125908217678986
T_boeticum 0.5cM 0.00272218788794537 0.0135657227514046 0.85 2.33183789063456e-10 0.000761436615610739 9.00264228159381e-07 117.14338758773 -480.294970564912 -304.491556777554 -174.884238167407 0.575629456133657 0.334366235945274
T_urartu 0.5cM 0.00220788495892828 0.00547687554628661 0.95 5.97563846413087e-11 0.000310893562626666 1.85714503845652e-07 200.740687157779 -2411.98407036108 -1871.98312752822 -892.941169581716 0.355487618260028 0.0660218007031119
