Species Windows piS_obs piS_est Fis_obs u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 1cM 0.0032872800726667 2.03819462763618 0.9 1.84241756007194e-09 0.0292679124859107 1.84241756007194e-09 0.0190290323931363 1.65263663306936e-09 0.0306288903836974 -2453.94887031577 -2372.91554335558 -1701.08446616823 0.107633362015494 0.0780876681316527
Ae_caudata 1cM 0.0106776201240639 0.0449150367698219 0.6 2.64238758675715e-09 0.103378417232485 1.58641801814435e-09 0.104779601501027 6.40373303630888e-10 0.00366800739781801 -3456.31309031196 -3289.19234916228 -2919.67184297594 0.311419858200042 0.0461945261048511
Ae_comosa 1cM 0.00670139817233894 0.0378493339066703 0.8 1.5063955651946e-09 0.0295762237092023 1.23968443960284e-09 0.021186949396871 1.01905022401762e-09 0.00525605384247111 -2974.82361992194 -2928.19386270407 -2177.12181700179 0.0584551232643207 0.073464264244503
Ae_longissima 1cM 0.0091555534348571 5.80536324735892 0.7 5.69405095462629e-09 0.0638958510642605 5.69405095462629e-09 0.073826466124432 4.79128579099259e-09 0.0758176873295898 -2955.86557037122 -2824.68961224315 -2444.08018947622 0.256310482918976 0.242830895151069
Ae_mutica 1cM 0.0295486350655841 0.0892267899692504 0 7.34941897309207e-09 0.157421988005469 2.21317451045186e-09 0.0267090020457418 7.25131107129402e-10 0.00444706513691636 -3329.48364101147 -3225.23504106796 -3118.04665925595 0.493048089685902 0.242817405866558
Ae_searsii 1cM 0.00170828898749141 36.8045696105735 0.9 3.33960877554115e-09 0.0295564606447614 2.67639432847928e-09 0.0242272002581156 2.14384840558858e-09 0.0309306521251193 -949.039602893926 -858.624570930511 -486.159236394528 0.195331317781293 0.103791508539063
Ae_sharonensis 1cM 0.00869147807491771 7.46444548225633 0.7 9.27234946106093e-09 0.0600151369058258 6.36691357343469e-09 0.0598603311359621 4.34760567507188e-09 1 -3169.59375987914 -2992.5384645888 -2377.43962536676 0.223511167305002 0.220573706735766
Ae_speltoides 1cM 0.0331492388487962 0.0692476434974483 0 4.93713679312994e-09 0.141289364079241 9.73792828040033e-10 0.0613922303724525 1.92987959060023e-10 0.000882794314770035 -4261.34261203835 -4082.8115510335 -4002.91371341534 0.690832418340698 0.192177627169243
Ae_tauschii 1cM 0.00501196644367844 0.104154065173258 0.9 1.72388361937971e-09 0.0246874628061359 5.70108614075927e-10 0.0191437103576539 1.8761828405808e-10 0.0647004995303844 -2777.30582166613 -2598.74262312971 -2399.12285514425 0.472160870117039 0.113123047166685
Ae_umbellulata 1cM 0.00371158382336062 0.0841538552036654 0.8 2.13684693964223e-09 0.0378798190490231 1.76108463222793e-09 0.0392525222029671 1.44830299454406e-09 0.0388359436383761 -2514.98638912405 -2430.05611656851 -1709.24774127132 0.105406725595049 0.0366516457341393
Ae_uniaristata 1cM 0.00314595738645464 0.0332178762316916 0.9 9.84912456168291e-10 0.0224928466552053 8.89348989290362e-10 0.0234795174308602 1.86326262686706e-10 0.00143472516799791 -2400.54933300552 -2301.7150507196 -1659.33733422496 0.133341449475351 0.0395156239150555
T_boeticum 1cM 0.00462845675607142 0.0485954727930044 0.85 1.31686645352933e-09 0.028046164712228 1.09051549492759e-09 0.0173555134017419 6.95956724807024e-10 0.0255493882693632 -1133.11211771597 -1076.23105392473 -903.214422970139 0.247419026337475 0.17504664010775
T_urartu 1cM 0.00271709926938762 0.431566539141606 0.95 2.45202089028504e-09 0.135658821798923 6.83935174650833e-10 0.0160844374203462 1.90605881526437e-10 0.00486510487544621 -2300.81333166168 -2151.34714937517 -1870.24826201692 0.34713959125813 0.0468593808264942
