Species Windows piS_obs piS_est Fis_obs Fis_est fdel s_del usweep tau lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 0.1cM 0.00254648789966067 0.0330451969569231 0.9 0.189889861613987 1.90954994210529e-08 0.0716350713903938 1.00277662303262e-09 99.7960821793906 -2320.86098875033 -1475.67423135407 -510.68080944401 0.46690753056425 0.107700204395357
Ae_caudata 0.1cM 0.00668150661169993 0.0198221286215587 0.6 0.135940332438489 5.32785725231079e-09 0.0924516192386714 1e-06 226.562775426495 -4907.60371007786 -3532.72335998132 -927.59021250869 0.345446152616382 0.110623854462829
Ae_comosa 0.1cM 0.00447188056784582 0.0120522426417672 0.8 0.0934862130543029 8.8837312781912e-09 0.0212886863727867 1.01334925022619e-09 99.2240290441344 -3886.25159930931 -2173.72808902306 -568.440479807047 0.516160639832675 0.118400378122406
Ae_longissima 0.1cM 0.00440608103676539 3.29246884898977 0.7 0.474597860368912 2.76322220710405e-08 0.100416882613983 9.21726885171988e-10 106.281025935411 -4049.44351642124 -1979.95243695952 -654.791387887327 0.609632740293628 0.360356453111428
Ae_mutica 0.1cM 0.0141974164491683 0.0338973876138563 0 0 8.77952100821744e-10 0.00349370373731522 1e-06 158.131572140419 -5347.88328265706 -2549.61024843433 -755.353886592318 0.609309770911978 0.333576528396801
Ae_searsii 0.1cM 0.00129702178243246 0.00589648036787068 0.9 0.0296898133593755 8.14424952066464e-09 0.0174895944665666 1.00218999025294e-09 100.14369290414 -152.565491714865 -58.2438487221132 -35.3339477778848 0.80457562721733 0.420178258662988
Ae_sharonensis 0.1cM 0.00621595409113102 0.840200159225166 0.7 0.278637098116362 3.16315150362913e-08 0.096827511329852 9.56866529236435e-10 103.909679361866 -5846.88527431618 -2459.08855510537 -657.110825710687 0.652783035709985 0.333954673637566
Ae_speltoides 0.1cM 0.0189657041276429 0.0306560826623068 0 0 1.85628261037364e-09 0.00625613288289595 3.92226696806823e-10 496.776519691735 -6770.45435131294 -3508.43115690842 -1115.2488663725 0.576817801420503 0.335741348772766
Ae_tauschii 0.1cM 0.00306453933414711 0.0511950722235265 0.9 0.555158859797916 8.85902500670867e-09 0.103469745243886 1.00520502017663e-09 99.7839863562967 -1511.5125236209 -1263.30025186973 -731.475062282625 0.318205578646598 0.177396065627793
Ae_umbellulata 0.1cM 0.00291374009622458 0.0714844329888211 0.8 0.339230022496932 1.71053192103193e-08 0.105274317999428 9.99672898425226e-10 100.33245645108 -2247.32892347687 -1572.88953890873 -488.962207485693 0.38356014046135 0.122044442454266
Ae_uniaristata 0.1cM 0.0027445121026752 0.00516270205295713 0.9 0.728177442309522 4.2051833890303e-10 0.00049621875148694 4.61906771508636e-08 36.0697708014875 -2150.43214957107 -1343.7811416641 -510.603800055733 0.491911856594857 0.120568522627606
T_boeticum 0.1cM 0.00236967129448564 0.00953292687264154 0.85 0.180280891549648 2.68091857141219e-12 1e-05 9.38981749371001e-07 44.5259275903612 -254.694939049053 -160.838670893398 -92.9961500444315 0.580438905779141 0.375296159489872
T_urartu 0.1cM 0.00174974114582502 0.00412970238333701 0.95 0.496672406868776 5.00497795763815e-10 0.00203731777023653 1.53894944358587e-07 28.9202320004401 -1538.18200222783 -1198.05089603081 -577.671509264605 0.354114930225999 0.119613545606234
