Species Windows piS_obs piS_est Fis_obs Fis_est fdel s_del usweep tau lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 1cM 0.00315956264862285 12.0606094784674 0.9 0 6.81184746694818e-08 0.263927506659738 7.49809287153872e-11 127.924089219116 -5194.23310804333 -2829.19384253196 -839.449083121836 0.543089910309387 0.141104778214517
Ae_caudata 1cM 0.00998472126773798 0.0186017085776012 0.6 0 2.66442687451784e-09 0.0108380325687917 1.22140041307371e-07 10.4295408057976 -8344.75592232052 -4995.66240436887 -1333.79985188447 0.477694266560047 0.0974297991365734
Ae_comosa 1cM 0.00641510368896771 0.054555774602878 0.8 0 2.4383888616324e-08 0.0834528056624178 2.80361702607346e-11 212.081640300844 -9797.24074851505 -4949.24618117669 -1027.35299121858 0.552800070138282 0.135066204172779
Ae_longissima 1cM 0.00748097188220033 23.322227009147 0.7 0 6.70306479343556e-08 0.233798984444515 1.82555238646126e-11 639.389042233525 -9395.37756117613 -3758.57760851061 -1056.19268553649 0.675941358385241 0.355240660843233
Ae_mutica 1cM 0.0246119311836545 0.04567590865008 0 0 3.75637742429628e-09 0.0480834852010061 1e-06 137.068328288312 -11334.5363586864 -3860.14125250082 -1062.35278224869 0.72763449470766 0.296785311415787
Ae_searsii 1cM 0.00205397132819745 3.34578049137656 0.9 0.114779754715722 5.46238171312116e-08 0.196592069794966 8.1186333416066e-10 102.024820549474 -790.241627002088 -376.21553899549 -158.04463322926 0.654900437814125 0.153861389761096
Ae_sharonensis 1cM 0.00825852238297896 735.756717460682 0.7 0 9.30753858214844e-08 0.285458038172891 2.12777454461651e-12 2542.67641387277 -13232.9304177545 -5254.24528681108 -1081.78897945978 0.656620217241347 0.267648489741204
Ae_speltoides 1cM 0.0287358232280976 0.0354361432469444 0 0 2.43218757112502e-09 0.0107442330962958 6.99679425493414e-10 890.006563867487 -12083.8092482189 -4652.2944803931 -1563.41254560858 0.706391116029104 0.198007036187543
Ae_tauschii 1cM 0.00443456419991546 0.648911235703029 0.9 0.514758876429862 1.90796717513153e-08 0.204163200799918 2.38297654837019e-10 117.814462870438 -3099.74714010298 -2181.3029946896 -1100.34139042551 0.459358559692819 0.133696395364547
Ae_umbellulata 1cM 0.00387567128469093 16.6367563238697 0.8 0.0732289734790451 6.20624285450674e-08 0.358890621861733 1.85891834765818e-11 169.638119945772 -5276.63074579516 -3301.94069023227 -862.789618165191 0.447385847941294 0.0884578030966869
Ae_uniaristata 1cM 0.00307186623408189 6.11438934195006 0.9 0.0909688046647153 5.53212651905987e-08 0.390546758687416 6.44211553577277e-11 125.033523065425 -4049.53396943349 -2682.58294503948 -803.305383619615 0.421088961623847 0.120767682111713
T_boeticum 1cM 0.00320513548127926 0.0143399404593556 0.85 0.401324153386515 8.61406644040309e-09 0.0464805511500897 1.53892068054863e-09 98.4414441777421 -679.87544388019 -444.664053067947 -219.627337127471 0.511053467382577 0.241909527464294
T_urartu 1cM 0.00245108210769299 3.03120474280784 0.95 0.43139227473601 3.30761278153353e-08 0.326456494515133 1.95135685824194e-10 115.378488624872 -2681.08015004764 -2024.09556213045 -925.509281333568 0.374228463017511 0.0767436169950995
