Species Windows piS_obs piS_est Fis_obs Fis_est u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 1cM 0.0032872800726667 1.64106099979902 0.9 0.925374107683872 1.56612187369591e-09 0.0180228157689702 1.26375048237155e-09 0.0185830442451121 1.02197380080763e-09 0.0184152457908322 -2453.94887031577 -2372.84343119868 -1701.08446616823 0.107729145740294 0.0775642841406608
Ae_caudata 1cM 0.0106776201240639 0.0509994930145558 0.6 0.728978565833493 1.85081530750928e-09 0.0995335901503836 1.1811734867982e-09 0.0726485288766773 5.53416879186356e-10 0.00314219147721697 -3456.31309031196 -3289.26361764173 -2919.67184297594 0.311287053500805 0.0461773308821668
Ae_comosa 1cM 0.00670139817233894 0.0564163181771983 0.8 0.868250501664209 1.19637986889137e-09 0.0752644100493668 9.57294594942791e-10 0.0112501224621197 7.65573533467774e-10 0.00377526300497055 -2974.82361992194 -2929.54699595409 -2177.12181700179 0.0567588336921222 0.0717469843555144
Ae_longissima 1cM 0.0091555534348571 2.21584092149202 0.7 0.927181994405896 1.57961848329249e-09 0.0124882800704866 1.09407960333084e-09 0.0180376647545186 7.56129404256084e-10 0.0189543543421435 -2955.86557037122 -2826.38535545165 -2444.08018947622 0.25299709556598 0.23512447539164
Ae_mutica 1cM 0.0295486350655841 0.0947438263013286 0 0.203729218424834 5.95574933490229e-09 0.140118328867628 1.90080452335501e-09 0.0241275696948485 6.56679080517304e-10 0.00381250570804729 -3329.48364101147 -3225.23572709042 -3118.04665925595 0.493044845114132 0.236571913962362
Ae_searsii 1cM 0.00170828898749141 0.854944641594965 0.9 0.955192703790795 9.77151351119849e-10 0.00844784108503562 8.0951652542702e-10 0.00772994133479153 6.72052350231615e-10 0.00907746528466267 -949.039602893926 -864.961738774581 -486.159236394528 0.181640592698273 0.0916060841623055
Ae_sharonensis 1cM 0.00869147807491771 5.82090194335236 0.7 0.931762908519587 1.77854025184272e-09 0.0142833555684164 1.20618531620226e-09 0.0150408352959135 8.1769946137232e-10 0.0138106170686387 -3169.59375987914 -2991.28243501526 -2377.43962536676 0.225096754653241 0.222591491820382
Ae_speltoides 1cM 0.0331492388487962 0.072822071373425 0 0.381377286160737 3.15312437199182e-09 0.074615341753027 7.01841219035477e-10 0.134215195783988 1.56920744571232e-10 0.000706224852781463 -4261.34261203835 -4082.80415657495 -4002.91371341534 0.690861031466321 0.207009846253116
Ae_tauschii 1cM 0.00501196644367844 0.0430829287873814 0.9 0.876008056983741 1.80220904783095e-09 0.0244089275329898 3.9778723671853e-10 0.0196226333403754 8.77296368037481e-11 0.00740610184624815 -2777.30582166613 -2599.66545139957 -2399.12285514425 0.469720706620667 0.106556646173354
Ae_umbellulata 1cM 0.00371158382336062 0.0992775227161603 0.8 0.919594460534424 8.92995824625569e-10 0.0169139540964951 7.38462180158515e-10 0.0157178387714667 6.10958809356894e-10 0.0157269905001535 -2514.98638912405 -2429.96455497824 -1709.24774127132 0.105520362430668 0.0365514892804856
Ae_uniaristata 1cM 0.00314595738645464 0.0282899338296969 0.9 0.888785084869811 1.01054590124676e-09 0.025566078636682 8.39749368072177e-10 0.0243482230582985 3.39462444459051e-10 0.00399072892265337 -2400.54933300552 -2302.22375572004 -1659.33733422496 0.132655134357301 0.0431499290614526
T_boeticum 1cM 0.00462845675607142 0.0468724712673336 0.85 0.866477498372039 1.15689343625769e-09 0.0269137000954353 9.57717960809005e-10 0.0143286800177349 6.10376434006776e-10 0.0219860073147312 -1133.11211771597 -1076.26894419661 -903.214422970139 0.24725421271497 0.172665798666715
T_urartu 1cM 0.00271709926938762 0.181307737074763 0.95 0.980680105183257 6.32475928434435e-10 0.112723733634826 3.41150629572159e-10 0.011884171755022 1.83984595787754e-10 0.00196813750200444 -2300.81333166168 -2152.90196200669 -1870.24826201692 0.343528493328595 0.0457690617729398
