Species Windows piS_obs piS_est Fis_obs fdel s_del usweep tau lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis 1cM 0.00315956264862285 3.25174310133968 0.9 5.87391573461574e-09 0.0227698986759887 9.89919650032483e-10 102.763292617207 -5194.23310804333 -2827.57507375618 -839.449083121836 0.543461632251629 0.138144650924727
Ae_caudata 1cM 0.00998472126773798 0.0138975807249508 0.6 2.02034963101154e-09 0.0109947974249017 1.07329095947587e-09 97.3640887246184 -8344.75592232052 -5049.72619552552 -1333.79985188447 0.469982937232991 0.0838963791351205
Ae_comosa 1cM 0.00641510368896771 0.0548660161521263 0.8 4.88567515851549e-09 0.0167245603769541 1.0008493686511e-09 100.046522992736 -9797.24074851505 -4949.25185433541 -1027.35299121858 0.552799423247596 0.135104726600599
Ae_longissima 1cM 0.00748097188220033 46.2115681027229 0.7 2.14913161211065e-08 0.0771959003274735 7.49302608286751e-10 128.635124647092 -9395.37756117613 -3755.46681692542 -1056.19268553649 0.676314391437222 0.358299998307467
Ae_mutica 1cM 0.0246119311836545 0.0457128360642357 0 3.770084638244e-09 0.0481211207708196 1e-06 137.171381367118 -11334.5363586864 -3860.14074672538 -1062.35278224869 0.727634543945043 0.296855878911683
Ae_searsii 1cM 0.00205397132819745 0.35984829092132 0.9 4.57628270803068e-09 0.0164730410433651 1.00270196764882e-09 100.183592194873 -790.241627002088 -375.382497188876 -158.04463322926 0.656218131214788 0.149971578874386
Ae_sharonensis 1cM 0.00825852238297896 464.026367951479 0.7 2.68915354198676e-08 0.08306318254537 6.62204605432809e-10 146.808069675899 -13232.9304177545 -5253.74120722763 -1081.78897945978 0.656661701375657 0.266653469272813
Ae_speltoides 1cM 0.0287358232280976 0.0692606128662092 0 5.78836847040296e-09 0.19706841785408 1e-06 246.925289441508 -12083.8092482189 -4508.05730375314 -1563.41254560858 0.720101357260232 0.208667418353464
Ae_tauschii 1cM 0.00443456419991546 0.1487730895425 0.9 2.78132052829032e-09 0.0313763564035307 9.97261731405475e-10 101.272118885717 -3099.74714010298 -2179.30671464893 -1100.34139042551 0.460356996373814 0.129772443318933
Ae_umbellulata 1cM 0.00387567128469093 0.0996238468876747 0.8 5.83847734264257e-09 0.0349522076272062 9.85934250344962e-10 101.283423390749 -5276.63074579516 -3276.37075134344 -862.789618165191 0.453178974188808 0.0835942011509646
Ae_uniaristata 1cM 0.00307186623408189 0.00932460662346981 0.9 2.4265142800426e-10 0.000576107736161507 3.64139367787487e-07 106.194752198222 -4049.53396943349 -2538.45954634105 -803.305383619615 0.465486142810733 0.113911159692587
T_boeticum 1cM 0.00320513548127926 0.0184235300467482 0.85 3.12059079555643e-10 0.000861863446145182 1e-06 90.7939686313311 -679.87544388019 -428.513247761249 -219.627337127471 0.546144986651717 0.260989484838304
T_urartu 1cM 0.00245108210769299 0.00638148964098166 0.95 5.83808200368851e-11 0.000260743029093316 1.96150006649384e-07 181.351601272774 -2681.08015004764 -1970.01204184907 -925.509281333568 0.405035262814206 0.0645394917952846
