Species Windows piS_obs piS_est Fis_obs Fis_est u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis A 1cM 0.00336560588174596 0.126315042359192 0.9 0.968268133242409 1.36841709614809e-09 0.276405490474806 1.05054219937423e-09 0.00506306650053821 8.06491228563995e-10 0.0017808380419537 -2076.69060504592 -1911.55783013617 -1427.36342807434 0.254313666155045 0.0749084106425289
Ae_caudata A 1cM 0.0110754613363672 0.610463534774489 0.6 0.886445741714795 2.96640864522012e-09 0.0229730517069249 2.17491689075011e-09 0.0421443558340135 1.59516070587938e-09 0.026494219367112 -2773.35432796432 -2560.91467543914 -2311.59532951456 0.460066080441075 0.153820448964578
Ae_comosa A 1cM 0.00708150348363672 0.147833382662587 0.8 0.947822441873074 1.92794653169066e-09 0.352202648759554 1.46956374131703e-09 0.00488180023546615 1.11968337665683e-09 0.00373273748984613 -2417.65593662689 -2274.98887317105 -1827.21631458333 0.241628539362007 0.149668235010334
Ae_longissima A 1cM 0.00958534381611528 0.588512021428523 0.7 0.874339174404305 4.03489964133713e-09 0.0219385003837379 2.9239236789199e-09 0.00884693878830286 2.10828192926973e-09 0.0199093526295688 -2349.99434275548 -2195.78310547931 -1943.92414035106 0.379764967641193 0.25156119444295
Ae_mutica A 1cM 0.0310997287999802 0.0844393250991156 0 0.0236760735234183 8.88444697235926e-09 0.0721074999242886 6.89025150720667e-09 0.037514993566011 5.33796767680105e-09 0.0496658193618176 -2826.47561688074 -2672.87514402606 -2578.02367208848 0.618230108776618 0.283350215665974
Ae_searsii A 1cM 0.00174566111179364 0.0843038052389446 0.9 0.971240619152301 1.42371842345511e-09 0.489385584601611 1.07309734986827e-09 0.00355888957090858 8.08385412587212e-10 0.00220894734444708 -782.20787349166 -740.938640227926 -421.702503069477 0.114476056807155 0.0518781273967198
Ae_sharonensis A 1cM 0.0102735565887405 2.74909071859967 0.7 0.926602964113997 3.20385464028824e-09 0.00916808013809995 2.24549186900316e-09 0.0119565234792014 1.5728473213368e-09 0.0120140886152786 -2599.25503194281 -2392.98751065167 -2026.24324454233 0.359970817052285 0.344278950233245
Ae_speltoides A 1cM 0.0338754170492091 0.07706902701673 0 0 7.35992502159405e-09 0.0639101535063049 5.67702864819183e-09 0.0381374817219911 4.37136267869718e-09 0.102198642406275 -3396.95395948551 -3155.64363110043 -3086.0547241006 0.776168934884384 0.269636999724603
Ae_tauschii A 1cM 0.00527286543483145 0.139677418165422 0.9 0.981847405827766 6.00155298617547e-10 0.151567796250369 4.70429925964736e-10 0.00767210194923427 3.68641554365329e-10 0.00140063297809793 -2263.35698071864 -2048.58789754361 -1915.73732753672 0.617827793132956 0.13715867578841
Ae_umbellulata A 1cM 0.00410373499396779 0.0785442700362619 0.8 0.950279699610814 1.78455239221986e-09 0.379867095920809 1.35634269308342e-09 0.00453227324207357 1.03036269224189e-09 0.00442055871804601 -2051.52819809968 -1908.10605489905 -1446.42778972471 0.237022056530745 0.0605381998105377
Ae_uniaristata A 1cM 0.0034990965960729 0.0842619255327334 0.9 0.966235569069882 1.04704948335642e-09 0.138167459869844 8.22656876574726e-10 0.0081563932192013 6.46240957517437e-10 0.00165677493956508 -2020.2159329959 -1883.81852789121 -1398.14285489695 0.219262671712984 0.0334733700599216
T_boeticum A 1cM 0.00522997962626682 0.0508005920966477 0.85 0.87711183176929 1.94014174955938e-09 0.0443123929270808 1.58131401738183e-09 0.00790425785505141 1.28793937031539e-09 0.0053288676819689 -1025.9532311413 -976.675026485371 -854.139677724616 0.286812091805226 0.167788160146197
T_urartu A 1cM 0.00284375804250324 0.0292943676425086 0.95 0.902615435296735 1.44159618640659e-09 0.0137491859676102 1.22340064847786e-09 0.0349936308345902 1.03819659260015e-09 0.00873913490293789 -1993.22296119575 -1785.7704900039 -1592.72759184239 0.517989687438348 0.060317259169846
