Species Windows piS_obs piS_est Fis_obs Fis_est u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis B 1cM 0.00415814004613586 0.174405894986663 0.9 0.963761170771818 1.5545508283621e-09 0.312668523743756 1.18871803568154e-09 0.00473250945206789 9.08658013635907e-10 0.00232197722345222 -2464.38256505868 -2392.62372551694 -1933.18155148844 0.135087919090062 0.120184885197984
Ae_caudata B 1cM 0.0119783743823015 0.0800814479519639 0.6 0.775196304394705 2.89939997207195e-09 0.0739440575926818 2.2360406229463e-09 0.00592062001973769 1.72164521175011e-09 0.0567420524098093 -3298.40243032633 -3106.70527524025 -2831.57381064778 0.410637109648681 0.10991532970115
Ae_comosa B 1cM 0.00795310176660959 0.129386212420342 0.8 0.908201537863441 2.58716235759683e-09 0.22114812567405 2.0016588542164e-09 0.00581013497674887 1.54780970747001e-09 0.00351492982848957 -2869.90064129272 -2778.70939821832 -2353.32851320982 0.176531481504482 0.149348789942448
Ae_longissima B 1cM 0.011236987854945 0.476085002498531 0.7 0.841913689411834 4.42700125288201e-09 0.0318300466763241 3.26438642923464e-09 0.00776253635872186 2.40130725388322e-09 0.0200060605442118 -2825.34458450688 -2721.59634773951 -2532.25803756686 0.353984984471526 0.341836717060279
Ae_mutica B 1cM 0.0324109594177134 0.0645197373715771 0 0.00505476026649174 6.13018781048804e-09 0.0820266052331559 4.80485952520444e-09 0.0183944368884361 3.76257869587911e-09 0.009170300896452 -3265.02124962392 -3128.84001344813 -3053.95151667717 0.645195472958453 0.297103160146163
Ae_searsii B 1cM 0.00220937698502296 0.119769984376494 0.9 0.97112616819652 1.43079571216951e-09 0.53241845986982 1.07575950432658e-09 0.00327085113263039 8.08121975674404e-10 0.00245392535202728 -986.779768099962 -952.424137058744 -583.607893858276 0.0852133624296991 0.117814845192801
Ae_sharonensis B 1cM 0.011325019385241 1.08990167341932 0.7 0.873079769950636 4.42707232388422e-09 0.0177592101935216 3.13439504937569e-09 0.0108801020901451 2.21755233158718e-09 0.0200287447502026 -3063.17370564927 -2937.68471081459 -2636.89400790273 0.294381823713542 0.315134154834682
Ae_speltoides B 1cM 0.0354438718763899 0.0621461964141787 0 0.0319210809930361 5.006736199275e-09 0.0838953372165229 3.93901025968749e-09 0.0185746524620921 3.09593061852562e-09 0.0128096508756913 -4051.95585626395 -3816.87318690616 -3758.11353741024 0.800029996614713 0.28163450687244
Ae_tauschii B 1cM 0.00572233741586851 0.0863434929459827 0.9 0.964247679460225 7.27676505683894e-10 0.0654946344850777 5.85011028341304e-10 0.00969346673027381 4.64450429763654e-10 0.00189779778957745 -2682.82693334383 -2491.64161477903 -2353.39809738205 0.580353926840141 0.15334475675521
Ae_umbellulata B 1cM 0.00445843680594864 0.0615563047551155 0.8 0.935029475665955 1.64371827382807e-09 0.202822725854214 1.27552406779144e-09 0.00695718170927526 9.89251227419272e-10 0.00339651110229926 -2458.14726596382 -2371.61049969583 -1808.55841133336 0.13321775096837 0.0498105051158629
Ae_uniaristata B 1cM 0.00348254525384775 0.0483451842762537 0.9 0.928440666072878 1.28435031680715e-09 0.0518707361803449 1.0424438222143e-09 0.0135939660159431 8.45963052190669e-10 0.00139207915665303 -2399.20818049982 -2283.61944809292 -1775.03100565682 0.185185772670991 0.0484721411654178
T_boeticum B 1cM 0.00561188279315973 0.0657023545892119 0.85 0.914067179819678 1.42973091094695e-09 0.0707281534014719 1.14847948340126e-09 0.0115626892120369 9.22173001081857e-10 0.00184310159686143 -1264.08310113629 -1236.7431664551 -1104.72784907307 0.171565946695897 0.158099327070671
T_urartu B 1cM 0.00319290590811799 0.0679085389669784 0.95 0.949837683620451 9.77427397045796e-10 0.0409207939435619 7.99859400579506e-10 0.0183580455361781 6.54553763244926e-10 0.00252091501008561 -2300.33834888213 -2152.32277775435 -1930.370492868 0.400076841059744 0.0618241359029725
