Species Windows piS_obs piS_est Fis_obs Fis_est u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_bicornis D 1cM 0.00339845831790414 0.213679505042358 0.9 0.967891942258431 1.93319524981269e-09 0.5943049850144 1.44755737856725e-09 0.00312286036615863 1.08319902561532e-09 0.00341389883714483 -2909.59991157361 -2707.45907049602 -2118.40773977868 0.255488929597216 0.136506044706687
Ae_caudata D 1cM 0.011202464877432 0.131232564234487 0.6 0.829670680954387 3.30999704611781e-09 0.0526708249675595 2.52156856786861e-09 0.0064377679760336 1.91499794207455e-09 0.0270980460386866 -3931.76117886617 -3713.51531957429 -3373.41974207678 0.390882433062552 0.122016866505159
Ae_comosa D 1cM 0.00735933085153211 0.511850743796576 0.8 0.93316925460747 3.79307855544825e-09 0.644293480983184 2.92624835364845e-09 0.00588350387776287 2.23086906768867e-09 0.00644761444171168 -3458.26280274774 -3266.24087530073 -2639.45081725345 0.234512844033539 0.213733419390276
Ae_longissima D 1cM 0.00959017048268331 1.65785108921989 0.7 0.884286258941575 5.09703800776598e-09 0.0124779402192175 3.55759082793602e-09 0.0144639910215401 2.47757945200046e-09 0.0278040865930099 -3377.84847211874 -3151.93494536262 -2847.22627706789 0.425752124323554 0.382518069928711
Ae_mutica D 1cM 0.0307531275050671 0.0885233686422413 0 0 1.1649632406492e-08 0.0710329914422964 9.04188483907407e-09 0.025467779075564 7.00950894174939e-09 0.0305240647788521 -3996.30365634767 -3834.77692627171 -3714.46332778754 0.573114326474018 0.30620266543044
Ae_searsii D 1cM 0.00167219924035739 0.202998022110799 0.9 0.959057750364184 2.64696005251832e-09 0.808284257570976 2.00325579443511e-09 0.004080519856708 1.51627194490973e-09 0.00551614697606491 -1127.47847778294 -1007.12844185167 -596.697020054384 0.226741221229347 0.105172264587425
Ae_sharonensis D 1cM 0.00982220837734057 2.06461285201433 0.7 0.868899763165048 6.20111406302572e-09 0.0194687289362251 4.48919721153292e-09 0.0111709664191264 3.17915421641419e-09 0.0157218919169095 -3652.11350682585 -3366.26204840439 -2908.30664092857 0.384308711746865 0.382592009967411
Ae_speltoides D 1cM 0.0330476958796121 0.0771835670943978 0 0 9.02031237330612e-09 0.0682081215071388 6.99311270441103e-09 0.0315258509685929 5.41337437486317e-09 0.0497123250761652 -4848.74044726926 -4596.88723271207 -4498.02286139928 0.718108314792519 0.26035692335057
Ae_tauschii D 1cM 0.0051259094893894 0.105081813892473 0.9 0.972360895985693 8.18869918851369e-10 0.104663529814843 6.49407087987326e-10 0.0100191862423466 5.14950731616513e-10 0.00135530358296781 -3247.681024926 -2992.46272773696 -2811.55669900904 0.585196197557731 0.150641371759554
Ae_umbellulata D 1cM 0.00381891329958459 0.0806724768629563 0.8 0.952003245157255 1.9231557855878e-09 0.381288778570583 1.46146917295189e-09 0.00471260751549925 1.1100796825642e-09 0.00370345060862364 -2897.79478718953 -2730.01084401799 -2090.59223951588 0.20785854015834 0.0733287267333953
Ae_uniaristata D 1cM 0.00327982584608272 0.103050907677218 0.9 0.964805171243666 1.41114111631287e-09 0.216290075268073 1.09201424687797e-09 0.00610307993178015 8.43892006333185e-10 0.00196366265481111 -2796.30646820374 -2648.05189884816 -2052.06514926939 0.199202282356296 0.0810431967010526
T_boeticum D 1cM 0.00494875168304817 0.106609739348056 0.85 0.93865835598744 2.04153372538637e-09 0.240993760697786 1.57511383019349e-09 0.00594651795134988 1.21422814508317e-09 0.00457287942371265 -1455.33418627436 -1371.74589352073 -1197.04635042789 0.323624581388812 0.192205828888462
T_urartu D 1cM 0.0029014673861733 0.0410757302910117 0.95 0.943000960544667 1.03316558673421e-09 0.0137538416529915 8.76743917552144e-10 0.00562950654534212 7.40856926064413e-10 0.00827159617790718 -2764.69190607599 -2542.41052815083 -2245.00453090998 0.427721335070248 0.0763695747443872
