numacc,species_code,ind_code,spike_length_mm,spikelet_nb,tot3_fertile,tot_nb_fertile_fls,spikelet_length_mm,flower_length_mm,eta_len1,eta_len2,eta_len3,eta_len4,eta_len5,eta_len6,eta_wid1,eta_wid2,eta_wid3,eta_wid4,eta_wid5,eta_wid6,ova1,ova2,ova3,sti1,sti2,sti3,n_AF_splets,tot_AF_fertile,mean_eta_len,mean_eta_wid,eta_len_norm,eta_wid_norm,sti_mean,ova_mean,sti_norm,maleinvest,compactness,AF_index
AE1079,Abi,Abi02,29,6,5,9,6.8240441033101,5.4249255952381,2.8720469562216,2.86820561776084,3.04806700565528,3.06040539281471,2.66570201629951,2.80859252558193,0.383977915546844,0.375123056833838,0.429369576116134,0.409355767759862,0.39724607268764,0.363980754984995,1.15800998619574,1.07845959620528,1.18614592781081,1.97415544558312,1.79129966339549,2.21531543803636,6,10,2.88716991905565,0.393175523988219,0.532204519374413,0.0724757449822614,1.99359018233832,1.14087183673728,0.367487101406194,2.53066981415942,0.794972235394355,1
CIAe471323,Abi,Abi04,51,10,6,23,8.79357782051282,5.65038232142857,2.6106600371871,2.58338985317879,2.64879651043495,2.65553044159038,2.53754459535277,2.47767476171419,0.387461722622621,0.390226433998867,0.413530922360234,0.402364827969689,0.372306097525229,0.407832952947959,0.755220644447511,0.834769320821234,0.724338386822411,1.54202229333027,1.58711888587645,1.3547822369054,12.9216879472981,19.2270753213676,2.58559936657636,0.3956204929041,0.45759724200798,0.0700165883295621,1.49464113870404,0.771442784030385,0.264520355204239,3.35164113282382,0.642557834451399,0.743984663605347
CIAe70,Abi,Abi05,68,15,5,24,6.39060108333333,6.06621287475748,3.03887631055697,2.34992691831585,2.67730078011594,3.20593824423495,2.88221138306566,3.26591486973031,0.391466897316528,0.502411105908572,0.296701293244031,0.407086301592608,0.42578379574638,0.429719595587469,0.704346716141555,0.8161948199816,0.683619726930202,1.61120953984377,1.67054445044958,1.38763181279411,16,31,2.90336141766995,0.408861498232598,0.478611858438288,0.067399794018759,1.55646193436249,0.734720421017786,0.25657885183014,3.95165471737945,0.949239796954021,1.1625
KU-15010,Abi,Abi06,61,14,3,17,7.44407012820513,6.46828805782802,2.62122006752572,2.21543666562335,2.88951861822448,2.66595045638625,2.8145458047186,2.54182211883514,0.715588651869808,0.459684369016201,0.72438290135866,0.54504008058788,0.551751154031845,0.380776825650734,1.0317028347292,1.09953153338975,0.945509634410921,2.05613011044914,2.16430481921475,1.83818734534672,15,30,2.62474895521892,0.562870663752521,0.405787270411127,0.0870200366341642,2.01954075833687,1.02558133417662,0.3122218337034,2.55927917928243,0.868918205555328,2
KU-15012,Abi,Abi08,75.7135678161348,14.7699273550708,2.81470746950673,14.9058599362925,10.8018284203536,9.05710856384834,3.1933625568242,3.34541568889849,3.75296616472436,3.12839314131911,3.29826741487599,3.39817393575335,0.552195998045648,0.487958071540322,0.555960667322852,0.789995637609819,0.624129888161686,0.444678731841847,1.2782009219701,1.26761000108361,1.18387067955162,2.28622746538925,2.39111486197652,2.24334445947093,14.7881981992858,14.5030560259448,3.35276315039925,0.575819832420362,0.370180298355027,0.063576562913109,2.30689559561223,1.24322720086844,0.254705525427868,2.69682255026049,0.838479210314272,1.04527906214439
KU-5782,Abi,Abi12,35,5,6,16,8.25416560283688,5.45711675531915,3.11782241232129,3.42747052309899,3.42453095098565,3.42377711186159,3.46621699672734,3.14059674941307,0.342139604768678,0.385957197257576,0.40555926650642,0.414298347517598,0.350977736142461,0.467119548501282,0.460328514751671,0.682487836478171,0.823049451405605,1.15905147904102,1.36991885813218,1.3680845638381,9,16,3.33340245740132,0.394341950115669,0.610835832704549,0.0722619595285912,1.2990183003371,0.655288600878482,0.238041141243849,5.086922697774,0.661134876363953,0.888888888888889
KU-5784,Abi,Abi13,63,9,7,21,9.32615091954023,7.51106260683761,4.08132905905344,4.39213548695538,4.32412513103858,4.07024378640212,4.15841959917754,4.04057415073372,0.291743704858182,0.39572936449975,0.457292850817832,0.386333119231077,0.393379183780893,0.420502129826135,0.888274812502098,1.07827314673326,1.29838936487311,1.75154910144449,1.96193667046374,2.35811490400915,11,31,4.17780453556013,0.390830058835645,0.556220172064191,0.0520339237326896,2.02386689197246,1.08831244136949,0.269451474166925,3.83879148739947,0.805376480783768,1.20779220779221
KU-6141,Abi,Abi14,33.6588348259724,8.42898825820448,2.02359322466122,5.53830942761237,10.7591442258037,9.13429411177922,2.85987664967138,2.94855374890093,3.01790733027387,2.86325096658475,2.78028781195669,2.81052462359015,0.427647559542057,0.50512578858525,0.444515644578366,0.487396674170827,0.488729111872122,0.453591866292101,1.85679467479345,1.27275029359248,1.20651241972215,2.22104719733096,2.04039292909327,1.9084261189504,7.87281417141754,11.0630775608528,2.88006685516296,0.467834440840121,0.315302618890818,0.0512173612011048,2.05662208179154,1.44535246270269,0.225153915193009,1.99263980896222,0.848979613998704,2.08326249189582
PI560731,Aca,Aca03,89,7,0,0,13.0180679761905,10.4438585119048,4.98085746104805,5.03374662969421,5.11525421108523,4.94199986663378,5.05615093631443,5.0299585308278,0.599876478085998,0.644846864794281,0.588619714130251,0.633659578759504,0.644337930136822,0.614003065826675,1.50715592377628,1.37454372750392,1.45398256662847,2.39968867316758,2.45787829135659,2.71545919435402,6.03396521740395,0,5.02632793926725,0.620890605288922,0.481271163673638,0.059450308004573,2.5243420529594,1.44522740596956,0.241705883901236,3.47788031039672,0.802258716962162,0
PI551124,Aca,Aca05,111.907310233018,16.1874908747048,3.32488299979273,17.6227747602855,11.3581382718421,9.23975471949887,4.52954733435701,4.88803909719934,4.76642702268277,4.62330604189433,4.41524855401266,4.10516727968857,0.660614386857967,0.581344781451221,0.576836360285652,0.712567910318627,0.634198705527139,0.786927853968777,1.12031134207316,1.13899118181824,1.12354783817223,2.34170523269602,2.42793047223942,2.45782709897652,15.9393159009897,10.8974816189609,4.55462255497245,0.65874833306823,0.492937604215913,0.0712950022015258,2.40915426797065,1.12761678735454,0.260737902802393,4.03915816618682,0.813492008844892,0.61688094368131
