numacc,species_code,ind_code,spike_length_mm,spikelet_nb,tot3_fertile,tot_nb_fertile_fls,spikelet_length_mm,flower_length_mm,eta_len1,eta_len2,eta_len3,eta_len4,eta_len5,eta_len6,eta_wid1,eta_wid2,eta_wid3,eta_wid4,eta_wid5,eta_wid6,ova1,ova2,ova3,ova4,sti1,sti2,sti3,sti4,n_AF_splets,tot_AF_fertile
AE1079,Abi,Abi02,29,6,5,9,6.8240441033101,5.4249255952381,2.8720469562216,2.86820561776084,3.04806700565528,3.06040539281471,2.66570201629951,2.80859252558193,0.383977915546844,0.375123056833838,0.429369576116134,0.409355767759862,0.39724607268764,0.363980754984995,1.15800998619574,1.07845959620528,1.18614592781081,NA,1.97415544558312,1.79129966339549,2.21531543803636,NA,6,10
CIAe471323,Abi,Abi04,51,10,6,23,8.79357782051282,5.65038232142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIAe70,Abi,Abi05,68,15,5,24,6.39060108333333,6.06621287475748,3.03887631055697,2.34992691831585,2.67730078011594,3.20593824423495,2.88221138306566,3.26591486973031,0.391466897316528,0.502411105908572,0.296701293244031,0.407086301592608,0.42578379574638,0.429719595587469,NA,NA,NA,NA,NA,NA,NA,NA,16,31
KU-15010,Abi,Abi06,61,14,3,17,7.44407012820513,6.46828805782802,2.62122006752572,2.21543666562335,2.88951861822448,2.66595045638625,2.8145458047186,2.54182211883514,0.715588651869808,0.459684369016201,0.72438290135866,0.54504008058788,0.551751154031845,0.380776825650734,NA,NA,NA,NA,NA,NA,NA,NA,15,30
KU-15012,Abi,Abi08,NA,NA,NA,NA,NA,NA,3.1933625568242,3.34541568889849,3.75296616472436,3.12839314131911,3.29826741487599,3.39817393575335,0.552195998045648,0.487958071540322,0.555960667322852,0.789995637609819,0.624129888161686,0.444678731841847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KU-5782,Abi,Abi12,35,5,6,16,8.25416560283688,5.45711675531915,3.11782241232129,3.42747052309899,3.42453095098565,3.42377711186159,3.46621699672734,3.14059674941307,0.342139604768678,0.385957197257576,0.40555926650642,0.414298347517598,0.350977736142461,0.467119548501282,0.460328514751671,0.682487836478171,0.823049451405605,NA,1.15905147904102,1.36991885813218,1.3680845638381,NA,9,16
KU-5784,Abi,Abi13,63,9,7,21,9.32615091954023,7.51106260683761,4.08132905905344,4.39213548695538,4.32412513103858,4.07024378640212,4.15841959917754,4.04057415073372,0.291743704858182,0.39572936449975,0.457292850817832,0.386333119231077,0.393379183780893,0.420502129826135,0.888274812502098,1.07827314673326,1.29838936487311,NA,1.75154910144449,1.96193667046374,2.35811490400915,NA,11,31
KU-6141,Abi,Abi14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85679467479345,1.27275029359248,1.20651241972215,NA,2.22104719733096,2.04039292909327,1.9084261189504,NA,NA,NA
PI560731,Aca,Aca03,89,7,0,0,13.0180679761905,10.4438585119048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI551124,Aca,Aca05,NA,NA,NA,NA,NA,NA,4.52954733435701,4.88803909719934,4.76642702268277,4.62330604189433,4.41524855401266,4.10516727968857,0.660614386857967,0.581344781451221,0.576836360285652,0.712567910318627,0.634198705527139,0.786927853968777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI551125,Aca,Aca06,93,5,0,0,16.9086935897436,11.3915239423077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2
AE1218,Aca,Aca20,56,5,6,10,13.1976681981982,9.73000719740022,5.92741694820728,5.7001225270019,5.77091916491876,5.80507309254879,5.82581907919536,6.02707236934208,0.531542792498546,0.534640984394259,0.557576032451699,0.631399046774598,0.571428556532681,0.611197809354605,0.615108067084423,0.714623051426324,1.00003766873855,NA,1.28612084754735,1.4197444197423,2.13650059894022,NA,6,5
