poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 41811 45310 NA NA 263 0.00590406 0 0.2572 275461.586314152
0.002 1 269153.5 274154.5 NA NA 1976 0.0183544186487854 0.0443717284345692 0.21155 1041139.32302257
0.008 1 968286 979886 NA NA 1256 0.027436 0.105377241580405 0.1346 2446002.9717682
0.01 1 1273993 1276221 0.92 1.96 205 0 NA 0.1981 0
0.013 1 1561302 1567729 0.94 1.95 460 0.00336134 0 0.1106 364702.350813743
0.016 1 1910919 1914393 0.98 1.94 194 0 NA 0.1943 0
0.022 1 2477071 2481228 1.03 1.93 267 0.0057623 0.450839074675043 0.1776 389344.594594595
0.036 1 3810964 3816638 1.16 1.91 56 0 NA 0.5202 0
0.037 1 3845261 3849085 1.16 1.91 151 0.0253968 0.256881181881182 0.1079 2824481.92771084
0.042 1 4312493 4363970 1.21 1.9 853 0.0342493 0.0431938754952656 0.157 2617780.89171975
0.047 1 4652468 4655385 1.23 1.9 203 0 NA 0.3202 0
0.048 1 4757724 4771550 1.24 1.89 619 0 Inf 0.1673 0
0.051 1 5014845.5 5018981 1.25 1.89 422 0.0351098876777251 0.119567277890946 0.2597 1622328.271593
0.057 1 5502121 5508568 1.29 1.87 217 0.0575712 0 0.1846 3742439.86998917
0.068 1 6247444 6254946 1.37 1.85 25 0 Inf 0.1126 0
0.074 1 6686731 6690773 1.44 1.83 405 0.0544814 0.0105135330589889 0.1761 3712531.51618399
0.081 1 7217840 7229089 1.54 1.81 1226 0.0339987 0.0278608005600214 0.1047 3896699.14040115
0.091 1 7841371 7856406 1.63 1.79 182 0.0467257 0.0271478008890183 0.1077 5206206.1281337
0.095 1 8048778 8051397 1.66 1.78 145 0.0586667 0 0.1958 3595507.66087845
0.109 1 8912375 8919563 1.8 1.74 150 0.00738916 0 0.1914 463270.219435737
0.11 1 8929487 8937936 1.8 1.74 767 0.0044039 0.0769227275823702 0.1225 431402.448979592
0.112 1 9050450 9083053 1.84 1.74 92 0.0432432 0.05754292004292 0.4367 1188272.04030227
0.114 1 9160329 9166895 1.87 1.74 236 0.072428 0.0809191196774728 0.1374 6325589.51965066
0.115 1 9238809 9242299 1.9 1.74 209 0 NA 0.1272 0
0.144 1 10739577 10746629 2.16 1.7 349 0 NA 0.2408 0
0.163 1 11498084 11501301 2.2 1.67 185 0.00836237 0.149207700687724 0.2626 382134.196496573
0.188 1 12495183 12500461 2.56 1.62 16 0.0363636 0 0.2835 1539200
0.2 1 12990954 13005515 2.41 1.59 583 0.00720072 0 0.0822 1051200
0.211 1 13499647 13518570 2.02 1.56 549 0.00148837 0.312824096158885 0.1177 151745.454545455
0.212 1 13574504 13581973 1.94 1.55 553 0.0013901 0.300835191712826 0.2097 79547.9256080114
0.213 1 13584346 13587856 1.93 1.55 50 0 NA 0.3056 0
0.216 1 13725749 13735135 1.92 1.56 205 0 Inf 0.117 0
0.228 1 14369286 14375231 1.88 1.61 823 0.000569098 0.311011460240591 0.1826 37399.6495071194
0.251 1 15598792 15607504 1.72 1.63 774 0.00350877 0.180446994245847 0.1196 352050.501672241
0.252 1 15687487 15695576 1.71 1.63 277 0.00172117 0 0.1767 116887.606112054
0.286 1 17902454 17909429.5 1.44 1.42 991 0.0143245768415742 0.092242296325355 0.1043 1648081.70756366
0.292 1 18353003 18360045 1.34 1.34 657 0.0107403 0.068676573280076 0.1364 944894.428152493
0.293 1 18408378 18414274 1.33 1.33 261 0 NA 0.1551 0
0.298 1 18802466 18807666 1.27 1.3 206 0 NA 0.0916 0
0.332 1 22166621 22176854 0.87 1.06 739 0.000685166 0.843398534077873 0.075 109626.56
0.342 1 23812071 23816472 0.74 0.95 869 0.000982801 0 0.1537 76731.372804164
0.353 1 25045249 25052856 0.67 0.87 30 0 NA 0.0836 0
0.356 1 25330382.5 25336517.5 0.66 0.85 1984 0.00249025568548387 0.029315661183321 0.1253 238492.164611384
0.357 1 25397874 25405736 0.66 0.85 673 0.00350621 0 0.0919 457829.379760609
