poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1374806.6 1380904.2 NA 3287 0.0357792800304229 0.0385875735640694
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 1647 0.0403173920461445 0.0941325987086796
0.07 1B 4475908 4479190 7.67437826550965e-07 206 0.0712042 0
0.09 1B 6473815 6477799 7.49121041341185e-07 279 0.0540236 0.092616375065712
0.12 1B 8659229.5 8664210 7.26680497395745e-07 863 0.0348762117033604 0.106699800197492
0.13 1B 9779022 9784277 7.14292421815624e-07 541 0.0401973955637708 0.066045521382902
0.14 1B 10153833.5 10156831 7.10001034062584e-07 635 0.0202967303937008 0.089273983371031
0.15 1B 11830875.2 11835403.4 6.89842991464928e-07 945 0.0380020907936508 0.0566676918956935
0.18 1B 14718121.3333333 14725903.6666667 6.56649930742069e-07 2125 0.0307484146352941 0.030190645306781
0.19 1B 15591930.5 15596538 6.47885137862231e-07 720 0 Inf
0.2 1B 17659515.6666667 17665433 6.27986356913031e-07 1266 0.0279081328593997 0.0778279343407238
0.21 1B 18419377 18423130 6.20777349669413e-07 295 0.0311015 0
0.22 1B 20448929.6666667 20453967.3333333 6.01741223286984e-07 1154 0.00759615571923744 0.251555701742183
0.23 1B 22021104 22025774 5.87244660248546e-07 121 0.030094 0.273012892935469
0.25 1B 26159850.5 26162632 5.40892134634357e-07 385 0.00912750909090909 0
0.26 1B 26782156 26786443 5.35648187522501e-07 365 0.0204739 0
0.27 1B 29240120.6666667 29243198.3333333 5.17071812003764e-07 589 0.0449921064516129 0.122101352039843
0.28 1B 33283959 33292440 4.68016834422286e-07 1469 0.00519076893124574 0.238454016912224
0.29 1B 37940729.8888889 37945547.4444444 4.22373737477398e-07 2595 0.0165543765240848 0.139975292792943
0.31 1B 44561680.8333333 44568467.3333333 3.52063230700423e-07 2472 0.0199026094660194 0.0287581289703628
0.32 1B 47160110 47164879 3.23493154739926e-07 396 0 Inf
0.33 1B 52742653 52747082.6666667 2.69916180972999e-07 2626 0.00930672897943641 0.157271919678226
0.34 1B 56403912 56408093.5 2.39633096521962e-07 1037 0.0015390906075217 0
0.35 1B 57137694.2 57142044 2.34136649646839e-07 1211 0.0110728982741536 0.12057931767478
0.36 1B 58648514.5 58650357 2.23331121031096e-07 431 0.017495935962877 0.197135330758417
0.37 1B 59650670 59654732 2.16556064724264e-07 78 0.015575341025641 0.205585291543191
0.38 1B 62577505.875 62581253.375 1.98687843654841e-07 861 0.0170180239256678 0.0857232523833821
0.39 1B 68489905.1818182 68497152.6363636 1.70966183230141e-07 5733 0.00222230212384441 0.222204270765814
0.4 1B 70708665 70710901.5 1.62807100376844e-07 251 0 NA
0.41 1B 95699822.6538462 95704937.3846154 8.08949251049225e-08 8420 0.0120369546175772 0.108642594552665
0.42 1B 116434926.263158 116440903 7.66221212431997e-09 14965 0.00721901205720013 0.106901008889695
0.43 1B 207332082.564767 207340709.699482 5.23948948148091e-09 77488 0.00302454789043465 0.18722845968359
0.44 1B 322266541.2 322272966.366667 2.65719609235762e-08 35847 0.00386433231578654 0.238418471584485
0.45 1B 361491389.246154 361497856.461538 3.16691402254228e-08 23340 0.00592613988179092 0.14296509625348
0.46 1B 387499110.693878 387504133.122449 3.51487731541502e-08 19077 0.00857465518629764 0.102044784114661
0.47 1B 411569183.434783 411575205.956522 5.0191887635528e-08 17009 0.00408137620118761 0.101703517012105
0.48 1B 428729835.411765 428736432.058824 6.62752651917042e-08 13549 0.00587066014362684 0.135864588826753
0.49 1B 442950328.763158 442956258.710526 7.54633517486948e-08 12688 0.00797531191677175 0.10152270379879
0.5 1B 455250578.351351 455257248.540541 8.06922254305867e-08 14337 0.00568497420032085 0.128928825122703
0.51 1B 467031640.125 467037748.5625 8.51876528915271e-08 6071 0.0044366229379015 0.155135581283156
