poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1452847.64285714 1457699.14285714 6.17662302829637e-07 6805 0.00192789573078619 0.144158635495634
0.01 1D 3957939.5 3962043.5 7.90417519030599e-07 384 0.0333638473958333 0.127551976755279
0.02 1D 5320967.33333333 5324374.22222222 8.97605504504382e-07 1110 0.010091423018018 0.117673251566129
0.04 1D 6355894.75 6364387.5 9.83496038966017e-07 1727 0.0275705547249566 0.0580750947050509
0.05 1D 6776478.5 6779306.5 1.01910743566838e-06 177 0.0180207519774011 0
0.06 1D 7487543 7492403.5 9.76008496030621e-07 705 0.0318187655319149 0.0951978130823081
0.07 1D 9466044.30769231 9470828.30769231 9.46008886751358e-07 5351 0.0254748678807699 0.0590414911197652
0.08 1D 10707318.3333333 10712043.6666667 1.29931071411308e-06 1198 0.0210478644407346 0.108199286897624
0.1 1D 11580304.5 11587739.5 1.17433541115337e-06 1355 0.0195639461254613 0.0345029630715768
0.11 1D 12201475.6666667 12206032 1.09296141099887e-06 960 0 Inf
0.12 1D 13790496.25 13793756.625 5.19944096623597e-07 1265 0.00262840814229249 0.113858533169493
0.13 1D 17066692 17071329.5 8.46413239667381e-07 174 0.0131986017241379 0.502895865797696
0.15 1D 18155325.6666667 18158611.3333333 1.04779004485356e-06 850 0 NA
0.16 1D 19651223.9090909 19656411.6363636 1.33392337347973e-06 3860 0.00304042604663212 0.374341147566913
0.17 1D 20699500 20703979 1.23264224107034e-06 747 0 NA
0.18 1D 21828436 21832490 1.07349020733297e-06 954 0 NA
0.19 1D 22254555 22257445 1.04925637536396e-06 376 0 Inf
0.2 1D 22883248 22888807 1.02679634502334e-06 312 0 NA
0.21 1D 24399054 24402498.6666667 9.84558259357803e-07 1021 0.00555696549461312 0.200687794965261
0.22 1D 24779031 24786455 9.74006980762083e-07 273 0.0115942 0
0.23 1D 25919523 25923934.6666667 9.42825891352919e-07 798 0 NA
0.24 1D 27903986.8 27910877.6 8.89353982222632e-07 2116 0.00324463853969754 0.0679597130654021
0.27 1D 31421662 31431937 7.97441065649626e-07 1024 0.000777202 0.287630500178847
0.28 1D 32640925 32643544 7.6654813905423e-07 389 0 Inf
0.29 1D 33636752.6666667 33640076.6666667 7.44604173971962e-07 571 0 NA
0.3 1D 34626868 34630617 7.23727222804044e-07 1078 0.00476297934693878 0.131104932797968
0.32 1D 36762767.8333333 36767630 6.79046365559288e-07 3960 0.00172162286035354 0.120190518907842
0.33 1D 37530336 37533695 6.63122898946303e-07 189 0 NA
0.34 1D 38643782.1666667 38647272.3333333 6.40117328569447e-07 1859 0.00171837824636902 0.286820657014146
0.35 1D 39722202 39726433.75 6.17952492369458e-07 778 0.0133352406169666 0.137217846691313
0.36 1D 41262757.6666667 41265437 5.8654539543882e-07 1797 0.00165140337228714 0.156847665350217
0.37 1D 43173708.6666667 43178988 5.47845694936579e-07 522 0.00150707344827586 0
0.38 1D 45237864 45241835.25 5.06562308027504e-07 1222 0 Inf
0.39 1D 47679302.6666667 47686181.3333333 4.58226216637579e-07 1153 0.00331199308759757 0.119981619900802
0.4 1D 49790293.5454545 49795200.0909091 4.16998819222649e-07 4395 0 NA
0.41 1D 52874320.4 52878659.6 3.57593536999922e-07 871 0 Inf
0.42 1D 56029439.5714286 56033883.7142857 2.97863702106993e-07 1896 0 NA
0.43 1D 59824491.5 59830108.2142857 2.2740577221967e-07 4891 0.000825152013903087 0.148753631264637
0.44 1D 72314453.4736842 72319879.3333333 5.03911742352591e-08 19375 0.000281544755612903 0.541857920645884
0.45 1D 84498956 84507724 0 76 0 NA
0.46 1D 85540829 85547015 0 2325 0.00145063083010753 0
0.47 1D 87269212.4 87278928.8 0 3208 0.000255425561720698 0.284440462949368
0.48 1D 91245541.9 91249499.3 0 4888 0.00046024772606383 0.304619452196429
0.49 1D 116393181.743363 116399530.327434 0 37066 0.000528151886904441 0.136608046853846
0.5 1D 150930208 150953005 0 795 0 NA
0.51 1D 153846668.666667 153859199.666667 0 2300 0 Inf
0.52 1D 207708046.98324 207715103.653631 3.54593519081121e-08 64910 0.000213538920936682 0.242785272743628
0.53 1D 251325874.244444 251332111.844444 7.77965636979938e-08 15662 0.000531635469799515 0.238861119257576
0.54 1D 262711718.756757 262716542.189189 8.79514037980539e-08 11885 0.000128251673538073 1.29772362022153
0.55 1D 281288676.311111 281293458 1.03581509170749e-07 15630 0.000397571316634677 0.392279075918659
0.56 1D 293504760.029412 293509525.676471 1.1306169503804e-07 12925 0.000174028971760155 0.201552058434469
0.57 1D 301784582.842105 301790449.973684 1.19351691114271e-07 14179 0.000335803248607095 0.270649018134329
0.58 1D 310046995.535714 310051709.428571 1.27000678936431e-07 11245 0.00035455737421076 0.229565965939303
0.59 1D 317214718.2 317221121.56 1.35222410933003e-07 10888 0.000275683451047024 0.382207125830185
0.6 1D 324600286.380952 324605552.47619 1.40094494614365e-07 7514 0.000422319044982699 0.235579507921183
0.61 1D 329483410.631579 329488568.684211 1.42196280081379e-07 6724 0.00023877109518144 0.287497567326267
0.62 1D 335180002.777778 335185999.222222 1.45635953460065e-07 10892 0.0001403488321704 0.242288085792844
0.63 1D 343341600 343347612 1.52343731025105e-07 12063 0.00110045526403051 0.222958260471708
0.64 1D 349760738.083333 349764941.125 1.59112825127795e-07 7199 0.00119125556466176 0.294794591417243
0.65 1D 355896762.1875 355900831.0625 1.6680099343408e-07 4406 0.000757642959600545 0.141007624202121
0.66 1D 361597627.166667 361602728.875 1.75088661047191e-07 8250 0.000868053300606061 0.160681077462618
0.67 1D 365782601.217391 365786103.086957 1.81789358075926e-07 5217 0.00205882168870999 0.0860806241280533
0.68 1D 371237241.111111 371240945.555556 1.91734891887771e-07 3686 0.00115763300054259 0.162362929067349
0.69 1D 376173974.6 376178031.35 2.18247633989946e-07 4530 0.000875519885209713 0.459786772467461
0.7 1D 381169473.583333 381173189.875 2.5012034349724e-07 5995 0 NA
0.71 1D 386730783.210526 386736139.105263 2.88250371578612e-07 8070 0 Inf
0.72 1D 391882971.111111 391888071 3.30152749973089e-07 3500 0.000444671611428572 0.145231917018391
0.73 1D 396945564 396949493.6 3.85182993838377e-07 1760 0.000894927931818182 0.144953326485482
0.74 1D 399040821.333333 399043991.5 4.00850292611653e-07 1536 0.0019543309765625 0.23251904245871
0.75 1D 400137562.6 400142831.6 4.06867308459317e-07 1845 0 Inf
0.76 1D 402132628.8 402136558.4 4.13833409547889e-07 1344 0.00056508140625 0
0.77 1D 403473896.25 403477465.833333 4.15976835032939e-07 2936 0 Inf
0.78 1D 405979573.857143 405982883.428571 4.13946544931159e-07 1371 0.0011863752297593 0.141883297820715
0.79 1D 408300575.4 408306379.4 4.13837568163796e-07 3695 0.00109284310690122 0.284175207477595
0.8 1D 410344987.333333 410350997.666667 4.20257204686255e-07 3821 0.000858753619471343 0.346081531562889
0.81 1D 412028007.75 412034492 4.30493998219821e-07 1763 0.00188728734543392 0.135907790585664
0.82 1D 414272158.2 414276004.8 4.32355466166522e-07 1335 0 NA
0.83 1D 415772070.857143 415777633.857143 4.29346470827207e-07 2814 0.000833137285003554 0.097233045853619
0.84 1D 418990600.75 418996001.75 4.90349205929584e-07 3727 0.000845992015293802 0.432949193551831
0.85 1D 421842926.1875 421850469 5.06732114858204e-07 7249 0.00311967250613878 0.324978287475081
0.86 1D 426489267.578947 426492928.631579 5.51282797095702e-07 3603 0.00112369779350541 0.430815463047534
0.87 1D 430414399.333333 430419137 6.17909339671244e-07 1021 0.000793803095004897 0.280985122563497
0.88 1D 430564939 430573646 6.20568788217035e-07 974 0.002596 0.0891040061633282
0.89 1D 430976701 430983376 6.27658063680163e-07 519 0.00299532 0.0926685629582148
