poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1365840.83333333 1370554.5 NA 2155 0.00962165984222738 0.00821325320517557
0.03 1B 2052844 2065416 NA 136 0 NA
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 1972 0.0081355339148073 0.0802076852164095
0.07 1B 4475908 4479190 7.67437826550965e-07 215 0.00571429 0
0.08 1B 5333440.5 5335364 7.59828017785272e-07 210 0.00512140380952381 0.213256726113413
0.09 1B 6476483.5 6480206 7.49096467401861e-07 428 0.0115874187383178 0.164495620917177
0.12 1B 8456116.5 8466490.5 7.28868689418345e-07 1576 0.0140361578743655 0.100390100579794
0.13 1B 9779022 9784277 7.14292421815624e-07 601 0.0139273196339434 0.00507252967213639
0.14 1B 10126577.5 10129197 7.10318794668859e-07 742 0.022206574393531 0.0688905131188475
0.15 1B 11804436.6666667 11808489.6666667 6.90174550159893e-07 721 0.00606214565880721 0.0843614125063797
0.18 1B 14798200.75 14805040.75 6.5580631736794e-07 2130 0.0161743350046948 0.0751553061216246
0.19 1B 15863439.5 15867598.5 6.45258000187567e-07 707 0.0152442488401697 0.0688906838261678
0.2 1B 17713521 17717715.1666667 6.27479465905654e-07 1090 0.0163831652293578 0.0991779086319986
0.21 1B 18419377 18423130 6.20777349669413e-07 213 0.000681818 0
0.22 1B 20448929.6666667 20453967.3333333 6.01741223286984e-07 672 0.00437168952380952 0.219210566188424
0.25 1B 25533083 25534880 5.46961949079843e-07 214 0.00296866663551402 0.54650353900346
0.26 1B 26782156 26786443 5.35648187522501e-07 79 0 NA
0.27 1B 29187684 29191694.2857143 5.1776676728117e-07 1429 0.0163778078178213 0.0669643008137182
0.28 1B 32558126 32565153 4.76946553655133e-07 1971 0.00941509891933029 0.119647260981175
0.29 1B 38230099.625 38234190.625 4.19420977969007e-07 1952 0.00315043758196721 0.206148951309483
0.3 1B 42347605 42351160 3.7779501087664e-07 208 0 Inf
0.31 1B 44353472.6 44359547.2 3.54409691786902e-07 2522 0.00677855769230769 0.0905330603963698
0.32 1B 47160110 47164879 3.23493154739926e-07 331 0.000454133 1.25972347307947
0.33 1B 52445421.375 52449731 2.72580450156876e-07 2821 0.00538219944345977 0.256961819346591
0.34 1B 56316840 56322275 2.40291759235229e-07 619 0.00253827 0.049360391132543
0.35 1B 57048506 57053943.5 2.34789344069209e-07 1099 0.00990110062784349 0.0812698795752212
0.36 1B 58380048.8 58381487 2.25212034957996e-07 582 0.00107789072164948 0.656305205980115
0.37 1B 60037100.5 60041294.5 2.14103780987312e-07 666 0.00277432430930931 0.423686007596937
0.38 1B 62529931.2 62534277.7 1.98952464621458e-07 1775 0.00254127889577465 0.0795767212287328
0.39 1B 68541801.4761905 68549853.3809524 1.70642517642525e-07 4481 0.00277292769995537 0.175415492161132
0.4 1B 70708665 70710901.5 1.62807100376844e-07 164 0.00115895280487805 0
0.41 1B 95126930.7575758 95131881.1212121 8.33188764026799e-08 8131 0.00238228337227893 0.342403282561895
