poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1646298.44444444 1651468 6.24318478734559e-07 1296 0.00754033216820988 0.0451519686700772
0.01 1D 3961361 3965346 7.90674019502811e-07 28 0 Inf
0.02 1D 5425513 5430556 9.06139680338369e-07 54 0 NA
0.03 1D 5511254 5517977 9.13196172291157e-07 42 0 Inf
0.04 1D 6331893 6345564 9.81664134084276e-07 319 0.0205554 0.0376055440419549
0.05 1D 6766844 6771905 1.01837485613843e-06 92 0.00786517 0
0.06 1D 7472890 7478757 9.75567648046246e-07 206 0.0045169613592233 0
0.07 1D 9449059.46153846 9453907.15384615 9.70468735305415e-07 1407 0.0175788210163468 0.048159977344515
0.08 1D 10666322 10671961 1.28064493677959e-06 11 0 NA
0.1 1D 11616634 11624592 1.14750218027233e-06 176 0.0227704 0
0.11 1D 12327162 12330337 1.06985596996287e-06 21 0 NA
0.12 1D 13995238.3333333 14000075.6666667 2.31772569895546e-07 105 0.00441618571428571 0
0.15 1D 18081233 18084186.5 1.03490939159568e-06 138 0.0221682253623188 0
0.16 1D 19707424 19715052.5 1.34749897320425e-06 668 0.00731930367664671 0.141102851498797
0.2 1D 22943873 22947779 1.02511639374481e-06 98 0.0156648821428571 0
0.21 1D 24533367 24539137 9.80807450322848e-07 167 0.00498339 0
0.22 1D 24779031 24786455 9.74006980762083e-07 9 NA NA
0.23 1D 25732394 25737271 9.47907618748164e-07 99 0.013858295959596 0
0.24 1D 27752463.6666667 27760680.3333333 8.93372562823986e-07 707 0.00287045096181047 0.346153461843368
0.27 1D 31421662 31431937 7.97441065649626e-07 37 0 NA
0.28 1D 32543984 32546795 7.68992451900373e-07 47 0 NA
0.3 1D 34626868 34630617 7.23727222804044e-07 394 0.000814931918781726 1.48487568218149
0.32 1D 36792337.8 36797632.2 6.78427112521435e-07 361 0.00221060941828255 0
0.34 1D 38549079 38552961 6.42062547973078e-07 337 0.00532304694362018 0.14314841945736
0.36 1D 41749543 41752035 5.76643188730866e-07 169 0.00535328402366864 0.133344018215883
0.38 1D 45833588.5 45838566.5 4.9469572052398e-07 135 0.00582714592592593 0.328467821169553
0.4 1D 49533028.2857143 49541301.4285714 4.21977639516243e-07 1050 0.00394866657142857 0.122146853721494
0.41 1D 52797980 52804390.5 3.5903551710788e-07 59 0 NA
0.42 1D 55710029.5 55713859.1666667 3.03853494305897e-07 709 0.00347157782792666 0
0.43 1D 60222621.7777778 60227351.3333333 2.20108489396425e-07 858 0.00399287332167832 0.0496980936585994
