Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
T_monococcum_TC8_ID259_Contig10	TraesCS1B02G322100	410	1.0435120128746	0	0.980487804878049	95.11
T_monococcum_TC8_ID259_Contig100_simExt	TraesCS3B02G102100	2664	1.67317526731753	0	0.929804804804805	96.9425466289867
T_monococcum_TC8_ID259_Contig1003_simExt	TraesCS2B02G263000	1991	1.79989961519157	1.06608666555128e-24	1	99.146517662816
T_monococcum_TC8_ID259_Contig1005_simExt	TraesCS7B02G149900	2794	1.72621584964154	0	1	97.6898901216893
T_monococcum_TC8_ID259_Contig1008_simExt	TraesCS2B02G530500	498	1.75943396226415	3.60400943396226e-24	0.85140562248996	98.348891509434
T_monococcum_TC8_ID259_Contig1015	TraesCS2B02G272300	269	0.703669593594363	9.15e-115	0.907063197026022	97.131
T_monococcum_TC8_ID259_Contig1016	TraesCS2B02G052400	253	0.514548882754063	6.95e-81	0.869565217391304	91.403
T_monococcum_TC8_ID259_Contig1022_simExt	TraesCS4B02G325100	614	1.71169686985173	5.25799011532125e-39	0.985342019543974	97.5324297520661
T_monococcum_TC8_ID259_Contig1023_simExt	TraesCS1B02G069300	1023	1.60744763382467	1.61727437289889e-21	0.982404692082111	96.5068850414594
T_monococcum_TC8_ID259_Contig1024	TraesCS1B02G241200	300	0.7757517890144	1.31e-128	1	94.333
T_monococcum_TC8_ID259_Contig1026_simExt	TraesCS5B02G022800	725	1.67386427369602	2.7578799775659e-103	1	96.8590493793103
T_monococcum_TC8_ID259_Contig1028_simExt	TraesCS2B02G229900	1154	1.61288711288711	0	0.892547660311958	96.1504786407767
T_monococcum_TC8_ID259_Contig1029_simExt	TraesCS3B02G221700	703	1.72993264618785	0	1	97.582
T_monococcum_TC8_ID259_Contig103_simExt	TraesCS3B02G296700	581	1.55583592811973	0	0.982788296041308	98.774
T_monococcum_TC8_ID259_Contig1040_lgORF	TraesCS2B02G510600	907	1.61459100957996	3.27082387619749e-17	0.970231532524807	95.7218914772727
T_monococcum_TC8_ID259_Contig1043_simExt	TraesCS3B02G192400	420	1.80952380952381	0	1	99.286
T_monococcum_TC8_ID259_Contig1044_simExt	TraesCS1B02G279100	1185	1.52923211169284	2.75078534031414e-43	0.962869198312236	94.607152936021
T_monococcum_TC8_ID259_Contig1047_simExt	TraesCS4B02G242600	2444	1.68375815056313	0	1	97.1591884206219
T_monococcum_TC8_ID259_Contig105_simExt	TraesCS1B02G017800	3342	1.56308196050343	0	1	94.9324006582885
T_monococcum_TC8_ID259_Contig1055_simExt	TraesCS3B02G018600	671	1.65834633385335	5.60764430577223e-28	0.949329359165425	96.7254489795918
