Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_speltoides_Tr290_SPE10_100038_simExt	TraesCS6A02G089200	527	1.17429134123603	0	1	93.371
Ae_speltoides_Tr290_SPE10_100052_simExt	TraesCS5A02G464900	700	1.25889951699411	0	1	90.883
Ae_speltoides_Tr290_SPE10_1001_simExt	TraesCS3A02G516700	1218	2.00355968938628	0	1	96.141
Ae_speltoides_Tr290_SPE10_100113_simExt	TraesCS1A02G129300	816	1.7313892839754	0	0.964460784313726	96.95
Ae_speltoides_Tr290_SPE10_100114_simExt	TraesCS7A02G353300	441	0.982621380173142	3.79e-180	0.993197278911565	93.151
Ae_speltoides_Tr290_SPE10_10013_simExt	TraesCS3A02G010400	299	0.848298873358288	5.66e-147	1	97.993
Ae_speltoides_Tr290_SPE10_100131_simExt	TraesCS3A02G318800	498	1.64859437751004	0	1	96.386
Ae_speltoides_Tr290_SPE10_10014_simExt	TraesCS5A02G184900	479	1.30878344366058	0	1	98.747
Ae_speltoides_Tr290_SPE10_100173_simExt	TraesCS7A02G448900	1011	1.82839502767252	0	1	95.01
Ae_speltoides_Tr290_SPE10_100208_simExt	TraesCS5A02G408600	785	1.69291870753174	0	0.997452229299363	96.169
Ae_speltoides_Tr290_SPE10_100211_simExt	TraesCS2A02G230100	1727	2.04542596729876	0	1	96.717
Ae_speltoides_Tr290_SPE10_10023_simExt	TraesCS7A02G502600	1022	1.95897365624935	0	0.998043052837573	96.872
Ae_speltoides_Tr290_SPE10_100264_simExt	TraesCS5A02G251700	258	0.749840740538411	1.38e-127	1	98.45
Ae_speltoides_Tr290_SPE10_10027_simExt	TraesCS3A02G344300	2848	1.68141216503615	4.58290089323692e-98	0.825491573033708	97.0224572522331
Ae_speltoides_Tr290_SPE10_100274_simExt	TraesCS3A02G019900	390	0.968250002536019	4.33e-174	1	94.872
Ae_speltoides_Tr290_SPE10_100311	TraesCS5A02G193200	284	0.799390943155448	1.51e-137	0.992957746478873	97.872
Ae_speltoides_Tr290_SPE10_100312_simExt	TraesCS3A02G272400	378	1.0041447276121	3.22e-180	0.997354497354497	96.817
Ae_speltoides_Tr290_SPE10_100315_simExt	TraesCS3A02G302900	1480	2.05740851934593	0	0.994594594594595	96.54
Ae_speltoides_Tr290_SPE10_100368_simExt	TraesCS3A02G092100	956	1.62216330648172	0	0.99581589958159	92.55
Ae_speltoides_Tr290_SPE10_100392_simExt	TraesCS1A02G120400	830	1.71429728663317	0	1	95.694
Ae_speltoides_Tr290_SPE10_100430_simExt	TraesCS2A02G376300	950	1.6272630457934	0	0.988421052631579	96.273
Ae_speltoides_Tr290_SPE10_100438	TraesCS3A02G295400	268	1.49814126394052	5.28e-112	1	94.052
Ae_speltoides_Tr290_SPE10_100447	TraesCS6A02G198400	351	0.98045220310839	3.87e-174	1	98.006
Ae_speltoides_Tr290_SPE10_100458_simExt	TraesCS7A02G068600	540	1.53429602888087	0	1	94.8095
Ae_speltoides_Tr290_SPE10_100463_simExt	TraesCS5A02G418100	314	0.587425415809704	1.38e-98	0.837579617834395	91.255
Ae_speltoides_Tr290_SPE10_100480_simExt	TraesCS4A02G065500	1876	1.79069816138809	0	0.974946695095949	93.668
Ae_speltoides_Tr290_SPE10_1005_simExt	TraesCS7A02G200400	1411	1.68394199785177	0	1	97.0788693597921
Ae_speltoides_Tr290_SPE10_100508_simExt	TraesCS7A02G171700	1733	1.88255664952519	0	1	94.353
Ae_speltoides_Tr290_SPE10_100529_simExt	TraesCS2A02G114100	1873	1.68133535660091	6.73575113808801e-131	0.936465563267485	96.6193007411631
Ae_speltoides_Tr290_SPE10_100535_simExt	TraesCS4A02G372400	2001	1.53824362606232	5.84324834749764e-24	0.909045477261369	95.0946869158878
Ae_speltoides_Tr290_SPE10_100544_simExt	TraesCS3A02G103000	1909	1.9138474951325	0	1	95.3
Ae_speltoides_Tr290_SPE10_100556_simExt	TraesCS3A02G107600	1999	2.01015013189166	0	0.977488744372186	97.343
Ae_speltoides_Tr290_SPE10_100564_simExt	TraesCS5A02G212500	859	1.73811509591326	6.57731442869058e-110	0.809080325960419	97.4088896882494
Ae_speltoides_Tr290_SPE10_100577_simExt	TraesCS5A02G058700	681	1.64394259805238	0	1	97.801
Ae_speltoides_Tr290_SPE10_100603_simExt	TraesCS5A02G455600	718	1.52609330390629	0	0.906685236768802	96.928
Ae_speltoides_Tr290_SPE10_10061_simExt	TraesCS4A02G077400	619	1.54758418713589	0	1	97.9
Ae_speltoides_Tr290_SPE10_100621	TraesCS4A02G432300	296	0.767841286747097	5.72e-132	0.97972972972973	95.876
Ae_speltoides_Tr290_SPE10_10065_simExt	TraesCS2A02G514700	646	1.13117916608932	0	0.856037151702786	92.252
Ae_speltoides_Tr290_SPE10_100715_simExt	TraesCS4A02G066700	1204	1.87382496164066	0	0.978405315614618	94.615
Ae_speltoides_Tr290_SPE10_100720_simExt	TraesCS1A02G149100	1435	2.1468208110833	0	0.95191637630662	98.467
Ae_speltoides_Tr290_SPE10_100728_simExt	TraesCS5A02G047300	2083	1.6245707376058	5.2273276904474e-19	0.992318771003361	96.0736203838091
Ae_speltoides_Tr290_SPE10_10073_simExt	TraesCS1A02G380700	410	1.00052157669701	3.51e-180	0.897560975609756	97.554
Ae_speltoides_Tr290_SPE10_100731_ESTScan	TraesCS3A02G484100	287	0.602208903360223	2.08e-101	1	90.244
Ae_speltoides_Tr290_SPE10_100732_simExt	TraesCS5A02G008800	1310	1.9793386951374	0	1	95.43
Ae_speltoides_Tr290_SPE10_100737_ESTScan	TraesCS6A02G241200	256	0.657779702084544	6.49e-111	1	94.942
Ae_speltoides_Tr290_SPE10_100741_simExt	TraesCS3A02G092400	350	0.95181178906667	1.4e-168	1	97.143
Ae_speltoides_Tr290_SPE10_100743_simExt	TraesCS3A02G260600	1930	1.68374741200828	5.16599378881988e-133	0.986010362694301	97.2274374671571
Ae_speltoides_Tr290_SPE10_100751_simExt	TraesCS5A02G505000	3120	1.71518215094997	0	0.971794871794872	97.6824277704486
Ae_speltoides_Tr290_SPE10_100777_simExt	TraesCS5A02G408000	530	1.22832455466476	0	0.916981132075472	96.708
Ae_speltoides_Tr290_SPE10_100797_simExt	TraesCS6A02G212200	917	1.978841992266	0	0.996728462377317	98.578
Ae_speltoides_Tr290_SPE10_10082_simExt	TraesCS7A02G272200	1304	2.05327261632507	0	1	96.513
Ae_speltoides_Tr290_SPE10_100878_ESTScan	TraesCS3A02G299800	407	0.806555432984736	6.12e-143	0.872235872235872	92.521
Ae_speltoides_Tr290_SPE10_100902_simExt	TraesCS7A02G316700	774	1.77831456333088	0	1	97.804
Ae_speltoides_Tr290_SPE10_100925_simExt	TraesCS2A02G256900	523	1.39075786572935	0	1	98.47
Ae_speltoides_Tr290_SPE10_100947_simExt	TraesCS7A02G332700	1224	1.71780821917808	3.03926940639269e-89	0.892156862745098	97.7181401098901
Ae_speltoides_Tr290_SPE10_100954_simExt	TraesCS7A02G487800	1155	1.64813205907906	0	0.995670995670996	96.438
Ae_speltoides_Tr290_SPE10_10098_simExt	TraesCS5A02G225800	285	0.816997151903316	7e-141	1	98.246
Ae_speltoides_Tr290_SPE10_101062_simExt	TraesCS3A02G356400	925	1.90999807960495	0	0.993513513513513	97.388
Ae_speltoides_Tr290_SPE10_101073_simExt	TraesCS6A02G170800	628	0.968013233456022	0	0.823248407643312	90.038
Ae_speltoides_Tr290_SPE10_101077_simExt	TraesCS1A02G145300	599	1.62396006655574	0	1	96.173
Ae_speltoides_Tr290_SPE10_101083_simExt	TraesCS3A02G207900	1160	1.75	0	1	98.2460413793103
Ae_speltoides_Tr290_SPE10_101088_simExt	TraesCS5A02G404700	523	1.01593876439012	0	0.873804971319312	93.217
Ae_speltoides_Tr290_SPE10_101104_simExt	TraesCS5A02G142400	265	0.751905930661236	3.95e-128	1	97.736
Ae_speltoides_Tr290_SPE10_101128	TraesCS3A02G233100	430	0.747981675202117	6.58e-133	0.862790697674419	90.642
Ae_speltoides_Tr290_SPE10_101149_simExt	TraesCS4A02G149700	2166	1.75069735006973	2.89853556485356e-72	0.95983379501385	98.1820632515632
Ae_speltoides_Tr290_SPE10_101162_simExt	TraesCS6A02G198600	1257	1.72301255230126	1.87002510460251e-157	0.948289578361177	97.8245402684564
Ae_speltoides_Tr290_SPE10_101197_simExt	TraesCS4A02G147000	5095	1.74915855544437	3.45001364504685e-49	0.996074582924436	98.2692446436782
Ae_speltoides_Tr290_SPE10_101215_simExt	TraesCS3A02G149100	775	1.74854218614296	0	0.998709677419355	97.287
Ae_speltoides_Tr290_SPE10_101223_simExt	TraesCS5A02G424100	1149	1.38197233377956	0	0.97911227154047	92.158904
Ae_speltoides_Tr290_SPE10_101226_simExt	TraesCS3A02G167400	2275	1.73285198555957	0	1	97.932986996337
Ae_speltoides_Tr290_SPE10_101250_simExt	TraesCS6A02G230500	4589	1.31035631732659	0	0.999564175201569	99.15
Ae_speltoides_Tr290_SPE10_101252_simExt	TraesCS6A02G353200	572	1.22355050699094	0	1	93.027
Ae_speltoides_Tr290_SPE10_101260_simExt	TraesCS3A02G185700	2586	1.60864575363428	0	0.999613302397525	95.9292220502901
Ae_speltoides_Tr290_SPE10_101281_simExt	TraesCS5A02G132800	1000	1.99290921212574	0	1	97.7
Ae_speltoides_Tr290_SPE10_10134_simExt	TraesCS3A02G030700	804	1.75496653266769	0	1	96.766
