poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 908593.5 913424.333333333 0.962 1.946 4276 0.00753248271749299 0.0505916911880752 0.182275 495897.915840987
0.05 1 4874643.25 4882842.8125 1.25125 1.88875 4526 0.0106388108241273 0.114536768863915 0.1983875 643517.00530289
0.1 1 8389847.08333333 8399367.75 1.72666666666667 1.76666666666667 3806 0.0183808634104046 0.0686282833280969 0.168041666666667 1312593.27106286
0.15 1 10888174.3333333 10892947.3333333 2.20333333333333 1.69 526 0.00368620942965779 0.11717121634775 0.195666666666667 226070.765703033
0.2 1 13156101.375 13165709.625 2.22125 1.58 2486 0.00956989247385358 0.0529797845164351 0.14815 775151.600987128
0.25 1 15218521.6666667 15226103.6666667 1.77 1.62333333333333 1637 0.00497854178375076 0.142647951601797 0.154233333333333 387351.424713697
0.3 1 18606424.3333333 18612014.1111111 1.31444444444444 1.33777777777778 2809 0.00542254791028836 0.1130741137489 0.170355555555556 381969.197959263
0.35 1 25766959.1 25772247.2 0.676 0.827 4575 0.00426249048065574 0.181417831780036 0.17022 300492.807941892
0.4 1 33855781.1666667 33873231.1666667 0.46 0.4775 4471 0.00262889942518452 0.234088892524174 0.193433333333333 163088.711539967
0.45 1 86743046.6666667 86749999.5757576 0.0488636363636364 0.0512878787878788 40744 0.00259505591573273 0.230870471081061 0.131130303030303 237478.830363081
0.5 1 304409839.401487 304419854.535316 0.0274349442379182 0.0263940520446097 88567 0.00187140598677888 0.226626085198811 0.131530111524164 170735.594922847
0.55 1 419528788.463768 419538383.826087 0.154492753623188 0.140869565217391 23448 0.00243205170951555 0.217343151422571 0.139298550724638 209511.300457663
0.6 1 448404776.451613 448412930.129032 0.202096774193548 0.213064516129032 19906 0.0024246012618306 0.284838825035996 0.134882258064516 215708.244801556
0.65 1 466266887.608696 466271960.217391 0.40304347826087 0.418260869565217 5780 0.0026717311816609 0.210430026551289 0.20755652173913 154467.679026857
0.7 1 477441927.222222 477448592.388889 0.573333333333333 0.51 5454 0.00392545523854052 0.218186837528397 0.218716666666667 215372.077402208
0.75 1 486138661.714286 486143576.642857 0.642857142857143 0.568571428571429 3988 0.00443641044132397 0.131856442077662 0.19375 274771.227333614
0.8 1 493330208.344828 493335390.689655 0.615172413793104 0.601724137931034 9308 0.00138083830542851 0.178147422039308 0.205889655172414 80480.2924715485
0.85 1 503220117.173913 503226954.043478 0.493478260869565 0.644782608695652 7110 0.00276635306624473 0.185035767020725 0.181908695652174 182488.454858755
0.9 1 510530515.684211 510535212.473684 1.05842105263158 0.743157894736842 4615 0.00260279875709642 0.194673815285265 0.223557894736842 139711.393873713
0.95 1 515933743.95 515939336.55 0.8875 0.823 6115 0.00306148402829109 0.193395013843935 0.173305 211983.545422769
1 1 522381464.027027 522387239.432432 0.658108108108108 0.79972972972973 9728 0.00583776531167763 0.104769125241545 0.196159459459459 357123.658135944
1.05 1 528504024.214286 528510530.357143 1.18142857142857 1.15571428571429 4753 0.00357437505365033 0.280877413887667 0.126592857142857 338822.439210774
1.1 1 532116281.176471 532121106.588235 1.56764705882353 1.40176470588235 3195 0.00614463132269171 0.0844003526768217 0.177735294117647 414861.754039089
1.15 1 535711342.894737 535722715 1.30789473684211 1.27157894736842 6531 0.00885286893921299 0.124739401785482 0.165621052631579 641430.697260887
1.2 1 540360870.157895 540366294.526316 0.875263157894737 1.02315789473684 6994 0.00571548354303689 0.112164323988058 0.1867 367358.342348381
1.25 1 546225715.380952 546237762.666667 0.984761904761905 0.876190476190476 4601 0.00492905740708542 0.122248506955775 0.206047619047619 287063.200042876
1.3 1 551825657.483871 551831422.16129 0.771290322580645 0.75258064516129 12331 0.00657807920330873 0.134702044015022 0.155729032258065 506886.540647703
1.35 1 556658072.307692 556664982.076923 0.416923076923077 0.610769230769231 7208 0.00307367926054384 0.123546372760103 0.136246153846154 270717.008042479
0 2 2285399.625 2333584.625 0.62 0.80375 4695 0.00479905134611289 0.209367276898988 0.1888375 304963.877160811
0.05 2 8696491.21428571 8709165.28571429 0.633571428571429 0.807142857142857 4107 0.00829125900657414 0.074283835935122 0.164928571428571 603261.807321116
0.1 2 15542330.2307692 15558467.1538462 0.671538461538462 0.809230769230769 4784 0.00537512665238294 0.108897263055294 0.142646153846154 452178.47161979
0.15 2 22113203.5384615 22127592.0769231 0.815384615384615 0.803846153846154 6813 0.00712946089094378 0.0894516450877947 0.188823076923077 453088.31995243
0.2 2 28744188.7368421 28757647.6842105 0.91 0.782105263157895 5704 0.00460077738078541 0.130353748590428 0.199842105263158 276264.746594436
0.25 2 33317834.8 33331963.7 0.931 0.773 3660 0.00700349903825137 0.181963977594076 0.1596 526578.875056494
0.3 2 39051025 39056846.125 0.9175 0.78375 2170 0.00360138052764977 0.15340140431516 0.14395 300219.286778723
0.35 2 44889303.5384615 44903845.3076923 0.803076923076923 0.760769230769231 3321 0.00360872769045468 0.0895585097397944 0.168815384615385 256521.242919407
0.4 2 52461000.6 52467387.5 0.54 0.6045 6241 0.00666105856753725 0.0456167995114573 0.14103 566778.010426484
0.45 2 65953374.4 65969239.6666667 0.322666666666667 0.4 9645 0.00361102289217211 0.166468704634645 0.14677 295239.318021839
0.5 2 85466410.826087 85483484.3695652 0.202391304347826 0.200434782608696 13898 0.0022055148920708 0.227636939029822 0.145136956521739 182353.132786586
0.55 2 297700904.92 297717216.818667 0.0148266666666667 0.0162133333333333 121752 0.00176289677677514 0.251226864207151 0.120024 176254.426792156
0.6 2 563407617.47 563419024.03 0.0704 0.0683 26660 0.00161757591378905 0.338175860588904 0.124132 156373.142827544
0.65 2 611569454.854167 611576931.8125 0.192916666666667 0.19875 13413 0.00176791973845634 0.236788182058366 0.11994375 176874.883947484
0.7 2 630048476.055556 630057117.138889 0.303611111111111 0.364166666666667 11893 0.00218799678600858 0.294778490120585 0.140780555555556 186502.754790889
