poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.01 1A 269472 289602 NA 166 0 NA
0.03 1A 1209249.625 1214385.875 1.28166355644489e-06 2759 0.00569477140268213 0.166848342721275
0.04 1A 1668949 1670358 1.26997732445705e-06 14 0 NA
0.06 1A 2490452 2519369 1.24785607494621e-06 128 0 Inf
0.07 1A 3119378 3122276 1.23125516685771e-06 134 0 NA
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1530 0.00409843541176471 0.0675880402682217
0.12 1A 5491027 5495112 1.15658401937862e-06 326 0.012663 0.0842762378583274
0.14 1A 6894433.75 6900218.25 1.11659873335624e-06 231 0 Inf
0.15 1A 7532355.75 7538138.5 1.09792493678461e-06 1689 0.00488692332149201 0.0679925283233333
0.16 1A 8264166 8266341 1.07616639320979e-06 111 0.0152296 0
0.17 1A 9111992 9116920.5 1.05029696827475e-06 686 0.00144299308600583 0.385688807656965
0.18 1A 9547937.8 9551358.4 1.03681174500368e-06 1364 0.00998223136363636 0.213506245971407
0.19 1A 10062443.6666667 10066600.6666667 1.02160377026859e-06 898 0.0118469543429844 0.0637676115152748
0.2 1A 11266930 11272520 9.88888332459153e-07 681 0.00124359142437592 0.66465637348773
0.21 1A 12056128 12060386 9.67956751160245e-07 2760 0.0121286330237154 0.129141681358664
0.22 1A 13744876.8 13749227.8 9.23682230107377e-07 918 0.00675461449891068 0.0578105008245545
0.23 1A 14940192.9230769 14944225.7692308 8.88691744038885e-07 1634 0.00420413159118727 0.104708190521598
0.24 1A 16931434 16934477 8.31349589658753e-07 158 0.00507952683544304 0.107769431928051
0.25 1A 18375225 18378213.5 7.92252993844505e-07 101 0 NA
0.26 1A 19605048.6666667 19608613.3333333 7.60515341253459e-07 144 0 NA
0.27 1A 20557005.1428571 20561174.1428571 7.36816990200683e-07 1664 0.006474614453125 0.121152203481971
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 1997 0.00452880141211818 0.158146332069574
0.29 1A 22892648.6 22895545.4 6.82206839583558e-07 512 0.00268254733886719 0.426658979535315
0.3 1A 24409602.3333333 24412719.6666667 6.43139171862687e-07 709 0.00357646899858956 0.203770896282996
0.31 1A 25595318.3333333 25600160 6.07592066157176e-07 982 0.00339628564154786 0.141581374764722
0.32 1A 27890782.1111111 27896022 5.32098883880048e-07 2592 0.0038088331091821 0.158084553576636
0.33 1A 30372458 30377411.2 4.66040805870016e-07 2276 0.00205785169156415 0.357125388993797
0.34 1A 33010046.4545455 33013825.3636364 4.27555335391933e-07 2706 0.00150384897006652 0.601037545906537
0.35 1A 36381158 36385148.6 3.30841544158796e-07 3628 0.000894309177508269 0.333339942973778
0.36 1A 41519862.75 41526052.375 2.24254626517222e-07 1204 0.0113241637541528 0.125806376162738
0.37 1A 45814476.5 45819468 2.24527556412831e-07 929 0.00437177792465016 0.124332511271881
0.38 1A 49144609 49151611.1666667 2.22570602622802e-07 3697 0.00241533318464603 0.408925001985419
0.39 1A 53365551.9230769 53369732.3846154 1.7931274653762e-07 2429 0.00262224410045286 0.169936121389005
0.4 1A 58851168.2105263 58856365.2631579 1.49308145029432e-07 5526 0.00195411330769695 0.229185564945439
0.41 1A 64978205.6956522 64982401.1304348 1.29981144639859e-07 5153 0.00182765083446536 0.120151253836484
0.42 1A 78633921.051282 78639980.2051282 5.57572753545325e-08 10683 0.000772339627558787 0.338796051972306
0.43 1A 153807284.638393 153815612.339286 5.51291328300018e-09 61019 0.000364200871092015 0.430837709351273
0.44 1A 280792316.318182 280798357.219697 1.09307388347894e-08 37350 0.000700844176552411 0.23678178915263
0.45 1A 329202296.390476 329208643.752381 3.0071903549562e-08 26867 0.00119517343803041 0.29302651286429
0.46 1A 354592742.150943 354597736.075472 2.40722192128073e-08 14705 0.00132403790717443 0.409317271922825
0.47 1A 368519645.361111 368523876.722222 1.50486800801033e-08 10502 0.002491118212803 0.13729903770079
0.48 1A 378879936.193548 378884936.548387 1.41636841924743e-08 9271 0.00101548319494481 0.350206337615024
0.49 1A 393941692.052632 393947921.140351 2.17433143258315e-08 15384 0.00170569502535101 0.257510844031754
0.5 1A 426459776.027027 426465355.972973 7.31990413763213e-08 19178 0.000943206683357214 0.334721669767217
0.51 1A 446795561.806452 446800597.758065 1.28767076013276e-07 13384 0.00318453925150192 0.195319158056645
0.52 1A 459705986.758621 459710155.655172 1.85243403069226e-07 7947 0.00156040016446458 0.214075262053461
0.53 1A 464589364.606061 464593029.575758 2.09489979201036e-07 5646 0.00270281974477506 0.247228170618799
0.54 1A 470586825.615385 470590877.076923 2.40214709590373e-07 3011 0.000580542558618399 0.392357443940714
0.55 1A 474088216.6 474092410.4 2.58609302224483e-07 3484 0.00118873945752009 0.186385093924819
0.56 1A 478492658.1875 478496553.9375 2.83199282542062e-07 2037 0.00351853362919326 0.0513666584203212
0.57 1A 481792185.424242 481796171.484848 3.03207418881704e-07 5038 0.00148844193504367 0.240356831260525
0.58 1A 485849675.285714 485855576.857143 3.29277423276336e-07 5252 0.000932136034336126 0.27093648920442
0.59 1A 487896160 487901032.4 3.43013012587492e-07 1095 0.000613788463013699 0.180749375336602
0.6 1A 490856287 490862456.166667 3.64072538972297e-07 1647 0.00186006127504554 0.13967347609952
0.61 1A 493385492.375 493389348.625 3.78754294227909e-07 2157 0.000715672328233658 0.078996721039768
0.62 1A 494986595.333333 494990091.888889 3.84601383622202e-07 1651 0.00374734464566929 0.109944371011196
0.63 1A 496424284.625 496428848.625 3.88154770865737e-07 1529 0.00200947756442119 0.144892275876842
0.64 1A 498313702.0625 498317198.75 3.90168506416653e-07 3012 0.00167485297177955 0.238075097088
0.65 1A 500288162 500291142.214286 3.89296964107017e-07 2027 0.00248279609578384 0.173500568228618
0.66 1A 502935302.571429 502939991.285714 3.8970863662674e-07 2217 0.000643177043301759 0.0561561292868933
0.67 1A 506160771.25 506166320.5625 3.96463727806263e-07 4773 0.00118558881625812 0.301225075883461
0.68 1A 510772678.545455 510776008.090909 3.78116251000045e-07 1249 0.00378172530024019 0.313771723688501
0.69 1A 513586255.5 513589825.5 3.30595961648168e-07 1652 0.00210008367097121 0.155431452021121
0.7 1A 516777335.842105 516782493.736842 3.32620395183917e-07 4867 0.00200878241730019 0.0957170134665564
0.71 1A 518537140.4 518552035.8 3.45222222579256e-07 3124 0.00105248086075544 0.291950055500369
0.72 1A 520465393.5 520470013.1 3.4510472234159e-07 2106 0.00145248958689459 0.156807249113008
0.73 1A 521338736.125 521342158.125 3.47159662970313e-07 1286 0.00253086450699844 0.400481853495683
0.74 1A 522609312.666667 522614143.833333 3.5258807234819e-07 974 0.00143279285420945 0.640804425675321
0.75 1A 529999861.869565 530004566.608696 4.39915817745113e-07 7816 0.00153793266133572 0.19186173617696
0.76 1A 532546946.642857 532551289.642857 4.6633990859615e-07 3092 0.00157681307244502 0.313244357351855
0.77 1A 534340877.8 534345203.533333 4.69425533266712e-07 3060 0.00186667569502801 0.238485509951067
