poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1202326.28571429 1207661.71428571 1.28182851052807e-06 3759 0.0199100264112796 0.0500013794699591
0.06 1A 2437843 2441540 1.24959960564056e-06 87 0.0184049 0.131451406962276
0.07 1A 3119378 3122276 1.23125516685771e-06 124 0.0152091 0
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1752 0.0130723000570776 0.0751835788820724
0.09 1A 4045713 4048684 1.19607758843423e-06 194 0.0458015 0.0322740521598638
0.12 1A 5491027 5495112 1.15658401937862e-06 261 0.0290645 0
0.14 1A 6569388 6576401 1.12599356487817e-06 172 0.0131387 0.189409150068119
0.15 1A 7495603 7503027 1.09898218543153e-06 1775 0.0224036490591549 0.111879531371352
0.16 1A 8255691.5 8258805.5 1.07640746907329e-06 375 0.0156671768 0.144743229041751
0.17 1A 9111992 9116920.5 1.05029696827475e-06 550 0.00706221109090909 0.391155249060422
0.18 1A 9592430.5 9595286.25 1.03543670960753e-06 655 0.00741101709923664 0.119563731009756
0.19 1A 10058916.5 10063716 1.02169211624121e-06 1231 0.0116838229082047 0
0.2 1A 11266930 11272520 9.88888332459153e-07 452 0.0172691853097345 0.180557566771165
0.21 1A 12115061.6666667 12119645.8333333 9.6640708571506e-07 1730 0.0312910397572254 0.0295152974776924
0.22 1A 13358114 13362882.5 9.3394550359256e-07 1505 0.0143994314817276 0.0263138295791281
0.23 1A 14782508 14787106.1666667 8.93368401366392e-07 1033 0.0166630649951597 0.0656140971344491
0.24 1A 16931434 16934477 8.31349589658753e-07 157 0.0251969 0.217366025185638
0.26 1A 19895297 19897721 7.53136045557493e-07 49 0 NA
0.27 1A 20580507.3333333 20584832.6666667 7.36251850723982e-07 1725 0.0188093203362319 0.0353425887358061
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 1704 0.0228741520539906 0.089746862804127
0.29 1A 22832335 22835273.5 6.8352601306342e-07 41 0 NA
0.3 1A 24340372 24344574 6.45259290300834e-07 894 0.00321264234899329 0.102252543055344
0.31 1A 25595318.3333333 25600160 6.07592066157176e-07 951 0.00421063650893796 0.195167992165013
0.32 1A 27709981.4 27715779 5.3828882919784e-07 2872 0.000324819902506964 0.311845923704282
0.33 1A 29862633 29869967.6666667 4.76844622525392e-07 2248 0.00263722309608541 0.0964368897531048
0.34 1A 33278236.375 33282988.75 4.24903223228987e-07 3343 0.00186675486389471 0.316108609271604
0.35 1A 36662989.9 36667292.6 3.21892637756001e-07 4621 0.00404537561025752 0.0608395884981708
0.36 1A 41462832.7142857 41469790.8571429 2.25187292460736e-07 1726 0.00733422062572422 0.162002343211691
0.37 1A 45348848.8333333 45353520.8333333 2.23591440293602e-07 1735 0 NA
0.38 1A 49180549.1818182 49188248.3636364 2.22461580138256e-07 5321 0.00152042802104868 0.284877022594319
0.39 1A 53449309.1 53453850.1 1.785851180173e-07 3002 0 NA
0.4 1A 58538756.0555556 58544271.8333333 1.50154353059524e-07 6223 0.0023526776095131 0.254379597225462
0.41 1A 65082350.5 65086479.0625 1.28533272237265e-07 5837 0.00238139451259208 0.328044702698543
0.42 1A 79968392.3571429 79974656.5357143 4.95836097794359e-08 14908 0.000647404653877113 0.356267244286074
0.43 1A 157141329.3 157150319.678947 6.03780313716827e-09 68343 0.000310014111613479 0.365517407405944
0.44 1A 282427957.106557 282434032.032787 1.16976210913638e-08 43877 0.000970028094400255 0.204749598739568
0.45 1A 329998834.358974 330004678.166667 3.07575021507248e-08 26877 0.000807563804926145 0.342882403883432
0.46 1A 354784723.265306 354790142.22449 2.38755685064413e-08 14018 6.3008282208589e-05 0
0.47 1A 368640559.214286 368645585.107143 1.50330608356567e-08 10598 0.000156498968012833 0.170599359482014
0.48 1A 379621027.083333 379626731.791667 1.43038589809794e-08 7211 0 Inf
0.49 1A 394283748.109091 394290218.363636 2.18658070688495e-08 19145 5.43468628884826e-05 0
0.5 1A 426872179 426877964.559322 7.38952899415932e-08 21455 0.000201523357725472 0.670193541264735
0.51 1A 446414100.38 446419260.02 1.26927880197256e-07 14209 0.00122353943979168 0.115324396450768
0.52 1A 459285513.923077 459290341.730769 1.8318967111813e-07 9245 0.000986068814494321 0.352031979763722
0.53 1A 464693981 464697894.76 2.10016463577929e-07 5979 0.000782902515470815 0.108327965682801
0.54 1A 470300165.666667 470303783.666667 2.38721269859594e-07 3300 0.00414031036363636 0.191910296111457
0.55 1A 474259066.666667 474264677.333333 2.59518237294762e-07 3302 0.000302946735917626 0.285593319362225
0.56 1A 478468155.4 478472433.7 2.83059405427888e-07 1479 0.000639783204868154 0
0.57 1A 481648347.391304 481652444.652174 3.02308195028104e-07 4983 0 Inf
0.58 1A 485514435 485520162.923077 3.270537648366e-07 6235 0.000650571533279872 0.0702127250021165
0.59 1A 487938845 487944332.25 3.43306830823642e-07 1160 0.000614077413793103 0.785220149430783
0.6 1A 491253828.666667 491261446 3.66871544822671e-07 823 0.00364519890643985 0.0952381212698525
0.61 1A 493283933 493288143.5 3.78339371235426e-07 2306 0.00253846871639202 0.443226587117966
0.62 1A 494864824.166667 494868708 3.8422515404601e-07 1553 0.000585602163554411 0
0.63 1A 496362332 496366740.625 3.88045717253332e-07 2556 0.0015246510172144 0.298113811416348
0.64 1A 498482389.25 498486340.5 3.90233422678451e-07 2641 0.00556853831124574 0.0577145983968101
0.65 1A 500044298.125 500047876.875 3.89563173390858e-07 1923 0.0200786534477379 0.11963685689043
0.66 1A 502873283.833333 502877380.333333 3.89498495816374e-07 2438 0 NA
0.67 1A 506233437.117647 506238556.294118 3.96147787857569e-07 6087 0.000340984011828487 0.378974400416179
0.68 1A 510554887.857143 510558072.285714 3.80007847983606e-07 1162 0.015074441222031 0.0328815663507495
0.69 1A 513702040.3 513706482.4 3.29827307827498e-07 2825 0.00102532927433628 0.372598584691222
0.7 1A 516655896.846154 516661116.230769 3.30787446499556e-07 5279 0.000378706127486266 0.646035799023923
0.71 1A 518656163.714286 518668819.714286 3.45067193679286e-07 4303 0.000235018972809668 0.85321821714168
0.72 1A 520451444.555556 520456124.666667 3.45111758058318e-07 2419 0.00584167525837123 0.0810241526607671
0.73 1A 521339751.571429 521343346.142857 3.47168453542856e-07 1488 0.00130819665994624 0.1486122987894
0.74 1A 523029565.2 523032641.8 3.55239872292669e-07 1266 0.00627481954186414 0.522481764088521
0.75 1A 529646442.071429 529651334.857143 4.34148533669831e-07 6789 0.00666976851377228 0.0383040797135571
0.76 1A 532256142.4 532261704.1 4.65552063399797e-07 3093 0.00397060939864209 0.047114900595178
0.77 1A 534374647.888889 534378426.111111 4.69822993400741e-07 2627 0.00382845580129425 0.0285747332181593
0.78 1A 536508854.6 536512564.2 4.42676520396612e-07 1410 0.00347775626241135 0.115841869537662
0.79 1A 537662770.375 537667070.625 4.35239804113947e-07 2564 0.00847031692667707 0.026574056821701
0.81 1A 540120020.625 540124838 5.02041704683016e-07 2337 0.00645136221223791 0.115129237724307
0.82 1A 541835361.5 541839368.166667 6.16930159667391e-07 1702 0.0218186089306698 0.0746119783411095
0.83 1A 542601740 542606127.5 6.85209816915561e-07 394 0.00965125279187817 0.15253619003619
0.84 1A 544340605.714286 544344651.642857 8.32122426693736e-07 2555 0.016601122074364 0.107656353476534
0.85 1A 546794003.6 546800279.8 1.05486851818066e-06 2185 0.00850750225171625 0.130321297539684
