poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1444928.57142857 1449195.28571429 6.24567901654877e-07 2022 0.0587265242828882 0.0344521678730507
0.01 1D 3954518 3958741 7.90161018558387e-07 12 0.097619 0.0768293057703931
0.02 1D 5445598 5450155 9.07754025682255e-07 133 0.0725507 0.00647009608453123
0.04 1D 6328647.5 6336972.5 9.81164112860305e-07 925 0.0565462918918919 0.0462045887492897
0.05 1D 6776478.5 6779306.5 1.01910743566838e-06 226 0.0567467707964602 0
0.06 1D 7502196 7506050 9.76449344014996e-07 16 0 Inf
0.07 1D 9190565.15384615 9195891.84615385 9.35305725664926e-07 3118 0.0529965847017319 0.0444457102879463
0.08 1D 10715309 10722269 1.3039462368089e-06 193 0.0463747 0.114334540169532
0.1 1D 11568194.6666667 11575455.3333333 1.18327982144706e-06 1095 0.0439475808219178 0.0291452108958117
0.11 1D 12319059 12322633.5 1.07218306101116e-06 361 0.0761355864265928 0.0500884093037008
0.12 1D 15404968 15408649 3.2484785686288e-07 462 0.0627603002164502 0.0643124625751313
0.13 1D 16965512 16972858 8.249972861905e-07 65 0.058208 0.0612812671797691
0.15 1D 18128319 18131440 1.04222223553377e-06 240 0.033617815 0.0469305758469629
0.16 1D 19539820.7142857 19547961.8571429 1.33540007189754e-06 1929 0.0388740356143079 0.0750621262946971
0.17 1D 20826034 20827727 1.22497386660458e-06 36 0.045045 0.0532800532800533
0.2 1D 22883248 22888807 1.02679634502334e-06 140 0.0659187 0.071900386385047
0.21 1D 24533367 24539137 9.80807450322848e-07 563 0.015765661598579 0.136267402509653
0.23 1D 25732394 25737271 9.47907618748164e-07 965 0.0473022616580311 0.0962712131379975
0.24 1D 28046679.5 28052197 8.8557413415196e-07 1388 0.0700032922910663 0.0190758191563318
0.27 1D 31421662 31431937 7.97441065649626e-07 744 0.0166811 0.042947347596981
0.28 1D 32543984 32546795 7.68992451900373e-07 257 0.0513779 0.0433100613298714
0.3 1D 34617511 34621584 7.23920571919075e-07 241 0.0893011 0.110010179045947
0.32 1D 36865519.6666667 36871214.6666667 6.76901830071679e-07 1835 0.0288913124032698 0.0595520187586534
0.33 1D 37545378.5 37552059.5 6.62776809866375e-07 219 0.0524596073059361 0.244541162089136
0.36 1D 41325772.25 41328272.75 5.85269025521643e-07 724 0.0550685820441989 0.083896211146897
0.37 1D 43274260 43282222 5.45795294467126e-07 209 0.0252887 0.309168126475461
0.38 1D 44923174 44927195.6666667 5.1281833786969e-07 216 0.0270305819444444 0.0938799825102079
0.39 1D 47789767 47798085 4.56037976501763e-07 525 0.0200163588571429 0.222746754454671
0.4 1D 49678157.7777778 49685451.3333333 4.19153832912754e-07 3068 0.0112043973924381 0.0870387588964418
0.41 1D 52747971.25 52752862 3.60000475637998e-07 393 0 Inf
0.42 1D 55577636.25 55582134 3.0636088371649e-07 1324 0.0166024990936556 0.0647971395199267
