poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1551160.53333333 1555970.66666667 6.17950204941713e-07 5244 0.00471651277402746 0.13370916900638
0.01 1D 3963719.5 3967548.5 7.9084805232784e-07 407 0.0123628621621622 0.166498430774153
0.02 1D 5333951.33333333 5338693 8.98727598151081e-07 251 0 NA
0.03 1D 5511254 5517977 9.13196172291157e-07 647 0.00210137 0.126050148236627
0.04 1D 6416174.33333333 6422734 9.88522845321933e-07 1496 0.00608503148395722 0.113404009011286
0.05 1D 6778533 6780323 1.01923951577083e-06 111 0.0152296 0
0.06 1D 7487543 7492403.5 9.76008496030621e-07 686 0.00144299308600583 0.385688807656965
0.07 1D 9341325.75 9346118.8125 9.60535167943412e-07 4772 0.00822000587007544 0.127000975771294
0.08 1D 10697069.25 10702023 1.29464426977971e-06 545 0.0318737220795107 0.0717616987015558
0.09 1D 11224145 11230447 1.34929603459414e-06 237 0 Inf
0.1 1D 11509124.2 11515078.8 1.22095314455609e-06 1399 0.00365311689778413 0.135897972417745
0.11 1D 12319059 12322633.5 1.07218306101116e-06 252 0.0021957280952381 0.157513225355989
0.12 1D 15021591.5714286 15025509.1428571 3.66972615636919e-07 1042 0.00621329376199616 0.104338988436981
0.13 1D 17066692 17071329.5 8.46413239667381e-07 101 0 NA
0.14 1D 17648124 17652973 9.61828737076586e-07 71 0 NA
0.15 1D 18187983.75 18191296.75 1.06177225725564e-06 553 0.0090173747920434 0.0247311899330949
0.16 1D 19572558.5 19578499.5 1.33785684435231e-06 3163 0.00510579822004426 0.173517183287612
0.17 1D 20762767 20765853 1.22880805383746e-06 367 0.00199368588555858 0.374240244460058
0.18 1D 21828436 21832490 1.07349020733297e-06 139 0.00264092568345324 0.531140228326851
0.19 1D 22160936 22163312.5 1.05190513965086e-06 40 0 NA
0.2 1D 22883248 22888807 1.02679634502334e-06 240 0.00295161 0.613848035478942
0.21 1D 24399054 24402498.6666667 9.84558259357803e-07 1023 0.00333130416422287 0.0919810187325295
0.22 1D 24779031 24786455 9.74006980762083e-07 267 0.00657138 0.137125535275696
0.23 1D 25806653 25810798.6666667 9.45894765317149e-07 1115 0.00444483018744395 0.166105675165756
0.24 1D 27862652.8 27869461.8 8.90457296975697e-07 1942 0.00239286003604531 0.106870689748245
0.25 1D 28818410 28822056 8.65161766754268e-07 376 0.00205775 1.1534102782165
0.26 1D 30081081 30086656 8.32081747354384e-07 177 0 Inf
0.27 1D 31421662 31431937 7.97441065649626e-07 886 0.00179775 0.251133917396746
0.28 1D 32737866 32740293 7.64103826208086e-07 336 0.00106232 0
0.29 1D 33587682.5 33590251 7.45648997026356e-07 205 0.00583637712195122 0.0668354443837198
0.3 1D 34617511 34621584 7.23920571919075e-07 669 0 Inf
0.32 1D 36714047.6666667 36718650.8333333 6.8006407043811e-07 3110 0.000488950374919614 0.711241599932327
0.34 1D 38549079 38552961 6.42062547973078e-07 351 0 Inf
0.35 1D 39758504 39763081 6.172023558411e-07 319 0.00111019529780564 0
0.36 1D 41307468.75 41310346 5.85636262753449e-07 873 0.00715403122565865 0.111209802672217
0.37 1D 43173708.6666667 43178988 5.47845694936579e-07 360 0.0142315927777778 0.0344410735317477
0.38 1D 45717473.3333333 45722837.3333333 4.96996221198324e-07 719 0.00510864029207232 0.0642196375277242
0.39 1D 47633416 47640006.3333333 4.5912925663838e-07 194 0.00406328004123711 0.512020652737399
0.4 1D 49593458.375 49601172.875 4.20808518182698e-07 3258 0.00176599541589932 0.332785481465115
0.41 1D 52871412 52877225.25 3.57635070844686e-07 711 0.00419067642756681 0.462125758281157
0.42 1D 55564793.1666667 55568601 3.06598980610327e-07 1603 0.00304301992514036 0.134625758401419
0.43 1D 59832154.1428571 59838048.7857143 2.27272712680354e-07 4084 0.0018174826764861 0.305192131251659
0.44 1D 71384079.9137931 71389636.3793103 5.7361533197187e-08 14227 0.00136045415859432 0.237431954894479
0.45 1D 84498956 84507724 0 200 0 Inf
0.46 1D 85557991.6666667 85564106.1666667 0 1872 0.000583556346688034 0.0384737652326162
0.47 1D 87210038.8333333 87219862 0 2083 0.0013097930281325 0.232912973141341
0.48 1D 91118041.6363636 91122788.7272727 0 3777 0.000644553109346042 0.105345552698801
0.49 1D 117846706.614815 117852524.014815 0 34830 0.000529483007954414 0.340654928767523
0.5 1D 150285006.5 150301843 0 1204 0 Inf
0.51 1D 153886905.5 153900059 0 1060 0.000279595547169811 0.847182297825889
0.52 1D 208695300.567839 208702602.874372 3.60474961348253e-08 54556 0.000522506097673625 0.259246354809652
0.53 1D 251200936.955556 251206481.288889 7.76808294750577e-08 13754 0.000832222751158341 0.32814112556941
0.54 1D 262073583.783784 262078550.540541 8.73967049075719e-08 8185 0.00159021230788027 0.255426465517442
0.55 1D 280984542.113208 280989003.811321 1.03334337815079e-07 13921 0.00113149891480083 0.383024927498008
0.56 1D 293482347.741935 293486129.225806 1.13044726422279e-07 8323 0.00191732090352037 0.219583294012067
0.57 1D 301674337 301679494.184211 1.19262712917705e-07 11093 0.00146984051189331 0.206534587444308
0.58 1D 309741062.37931 309745516.724138 1.26681264456706e-07 6365 0.00166963919636764 0.335794202499941
0.59 1D 316708746.458333 316715375.25 1.34599637142651e-07 8460 0.00185376159810875 0.219791805443764
0.6 1D 324050154.666667 324054880.285714 1.39909709132315e-07 5781 0.00093925626424494 0.444512361759107
0.61 1D 328872425.809524 328877692.52381 1.41897615686345e-07 4600 0.000602245058695652 0.527600844935552
0.62 1D 335203551.555556 335209548.703704 1.45662536999641e-07 7802 0.000886422922840297 0.176559108186942
0.63 1D 343042306.589744 343047636.512821 1.52072602466277e-07 8002 0.00361406404219216 0.143992556832261
0.64 1D 349827982.9 349831896.3 1.5918165673162e-07 4953 0.00310430212396527 0.242139263520604
0.65 1D 355830177 355834977.235294 1.66711772894623e-07 4102 0.00114235815455875 0.220421377089525
0.66 1D 361790032.125 361794618.958333 1.75380001437502e-07 7163 0.00168871084196566 0.291989387424771
0.67 1D 365835476.28 365839130.8 1.81877240869503e-07 4343 0.00203312185332719 0.312229302785742
0.68 1D 371230164.307692 371234039.769231 1.91617569434258e-07 3102 0.000394731615839243 0.560122487575155
0.69 1D 376105548.473684 376109469.684211 2.17817663837486e-07 4935 0.00212224185430598 0.0992028321392521
0.7 1D 381111822.5625 381115322.75 2.49745187971755e-07 4935 0.00117390324562539 0.213219127298054
0.71 1D 386649473.9375 386655538.875 2.87540768555354e-07 5270 0.000810500681810789 0.212015315365296
0.72 1D 392125267 392129745.272727 3.32656916334851e-07 2794 0.000948701983536149 0.130731552813119
0.73 1D 396508781.428571 396512753.857143 3.80587683585946e-07 1243 0.00459712749798874 0.0203104359750004
