poscM Chromosome Start End GenDens
0 chr1H 4314113 4370017 55904
0.01 chr1H 35024424 35380296 355872
0.02 chr1H 69220907 69733246 512339
0.03 chr1H 63146025 63319842 173817
0.04 chr1H 154606136 154805023 198887
0.05 chr1H 144515480 144817253 301773
0.06 chr1H 92468456 92540699 72243
0.07 chr1H 115865149 115957661 92512
0.08 chr1H 93649714 93802000 152286
0.09 chr1H 78167709 78208555 40846
0.1 chr1H 167691911 167759895 67984
0.11 chr1H 161292920 161398572 105652
0.12 chr1H 104635590 104663280 27690
0.13 chr1H 141343632 141394877 51245
0.14 chr1H 32252697 32265135 12438
0.15 chr1H 66573902 66583861 9959
0.16 chr1H 136667087 136774865 107778
0.17 chr1H 82300454 82318782 18328
0.18 chr1H 84278684 84384832 106148
0.19 chr1H 150298606 150340700 42094
0.2 chr1H 91316725 91510645 193920
0.21 chr1H 175867168 175923872 56704
0.22 chr1H 97509850 97527772 17922
0.23 chr1H 72045226 72066644 21418
0.24 chr1H 15064462 15066976 2514
0.25 chr1H 155168476 155197270 28794
0.26 chr1H 81450850 81465324 14474
0.27 chr1H 134650640 134668532 17892
0.28 chr1H 174802376 174836656 34280
0.29 chr1H 293112220 293176617 64397
0.3 chr1H 206416803 206443667 26864
0.31 chr1H 339573068 339631818 58750
0.32 chr1H 393637049 393684421 47372
0.33 chr1H 417299263 417464409 165146
0.34 chr1H 492278424 492353571 75147
0.35 chr1H 296129032 296151447 22415
0.36 chr1H 543831575 543906662 75087
0.37 chr1H 820542141 820632501 90360
0.38 chr1H 517697362 517762983 65621
0.39 chr1H 980813845 980891066 77221
0.4 chr1H 938726355 938767360 41005
0.41 chr1H 522871138 522934316 63178
0.42 chr1H 1043497633 1043742283 244650
0.43 chr1H 1036166387 1036308576 142189
0.44 chr1H 863987523 864080985 93462
0.45 chr1H 5388623692 5388961068 337376
0.46 chr1H 4477619352 4477829098 209746
0.47 chr1H 39892938665 39895160039 2221374
0.48 chr1H 107498910061 107502884710 3974649
0.49 chr1H 130135581153 130137317736 1736583
0.5 chr1H 15871571531 15871771524 199993
0.51 chr1H 32017964248 32018347247 382999
0.52 chr1H 40970762743 40971433976 671233
0.53 chr1H 18735307563 18735675854 368291
0.54 chr1H 16123882216 16124020913 138697
0.55 chr1H 21805201349 21805444928 243579
0.56 chr1H 22164336066 22164549144 213078
0.57 chr1H 22939837073 22940076318 239245
0.58 chr1H 33863307536 33863731722 424186
0.59 chr1H 23274202399 23274510666 308267
0.6 chr1H 16742528908 16742699898 170990
0.61 chr1H 12764282371 12764399226 116855
0.62 chr1H 10095741890 10095816326 74436
0.63 chr1H 13400836748 13400976453 139705
0.64 chr1H 8370322103 8370365141 43038
0.65 chr1H 12151368577 12151428867 60290
0.66 chr1H 11266338996 11266411342 72346
0.67 chr1H 9915123431 9915192344 68913
0.68 chr1H 9948931313 9949047955 116642
0.69 chr1H 4280391261 4280419811 28550
0.7 chr1H 9553497293 9553565216 67923
0.71 chr1H 13898149685 13898243787 94102
0.72 chr1H 13948132823 13948205789 72966
0.73 chr1H 14954495109 14954623979 128870
0.74 chr1H 5807321901 5807356974 35073
0.75 chr1H 10199264826 10199322461 57635
0.76 chr1H 6328833060 6329051325 218265
0.77 chr1H 8791134600 8791180970 46370
0.78 chr1H 7344617887 7344674290 56403
0.79 chr1H 10316904171 10316964351 60180
0.8 chr1H 14786105797 14786202995 97198
0.81 chr1H 10392086215 10392347850 261635
0.82 chr1H 12913804267 12913890566 86299
0.83 chr1H 14961380088 14961584909 204821
0.84 chr1H 9529454549 9529566651 112102
0.85 chr1H 13105113481 13105229871 116390
0.86 chr1H 7088992922 7089015625 22703
0.87 chr1H 13200787346 13200883864 96518
0.88 chr1H 8143096829 8143150300 53471
0.89 chr1H 9687385085 9687455436 70351
0.9 chr1H 4087930457 4087967744 37287
0.91 chr1H 6653429017 6653478481 49464
0.92 chr1H 8203077961 8203167728 89767
0.93 chr1H 9754980936 9755060146 79210
0.94 chr1H 9263208114 9263289513 81399
0.95 chr1H 12381004397 12381082696 78299
0.96 chr1H 9305023793 9305102247 78454
0.97 chr1H 10882632671 10882713153 80482
0.98 chr1H 16101429831 16101709409 279578
0.99 chr1H 18236330117 18236448127 118010
1 chr1H 18306275507 18306422109 146602
1.01 chr1H 15215122978 15215238299 115321
1.02 chr1H 14725852824 14725976328 123504
1.03 chr1H 14229840633 14229934646 94013
1.04 chr1H 13728148243 13728304789 156546
1.05 chr1H 10574905109 10574972037 66928
1.06 chr1H 12184238975 12184289921 50946
1.07 chr1H 4772358263 4772542330 184067
1.08 chr1H 5839254988 5839314504 59516
1.09 chr1H 10098401520 10098618067 216547
1.1 chr1H 9578297222 9578353099 55877
1.11 chr1H 8525411506 8525543607 132101
1.12 chr1H 4799129157 4799164305 35148
1.13 chr1H 10681214880 10681257597 42717
1.14 chr1H 9087859266 9087898877 39611
1.15 chr1H 11241709410 11241881573 172163
1.16 chr1H 12869395555 12869612685 217130
1.17 chr1H 13427772501 13427884140 111639
1.18 chr1H 15073694214 15073766269 72055
1.19 chr1H 14561939875 14562021301 81426
1.2 chr1H 15139157087 15139475759 318672
1.21 chr1H 9752940564 9753007237 66673
1.22 chr1H 8688656498 8688787841 131343
1.23 chr1H 13603165722 13603247421 81699
1.24 chr1H 20170974834 20171372645 397811
1.25 chr1H 7646580408 7646784029 203621
1.26 chr1H 19149820895 19149978594 157699
1.27 chr1H 11510872955 11510935846 62891
1.28 chr1H 17019933443 17020041006 107563
1.29 chr1H 18159855201 18159917519 62318
1.3 chr1H 12685229570 12685301465 71895
1.31 chr1H 21007589478 21008087089 497611
1.32 chr1H 23281047826 23281260191 212365
1.33 chr1H 18355714600 18355861172 146572
1.34 chr1H 12276395990 12276538810 142820
0 chr2H 6229545 6620003 390458
0.01 chr2H 66569415 66966284 396869
0.02 chr2H 120979508 121494402 514894
0.03 chr2H 130057244 130579967 522723
0.04 chr2H 242322036 242671219 349183
0.05 chr2H 185120716 185219488 98772
0.06 chr2H 463716945 464344051 627106
0.07 chr2H 404980978 405421549 440571
0.08 chr2H 609239223 609643195 403972
0.09 chr2H 542331193 542958359 627166
0.1 chr2H 424805053 424978323 173270
0.11 chr2H 620206753 620466275 259522
0.12 chr2H 783749997 784105715 355718
0.13 chr2H 400133908 400835262 701354
0.14 chr2H 472209421 472307362 97941
0.15 chr2H 680972664 681235323 262659
0.16 chr2H 212109480 212161143 51663
0.17 chr2H 328052116 328094011 41895
0.18 chr2H 936502394 936953096 450702
0.19 chr2H 378774613 378842933 68320
0.2 chr2H 628739193 628878804 139611
0.21 chr2H 1001721823 1002050276 328453
0.22 chr2H 550576814 550978342 401528
0.23 chr2H 726675356 726730646 55290
0.24 chr2H 556323963 556915541 591578
0.25 chr2H 574599986 574700460 100474
0.26 chr2H 659498535 659540017 41482
0.27 chr2H 502595624 502663623 67999
0.28 chr2H 407052601 407075181 22580
0.29 chr2H 571254848 571395219 140371
