poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1216735.41666667 1221949.41666667 1.28132986431483e-06 2094 0.0525505667144222 0.034410642021844
0.07 1A 3187498 3192426.5 1.22937490207059e-06 545 0.0415941064220183 0.0561619394914276
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1097 0.0742638938924339 0.0514741105272965
0.09 1A 4045713 4048684 1.19607758843423e-06 172 0.0391745 0.012041481065489
0.12 1A 5491027 5495112 1.15658401937862e-06 252 0.0468101 0.0299920316341986
0.14 1A 6788571 6793542 1.1196995099135e-06 10 0.0583072 0.236831814938807
0.15 1A 7416252.25 7423510.25 1.10132096228266e-06 1166 0.0654859337049743 0.0312402897799585
0.16 1A 8247277.25 8250462 1.0766597604853e-06 650 0.0638151084615385 0.0375619613638396
0.17 1A 9109608.33333333 9114826.66666667 1.05036593112958e-06 525 0.0539558045714286 0.0657359871539872
0.18 1A 9592430.5 9595286.25 1.03543670960753e-06 860 0.050768343255814 0.107476244764431
0.19 1A 10058824.5 10062930.6666667 1.0217042139203e-06 426 0.0453951725352113 0.0130965638292649
0.2 1A 11564200 11572148 9.80895544252246e-07 86 0.0196805 0.46605065928203
0.21 1A 12076028.6363636 12080949.1818182 9.67429628296648e-07 1195 0.0428730656117155 0.0551024675025095
0.22 1A 13470021.625 13474645.625 9.3100440556173e-07 1482 0.0438311744939271 0.0558430666755056
0.23 1A 15315758.9090909 15319968.7272727 8.7762315731206e-07 1678 0.0439900352920143 0.0657136882398424
0.24 1A 16931434 16934477 8.31349589658753e-07 152 0.0722791085526316 0.0320864171960586
0.26 1A 19912616.5 19915713 7.52694120028994e-07 58 0.0505857310344828 0.0220540077336788
0.27 1A 20476745.1428571 20481303.8571429 7.38762734140936e-07 1703 0.0373510267175573 0.0575328872152805
0.28 1A 21848708.5 21855396.1666667 7.05986822812856e-07 1681 0.0388548678167757 0.0781772818768301
0.3 1A 24427682.4 24430956.8 6.4260983269748e-07 955 0.0412336943455497 0.0503518155401913
