poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1403219.4 1409254 NA 2196 0.0554701141165756 0.0302393284102132
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 1529 0.0602185052975801 0.0585298279978959
0.07 1B 4475908 4479190 7.67437826550965e-07 113 0.106745 0.00642577169890861
0.08 1B 5333440.5 5335364 7.59828017785272e-07 236 0.0348752457627119 0.00985785751099743
0.09 1B 6476483.5 6480206 7.49096467401861e-07 266 0.0488776052631579 0.0339556970714712
0.12 1B 8778437.16666667 8782646.33333333 7.25399072693913e-07 758 0.0657899866754617 0.0326498117413466
0.13 1B 9798674.33333333 9804352 7.1406620771377e-07 525 0.0539558045714286 0.0657359871539872
0.14 1B 10126577.5 10129197 7.10318794668859e-07 860 0.050768343255814 0.107476244764431
0.15 1B 11793233.2 11797567.2 6.90311959754942e-07 371 0.0472569407008086 0.00290348827095094
0.18 1B 14832728.6 14840465.6 6.5542543861145e-07 753 0.035696408499336 0.0431159782848689
0.19 1B 15563237 15568471.3333333 6.48162107594969e-07 602 0.06704606910299 0.0232557872092987
0.2 1B 17476223.2857143 17479612.8571429 6.29753406406816e-07 967 0.0557150967942089 0.0388805121793865
0.21 1B 18419377 18423130 6.20777349669413e-07 45 0.10682544 0.0383582038136234
0.22 1B 20338472.2 20343442.4 6.02768246676386e-07 899 0.0266052009121246 0.0909247600246529
0.23 1B 22021104 22025774 5.87244660248546e-07 206 0.0668645 0.0698364603040477
0.25 1B 26044066.3333333 26046542.6666667 5.41945424284386e-07 561 0.0490141811051693 0.029318740289925
0.26 1B 27009017 27014424 5.33903620130794e-07 205 0.0653584356097561 0.0652789977441694
0.27 1B 29458020 29463292.6666667 5.15281936357515e-07 1247 0.0466413141940658 0.0988154299181406
0.28 1B 32506928.375 32513027.5 4.77715572758307e-07 1821 0.0397629820977485 0.0812372944282435
0.29 1B 39683652 39688526.7272727 4.06500365748612e-07 2434 0.0408654162695152 0.0777351470400516
0.3 1B 42347605 42351160 3.7779501087664e-07 45 0.0892804088888889 0.120488466500452
0.31 1B 44091781.25 44097607.25 3.57375917213382e-07 2414 0.0344686786661143 0.0932834288879266
0.32 1B 47160110 47164879 3.23493154739926e-07 404 0.0165283 0.284706231130848
0.33 1B 52105414.25 52109388.375 2.75692178171225e-07 2553 0.0425945029377203 0.0752997888541031
0.34 1B 55593776 55605247 2.45960662118562e-07 1638 0.0199341388846154 0.0221394501252813
0.35 1B 57187942.3333333 57192158.6666667 2.33766143520234e-07 1433 0.0264269168876483 0.13295396057033
0.36 1B 58646300 58647799 2.23347699556935e-07 199 0.0151102165829146 0.343421232085276
0.37 1B 59792816.4 59796269.6 2.15623737407588e-07 770 0.0395659923766234 0.189453908415872
0.38 1B 62482449.75 62486719.875 1.99246222947312e-07 1345 0.0256301202230483 0.15806476216237
0.39 1B 68780086.3 68788125.6 1.69754749153084e-07 3731 0.0272644145269365 0.0867322285454025
0.4 1B 74140753.75 74145388.5 1.47052174092804e-07 2552 0.0128744964615987 0.255754687781795
0.41 1B 95616023.9 95621222.6 8.18023462757921e-08 7589 0.0283838943576229 0.100184968825096
0.42 1B 116674841.173913 116680872.043478 9.06660801622004e-09 12971 0.0234612587069617 0.107570675490399
0.43 1B 205823260.437008 205831415.712598 5.06881296436587e-09 71579 0.00697376923865751 0.102936395884101
0.44 1B 321584016.59322 321590202.364407 2.62754302246258e-08 35610 0.0121349003853562 0.120385947171422
0.45 1B 360527012.406593 360532439.747253 3.15288476946267e-08 22103 0.0164206669999548 0.10402649821772
0.46 1B 387350143.766234 387354702.857143 3.49452614806354e-08 19911 0.0160523981859274 0.0958362168184645
0.47 1B 411137620.924242 411143816.424242 4.98373903577031e-08 20734 0.0164271677732227 0.120463236378325
0.48 1B 429040985.341463 429046897.829268 6.66067969212542e-08 12101 0.0156569198388563 0.0882691372159987
0.49 1B 442719114.465116 442724830.069767 7.53483329525046e-08 12652 0.0214954462954474 0.111098750536843
0.5 1B 455385625.607143 455391158 8.07504870163536e-08 13386 0.0201455080008965 0.0931718444405975
0.51 1B 466208849.238095 466215669.428571 8.46692593876822e-08 6316 0.0173440935766308 0.0815545240035491
0.52 1B 475167162.307692 475171750.961538 9.21946521398811e-08 5254 0.0299797033498287 0.0537609512725439
0.53 1B 483335193.75 483340873.666667 1.02814940767032e-07 6420 0.0208831786720845 0.126869818228551
0.54 1B 490341111.96875 490344831.53125 1.14860531031777e-07 6393 0.0356070016893477 0.0638240930947548
0.55 1B 501000588.88 501004142.76 1.3764006364077e-07 5376 0.025501454484747 0.123513257495554
0.56 1B 510183628.714286 510187173.928571 1.5894126693665e-07 5129 0.0273102278844335 0.0561939066254887
0.57 1B 518935947.333333 518941422.722222 1.8691385308426e-07 6590 0.0178563255751138 0.173394669417394
0.58 1B 527104100.5 527107399.5 2.03275844211569e-07 576 0.0225638397916667 0.10906565495943
0.59 1B 531080434.052632 531083918.947368 2.12694445164403e-07 3891 0.033214155461321 0.0922606828097091
0.6 1B 536055266.4 536059704.6 2.36607312015637e-07 2939 0.0307906176590677 0.101639105511667
0.61 1B 540398959.714286 540404102.571429 2.54206774146175e-07 1461 0.0376338915811088 0.0512267874285392
0.62 1B 542857049.818182 542860754 2.61328634685925e-07 1845 0.0360401272628726 0.0816049621341372
0.63 1B 545300396.125 545303786.75 2.66351092014981e-07 1549 0.036121174622337 0.100446722999084
0.64 1B 548452910.5 548458347.25 2.69972243981486e-07 1477 0.0190491086797563 0.0619808877894703
0.65 1B 551658656.2 551664464.4 2.70361667157629e-07 2210 0.0202639435294118 0.186384202838114
0.66 1B 554597803.875 554601349.25 2.67641731332499e-07 1626 0.0356338250307503 0.0794945952535407
0.67 1B 558539145.5 558542327.375 2.59592668669471e-07 1013 0.039396696248766 0.060305665860863
0.68 1B 562769021.333333 562775285.666667 2.59037654188597e-07 1672 0.0520654481160287 0.08425753487046
0.69 1B 566061388 566067227.571429 2.72600882631869e-07 2050 0.041765106004878 0.0464799502377357
0.7 1B 569638417.333333 569647119.5 2.63090050809204e-07 3335 0.0286542141965381 0.102942553237178
0.71 1B 573617878.2 573622313.15 2.22496069907781e-07 4596 0.0293894576565434 0.0708277650065632
0.72 1B 576649886.727273 576653869.454545 1.90051859862116e-07 1465 0.0413483744914676 0.0586592425991482
0.73 1B 582504256.857143 582508979.190476 1.81672883393136e-07 6703 0.0268546366910339 0.087275513511317
0.74 1B 588253854.272727 588258364.909091 2.23619609770397e-07 2981 0.0400747469372694 0.043569297267443
0.75 1B 593294111.818182 593297848.636364 2.24332411708331e-07 2203 0.0314261531093963 0.0505725016284529
0.76 1B 598597242.875 598601368.625 2.37703143930352e-07 3870 0.0352733427390181 0.0688468255511813
0.77 1B 604416603.444444 604420546.666667 3.06522859621256e-07 1771 0.0440267456804065 0.0701732269625245
0.78 1B 607119382.5 607123523.666667 3.39333659798606e-07 1480 0.036282753972973 0.0915716786820654
0.79 1B 610023871 610028310.857143 3.67321655805368e-07 1821 0.0280431580450302 0.0730612065844035
0.8 1B 612973273.444444 612978723 3.93079914353011e-07 1508 0.0351305937002653 0.0772931746582177
0.81 1B 614796683 614800864.142857 4.07859207548903e-07 1374 0.0339147821688501 0.0788017616901075
0.82 1B 615731931 615733485 4.15085670086282e-07 36 0.0299465 0.186633830330757
0.83 1B 617817049 617823421 4.30355134876028e-07 620 0.0295396 0.0480433045809693
0.84 1B 619654081 619656945.333333 4.42793514167072e-07 166 0.0264332656626506 0.0596552864965401
0.85 1B 622233388.111111 622237547.444444 4.58759021351488e-07 1257 0.0416742934765314 0.0217578707869891
0.86 1B 623903112 623907469 4.68154738579591e-07 418 0.0118017330143541 0.489629748643679
0.87 1B 625933738.555556 625938627.666667 4.78490049006927e-07 1857 0.0651721662358643 0.0716059257003301
0.88 1B 627873518.2 627877130.2 4.87363336933765e-07 1654 0.0427085264207981 0.0731608637960369
0.89 1B 630539909 630543949.571429 4.98610287118774e-07 1011 0.0361330799208704 0.0399506973668429
0.9 1B 633816017.142857 633818987.285714 5.12211857285593e-07 955 0.0607567296335079 0.0537625664316128
0.91 1B 637722605 637727151.375 5.47028159855966e-07 1496 0.0381196031550802 0.0299122634530235
0.92 1B 638908005.5 638910739 5.47047192618054e-07 75 0.0461555306666667 0.0144115836981096
0.93 1B 640706092 640710608.5 5.66007900939366e-07 1636 0.0373314860635697 0.116897980832242
0.94 1B 641570023.333333 641573828.666667 5.89121046986728e-07 272 0.049833140625 0.165200633061173
0.95 1B 642919120.571429 642924568 5.82714830322351e-07 1415 0.0373159626855124 0.110474221556908
0.98 1B 645934749.75 645939556.375 6.02611754440556e-07 720 0.0548038813888889 0.0673167750542486
0.99 1B 647227620 647240151 6.1372518545546e-07 913 0.0263269125958379 0.191467864883594
1 1B 648543563.333333 648547736.333333 6.0349676438343e-07 1093 0.0458219284537969 0.0824137627182491
1.01 1B 652061352.916667 652064668.833333 5.36831951541913e-07 2035 0.0382503207862408 0.0916708631017401
1.02 1B 655668592 655673735.285714 5.36361680099445e-07 937 0.0517771755602988 0.0927813608405536
1.03 1B 657833814.777778 657837835 6.74424215024718e-07 1959 0.0300762116590097 0.0406033428981768
1.04 1B 659400208.357143 659403567.214286 7.96657422539509e-07 2752 0.0363801802482111 0.113266526404666
1.05 1B 661259068.5 661267302.666667 9.05722386133939e-07 380 0.0507528524210526 0.063846811675597
1.06 1B 662471762.5 662475061.333333 9.42184124294172e-07 1520 0.0483833594078947 0.045908985497859
1.07 1B 663043769 663047956 9.58974392254877e-07 30 0.0796774 0
1.08 1B 664737127 664741863.666667 1.00641770973216e-06 716 0.0771180625139665 0.020646250009125
1.09 1B 665309787 665314775 1.02182170066867e-06 739 0.0775494 0.0276664938735825
1.1 1B 666256742 666260483 1.04648954775992e-06 292 0.0486447 0.0647741686144637
1.11 1B 666535726 666539402 1.05358400556551e-06 39 0.134975 0
1.12 1B 667386895.75 667393496.25 1.07475133835825e-06 1188 0.0324988762626263 0.0397738207213329
1.13 1B 668104538.5 668111000.75 1.0920149754752e-06 1401 0.0442154099928622 0.12602028443922
