Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_tauschii_Tr294_TAU12_Contig1_simExt	TraesCS6D02G161000	2391	1.83163698049194	2.22192536047498e-58	0.984943538268507	99.74576985138
Ae_tauschii_Tr294_TAU12_Contig1006_simExt	TraesCS5D02G132600	2793	1.77153110047847	2.34569377990431e-50	0.990332975295381	98.7446109906001
Ae_tauschii_Tr294_TAU12_Contig1010	TraesCS7D02G036600	410	1.07701624277458	0	1	99.268
Ae_tauschii_Tr294_TAU12_Contig1017	TraesCS4D02G053800	298	0.757983515288963	2.08e-141	1	97.315
Ae_tauschii_Tr294_TAU12_Contig1027_simExt	TraesCS5D02G219700	907	1.84727272727273	0	0.909592061742007	100
Ae_tauschii_Tr294_TAU12_Contig1029_simExt	TraesCS7D02G333700	1163	1.82727272727273	0	0.945829750644884	99.63623
Ae_tauschii_Tr294_TAU12_Contig103_simExt	TraesCS7D02G066500	724	1.65275228043876	0	1	99.586
Ae_tauschii_Tr294_TAU12_Contig1030_simExt	TraesCS1D02G109200	896	1.83579496090356	4.06846220677672e-143	0.922991071428571	99.8184947400242
Ae_tauschii_Tr294_TAU12_Contig1031_lgORF	TraesCS6D02G246600	421	1.08720093596546	0	0.997624703087886	98.81
Ae_tauschii_Tr294_TAU12_Contig1032_simExt	TraesCS1D02G418700	585	1.72905982905983	0	1	98.1195
Ae_tauschii_Tr294_TAU12_Contig1035_simExt	TraesCS2D02G165900	1334	1.80625698324022	7.62487150837989e-24	1	99.338806382523
Ae_tauschii_Tr294_TAU12_Contig1039_simExt	TraesCS3D02G412500	2384	1.80496604414261	0	1	99.2565534815436
Ae_tauschii_Tr294_TAU12_Contig104_simExt	TraesCS2D02G387100	880	1.81311306143521	4.18513164687661e-24	0.876136363636364	99.3520164288802
Ae_tauschii_Tr294_TAU12_Contig1041_simExt	TraesCS6D02G176800	1470	1.82176870748299	6.24115646258503e-162	1	99.5920605442177
Ae_tauschii_Tr294_TAU12_Contig1048_simExt	TraesCS1D02G126700	549	1.36993471367071	0	1	99.454
Ae_tauschii_Tr294_TAU12_Contig1049_simExt	TraesCS1D02G228800	1284	1.99654707714938	0	1	99.143
Ae_tauschii_Tr294_TAU12_Contig1051_simExt	TraesCS7D02G322000	674	1.5442162843766	0	0.977744807121662	99.393
Ae_tauschii_Tr294_TAU12_Contig1054_simExt	TraesCS3D02G187300	3725	1.83512219286658	0	0.88751677852349	99.8007935823755
Ae_tauschii_Tr294_TAU12_Contig1056_simExt	TraesCS2D02G507100	657	1.4223422675021	0	1	96.702
Ae_tauschii_Tr294_TAU12_Contig1058_simExt	TraesCS5D02G155800	1977	1.83484573502722	3.48457350272232e-114	0.836115326251897	99.7579860859044
Ae_tauschii_Tr294_TAU12_Contig1059_simExt	TraesCS5D02G267200	714	1.70752508361204	1.09799331103679e-18	0.834733893557423	97.5716979865772
Ae_tauschii_Tr294_TAU12_Contig1065	TraesCS4D02G197100	400	1.80481927710843	2.53975903614458e-25	1	99.31736625
Ae_tauschii_Tr294_TAU12_Contig1070_simExt	TraesCS3D02G423200	809	1.76407330749084	0	1	99.753
Ae_tauschii_Tr294_TAU12_Contig1074_simExt	TraesCS6D02G262700	325	1.83219178082192	8.19623287671233e-42	0.889230769230769	99.6562249134948
Ae_tauschii_Tr294_TAU12_Contig1075_simExt	TraesCS6D02G386600	830	1.84786530366807	1.26638604930848e-99	1	100
Ae_tauschii_Tr294_TAU12_Contig1076_simExt	TraesCS6D02G158600	1877	1.97548190948484	0	1	99.947
