Query	Subject	Query_length.x	BitScore_corrected.x	Evalue.x	Coverage.x	Similarity.x	Query_length.y	BitScore_corrected.y	Evalue.y	Coverage.y	Similarity.y
Ae_uniaristata_Tr403_UNA23_Contig1043	HORVU1Hr1G009950	2592	1.41838251130734	5.30865307990523e-14	0.923996913580247	92.1337688984363	2592	1.41556236229781	1.97487253479499e-15	0.925154320987654	92.0940944382904
Ae_uniaristata_Tr403_UNA23_Contig1055_simExt	HORVU1Hr1G030140	2353	1.63260965883917	3.98534060290651e-30	0.983425414364641	95.2251663291764	2353	1.63260965883917	4.63231117877714e-31	0.983425414364641	95.2251663291764
Ae_uniaristata_Tr403_UNA23_Contig1061_simExt	HORVU1Hr1G000620	1929	1.55407020975981	0	0.996371176775531	94.863101347915	1929	1.55491518051327	0	0.996371176775531	94.8603952543872
Ae_uniaristata_Tr403_UNA23_Contig1066	HORVU3Hr1G080130	353	1.4053651266766	1.05782719448584e-121	1	92.4033168083097	353	1.41804511278195	4.43752325172932e-122	0.991501416430595	92.635224047619
Ae_uniaristata_Tr403_UNA23_Contig1078_simExt	HORVU2Hr1G072140	1588	1.52886053234972	1.68427884762835e-70	0.980478589420655	94.4206116911847	1588	1.52886053234972	1.34742312819858e-71	0.980478589420655	94.4206116911847
Ae_uniaristata_Tr403_UNA23_Contig1080_simExt	HORVU3Hr1G093760	1746	1.45985109456606	7.84726112643627e-15	0.910652920962199	93.0898960433342	1746	1.46116588202714	9.53062033044143e-14	0.910652920962199	93.1046842099518
Ae_uniaristata_Tr403_UNA23_Contig1090_simExt	HORVU3Hr1G069970	1253	1.3750626566416	1.51378446115288e-28	0.845969672785315	91.9286606199461	1253	1.3750626566416	2.25563909774436e-29	0.845969672785315	91.9286606199461
Ae_uniaristata_Tr403_UNA23_Contig1102_simExt	HORVU6Hr1G082350	1318	1.40975517175935	1.03993926741317e-34	0.998482549317147	92.2335459129523	1318	1.40975517175935	5.96921617005124e-36	0.998482549317147	92.2335459129523
Ae_uniaristata_Tr403_UNA23_Contig1113_simExt	HORVU1Hr1G000020	702	1.57725241995532	3.95318689501117e-66	0.816239316239316	95.1185540818305	702	1.57725241995532	1.79310424422934e-67	0.816239316239316	95.1185540818305
Ae_uniaristata_Tr403_UNA23_Contig1130_simExt	HORVU2Hr1G053240	1621	1.36691600436341	2.80956833411251e-62	0.998766193707588	91.6311004566979	1621	1.36691600436341	9.77544023687081e-64	0.998766193707588	91.6311004566979
Ae_uniaristata_Tr403_UNA23_Contig1132_simExt	HORVU7Hr1G040280	1578	1.46094839609484	3.97907949790796e-31	0.980354879594423	91.6564053467541	1578	1.46094839609484	6.75313807531382e-32	0.980354879594423	91.6564053467541
Ae_uniaristata_Tr403_UNA23_Contig1154_simExt	HORVU4Hr1G004240	465	1.52176825184193	3.43201607501674e-132	0.896774193548387	94.34653117506	465	1.52176825184193	1.97545210984595e-133	0.896774193548387	94.34653117506
Ae_uniaristata_Tr403_UNA23_Contig1155_simExt	HORVU4Hr1G057170	1108	1.61769596199525	4.73350991268409e-19	0.962093862815884	95.6679025015635	1108	1.61769596199525	1.10910164669834e-19	0.962093862815884	95.6679025015635
Ae_uniaristata_Tr403_UNA23_Contig1161_simExt	HORVU0Hr1G016190	751	1.56521142229544	3.95661724327293e-62	0.857523302263648	93.068660513573	751	1.56521142229544	3.60052169137836e-63	0.857523302263648	93.068660513573
Ae_uniaristata_Tr403_UNA23_Contig1169_simExt	HORVU5Hr1G039730	1274	1.61287284144427	0	0.870486656200942	95.7461514448881	1274	1.61287284144427	0	0.870486656200942	95.7461514448881
Ae_uniaristata_Tr403_UNA23_Contig118_simExt	HORVU3Hr1G037600	3247	1.50183735146645	1.44190878494402e-51	0.985217123498614	94.055429340665	3247	1.50183735146645	8.36801978157841e-53	0.985217123498614	94.055429340665
Ae_uniaristata_Tr403_UNA23_Contig1181_simExt	HORVU7Hr1G017650	907	1.39250913520097	9.61936662606577e-28	0.990077177508269	91.4270062731997	907	1.39250913520097	3.28045066991474e-29	0.990077177508269	91.4270062731997
Ae_uniaristata_Tr403_UNA23_Contig1182_simExt	HORVU2Hr1G079300	441	1.63833634719711	7.24138336347197e-100	1	96.2484367346939	441	1.63833634719711	2.66906419529837e-100	1	96.2484367346939
Ae_uniaristata_Tr403_UNA23_Contig1183_simExt	HORVU7Hr1G084950	366	1.46890210924824	5.553812879351e-25	1	93.0435004464039	366	1.46890210924824	4.65089238740941e-26	1	93.0435004464039
Ae_uniaristata_Tr403_UNA23_Contig1187_simExt	HORVU1Hr1G092300	811	1.30375964810358	9.6954104075027e-117	0.997533908754624	90.1492760569411	811	1.30375964810358	1.97091044899992e-117	0.997533908754624	90.1492760569411
Ae_uniaristata_Tr403_UNA23_Contig1190_simExt	HORVU3Hr1G083090	1761	1.58515369890778	8.23865555680667e-116	0.913685406019307	95.3952716801664	1761	1.57647153425539	5.55399914227512e-31	0.964792731402612	95.2442687814618
Ae_uniaristata_Tr403_UNA23_Contig1198_simExt	HORVU7Hr1G078760	984	1.3981288981289	1.31704781704782e-34	0.832317073170732	91.7186660709661	984	1.39837116617571	1.12950961705077e-35	0.832317073170732	91.7164491862635
Ae_uniaristata_Tr403_UNA23_Contig1209_simExt	HORVU5Hr1G063380	1411	1.59253612139694	5.00283162709649e-37	1	95.5803022634402	1411	1.59253612139694	4.12749582516518e-38	1	95.5803022634402
Ae_uniaristata_Tr403_UNA23_Contig1222_simExt	HORVU5Hr1G016320	1160	1.65055292259084	0	0.906034482758621	96.3108175547098	1160	1.65055292259084	0	0.906034482758621	96.3108175547098
