poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 47106 50750 NA NA 98 0.0615073 0.067969167887389 0.2664 2770599.0990991
0.002 1 268374.5 274561 NA NA 1148 0.0584763054878049 0.044010409636315 0.1976 3551192.64095981
0.01 1 1273993 1276221 0.92 1.96 187 0.0169994 0.119113615774674 0.1989 1025604.826546
0.013 1 1546020 1548957 0.94 1.95 111 0.0375212 0.0562569960449026 0.0837 5379383.5125448
0.016 1 1910919 1914393 0.98 1.94 187 0.0527422 0.0215254577928111 0.1729 3660534.41295547
0.041 1 4163077.5 4166375.5 1.2 1.91 226 0.0567467707964602 0 0.24155 2819131.64793013
0.042 1 4312493 4363970 1.21 1.9 820 0.0572738 0.0403814658709567 0.1517 4530557.67963085
0.044 1 4416074 4418966 1.22 1.9 105 0.0508648 0.0974103898963527 0.2016 3027666.66666667
0.051 1 5016258 5022272 1.25 1.89 338 0.039395 0.15760502601853 0.1182 3999492.3857868
0.08 1 7136393 7138280 1.52 1.81 334 0.0154269 0.335330494136865 0.1984 933078.629032258
0.081 1 7217840 7229089 1.54 1.81 1199 0.0609764 0.0213805669078529 0.117 6253989.74358974
0.1 1 8349328 8356000 1.71 1.77 193 0.0463747 0.114334540169532 0.1891 2942868.32363829
0.112 1 9050450 9083053 1.84 1.74 80 0.0714436 0.058133408730803 0.3879 2210165.50657386
0.115 1 9238809 9242299 1.9 1.74 322 0.0767166 0.0483087102400263 0.1564 5886184.14322251
0.212 1 13574504 13581973 1.94 1.55 525 0.0580578 0.0194852371257609 0.2001 3481727.13643178
0.216 1 13725749 13735135 1.92 1.56 203 0.0537825 0.0577942639334356 0.1109 5819567.17763751
0.228 1 14369286 14375231 1.88 1.61 823 0.0736624 0.0162012098438281 0.1805 4897223.26869806
0.286 1 17902454 17909429.5 1.44 1.42 965 0.0473022616580311 0.0962712131379975 0.0977 5809899.07775203
0.292 1 18353003 18360045 1.34 1.34 372 0.00956189 0.13243825227021 0.0633 1812680.56872038
0.315 1 20234720 20239868 1.07 1.19 565 0.0646733 0.0238450798088237 0.1244 6238581.99356913
0.332 1 22166621 22176854 0.87 1.06 744 0.0166811 0.042947347596981 0.0647 3093867.07882535
0.349 1 24655081 24658793 0.69 0.89 121 0.0548901 0.0780592492999648 0.1285 5125923.73540856
0.356 1 25330382.5 25336517.5 0.66 0.85 2092 0.027437 0.0717499641626418 0.114 2888105.26315789
0.357 1 25397874 25405736 0.66 0.85 662 0.00868703 0.184366808909374 0.0712 1464106.17977528
0.361 1 25940165 25954849 0.64 0.81 222 0.00673931 0 0.0523 1546304.39770554
0.372 1 27635089 27640155 0.62 0.71 137 0.0544242 0.305196952826132 0.2804 2329138.37375178
0.387 1 30092809 30095436 0.57 0.58 255 0.0865118 0.0842869989989805 0.1592 6520989.94974874
0.393 1 31214977 31217837 0.53 0.52 94 0.0567117 0 0.2445 2783396.3190184
0.398 1 32173373 32186590 0.5 0.48 209 0.0252887 0.309168126475461 0.0775 3915669.67741936
0.404 1 33441856 33445024 0.47 0.42 82 0.0261409 0.201573779020615 0.0981 3197663.60856269
0.406 1 33802888 33804923 0.47 0.4 13 0.0192308 0 0.2365 975769.978858351
0.414 1 35723711 35729110 0.41 0.37 300 0.0221235 0.0415225439012814 0.1212 2190445.54455446
0.417 1 36438691 36461615 0.39 0.4 850 0.00715273 0.259101070500354 0.0839 1023036.47199046
0.421 1 37374602 37382171 0.36 0.44 315 0.00375489 0 0.0792 568922.727272727
0.422 1 37693920 37828128 0.35 0.43 539 0.0059082 0.19658610067364 0.0719 986069.541029207
0.425 1 38816404 38821620 0.32 0.39 70 0 NA 0.2383 0
0.426 1 39011650 39025960 0.32 0.38 1235 0.000528514 0.861125722308207 0.1033 61395.6243949661
0.432 1 40513042 40543033 0.28 0.33 211 0.00196207 0.60904554883363 0.0748 314770.588235294
0.434 1 41229756 41235195 0.26 0.31 128 0 Inf 0.128 0
0.436 1 41877286 41878345 0.25 0.29 63 0 NA 0.1808 0
0.443 1 44093452 44096983 0.2 0.23 209 0.0135982 0 0.1441 1132396.94656489
0.446 1 45642070 45647323.5 0.17 0.19 795 0.0225975150943396 0.0777841928353619 0.14225 1906293.01323076
0.448 1 46520022.5 46524532 0.16 0.17 719 0.02047580945758 0.0506102212135804 0.1118 2197761.30135027
0.453 1 52791471.2857143 52799827 0.0814285714285714 0.0671428571428571 2761 0.0183277045201014 0.1160030694575 0.114114285714286 1927299.92449739
0.454 1 59550095.75 59555756 0.05 0.03 1919 0.0464727455966649 0.0767859989453293 0.101475 5495668.36324197
0.455 1 61124506 61129528 0.05 0.03 222 0.0383 0.0377624020887728 0.0405 11348148.1481482
0.456 1 61919204 61923605 0.05 0.03 128 0.00670641 0 0.1437 560034.237995825
0.458 1 64110158 64114041 0.06 0.05 125 0 NA 0.0845 0
0.46 1 66306340.5 66313125 0.07 0.07 962 0.00318043675675676 0.134627812464309 0.09705 393253.385688625
0.462 1 68142272.3333333 68145515 0.08 0.0766666666666667 787 0.0155709013595934 0.0665986203991359 0.116833333333333 1599293.72024354
0.463 1 69873721.3333333 69880479.3333333 0.0733333333333333 0.06 794 0.0131935516372796 0.170530474394025 0.0876 1807335.84072323
0.465 1 72332242.3333333 72341937.3333333 0.07 0.04 1449 0.0187470072463768 0.0486707095663965 0.0974333333333333 2308902.70567761
0.466 1 74067460 74073332 0.06 0.03 1058 0.00679273251417769 0.261817466988724 0.08925 913308.573334816
0.468 1 77484063.5 77489534.5 0.05 0.02 664 0.0350558903614458 0.0532618429042862 0.1365 3081836.51529194
0.469 1 80277409 80284572.5 0.04 0.02 1484 0.0244094266846361 0.0033133772398236 0.0788 3717171.57634053
0.471 1 86075265.8 86082339.6 0.028 0.04 1942 0.0209684982492276 0.0970622714517002 0.11554 2177791.05929316
0.472 1 89553170.8571429 89563239.8571429 0.02 0.0371428571428571 3906 0.0172334910419867 0.116948737746245 0.139257142857143 1485036.1587268
0.473 1 96999699.4285714 97007084 0.01 0.03 1857 0.0104989266128164 0.0733267200392092 0.168571428571429 747381.216505572
0.474 1 114705922.392857 114712850.714286 0.0075 0.0139285714285714 10114 0.00797493637739767 0.107743089797198 0.118035714285714 810765.090107599
0.476 1 142426894 142446852 0 0 649 0.00134341 0 0.0792 203546.96969697
0.478 1 143351069 143358345 0 0 271 0.000768246 0 0.0958 96231.2317327766
0.479 1 143837029 143854668 0 0 485 0.000939923 0.132045922910707 0.0672 167843.392857143
0.48 1 144464332 144470550 0 0 184 0 NA 0.2288 0
0.482 1 149524661 149527456 0 -0.01 298 0.0016991 0.97881819786946 0.0926 220185.745140389
0.483 1 192915527.083333 192932703.666667 0 -0.00854166666666667 18927 0.00116831371590849 0.175250523975522 0.122741666666667 114221.722513967
0.484 1 267591790.041667 267600806.958333 0 0 8115 0.00466968933210105 0.139153275311608 0.121379166666667 461663.014536096
0.485 1 303936101.882353 303944401.529412 0 0 6781 0.00680778668190532 0.0685247191704756 0.155217647058824 526315.414070825
0.486 1 322900400.571429 322909150.571429 0.00619047619047619 0 8585 0.0090030001665696 0.0888009648115692 0.133119047619048 811574.330880178
0.487 1 333169342.666667 333175540 0.01 0.00333333333333333 1232 0.00673353857142857 0.0903080737233025 0.138233333333333 584536.746012608
0.488 1 345351664.285714 345355565.857143 0.01 0.0171428571428571 1556 0.014215772937018 0.158441184290286 0.2023 843249.01257645
0.489 1 355750460.6 355757877.2 0.018 0.03 1602 0.00766981805243446 0.074802601984028 0.0943 976010.780797598
0.49 1 359670718.5 359675443 0.0233333333333333 0.0433333333333333 1346 0.0117617652377415 0.133609320632441 0.129616666666667 1088912.30180968
0.491 1 364934641 364935971 0.01 0.05 64 0.0363008 0 0.2586 1684491.87935035
0.492 1 367667924.166667 367675542.5 0.0183333333333333 0.06 4623 0.00528217473566948 0.194211802474684 0.119016666666667 532581.684593478
0.493 1 372283944 372292526 0.07 0.07 125 0.0365126 0.0138298833827227 0.212 2066750.94339623
0.494 1 372997065 373000302 0.08 0.07 14 0 NA 0.1104 0
0.497 1 375059276 375075518 0.13 0.07 2329 0.00316068 0.0242049179290532 0.0755 502359.735099338
0.498 1 375899671 375903804 0.17 0.07 198 0.00456895 0 0.1478 370956.698240866
0.5 1 376970628 376975046.5 0.19 0.07 293 0.0218192010238908 0.00986515086697834 0.2091 1252177.96406834
0.501 1 377354906 377358430 0.19 0.07 404 0.00660278 0.167479455623237 0.136 582598.235294118
0.503 1 378882289 378884507 0.14 0.07 152 0.0453167 0.190851716916722 0.228 2385089.47368421
0.504 1 379645200 379651249 0.11 0.08 217 0.0492595 0 0.1925 3070722.07792208
0.505 1 380467084.666667 380470363.166667 0.106666666666667 0.08 1698 0.0194964730212014 0.0933998198113885 0.104466666666667 2239543.80588146
0.507 1 382472796 382482399.5 0.1 0.08 1053 0.00141909007787274 0.989721814250954 0.0991 171837.345453814
0.51 1 384883625 384886952 0.1 0.08 274 0.00761207 0.201150278439373 0.1098 831920.218579235
0.512 1 386658800 386662971 0.09 0.09 314 0.0071537 0.051038902945329 0.1279 671183.737294762
0.513 1 387545376 387551621 0.09 0.09 509 0.0028282 0.468230676755534 0.1099 308811.646951774
0.514 1 388353513 388361857 0.09 0.09 393 0.011784 0.0131540224032587 0.1225 1154351.02040816
0.515 1 392873364.5 392880081 0.074 0.096 2970 0.0111331743030303 0.12859411563457 0.12946 1031964.24869739
0.517 1 397046857 397056931 0.07 0.11 325 0.0176568 0.0441445788591364 0.0672 3153000
0.518 1 398276256 398284346 0.07 0.11 611 0.00555727 0.185799862162537 0.0708 941910.169491525
0.519 1 400083932 400088638 0.08 0.11 515 0.00562737 0.498220305400214 0.0934 723002.569593148
0.521 1 401233293 401236066 0.09 0.11 147 0.0294288 0 0.4517 781814.478636263
0.522 1 402151628 402156278 0.0933333333333333 0.12 841 0.0138264958977408 0.122864866363334 0.115666666666667 1434449.14212873
0.523 1 402981511.333333 402985750.666667 0.1 0.12 947 0.0127098553854277 0.220228223314436 0.109 1399250.13417552
0.525 1 404646811 404650023 0.12 0.12 128 0.0107757 0.274738532067522 0.2715 476274.033149171
0.526 1 405056793 405062154 0.12 0.12 501 0.0234466361277445 0 0.13115 2145326.98080773
0.527 1 405714931 405718563 0.13 0.13 219 0.0125396 0.146990334619924 0.1197 1257102.75689223
0.528 1 406334400.333333 406337526.333333 0.14 0.13 612 0.0133501017973856 0.112527151056093 0.250133333333333 640463.305844726
0.529 1 406714963.666667 406718787 0.146666666666667 0.13 697 0.00974999210903874 0.168221790268895 0.168066666666667 696151.757091223
0.533 1 409412148 409415944 0.17 0.14 550 0.0258799329090909 0.134928787331197 0.11955 2597734.79639557
0.535 1 410438726 410442190 0.16 0.14 235 0.00858261 0.061087711080895 0.0747 1378732.53012048
0.536 1 411003461 411009256.5 0.165 0.15 663 0.00632514304675717 0.204745501031169 0.0929 817026.012498235
0.537 1 411747775.5 411753840.5 0.17 0.15 788 0.028240203680203 0.048453517808307 0.1548 2189163.07598473
0.541 1 414148165 414150809.5 0.175 0.14 421 0.00908743681710214 0.0494016314293004 0.23705 460026.33117581
0.542 1 414509191 414517060 0.17 0.14 185 0.0153934 0.122833162264347 0.0996 1854626.5060241
0.545 1 416315528 416322392 0.18 0.15 428 0.0188645 0.0950589732036365 0.1303 1737329.24021489
0.547 1 417252252 417258240.5 0.18 0.15 1244 0.0153293381430868 0.0685767744501589 0.14525 1266451.34400717
0.549 1 418544529 418552924 0.17 0.16 541 0.00916394940850277 0.194216377656815 0.10295 1068163.11706686
0.551 1 420000184 420003056 0.15 0.16 194 0.0360065 0.0177235221418355 0.147 2939306.12244898
0.552 1 420402014 420407508 0.15 0.16 464 0.0136178860344828 0.0475578903652561 0.21595 756724.391821223
0.554 1 421688241 421708558 0.14 0.16 1289 0.00550281 0.529146018125285 0.1075 614267.162790698
0.555 1 422891831 422894245 0.14 0.16 227 0.00376117 0.287160644161258 0.2866 157480.94905792
0.556 1 423132395 423138202 0.14 0.16 368 0.0217691 0.173468356523696 0.1105 2364065.15837104
0.557 1 423936509 423943154 0.14 0.16 721 0.0117362373786408 0.0518872073627739 0.11585 1215665.50318247
0.558 1 424823399 424830206 0.14 0.16 136 0.0078766 0.165723789452302 0.2065 457720.0968523
0.562 1 427094732 427098155 0.17 0.16 52 0.0404008 0.0891801647492129 0.1009 4804852.32903865
0.563 1 427972885 427982398 0.17 0.15 367 0.0154667 0.128223861586505 0.061 3042629.50819672
0.565 1 428937057 428938741 0.18 0.13 74 0.00734807 0 0.012 7348070
0.568 1 430856235 430868178 0.17 0.12 888 0.0323251 0.029596474566204 0.0772 5024626.94300518
0.57 1 431879601.5 431906951 0.16 0.11 2613 0.00322547027937237 0.108184759949754 0.0885 437351.902287779
0.571 1 432715786 432721754 0.15 0.12 252 0.0223548 0 0.1029 2606973.76093294
0.572 1 432921187 432923227 0.15 0.12 311 0.0202667 0.165828181203649 0.2814 864251.599147122
0.573 1 433602425 433609131.5 0.14 0.12 839 0.00306491661501788 0.177604820557856 0.09325 394412.861986215
0.574 1 434445890 434449760 0.14 0.13 310 0.0256024 0.204089850951473 0.1243 2471671.76186645
0.575 1 435123405 435131049 0.14 0.14 1053 0.0126631727065527 0.0598299631736925 0.12105 1255333.10597796
0.576 1 435748067 435753445 0.14 0.153333333333333 1819 0.00938814887300715 0.112353983793962 0.161166666666667 699014.187028454
0.578 1 437343051 437346341 0.14 0.19 256 0.0101864 0 0.1044 1170850.57471264
0.579 1 439169648 439175794 0.12 0.17 268 0.0217056 0.233239809081527 0.0787 3309621.34688691
0.581 1 440951350 440958926.5 0.11 0.16 1099 0.012359045077343 0.244212524866409 0.1131 1311304.51748998
0.582 1 441911313 441920827 0.11 0.16 463 0.00732772 0.0872314990201591 0.1541 570620.635950681
0.583 1 442734789 442743432 0.11 0.16 961 0.0337195 0.094749625587568 0.1348 3001735.90504451
0.584 1 443845079 443847803 0.11 0.16 322 0.0196636639440994 0.0290167842907157 0.14825 1591662.5114954
0.585 1 444500095 444507791 0.12 0.16 1255 0.0202119371314741 0.0492188269035649 0.0881 2753044.78521781
0.586 1 444895249 444898943 0.12 0.16 187 0.0472081 0.0961123197078467 0.1188 4768494.94949495
0.587 1 445556868 445563658 0.13 0.17 128 0.00229008 0 0.0844 325603.791469194
0.588 1 446122024 446125170 0.13 0.17 353 0.00421253 0.391902253515109 0.1073 471112.395153774
0.589 1 447580148 447583146 0.15 0.18 183 0.00605413 0.285547221483516 0.149 487580.939597315
0.59 1 447746706 447750206 0.15 0.18 104 0.0115385 0.208332972223426 0.1262 1097163.23296355
0.591 1 448240781 448266713 0.16 0.18 574 0.0228821 0.028709821213962 0.0715 3840352.44755245
0.592 1 448818340 448821848 0.17 0.19 121 0.0220428 0.166036528934618 0.0917 2884553.98037077
0.594 1 449949073.333333 449952619.666667 0.19 0.196666666666667 696 0.0309556114942529 0.132141061309071 0.158133333333333 2349076.75757399
0.595 1 450208347 450211340 0.19 0.2 82 0.00168177 2.01828430760449 0.3935 51286.5057179161
0.597 1 451191493.333333 451197738 0.213333333333333 0.21 1269 0.0154192363593381 0.0757355606609581 0.134366666666667 1377059.06458985
0.598 1 451722894.5 451731540 0.23 0.22 657 0.0391392447488584 0.0357848217042568 0.15755 2981091.31695526
0.6 1 452492328 452500046 0.25 0.23 368 0.0102525 0.0163725920507193 0.1387 887022.350396539
0.602 1 453373805.5 453380813 0.27 0.24 900 0.00629273027777778 0.197329375091513 0.1746 432490.053455517
0.604 1 454083315 454093879 0.28 0.25 738 0.0143119 0.153465996827815 0.1203 1427620.94763092
0.605 1 454415450 454420680.5 0.29 0.255 790 0.0181841372151899 0.103436994090635 0.135 1616367.75246132
