Query	Subject	Query_length.x	BitScore_corrected.x	Evalue.x	Coverage.x	Similarity.x	Query_length.y	BitScore_corrected.y	Evalue.y	Coverage.y	Similarity.y
Ae_caudata_Tr139_CAU6_Contig1009_simExt	HORVU5Hr1G075430	1014	1.54037200301043	1.52341826405763e-27	1	94.4090265211859	1014	1.54037200301043	2.64631722750242e-28	1	94.4090265211859
Ae_caudata_Tr139_CAU6_Contig1014_simExt	HORVU7Hr1G109250	374	1.44003398883224	2.1257586793617e-27	1	92.7293065382232	374	1.44003398883224	6.11022092748876e-28	1	92.7293065382232
Ae_caudata_Tr139_CAU6_Contig1016_simExt	HORVU5Hr1G070720	2409	1.66511645074373	2.82685564536965e-61	0.990867579908676	96.7207023858025	2409	1.66511645074373	1.57383826080537e-62	0.990867579908676	96.7207023858025
Ae_caudata_Tr139_CAU6_Contig1018_simExt	HORVU3Hr1G019790	2016	1.63968281681944	2.18277154081257e-16	1	95.9736003785887	2016	1.63968281681944	3.89988840390057e-17	1	95.9736003785887
Ae_caudata_Tr139_CAU6_Contig1023_simExt	HORVU3Hr1G010800	975	1.59779718951766	1.88408659323965e-43	1	95.198084960262	975	1.59779718951766	1.66486897075579e-44	1	95.198084960262
Ae_caudata_Tr139_CAU6_Contig1024_simExt	HORVU1Hr1G047730	3149	1.57926418755693	9.92685834224387e-41	0.998412194347412	95.3294048124373	3149	1.57926418755693	7.96338362837115e-42	0.998412194347412	95.3294048124373
Ae_caudata_Tr139_CAU6_Contig1028_simExt	HORVU6Hr1G076440	1766	1.62257475855183	1.04377916687237e-15	0.982446206115515	95.8879979491782	1766	1.62257475855183	8.29101181634698e-17	0.982446206115515	95.8879979491782
Ae_caudata_Tr139_CAU6_Contig1029_simExt	HORVU3Hr1G052250	404	1.48370335380255	3.37779877184695e-22	1	93.4037870049505	404	1.48370335380255	8.58384506376949e-23	1	93.4037870049505
Ae_caudata_Tr139_CAU6_Contig1031_simExt	HORVU7Hr1G054010	885	1.56600415307031	0	0.995480225988701	94.5237783200908	885	1.56600415307031	0	0.995480225988701	94.5237783200908
Ae_caudata_Tr139_CAU6_Contig104_simExt	HORVU2Hr1G113320	1649	1.51864211461359	7.25517969894125e-48	0.909035779260158	94.222519813603	1649	1.51864211461359	3.75238806328476e-49	0.909035779260158	94.222519813603
Ae_caudata_Tr139_CAU6_Contig1045_simExt	HORVU7Hr1G063630	1589	1.4569996766893	2.45531846104106e-160	0.97608558842039	93.3265014614227	1589	1.4569996766893	1.76302942127384e-161	0.97608558842039	93.3265014614227
Ae_caudata_Tr139_CAU6_Contig1050_simExt	HORVU5Hr1G053070	2468	1.59287178678442	8.86232455448667e-60	0.998784440842788	95.6284172997478	2468	1.59287178678442	2.08642170004731e-61	0.998784440842788	95.6284172997478
Ae_caudata_Tr139_CAU6_Contig1053_simExt	HORVU4Hr1G053660	994	2.02476378045593	0	0.896378269617706	95.067	994	2.06916751042439	0	0.894366197183099	95.067
Ae_caudata_Tr139_CAU6_Contig1056_simExt	HORVU7Hr1G076900	1803	1.5514935678465	6.68023528599462e-32	1	94.8441426876922	1803	1.5514935678465	3.28723014027182e-33	1	94.8441426876922
Ae_caudata_Tr139_CAU6_Contig1060_simExt	HORVU1Hr1G016430	1251	1.68449104918603	6.12365063437808e-29	0.973621103117506	97.0319584903833	1251	1.68449104918603	3.77151993511384e-30	0.973621103117506	97.0319584903833
Ae_caudata_Tr139_CAU6_Contig1063_simExt	HORVU5Hr1G053310	2331	1.63002778996636	9.14874945151382e-64	0.99013299013299	96.1058197877565	2331	1.63002778996636	6.53966164497099e-65	0.99013299013299	96.1058197877565
Ae_caudata_Tr139_CAU6_Contig1083_simExt	HORVU5Hr1G062160	1728	1.51888935633151	0	0.994791666666667	94.0373152672743	1728	1.51735731697066	0	0.994791666666667	94.0452698574291
Ae_caudata_Tr139_CAU6_Contig1089_simExt	HORVU4Hr1G050630	1168	1.56564865570347	2.4494909945184e-53	0.991438356164384	95.1344906396496	1168	1.56564865570347	1.34902114330462e-54	0.991438356164384	95.1344906396496
Ae_caudata_Tr139_CAU6_Contig109_simExt	HORVU2Hr1G029990	1012	1.57412398921833	7.54716981132075e-36	0.947628458498024	95.1108999652416	1012	1.57412398921833	5.35849056603774e-38	0.947628458498024	95.1108999652416
Ae_caudata_Tr139_CAU6_Contig110_simExt	HORVU2Hr1G121990	578	1.63285024154589	1.16257088846881e-33	1	96.1389514060526	578	1.63285024154589	9.36946019743751e-35	1	96.1389514060526
Ae_caudata_Tr139_CAU6_Contig1105_simExt	HORVU5Hr1G111530	2354	1.29800778026642	2.22671224802546e-82	0.852591333899745	90.6031791064607	2354	1.29678483099753	6.43599104934637e-84	0.852591333899745	90.6113652466368
Ae_caudata_Tr139_CAU6_Contig1127_simExt	HORVU3Hr1G098290	676	1.40076335877863	1.12302798982188e-41	0.995562130177515	92.3493902922239	676	1.40076335877863	4.28848600508906e-42	0.995562130177515	92.3493902922239
Ae_caudata_Tr139_CAU6_Contig113_simExt	HORVU5Hr1G113970	1255	1.36511521788729	8.47516921438893e-18	0.99203187250996	91.6303536031305	1255	1.36511521788729	5.45136512282303e-19	0.99203187250996	91.6303536031305
Ae_caudata_Tr139_CAU6_Contig1139_simExt	HORVU5Hr1G122350	1488	1.61548246411049	1.84191877180734e-24	0.969086021505376	95.5024354715673	1488	1.61548246411049	1.81564165023564e-25	0.969086021505376	95.5024354715673
Ae_caudata_Tr139_CAU6_Contig1142_simExt	HORVU6Hr1G012440	1307	1.53703703703704	0	1	94.5531718311655	1307	1.53703703703704	0	1	94.5531718311655
Ae_caudata_Tr139_CAU6_Contig1155_simExt	HORVU5Hr1G050720	3556	1.624523684129	3.36924935847529e-92	0.90185601799775	96.0182996392046	3556	1.624523684129	1.92434709948041e-93	0.90185601799775	96.0182996392046
Ae_caudata_Tr139_CAU6_Contig1158_simExt	HORVU6Hr1G076750	1700	1.56657854095228	6.24296521215611e-33	0.995294117647059	94.9929760755029	1700	1.56657854095228	5.53621443342146e-34	0.995294117647059	94.9929760755029
Ae_caudata_Tr139_CAU6_Contig1165_simExt	HORVU2Hr1G044740	1948	1.66292735042735	0	1	96.6463480492813	1948	1.66292735042735	0	1	96.6463480492813
Ae_caudata_Tr139_CAU6_Contig1172	HORVU6Hr1G014310	1363	1.49420004377325	2.61746552856205e-55	0.862068965517241	93.7312286930091	1363	1.49420004377325	3.73121033048807e-56	0.862068965517241	93.7312286930091
Ae_caudata_Tr139_CAU6_Contig1175_simExt	HORVU4Hr1G010320	3211	1.69940119760479	1.87788967519506e-125	0.843973839925257	97.364527804428	3211	1.69940119760479	1.27329885683179e-126	0.843973839925257	97.364527804428
Ae_caudata_Tr139_CAU6_Contig1177	HORVU3Hr1G087430	255	1.30131233595801	8.11338582677165e-36	1	90.5862450980392	255	1.30131233595801	3.15359580052493e-36	1	90.5862450980392
Ae_caudata_Tr139_CAU6_Contig1187_simExt	HORVU2Hr1G106820	1637	1.65518644067797	0	0.976175931582163	96.6592578222778	1637	1.65518644067797	0	0.976175931582163	96.6592578222778
Ae_caudata_Tr139_CAU6_Contig1198_simExt	HORVU7Hr1G035910	1140	1.28544949026877	5.66141489033055e-146	0.974561403508772	90.1866485148515	1140	1.28544949026877	7.23694779116466e-147	0.974561403508772	90.1866485148515
Ae_caudata_Tr139_CAU6_Contig1204_simExt	HORVU6Hr1G020400	1313	1.57926829268293	0	0.846153846153846	95.0675531053105	1313	1.57926829268293	0	0.846153846153846	95.0675531053105
Ae_caudata_Tr139_CAU6_Contig1215_simExt	HORVU3Hr1G076520	1703	1.57913375102152	0	0.997064004697592	95.2188612681586	1703	1.57913375102152	0	0.997064004697592	95.2188612681586
Ae_caudata_Tr139_CAU6_Contig1216_simExt	HORVU7Hr1G115780	1523	1.58501661979034	2.26936844881358e-33	0.973079448456993	95.2245127658891	1523	1.58501661979034	4.04270008256175e-35	0.973079448456993	95.2245127658891
Ae_caudata_Tr139_CAU6_Contig1228_simExt	HORVU3Hr1G076910	587	1.28488160291439	3.10484517304189e-133	0.998296422487223	90.2468066410694	587	1.28488160291439	2.26091074681239e-133	0.998296422487223	90.2468066410694
Ae_caudata_Tr139_CAU6_Contig1238_simExt	HORVU5Hr1G053230	702	1.63389626055489	0	1	96.1108598290598	702	1.63389626055489	0	1	96.1108598290598
Ae_caudata_Tr139_CAU6_Contig124	HORVU3Hr1G034310	435	1.3406292749658	1.05285909712722e-104	0.995402298850575	91.5147043879908	435	1.3406292749658	9.44076607387141e-106	0.995402298850575	91.5147043879908
Ae_caudata_Tr139_CAU6_Contig1240_simExt	HORVU4Hr1G085830	1126	1.57708484408992	4.9427121102248e-71	0.992007104795737	95.0168057765273	1126	1.57891679976768	4.94845360824742e-73	0.992007104795737	95.0104763311591
Ae_caudata_Tr139_CAU6_Contig1242_simExt	HORVU3Hr1G070550	1496	1.56722521444245	7.39314348694586e-26	0.817513368983957	94.9723320992603	1496	1.56722521444245	3.56107396769486e-27	0.817513368983957	94.9723320992603
Ae_caudata_Tr139_CAU6_Contig1245_simExt	HORVU5Hr1G082460	1812	1.54623231326094	0	0.996688741721854	94.7884222037652	1812	1.54623231326094	0	0.996688741721854	94.7884222037652
Ae_caudata_Tr139_CAU6_Contig1253_simExt	HORVU4Hr1G012220	1921	1.40845433456483	3.09794655898327e-140	0.925039042165539	92.4538608141062	1921	1.40845433456483	2.01236360512107e-141	0.925039042165539	92.4538608141062
Ae_caudata_Tr139_CAU6_Contig1266_simExt	HORVU3Hr1G093050	1553	1.67503937660615	1.4324795867957e-34	0.953638119768191	96.8169524060417	1553	1.67503937660615	9.94777483338667e-36	0.953638119768191	96.8169524060417
Ae_caudata_Tr139_CAU6_Contig127_simExt	HORVU6Hr1G091210	1041	1.446195982958	3.79560804003918e-31	0.994236311239193	92.849858023304	1041	1.446195982958	2.27686415725496e-32	0.994236311239193	92.849858023304
