Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
T_monococcum_TC8_ID259_Contig10	TraesCS1D02G310300	410	0.996535391491286	3.56e-180	0.94390243902439	96.124
T_monococcum_TC8_ID259_Contig100_simExt	TraesCS3D02G086900	2664	1.62086806553607	2.03851681517677e-97	1	96.0787493118118
T_monococcum_TC8_ID259_Contig1003_simExt	TraesCS2D02G242400	1991	1.81949956859362	1.06902502157032e-24	1	99.4991334337854
T_monococcum_TC8_ID259_Contig1005_simExt	TraesCS7D02G252200	2794	1.73457442386507	0	1	96.93
T_monococcum_TC8_ID259_Contig1008_simExt	TraesCS2D02G503000	498	1.78537735849057	3.53443396226415e-24	0.85140562248996	98.8206367924528
T_monococcum_TC8_ID259_Contig1014_simExt	TraesCS6D02G370300	775	1.54391727493917	2.09428223844286e-20	0.88	94.2977903225806
T_monococcum_TC8_ID259_Contig1015	TraesCS2D02G253200	269	0.736972735036502	6.82e-126	1	96.691
T_monococcum_TC8_ID259_Contig1016	TraesCS5D02G138700	253	0.541953456825746	8.66e-90	1	90.272
T_monococcum_TC8_ID259_Contig1021_simExt	TraesCS1D02G164300	1167	1.73248212461696	2.52829417773238e-20	0.833761782347901	97.9526372045221
T_monococcum_TC8_ID259_Contig1022_simExt	TraesCS4D02G322000	614	1.2577695662363	0	0.812703583061889	97.194
T_monococcum_TC8_ID259_Contig1023_simExt	TraesCS2D02G215400	1023	1.72495181456788	0	0.995112414467253	93.627
T_monococcum_TC8_ID259_Contig1024	TraesCS1D02G228700	300	0.626399338878497	7.9e-106	0.903333333333333	92.251
T_monococcum_TC8_ID259_Contig1026_simExt	TraesCS5D02G031300	725	1.75304630381803	0	1	98.2809806896552
T_monococcum_TC8_ID259_Contig1028_simExt	TraesCS2D02G212900	1154	1.74842462433349	0	0.892547660311958	98.2555
T_monococcum_TC8_ID259_Contig1029_simExt	TraesCS3D02G196200	703	1.71969945552804	0	1	98.578
T_monococcum_TC8_ID259_Contig103_simExt	TraesCS3D02G263400	581	1.51022106716347	0	0.998278829604131	98.621
T_monococcum_TC8_ID259_Contig1033_ESTScan	TraesCS7D02G323600	1106	1.44572025052192	6.15793319415449e-153	0.858951175406872	93.2999147368421
T_monococcum_TC8_ID259_Contig1043_simExt	TraesCS3D02G168600	420	1.1665012508571	0	1	98.571
T_monococcum_TC8_ID259_Contig1044_simExt	TraesCS1D02G268500	1185	1.99022563645953	0	0.984810126582279	96.34
T_monococcum_TC8_ID259_Contig1047_simExt	TraesCS4D02G242000	2444	1.61293039907339	5.18163630620196e-76	1	95.8580637274959
T_monococcum_TC8_ID259_Contig1049_simExt	TraesCS3D02G295500	3102	1.34580124679135	0	0.865892972275951	91.6597278481013
T_monococcum_TC8_ID259_Contig105_simExt	TraesCS1D02G011700	3342	1.55900430239705	0	1	94.8699893776182
T_monococcum_TC8_ID259_Contig1053_simExt	TraesCS5D02G092000	1682	1.73202170963365	1.52434192672999e-148	0.874554102259215	97.964523453433
T_monococcum_TC8_ID259_Contig1055_simExt	TraesCS3D02G017500	671	1.5476340817089	0	0.944858420268256	97.645
T_monococcum_TC8_ID259_Contig1057_simExt	TraesCS2D02G293900	609	1.68144499178982	0	1	97.044
T_monococcum_TC8_ID259_Contig1059_simExt	TraesCS5D02G504100	1519	1.94738865449272	0	1	94.682
T_monococcum_TC8_ID259_Contig106_simExt	TraesCS3D02G193800	3185	1.77609648679771	3.34532010747692e-69	0.994348508634223	98.7372836567108
T_monococcum_TC8_ID259_Contig1063_simExt	TraesCS7D02G433300	1237	1.63088718510405	1.06243154435926e-26	1	96.6079658592216
