poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1211991.83333333 1217949.66666667 1.28182851052807e-06 3538 0.0320228627953646 0.0176782263068286
0.07 1A 3187498 3192426.5 1.22937490207059e-06 623 0.031765437399679 0.0805160140662892
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1614 0.0519461458488228 0.0828118670428282
0.09 1A 4045713 4048684 1.19607758843423e-06 193 0.016624 0
0.12 1A 5491027 5495112 1.15658401937862e-06 250 0.0307549 0.0664154329879141
0.14 1A 6569388 6576401 1.12599356487817e-06 266 0 Inf
0.15 1A 7534568.25 7540801 1.09785272274282e-06 1733 0.0495142007501443 0.0426419757324127
0.16 1A 8247277.25 8250462 1.0766597604853e-06 770 0.0479455072727273 0.0839723016069276
0.17 1A 9111992 9116920.5 1.05029696827475e-06 647 0.0266480041731066 0.0533185341044735
0.18 1A 9602738.33333333 9605994 1.03510898989329e-06 659 0.0357616804248862 0.036833022337038
0.19 1A 10065337.75 10071244.25 1.0214999284552e-06 918 0.0177363148148148 0.0345267028118338
0.2 1A 11564200 11572148 9.80895544252246e-07 147 0.0064 0.309253125
0.21 1A 12149849.8571429 12154597.8571429 9.65491695700203e-07 1708 0.0396088818501171 0.0371320693628521
0.22 1A 13480096 13484893.3333333 9.30717413610746e-07 1701 0.0221406978835979 0.0627169574170423
0.23 1A 15212868.125 15217082 8.80669938145144e-07 1616 0.0307701985024752 0.0402195003649858
0.24 1A 16931434 16934477 8.31349589658753e-07 174 0.0170455 0
0.26 1A 19895297 19897721 7.53136045557493e-07 40 0 NA
0.27 1A 20426598 20431781 7.39974371876282e-07 1832 0.0133815613646288 0.130042901999753
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 2168 0.0171439194372694 0.0867260296268469
0.29 1A 22534635 22536459 6.90200625240664e-07 78 0.0125 0
0.3 1A 24083756 24087276 6.53282443352388e-07 521 0.022880652975048 0.0475897287671531
0.31 1A 25595318.3333333 25600160 6.07592066157176e-07 953 0.013444333683106 0.088846493839976
0.32 1A 27650258 27655744.1428571 5.39919357510252e-07 2934 0.0115905398841172 0.0889554009569686
0.33 1A 30210080.75 30216107.25 4.69875701118892e-07 2050 0.00198649297560976 0.280083694991242
0.34 1A 33135490.125 33140417 4.26112217029445e-07 3058 0.0053651104970569 0.133245626877125
0.35 1A 36413002.7142857 36417481.8571429 3.30924985882284e-07 3272 0.00330793158618582 0.15896316774341
0.36 1A 41546874.125 41554090.5 2.23101251172661e-07 1962 0.00245745738022426 0.302888319893088
0.37 1A 45911821.6666667 45917538.6666667 2.24299929579088e-07 1225 0.00235658510204082 0.498580538234718
0.38 1A 49191768.8461538 49198652 2.2288411224733e-07 5695 0.00071504422739245 0.350907899107403
0.39 1A 53366765.8333333 53371699.5 1.79281905898942e-07 2899 0.000693518982407727 0
0.4 1A 58650066.6470588 58655984.9411765 1.4977977900195e-07 5768 0.00257896882281553 0.153608044956539
0.41 1A 65180811.7 65185126.85 1.2869224346748e-07 5444 0 Inf
0.42 1A 80058932.3214286 80065758.8214286 4.93608791473315e-08 14836 0.000736496406039364 0.261775481619513
0.43 1A 154853269.643216 154861714.457286 5.82055999333611e-09 72120 0.000251960455906822 0.438139782164622
