Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_uniaristata_Tr403_UNA23_Contig10_simExt	TraesCS2B02G080200	449	1.31028677004882	0	0.997772828507795	95.536
Ae_uniaristata_Tr403_UNA23_Contig1001_simExt	TraesCS5B02G028800	468	1.09669388325922	2.54e-172	0.959401709401709	90.949
Ae_uniaristata_Tr403_UNA23_Contig1015_simExt	TraesCS6B02G367200	2357	1.77562756781201	0	1	97.836
Ae_uniaristata_Tr403_UNA23_Contig1017_simExt	TraesCS3B02G230700	1256	1.7372641509434	1.66088207547171e-55	0.843152866242038	98.018761095373
Ae_uniaristata_Tr403_UNA23_Contig1018_simExt	TraesCS5B02G479100	726	1.67090395480226	1.64237288135596e-54	0.96831955922865	97.1792204836415
Ae_uniaristata_Tr403_UNA23_Contig1020_simExt	TraesCS2B02G530500	268	1.72388059701493	8.92e-130	1	97.761
Ae_uniaristata_Tr403_UNA23_Contig1023_simExt	TraesCS5B02G152600	538	1.73263157894737	2.10031578947368e-64	0.882899628252788	97.8947052631579
Ae_uniaristata_Tr403_UNA23_Contig1031_simExt	TraesCS6B02G274600	482	1.55595683016358	0	0.99792531120332	99.168
Ae_uniaristata_Tr403_UNA23_Contig1034_simExt	TraesCS1B02G066400	781	1.78901191585943	0	0.965428937259923	95.503
Ae_uniaristata_Tr403_UNA23_Contig1035_simExt	TraesCS5B02G073500	321	1.79750778816199	3.7e-164	1	99.065
Ae_uniaristata_Tr403_UNA23_Contig1038_simExt	TraesCS7B02G327700	263	0.910385594668089	1.13e-128	1	98.099
Ae_uniaristata_Tr403_UNA23_Contig1040	TraesCS4B02G111500	496	1.2399227389403	0	0.872983870967742	95.15
Ae_uniaristata_Tr403_UNA23_Contig1044	TraesCS7B02G433800	526	1.24389152829394	0	0.992395437262357	91.199
Ae_uniaristata_Tr403_UNA23_Contig1059_simExt	TraesCS2B02G149500	1364	1.38888888888889	1.02631578947368e-36	0.962609970674487	92.1192307692308
Ae_uniaristata_Tr403_UNA23_Contig1061_simExt	TraesCS1B02G007800	1929	1.70864946889226	0	0.853810264385692	97.5569895264117
Ae_uniaristata_Tr403_UNA23_Contig1064	TraesCS6B02G112800	484	1.28664356815351	0	0.896694214876033	96.092
Ae_uniaristata_Tr403_UNA23_Contig1066	TraesCS3B02G370900	353	1.1546074524128	6.77e-172	1	97.45
Ae_uniaristata_Tr403_UNA23_Contig1071_simExt	TraesCS3B02G587400	1122	2.19275300530318	0	1	98.128
Ae_uniaristata_Tr403_UNA23_Contig1074_simExt	TraesCS1B02G238400	583	1.53711711711712	2.91603603603604e-20	0.950257289879931	94.4174296028881
Ae_uniaristata_Tr403_UNA23_Contig1077_simExt	TraesCS5B02G022800	506	1.57407407407407	1.89001610305958e-84	1	95.2502435770751
Ae_uniaristata_Tr403_UNA23_Contig1078_simExt	TraesCS2B02G308200	1588	1.69096209912536	7.52708130871396e-134	0.998740554156171	97.3176837957125
Ae_uniaristata_Tr403_UNA23_Contig1080_simExt	TraesCS3B02G461200	1746	1.4984375	0	0.9553264604811	94.1288381294964
Ae_uniaristata_Tr403_UNA23_Contig109_simExt	TraesCS4B02G165800	941	1.68710359408034	0	0.997874601487779	97.252
Ae_uniaristata_Tr403_UNA23_Contig1090_simExt	TraesCS3B02G313000	1253	1.71963355215389	0	0.990422984836393	92.07
Ae_uniaristata_Tr403_UNA23_Contig1093_simExt	TraesCS2B02G260900	2263	1.5673665791776	4.72035958005249e-25	1	95.5243450066284
Ae_uniaristata_Tr403_UNA23_Contig1094_simExt	TraesCS1B02G169900	4055	1.77561564461613	7.93175599549332e-15	1	98.7346353884094
Ae_uniaristata_Tr403_UNA23_Contig1106_simExt	TraesCS2B02G404600	957	2.07458248738759	0	0.995820271682341	97.272
Ae_uniaristata_Tr403_UNA23_Contig1113_simExt	TraesCS1B02G000800	702	1.61592920353982	0	0.800569800569801	95.929
Ae_uniaristata_Tr403_UNA23_Contig112_simExt	TraesCS2B02G576100	403	1.739092495637	2.06544502617801e-38	0.992555831265509	98.00468
Ae_uniaristata_Tr403_UNA23_Contig1122_simExt	TraesCS7B02G289000	933	1.66709021601017	5.2012706480305e-87	0.87459807073955	96.8344325980392
Ae_uniaristata_Tr403_UNA23_Contig1130_simExt	TraesCS2B02G252900	1621	2.02344308238895	0	0.998766193707588	96.919
Ae_uniaristata_Tr403_UNA23_Contig1141	TraesCS5B02G419000	476	1.13890033977024	5.52e-179	0.926470588235294	92.342
Ae_uniaristata_Tr403_UNA23_Contig1149_simExt	TraesCS6B02G255800	854	2.1103643084648	0	0.996487119437939	98.826
Ae_uniaristata_Tr403_UNA23_Contig1150_ESTScan	TraesCS5B02G083800	255	1.44968553459119	1.09465408805031e-22	1	92.9752411764706
Ae_uniaristata_Tr403_UNA23_Contig1153_ESTScan	TraesCS3B02G164500	453	1.25896798038238	0	1	93.991
Ae_uniaristata_Tr403_UNA23_Contig1154_simExt	TraesCS4B02G028800	465	1.34822832450001	0	0.993548387096774	95.726
Ae_uniaristata_Tr403_UNA23_Contig1155_simExt	TraesCS4B02G197900	1108	1.62226957911561	0	0.994584837545126	96.1159500907441
Ae_uniaristata_Tr403_UNA23_Contig1156_simExt	TraesCS6B02G045200	968	1.59572528952665	0	1	90.083
Ae_uniaristata_Tr403_UNA23_Contig1162_simExt	TraesCS7B02G482400	5620	1.61859582542695	7.09222011385199e-22	0.918861209964413	96.1217279240899
