poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 968691.272727273 973359.636363636 0.962 1.946 4672 0.0145865760916096 0.0421674263081731 0.181909090909091 962232.905593437
0.05 1 4567330.875 4573212 1.22375 1.8975 2663 0.0113248954412317 0.149952569975557 0.213 638022.27837925
0.1 1 8449436.16666667 8456047.33333333 1.735 1.76333333333333 3206 0.0208180852152215 0.02152235677287 0.178983333333333 1395755.78312314
0.15 1 11141999.6666667 11147693 2.17666666666667 1.68333333333333 621 0.00801109837359098 0.172844181229266 0.190566666666667 504459.579236095
0.2 1 13252707.4285714 13261835.7142857 2.17285714285714 1.57428571428571 2857 0.0232072435421771 0.069916179025779 0.161785714285714 1721331.97134029
0.25 1 15193159 15199518.6666667 1.77333333333333 1.62333333333333 1892 0.0004954044397463 0.310374556761234 0.1299 45764.8443183649
0.3 1 18723560.75 18729845.75 1.295 1.32 2245 0.00306391356792873 0.0832107217094618 0.1214 302858.013304323
0.35 1 25298363.5 25304146.75 0.69 0.85625 5481 0.00131094977102718 0.394949943253676 0.1443 109018.691977313
0.4 1 35372498.25 35391009.3333333 0.416666666666667 0.440833333333333 6460 0.00108485153250774 0.246252589756008 0.142508333333333 91350.5763879975
0.45 1 85056044.7168142 85063434.3628319 0.0466371681415929 0.0492035398230089 45228 0.000616003140620854 0.36790289383004 0.129677876106195 57003.0749223316
0.5 1 298474617.413502 298485358.700422 0.0251476793248945 0.0237552742616034 95839 0.000558113245108985 0.271041375957842 0.122851054852321 54516.0881960575
0.55 1 417723963.508197 417733922.934426 0.154754098360656 0.143114754098361 25218 7.66783008168768e-05 0.526736600021165 0.128108196721311 7182.51941212011
0.6 1 448473946.907692 448482306.323077 0.202 0.214307692307692 23389 0.000684776467142674 0.253861004823468 0.131304615384615 62582.0926525854
0.65 1 465028522.882353 465034076.529412 0.387058823529412 0.407647058823529 5944 0.00166358559219381 0.197336622727849 0.184823529411765 108011.286062233
0.7 1 477463332.705882 477470224.294118 0.571764705882353 0.510588235294118 5828 0.00330866569663693 0.0294810908374563 0.194947058823529 203665.490514448
0.75 1 485917568.933333 485922760.4 0.64 0.567333333333333 5379 0.00125051385015802 0.344696770273577 0.157686666666667 95164.4582202866
0.8 1 493081626.043478 493086144.652174 0.62 0.600869565217391 8767 0.00149095977301243 0.0427913133500428 0.172726086956522 103583.179538206
0.85 1 502134443.4 502143356.2 0.4724 0.6388 8787 0.00177644175281666 0.203101969185517 0.191932 111066.945760998
