poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1218376 1224584 1.28165967896834e-06 2724 0.0255975918135095 0.0472154450113248
0.07 1A 3119378 3122276 1.23125516685771e-06 112 0.0218845 0
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1493 0.0456433732752847 0.0530395064072579
0.09 1A 4045713 4048684 1.19607758843423e-06 193 0.0339788 0
0.12 1A 5491027 5495112 1.15658401937862e-06 307 0.0260246 0.069886184609946
0.14 1A 6569388 6576401 1.12599356487817e-06 119 0.00559006 0
0.15 1A 7495603 7503027 1.09898218543153e-06 1412 0.0301018914305949 0.0449064416620296
0.16 1A 8247297.33333333 8250192.66666667 1.07666349900147e-06 486 0.0167913518518519 0.0837314046999258
0.17 1A 9104841 9110639 1.05050385683924e-06 393 0.0378151 0.0162543534196657
0.18 1A 9602738.33333333 9605994 1.03510898989329e-06 626 0.0362618800319489 0.0490249542940359
0.19 1A 10062443.6666667 10066600.6666667 1.02160377026859e-06 274 0.0169090797810219 0.119394057854107
0.2 1A 11564200 11572148 9.80895544252246e-07 59 0 Inf
0.21 1A 12122663.3333333 12127318.8333333 9.66206731043799e-07 1160 0.0279242323189655 0.0220624600945062
0.22 1A 13716234 13722392 9.24447541538491e-07 769 0.032288611183355 0.0186295335687856
0.23 1A 15551644.8333333 15555191.6666667 8.70880463893116e-07 927 0.0292620791909385 0.0136458570240957
0.24 1A 16931434 16934477 8.31349589658753e-07 176 0.0360396 0.0290691350625423
0.25 1A 18289937 18293936 7.94493491159828e-07 16 0.0428571 0
0.26 1A 19895297 19897721 7.53136045557493e-07 70 0 NA
0.27 1A 20622966.3333333 20627037.8333333 7.35207445071621e-07 1673 0.0141246863598326 0.070092172876448
0.28 1A 21761704.6 21768609.4 7.08010402634919e-07 1839 0.0162935979336596 0.0673555034005456
0.3 1A 24498973.75 24502356.25 6.403304133848e-07 595 0.0299293845378151 0.0553698886451143
0.31 1A 25620304.5 25627185 6.06857316574939e-07 903 0.00405194378737542 0.100374204279748
0.32 1A 27633177.1666667 27638805.3333333 5.40704967410258e-07 2688 0.0192336713541667 0.0644032664565815
0.33 1A 30410898.3333333 30417401 4.65946372613172e-07 1447 0.0209359471651693 0.0285843024453863
0.34 1A 33640308.2 33645952.6 4.20103551627938e-07 1388 0.0390037828530259 0.0881651786357987
0.35 1A 36361093.4285714 36365848.8571429 3.31110603753838e-07 3424 0.00557973075642523 0.107987275953727
0.36 1A 42136140.5 42139970.25 2.16994329692698e-07 436 0.00595823516055046 0.0703601109824663
0.37 1A 45830348.25 45835511.25 2.2590896504977e-07 705 0 NA
0.38 1A 49483060.9090909 49489447.8181818 2.20640917640448e-07 3505 0.0039172392211127 0.125770436359177
