poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1468740 1473527.2 6.25828403783499e-07 6616 0.0142360184613059 0.0706473982131449
0.01 1D 3963719.5 3967548.5 7.9084805232784e-07 391 0.0161504554987212 0.35123294805127
0.02 1D 5445598 5450155 9.07754025682255e-07 203 0 NA
0.03 1D 5511254 5517977 9.13196172291157e-07 619 0 Inf
0.04 1D 6399062 6405469 9.87056818614453e-07 1069 0.031220771655753 0.0445835344281852
0.05 1D 6766844 6771905 1.01837485613843e-06 70 0.0549199 0.120302841046688
0.06 1D 7487543 7492403.5 9.76008496030621e-07 582 0.00801562158075601 0.259660476003156
0.07 1D 9291901.63636364 9297171.54545454 9.56056231767351e-07 3651 0.0443723685565598 0.0362896321209262
0.08 1D 10727816.5 10732085 1.30864360277982e-06 813 0.00296824733087331 0.0941192691279195
0.1 1D 11537344 11544944 1.20235355801387e-06 1019 0.00958084425907753 0.222004393518991
0.11 1D 12255230.25 12259907 1.07974261078796e-06 998 0.0264004963927856 0.0787419365718035
0.12 1D 14420020.5 14423160.5 4.10530494933399e-07 900 0.00360492627777778 0.235055597453811
0.13 1D 16788305 16789896 7.84416690219333e-07 153 0 Inf
0.15 1D 18208672 18211341.75 1.06597701469201e-06 748 0.00547782192513369 0.0898059501380726
0.16 1D 19758163.6666667 19763889.7777778 1.33946701349626e-06 2387 0.00568457620025136 0.13150544025067
0.17 1D 20826034 20827727 1.22497386660458e-06 45 0.0172043 0
0.19 1D 21885424 21888853 1.06436469519594e-06 340 0 Inf
0.2 1D 22947275.3333333 22952507.6666667 1.02500201154221e-06 607 0.010737528830313 0
0.21 1D 24328938.5 24333739.5 9.86480612591416e-07 741 0.0132327534412955 0.0494221882452696
0.22 1D 24779031 24786455 9.74006980762083e-07 261 0 NA
0.23 1D 25732394 25737271 9.47907618748164e-07 991 0.0143245768415742 0.092242296325355
0.24 1D 27977810.6666667 27984235.8333333 8.87398855393058e-07 2136 0.00345506807771536 0.217240645670221
0.25 1D 28818410 28822056 8.65161766754268e-07 386 0.00729101 0.0819295269105378
0.27 1D 31421662 31431937 7.97441065649626e-07 739 0.000685166 0.843398534077873
0.28 1D 32737866 32740293 7.64103826208086e-07 303 0.0132321 0.0369223328118742
0.3 1D 34733574 34736854.6666667 7.214901644776e-07 1168 0.0019103856755137 0.118252533036154
0.31 1D 35639168 35645648 7.0246643381053e-07 193 0 Inf
0.32 1D 36714047.6666667 36718650.8333333 6.8006407043811e-07 2951 0.00247385517112843 0.0198400070212557
0.33 1D 37458383 37460633 6.64625627983639e-07 273 0 NA
0.34 1D 38549079 38552961 6.42062547973078e-07 364 0 NA
0.36 1D 41368880.5 41371608.75 5.84385123127461e-07 2144 0.00361251552238806 0.0907119277884423
0.37 1D 43198846.5 43204796.5 5.47333094819216e-07 546 0 Inf
0.38 1D 45448882 45453933.25 5.02346687213128e-07 1121 0.000719083987511151 0.46461459572011
0.39 1D 47867028.3333333 47873481 4.54539786346725e-07 711 0.00259060908579466 0.313396706700659
0.4 1D 49626111.8 49634630.6 4.20163141966775e-07 3779 0.00101054408838317 0.216563993986131
0.41 1D 52747971.25 52752862 3.60000475637998e-07 719 0.00987370008344923 0.120613167781009
0.42 1D 56020526.25 56024600.875 2.98064412506125e-07 2596 0.000344506644838213 1.08468785642585
0.43 1D 59768165.0769231 59774316.1538462 2.28456329989142e-07 4070 0.00491437711400491 0.143983035636127
0.44 1D 71668454.76 71673763.8 5.69143960297418e-08 16085 0.00109454746782717 0.220982441042731
0.45 1D 84666086 84670414.6666667 0 386 0 NA
0.46 1D 85633820 85640605.2 0 2271 0 Inf
0.47 1D 87171325.75 87179454 0 3461 0.000148865662525282 0.439920344325226
0.48 1D 91168582.3076923 91173248.6923077 0 5158 0 Inf
