poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 41811 45310 NA NA 287 0.0467794 0.0184383296921294 0.2349 2389752.23499361
0.002 1 268078.333333333 273663.666666667 NA NA 1349 0.0191967450704225 0.0142114121142765 0.2347 981512.31719246
0.008 1 968286 979886 NA NA 1216 0.0257801 0.0853836874178145 0.1375 2249899.63636364
0.01 1 1232043 1232889 0.91 1.96 31 0 NA 0.1086 0
0.013 1 1553661 1558343 0.94 1.95 589 0.0187972005093379 0.0336020316069354 0.09095 2480114.41574551
0.016 1 1910919 1914393 0.98 1.94 193 0.0339788 0 0.1335 3054274.15730337
0.022 1 2477071 2481228 1.03 1.93 307 0.0260246 0.069886184609946 0.1832 1704668.12227074
0.037 1 3845261 3849085 1.16 1.91 34 0 NA 0.1221 0
0.041 1 4165175 4167785 1.2 1.91 58 0 NA 0.2994 0
0.042 1 4312493 4363970 1.21 1.9 792 0.0265272 0.0499705962182213 0.1603 1985816.59388646
0.047 1 4675054 4682504 1.23 1.9 119 0.00559006 0 0.182 368575.384615385
0.048 1 4757724 4771550 1.24 1.89 597 0.0360039 0.0399565047119895 0.1632 2647345.58823529
0.051 1 5014845.5 5018981 1.25 1.89 317 0.0248717501577287 0.110609581661117 0.37635 793041.05724125
0.057 1 5502121 5508568 1.29 1.87 33 0.036999 0.305494743101165 0.197 2253746.1928934
0.068 1 6247444 6254946 1.37 1.85 59 0 Inf 0.1227 0
0.074 1 6686731 6690773 1.44 1.83 351 0.0346437 0.0153563562783421 0.1855 2241101.88679245
0.081 1 7217840 7229089 1.54 1.81 1209 0.0365028 0.0352227774307724 0.1075 4074731.1627907
0.091 1 7841371 7856406 1.63 1.79 139 0.028672 0 0.1263 2724180.52256532
0.095 1 8048778 8051397 1.66 1.78 121 0.0730568 0 0.2484 3529314.00966184
0.1 1 8342823 8348788 1.71 1.77 147 0.0146571373469388 0.160275972256353 0.1835 958504.894622699
0.109 1 8912375 8919563 1.8 1.74 47 0.0504202 0 0.2039 2967348.70034331
0.11 1 8929487 8937936 1.8 1.74 722 0.0311083 0.0205951144871304 0.1043 3579094.91850431
0.115 1 9238809 9242299 1.9 1.74 240 0.0260926 0.0591094793159746 0.1504 2081856.38297872
0.144 1 10739577 10746629 2.16 1.7 349 0.00436999 0.239735102368655 0.2563 204603.511509949
0.155 1 11188338 11195149 2.17 1.68 25 0 NA 0.0512 0
0.199 1 12950868 12954667 2.43 1.59 207 0.0122741 0 0.284 518623.943661972
0.211 1 13499647 13518570 2.02 1.56 516 0.0156769 0.04515529218149 0.1282 1467416.53666147
0.212 1 13574504 13581973 1.94 1.55 555 0.0156182 0.0214239797159724 0.2 937092
0.213 1 13584346 13587856 1.93 1.55 52 0.0138996 0 0.3903 427351.268255188
0.216 1 13725749 13735135 1.92 1.56 200 0.0161117 0 0.0907 2131647.18853363
0.251 1 15598792 15607504 1.72 1.63 768 0.0203307 0.166077901892212 0.0955 2554642.93193717
0.281 1 17566211 17571933 1.49 1.47 142 0.0313316 0.0414188870022597 0.1634 2300974.29620563
0.286 1 17902454 17909429.5 1.44 1.42 831 0.00690875848375451 0.0961898344108212 0.1071 774090.586415071
0.292 1 18353003 18360045 1.34 1.34 634 0.00376465 0.0766820288738661 0.1154 391471.403812825
0.293 1 18408378 18414274 1.33 1.33 269 0.00472906 0.144826244539084 0.1275 445088
0.295 1 18558512 18564004 1.3 1.32 34 0 NA 0.0909 0
0.298 1 18802466 18807666 1.27 1.3 312 0.0396173 0.0797717158917947 0.1234 3852573.7439222
0.315 1 20234720 20239868 1.07 1.19 482 0.0448949 0.0114719712038561 0.1045 5155395.21531101
0.332 1 22166621 22176854 0.87 1.06 792 0.000820494 0.657495362549879 0.0621 158549.565217391
0.342 1 23812071 23816472 0.74 0.95 775 0.0571084 0.0937259667579551 0.1699 4033553.85520895
0.349 1 24655081 24658793 0.69 0.89 55 0.0267857 0 0.1574 2042111.81702668
0.356 1 25330382.5 25336517.5 0.66 0.85 2137 0.00417305559195133 0.0414176773340946 0.1165 429842.636080824
0.357 1 25397874 25405736 0.66 0.85 649 0.00293319 0 0.0917 383841.657579062
0.371 1 27435356 27438060 0.62 0.72 141 0 NA 0.2707 0
0.372 1 27635089 27640155 0.62 0.71 182 0.0168397 0.364657327624601 0.2925 690859.487179487
0.387 1 30142072.5 30144475.5 0.57 0.575 615 0.00222108793495935 0.410584588049387 0.4827 55216.6049710217
0.393 1 31214977 31217837 0.53 0.52 41 0.0313589 0 0.2712 1387561.94690266
0.394 1 31344211 31349062 0.53 0.52 139 0.00470527 0.279467490707228 0.1549 364514.138153647
0.406 1 33802888 33804923 0.47 0.4 16 0 NA 0.2091 0
0.407 1 34083562 34088731 0.46 0.39 476 0 NA 0.1238 0
0.417 1 36438691 36461615 0.39 0.4 851 0.00102468 0 0.0867 141824.221453287
0.42 1 37114344 37117197 0.37 0.45 450 0.00355661 0 0.1323 322595.011337868
0.421 1 37374602 37382171 0.36 0.44 342 0.00186877 0 0.0887 252821.195039459
0.422 1 37693920 37828128 0.35 0.43 486 0.0165039 0.146787728961033 0.0847 2338214.87603306
0.424 1 38531416 38549552 0.33 0.4 1099 0.00236345 0.211535678774673 0.0926 306278.617710583
0.425 1 38821792 38824474 0.32 0.39 106 0 NA 0.1391 0
0.426 1 39011650 39025960 0.32 0.38 1589 0.00194129 0.341510026837824 0.1118 208367.441860465
0.432 1 40513042 40543033 0.28 0.33 212 0 Inf 0.0772 0
0.434 1 41229756 41235195 0.26 0.31 125 0 NA 0.1501 0
0.446 1 45642070 45647323.5 0.17 0.19 791 0.00484086637168142 0.0640767498519832 0.1164 499058.388833136
0.448 1 46520022.5 46524532 0.16 0.17 716 0.00206349469273743 0.122923201690033 0.10505 235715.719303657
0.453 1 52314374.2 52320393.8 0.087 0.073 3835 0.00136229584876141 0.259112475741685 0.13105 124742.847654612
0.454 1 59483316.2 59489566.8 0.05 0.03 2257 0.00027799395657953 0.592613387043027 0.1359 24546.9277332919
0.455 1 61124506 61129528 0.05 0.03 231 0 NA 0.0589 0
0.456 1 61919204 61923605 0.05 0.03 56 0 NA 0.17 0
0.457 1 63226660 63235665 0.05 0.04 498 0 NA 0.0575 0
0.46 1 66306340.5 66313125 0.07 0.07 913 0 Inf 0.1028 0
0.462 1 68265152 68269538.5 0.08 0.075 682 0 Inf 0.0899 0
0.463 1 69858306.8 69864727.4 0.074 0.06 1653 0 Inf 0.1347 0
0.465 1 72535217.6666667 72543587.6666667 0.07 0.04 1786 0.000675625867861142 0.155118881932542 0.0992 81728.935628364
0.466 1 73768603 73774575.6666667 0.0633333333333333 0.0333333333333333 1360 0.00173525850735294 0.544011444692486 0.106866666666667 194851.236009688
0.468 1 77484063.5 77489534.5 0.05 0.02 624 0.00671158974358974 0.0590690424523977 0.13745 585951.814645885
0.469 1 79751182 79758007.5 0.04 0.02 1310 0 Inf 0.0623 0
0.471 1 85632381.5 85639939.75 0.03 0.04 2467 0.00052013567085529 0.384504926725878 0.119125 52395.6184702076
0.472 1 90003313.875 90013232.875 0.02 0.03625 4088 0.000670451294031311 0.201962247301741 0.1297 62030.9601262585
0.473 1 97073573.8181818 97079876.0909091 0.01 0.03 2908 0.00154179250343879 0.137032084923393 0.144727272727273 127837.06686804
0.474 1 115413428.516129 115421519.193548 0.00741935483870968 0.0132258064516129 11417 0.000333776331785933 0.435925766166274 0.108045161290323 37070.7575757948
0.476 1 142426894 142446852 0 0 641 0 NA 0.0786 0
0.477 1 142831749 142921058 0 0 30 0 NA 0.0944 0
0.478 1 143351069 143358345 0 0 269 0 NA 0.0913 0
0.479 1 143837029 143854668 0 0 481 0 NA 0.0698 0
0.48 1 144464332 144470550 0 0 194 0 Inf 0.1622 0
0.482 1 149659984.5 149673396.75 0 -0.01 1593 0.000753090564971751 0 0.1161 77838.8180849355
0.483 1 193415837.875 193430517.479167 0 -0.00854166666666667 18926 0.000359849459209553 0.189592034223999 0.116775 36978.7498224332
0.484 1 270257449 270266096.242424 0 0 13708 0.0003660047140356 0.295130829758735 0.128109090909091 34283.7228588555
0.485 1 304453976.347826 304462054.347826 0 0 8415 0.000863962655852644 0.180212605217673 0.146439130434783 70797.6880185653
0.486 1 321998047.642857 322007580.392857 0.00535714285714286 0 12457 0.000665745214738701 0.413932520889367 0.107228571428571 74503.8609619649
0.487 1 333374576.333333 333381356.166667 0.01 0.00333333333333333 1844 0.0010249 0.0978025701253537 0.0875166666666667 140530.946486384
0.488 1 346049683.75 346066041.333333 0.01 0.0191666666666667 3249 0.0005828616066482 0.773546308938098 0.18265 38293.6724871524
0.489 1 354097904 354105618 0.0142857142857143 0.03 2060 0.000306692733009709 0.511365435912795 0.107257142857143 34312.9855791363
0.49 1 359759390.5 359765857.333333 0.0233333333333333 0.0433333333333333 1270 0 Inf 0.104316666666667 0
0.491 1 363556027 363563388 0.02 0.05 758 0.000874636 0.366217489332705 0.0822 127684.087591241
0.492 1 368315789.833333 368322912.25 0.0233333333333333 0.06 4250 0.000580155195764706 0.380872311350562 0.119658333333333 58181.1743088778
0.494 1 372997065 373000302 0.08 0.07 56 0 NA 0.1049 0
0.497 1 375059276 375075518 0.13 0.07 2373 0.000753643 0.21011141880174 0.0796 113614.522613065
0.498 1 375899671 375903804 0.17 0.07 212 0 NA 0.1539 0
0.499 1 376378591 376383176 0.18 0.07 88 0 NA 0.2453 0
0.5 1 376970628 376975046.5 0.19 0.07 464 0 NA 0.1819 0
0.501 1 377354906 377358430 0.19 0.07 404 0 NA 0.1389 0
0.504 1 379645200 379651249 0.11 0.08 456 0 Inf 0.1748 0
0.505 1 380545114.875 380548390.25 0.10625 0.08 2266 0.00082901114298323 0.400857553548588 0.14125 70429.265244593
0.507 1 382472796 382482399.5 0.1 0.08 1028 0 NA 0.10595 0
0.508 1 383460565 383462205 0.1 0.08 93 0 NA 0.1521 0
0.51 1 384608005 384616626 0.1 0.08 262 0 NA 0.0875 0
0.511 1 385752912 385757976 0.09 0.09 743 0.000803571 0 0.1476 65330.9756097561
0.513 1 387545376 387551621 0.09 0.09 515 0.00116013 0.314241507417272 0.1067 130473.851921275
0.514 1 389010799.333333 389016772.333333 0.09 0.09 1013 0.00126526787759131 0.142686489544379 0.108966666666667 139338.157214094
0.515 1 392336951.2 392342090.6 0.076 0.094 3327 0.00116079740306583 0.281589859189485 0.1104 126173.630768024
0.516 1 396314737 396321894 0.07 0.1 91 0.00642857 0 0.0987 781589.05775076
0.517 1 397315044.333333 397320891.333333 0.07 0.11 993 0.0019529036858006 0 0.109833333333333 213367.3222726
0.518 1 398276256 398284346 0.07 0.11 629 0.00108043 0 0.0877 147835.347776511
0.519 1 399234596 399237714 0.07 0.11 28 0 NA 0.1513 0
0.521 1 401523259 401545124 0.09 0.12 2217 0.000285239 0.875497389908112 0.0709 48277.4047954866
0.522 1 402154308 402159263.333333 0.0933333333333333 0.12 1246 0.000673682303370786 0.662759788548634 0.112933333333333 71583.7158245227
0.523 1 403092218.5 403096776 0.1 0.12 556 0.00110059136690647 0.304553176774814 0.06065 217759.21521645
0.526 1 405081116.5 405086013 0.1225 0.1225 943 0.00274242939554613 0 0.1179 279127.673846934
0.527 1 405714931 405718563 0.13 0.13 302 0 Inf 0.1335 0
0.528 1 406335325.75 406338862.5 0.14 0.13 700 0.000918366428571428 0.294705249149694 0.20155 54678.2294361555
0.529 1 406714963.666667 406718787 0.146666666666667 0.13 701 0.000917057118402282 0.285714243714279 0.154966666666667 71013.2421219234
0.53 1 407342662 407538866 0.16 0.13 276 0.00229592 0 0.0753 365883.665338645
0.533 1 409442943.333333 409447907 0.17 0.14 778 0.00078266998714653 0.61304315159408 0.121933333333333 77026.0238853884
0.535 1 410605339.5 410608859.5 0.16 0.145 378 0 Inf 0.1049 0
0.536 1 411145993 411149733 0.17 0.15 86 0.00680272 0 0.136 600240
0.538 1 412359982 412371785 0.18 0.15 2144 0.000288293 1.80358871009702 0.0896 38610.6696428571
0.541 1 414001069.75 414004832.75 0.1775 0.1425 1043 0 Inf 0.172025 0
0.545 1 416315528 416322392 0.18 0.15 371 0 NA 0.081 0
0.547 1 417252252 417258240.5 0.18 0.15 1202 0.00101832477537438 0.152248869015388 0.1248 97915.8437859977
0.549 1 418514975 418519803 0.17 0.16 362 0.00173745 0 0.089 234262.921348315
0.55 1 419183644.5 419199543 0.16 0.16 1109 0 Inf 0.1129 0
