poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1202498.625 1207674 1.28208489835028e-06 2838 0.00827896817829457 0.0602049956887261
0.07 1A 3187498 3192426.5 1.22937490207059e-06 597 0.00728509591289782 0.0377934062786034
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1590 0.00812744840880503 0.0868570474016586
0.09 1A 4045713 4048684 1.19607758843423e-06 170 0.00632644 0.0720294510024595
0.12 1A 5491027 5495112 1.15658401937862e-06 307 0.00490326 0.112973409527539
0.14 1A 6678979.5 6684971.5 1.12284653739583e-06 228 0.0281931175438596 0.0786995108984232
0.15 1A 7450477.5 7458712.5 1.10030359054488e-06 1691 0.0136079797811946 0.113550477068782
0.16 1A 8264166 8266341 1.07616639320979e-06 109 0.0160171 0.219430483670577
0.17 1A 8950705.66666667 8955935 1.05522935705312e-06 782 0.0107037328644501 0.0114929625562304
0.18 1A 9592430.5 9595286.25 1.03543670960753e-06 742 0.022206574393531 0.0688905131188475
0.19 1A 10062443.6666667 10066600.6666667 1.02160377026859e-06 721 0.00606214565880721 0.0843614125063797
0.2 1A 11564200 11572148 9.80895544252246e-07 470 0.000338868 1.7895139110214
0.21 1A 12036055 12040665.1111111 9.68480843754429e-07 2478 0.00635621961097659 0.184822342302673
0.22 1A 13764553 13769248.6666667 9.23129490935055e-07 987 0.0128090256534954 0
0.23 1A 15034309 15038709.75 8.85966648331271e-07 1164 0.0119438154587629 0.149887986494163
0.24 1A 16931434 16934477 8.31349589658753e-07 114 0.0295131052631579 0
0.25 1A 18375225 18378213.5 7.92252993844505e-07 123 0.00233632512195122 0.513359013994565
0.26 1A 19895297 19897721 7.53136045557493e-07 63 0 Inf
0.27 1A 20580507.3333333 20584832.6666667 7.36251850723982e-07 1489 0.00622009356615178 0.15800205204232
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 1880 0.00971797445744681 0.117098459377204
0.29 1A 22832335 22835273.5 6.8352601306342e-07 237 0.00521679898734177 0.329292665816314
0.3 1A 24409602.3333333 24412719.6666667 6.43139171862687e-07 799 0.00186869098873592 0.329700436834067
0.31 1A 25620304.5 25627185 6.06857316574939e-07 778 0.00938280491002571 0.0502607889538439
0.32 1A 27865601.8 27871574 5.32740176997297e-07 2265 0.00441742957174393 0.133266324274095
0.33 1A 30210080.75 30216107.25 4.69875701118892e-07 2129 0.00265428284311884 0.337041945325428
0.34 1A 33273166.2222222 33277826.4444444 4.24882087473e-07 2209 0.00560714169760072 0.271409960046256
0.35 1A 36738789.4166667 36742632.75 3.19302591452499e-07 3427 0.00414726138284214 0.137747378496371
0.36 1A 41325124.6 41331577.7 2.26322743512962e-07 1410 0.00383285989361702 0.131929956677628
0.37 1A 46347853.8333333 46354707 2.25448522679896e-07 1110 0.000539260720720721 1.32341782727571
0.38 1A 48837431.6470588 48845378.2941176 2.25056168128025e-07 4046 0.00300033821691176 0.0874770898662158
0.39 1A 53539997.6153846 53544923.4615385 1.77681627464841e-07 2608 0.00268269896472393 0.174509360558495
0.4 1A 58673318.9444444 58678717.7777778 1.49756437186151e-07 5190 0.00181605201541426 0.501178168786717
0.41 1A 65243977.9 65248139.75 1.28062421741068e-07 4565 0.00335632557502738 0.0674845593495664
0.42 1A 80483283.8205128 80490382.5897436 4.79650218819537e-08 13516 0.00532404196096718 0.138084528744437
0.43 1A 152549469.098131 152557936.5 5.55825455195885e-09 56746 0.00173810702286268 0.2643579800861
0.44 1A 280822306.635659 280828248.914729 1.1252150863124e-08 37702 0.00142962188135701 0.26949585419262
0.45 1A 329275479.836957 329282277.25 3.05756207841714e-08 24159 0.00207820722615784 0.288205638712041
0.46 1A 354384354.403226 354389628.83871 2.42349883203937e-08 13649 0.00259810139045351 0.249042925864468
0.47 1A 368368505.114286 368373129.342857 1.50841490994569e-08 8804 0.00298753838107678 0.145356979382105
0.48 1A 379052023.709677 379058134.612903 1.41652090769343e-08 8458 0.00180860213194609 0.332784862605127
