Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_uniaristata_Tr403_UNA23_Contig10_simExt	TraesCS2D02G066900	449	1.20025538120211	0	0.997772828507795	95.089
Ae_uniaristata_Tr403_UNA23_Contig1020_simExt	TraesCS2D02G503000	268	0.868368680472922	4.03e-133	1	98.507
Ae_uniaristata_Tr403_UNA23_Contig1023_simExt	TraesCS5D02G159100	538	1.75578947368421	4.40526315789474e-66	0.882899628252788	98.3157473684211
Ae_uniaristata_Tr403_UNA23_Contig1024_ESTScan	TraesCS5D02G174600	397	1.01384373968062	1.64e-163	0.871536523929471	96.562
Ae_uniaristata_Tr403_UNA23_Contig1031_simExt	TraesCS6D02G232600	482	1.45149017179395	0	1	99.17
Ae_uniaristata_Tr403_UNA23_Contig1034_simExt	TraesCS1D02G052200	781	1.57152230971129	2.26213910761155e-72	1	95.29378553137
Ae_uniaristata_Tr403_UNA23_Contig1037_simExt	TraesCS1D02G408600	432	1.42222222222222	2.25071111111111e-69	0.993055555555556	92.4375361305361
Ae_uniaristata_Tr403_UNA23_Contig1038_simExt	TraesCS7D02G419900	263	0.853244958849421	2.38e-130	1	98.479
Ae_uniaristata_Tr403_UNA23_Contig1040	TraesCS4D02G109200	496	1.26767242620828	0	0.997983870967742	94.567
Ae_uniaristata_Tr403_UNA23_Contig1044	TraesCS7D02G507600	526	1.10003650344199	0	1	90.494
Ae_uniaristata_Tr403_UNA23_Contig1061_simExt	TraesCS1D02G002300	1929	1.70992085404013	2.36075832878071e-31	0.953343701399689	97.4620453144825
Ae_uniaristata_Tr403_UNA23_Contig1064	TraesCS6D02G077700	484	1.07814697093079	0	0.871900826446281	93.897
Ae_uniaristata_Tr403_UNA23_Contig1066	TraesCS3D02G332800	353	1.11119508620846	1.41e-178	1	98.584
Ae_uniaristata_Tr403_UNA23_Contig1074_simExt	TraesCS5D02G187500	583	1.55231560891938	0	1	94.683
Ae_uniaristata_Tr403_UNA23_Contig1077_simExt	TraesCS5D02G031300	506	1.74739583333333	5.73333333333333e-130	1	98.1978023715415
Ae_uniaristata_Tr403_UNA23_Contig1078_simExt	TraesCS2D02G289700	1588	1.77216494845361	1.20526128688233e-20	1	98.6527396095718
Ae_uniaristata_Tr403_UNA23_Contig1080_simExt	TraesCS3D02G419800	1746	1.55568862275449	0	0.9553264604811	94.91
Ae_uniaristata_Tr403_UNA23_Contig1087_simExt	TraesCS5D02G014100	393	1.11441770391255	0	1	95.929
Ae_uniaristata_Tr403_UNA23_Contig109_simExt	TraesCS4D02G163400	941	1.82996811902232	0	1	99.681
Ae_uniaristata_Tr403_UNA23_Contig1090_simExt	TraesCS3D02G279100	1253	1.93297333142986	0	0.988826815642458	96.219
Ae_uniaristata_Tr403_UNA23_Contig1093_simExt	TraesCS2D02G234700	2263	1.79316628701595	9.55763097949886e-25	0.969951391957578	99.0433726651481
Ae_uniaristata_Tr403_UNA23_Contig1094_simExt	TraesCS1D02G149400	4055	1.8188683917296	0	1	99.5050162762022
Ae_uniaristata_Tr403_UNA23_Contig1096_simExt	TraesCS3D02G258500	771	1.72008573330548	0	0.900129701686122	97.983
Ae_uniaristata_Tr403_UNA23_Contig1102_simExt	TraesCS6D02G322200	1318	1.45394154118689	2.56846767050487e-74	0.849772382397572	93.2298366071429
Ae_uniaristata_Tr403_UNA23_Contig1104_simExt	TraesCS2D02G049500	1262	1.8514122154866	0	0.996830427892235	94.803
Ae_uniaristata_Tr403_UNA23_Contig1106_simExt	TraesCS2D02G383800	957	1.79364301678033	0	0.800417972831766	99.086
Ae_uniaristata_Tr403_UNA23_Contig1113_simExt	TraesCS1D02G003900	702	1.69039145907473	0	0.800569800569801	97.153
Ae_uniaristata_Tr403_UNA23_Contig112_simExt	TraesCS2D02G546500	403	1.77033492822966	2.2133971291866e-38	0.992555831265509	98.56312
Ae_uniaristata_Tr403_UNA23_Contig1122_simExt	TraesCS7D02G382700	933	1.74313476975074	1.17553881159611e-88	0.87459807073955	98.182766748366
Ae_uniaristata_Tr403_UNA23_Contig1130_simExt	TraesCS2D02G245100	1621	2.02945302391177	0	0.992597162245527	98.578
Ae_uniaristata_Tr403_UNA23_Contig1141	TraesCS5D02G424400	476	1.19163381857114	0	0.84453781512605	98.01
Ae_uniaristata_Tr403_UNA23_Contig1149_simExt	TraesCS6D02G209200	854	1.80726600985222	1.22737684729064e-120	0.996487119437939	99.2626592244418
Ae_uniaristata_Tr403_UNA23_Contig1153_ESTScan	TraesCS3D02G146900	453	1.66746987951807	3.26987951807229e-24	0.907284768211921	96.8722530413625
Ae_uniaristata_Tr403_UNA23_Contig1154_simExt	TraesCS4D02G026400	465	1.253022616912	0	0.993548387096774	95.896
Ae_uniaristata_Tr403_UNA23_Contig1155_simExt	TraesCS4D02G198500	1108	2.02988984212204	0	0.998194945848375	97.563
Ae_uniaristata_Tr403_UNA23_Contig1156_simExt	TraesCS7D02G487500	968	1.51537532886477	0	1	90.299
Ae_uniaristata_Tr403_UNA23_Contig1162_simExt	TraesCS7D02G552600	5620	1.62998161764706	3.12665441176471e-20	0.957651245551601	96.2928338442958
Ae_uniaristata_Tr403_UNA23_Contig1169_simExt	TraesCS5D02G131500	1274	1.95464085194169	0	0.834379905808477	99.059
Ae_uniaristata_Tr403_UNA23_Contig1173_ESTScan	TraesCS1D02G324400	320	0.808012601932293	1.07e-124	0.909375	94.521
Ae_uniaristata_Tr403_UNA23_Contig1176	TraesCS5D02G138700	328	0.704466704309384	1.86e-107	0.832317073170732	92.701
Ae_uniaristata_Tr403_UNA23_Contig118_simExt	TraesCS3D02G187300	3247	1.75	0	0.973821989528796	98.3054749894581
Ae_uniaristata_Tr403_UNA23_Contig1180_simExt	TraesCS5D02G478900	2894	1.67145135566188	0	0.859709744298549	97.0133625401929
Ae_uniaristata_Tr403_UNA23_Contig1181_simExt	TraesCS7D02G071100	907	1.60604763255372	0	0.993384785005513	92.605
Ae_uniaristata_Tr403_UNA23_Contig1183_simExt	TraesCS7D02G351900	366	0.915838318906829	2.56e-146	1	92.35
Ae_uniaristata_Tr403_UNA23_Contig1196_simExt	TraesCS7D02G295000	1436	1.83150183150183	3.9570695970696e-113	0.950557103064067	99.7066124542124
Ae_uniaristata_Tr403_UNA23_Contig1198_simExt	TraesCS7D02G326200	984	1.5982905982906	6.19230769230769e-122	0.828252032520325	95.6721226993865
Ae_uniaristata_Tr403_UNA23_Contig1209_simExt	TraesCS5D02G225619	1411	2.08682718728029	0	1	98.441
Ae_uniaristata_Tr403_UNA23_Contig1216_simExt	TraesCS5D02G492900	266	1.72923076923077	1.75910769230769e-50	1	97.89671679198
Ae_uniaristata_Tr403_UNA23_Contig1217	TraesCS7D02G283900	318	1.74617834394904	7.74203821656051e-20	0.977987421383648	98.4093054662379
Ae_uniaristata_Tr403_UNA23_Contig1218	TraesCS7D02G199100	465	1.46822033898305	0	1	93.644
Ae_uniaristata_Tr403_UNA23_Contig1222_simExt	TraesCS5D02G072100	1160	2.05977355408098	0	0.95	98.73
Ae_uniaristata_Tr403_UNA23_Contig1227_simExt	TraesCS7D02G045100	709	1.60269063339026	0	0.990126939351199	95.021
Ae_uniaristata_Tr403_UNA23_Contig123_simExt	TraesCS6D02G182400	1746	1.72852796630002	9.0556049613911e-96	0.873997709049255	98.0227579729139
Ae_uniaristata_Tr403_UNA23_Contig1231_simExt	TraesCS7D02G030100	1962	1.84373754178141	0	0.998980632008155	97.5
Ae_uniaristata_Tr403_UNA23_Contig1241	TraesCS5D02G167000	551	1.56489945155393	0	0.992740471869328	95.247
Ae_uniaristata_Tr403_UNA23_Contig1248_simExt	TraesCS1D02G406600	331	0.947362121507747	3.82e-149	0.969788519637462	96.262
Ae_uniaristata_Tr403_UNA23_Contig1252_simExt	TraesCS6D02G199300	832	1.82091346153846	0	1	99.519
Ae_uniaristata_Tr403_UNA23_Contig1253_simExt	TraesCS3D02G298600	856	1.92470967009619	0	1	97.788
Ae_uniaristata_Tr403_UNA23_Contig1276_simExt	TraesCS7D02G517800	1768	1.76463434158298	0	0.83710407239819	96.894
Ae_uniaristata_Tr403_UNA23_Contig1285_simExt	TraesCS7D02G411600	767	1.66741746821397	0	0.924380704041721	96.615
Ae_uniaristata_Tr403_UNA23_Contig13	TraesCS3D02G094200	476	1.07632741309862	0	0.976890756302521	91.875
Ae_uniaristata_Tr403_UNA23_Contig1301_simExt	TraesCS6D02G048300	1108	1.61888753056235	1.70394254278729e-40	0.990974729241877	95.9757498482088
Ae_uniaristata_Tr403_UNA23_Contig1304_simExt	TraesCS5D02G495000	800	1.3473002344012	0	0.9175	90.824
Ae_uniaristata_Tr403_UNA23_Contig1311_simExt	TraesCS7D02G475900	1351	1.77720207253886	0	1	98.742
Ae_uniaristata_Tr403_UNA23_Contig1313_simExt	TraesCS7D02G428500	1162	1.67560686359217	0	0.877796901893287	94.025
Ae_uniaristata_Tr403_UNA23_Contig132_simExt	TraesCS3D02G140300	333	1.02717294291405	4.87e-163	1	97.898
Ae_uniaristata_Tr403_UNA23_Contig1326_simExt	TraesCS2D02G132100	3436	1.34547220807756	0	1	98.463
Ae_uniaristata_Tr403_UNA23_Contig1329_simExt	TraesCS4D02G154700	1427	1.80771979985704	8.68498927805575e-158	1	99.2852498248073
Ae_uniaristata_Tr403_UNA23_Contig1332_simExt	TraesCS4D02G168400	1683	1.76258503401361	1.03050758765044e-12	1	98.7431866458705
Ae_uniaristata_Tr403_UNA23_Contig1333_simExt	TraesCS3D02G401300	2706	1.80048661800487	0	1	99.1765870288248
Ae_uniaristata_Tr403_UNA23_Contig1335	TraesCS6D02G209200	530	1.54684512428298	0	0.973584905660377	94.837
Ae_uniaristata_Tr403_UNA23_Contig1337	TraesCS5D02G129200	714	1.79897785349233	3.97103918228279e-24	0.820728291316527	99.149819112628
Ae_uniaristata_Tr403_UNA23_Contig1348_simExt	TraesCS4D02G314500	1533	1.35564853556485	0	0.998043052837573	91.604
Ae_uniaristata_Tr403_UNA23_Contig1362_simExt	TraesCS7D02G024900	5189	1.65800690075096	5.65171503957784e-23	0.934284062439776	96.7171306724423
Ae_uniaristata_Tr403_UNA23_Contig1365_simExt	TraesCS5D02G378500	1020	2.04928229600381	0	1	98.235
Ae_uniaristata_Tr403_UNA23_Contig1367_simExt	TraesCS2D02G009100	3383	1.57161500815661	0	0.91220809932013	95.204
Ae_uniaristata_Tr403_UNA23_Contig1371_simExt	TraesCS7D02G530700	657	1.50206048942121	0	1	94.216
Ae_uniaristata_Tr403_UNA23_Contig1376_simExt	TraesCS1D02G115500	576	1.3352863572783	0	0.979166666666667	94.149
