poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 183602.6 187708.4 NA NA 1624 0.0239558187192118 0.0234423516036665 0.24256 1185149.34296892
0.01 1 1337400.25 1343198.25 0.933333333333333 1.95333333333333 2038 0.0032026417296369 0.0725461639318643 0.1474 260730.669984008
0.02 1 2477071 2481228 1.03 1.93 314 0.00720721 0.102777773923613 0.2228 388180.071813286
0.04 1 4169538.5 4181555.5 1.195 1.90666666666667 2034 0.00823806567354965 0.137226114498275 0.198233333333333 498689.026816525
0.05 1 4768668.5 4776719.25 1.2375 1.895 1416 0.00414225967514124 0.182007028049406 0.165975 299485.561691188
0.06 1 5635567 5640651.5 1.3 1.865 683 0.0414981087847731 0.00824068582948671 0.14105 3530501.98807002
0.07 1 6467087.5 6472859.5 1.405 1.84 1144 0.0153417770979021 0.039418029965598 0.1602 1149196.78635971
0.08 1 7217840 7229089 1.54 1.81 368 0.0103049 0.122466011315005 0.1027 1204077.89678676
0.09 1 7945074.5 7953901.5 1.645 1.785 432 0.00631459555555556 0 0.13525 560259.864448552
0.1 1 8407250.5 8412753 1.72 1.765 575 0.0110232815652174 0.0723909106905418 0.24095 548990.98892969
0.11 1 8964104 8980184 1.81333333333333 1.74 1401 0.00948449901498929 0.120748852499332 0.273166666666667 416646.692543764
0.14 1 10739577 10746629 2.16 1.7 355 0 NA 0.2173 0
0.16 1 11498084 11501301 2.2 1.67 165 0.0146939 0.0940043147156303 0.2482 710422.240128928
0.17 1 11662347 11665843 2.32 1.66 11 0 NA 0.222 0
0.19 1 12440825 12445476 2.56 1.62 347 0.0438086 0.0373084280255475 0.1776 2960040.54054054
0.2 1 12970911 12980091 2.42 1.59 1044 0.0214980595785441 0.0958305084845446 0.1765 1461624.44726645
0.21 1 13553518.6666667 13564019 1.96333333333333 1.55333333333333 1463 0 NA 0.135333333333333 0
0.22 1 13725749 13735135 1.92 1.56 225 0.00704846 0.144493974570332 0.1027 823578.578383642
0.23 1 14369286 14375231 1.88 1.61 798 0 Inf 0.1558 0
0.25 1 15643139.5 15651540 1.715 1.63 1025 0.000756463697560976 0.891131863384504 0.1369 66307.9939425253
0.29 1 18071095.3333333 18077711 1.40333333333333 1.39 1169 0.00202210928143713 0.0992036895808451 0.0990666666666667 244939.213094672
0.3 1 18733034 18737073.5 1.28 1.305 546 0.00297920571428571 0.282370564733457 0.1573 227275.70611207
