Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_longissima_Tr240_LON01_Contig10_simExt	TraesCS5D02G424700	827	1.41051359180501	0	0.969770253929867	91.191
Ae_longissima_Tr240_LON01_Contig1001_simExt	TraesCS1D02G284000	470	1.61276595744681	0	1	95.745
Ae_longissima_Tr240_LON01_Contig1007_simExt	TraesCS7D02G282200	1391	1.81809927360775	2.24618644067797e-91	0.872034507548526	99.5133314097279
Ae_longissima_Tr240_LON01_Contig1008_simExt	TraesCS7D02G539600	2170	1.69078121075107	2.98563175081638e-25	0.871889400921659	97.2276069855532
Ae_longissima_Tr240_LON01_Contig101_simExt	TraesCS4D02G047300	978	1.97967477959996	0	0.998977505112474	97.134
Ae_longissima_Tr240_LON01_Contig1011	TraesCS7D02G283900	335	1.53280757097792	1.40072555205047e-17	0.907462686567164	94.9515526315789
Ae_longissima_Tr240_LON01_Contig1024	TraesCS7D02G507600	2648	1.63405088062622	0	0.964501510574018	96.2810712607674
Ae_longissima_Tr240_LON01_Contig1026	TraesCS6D02G236700	344	1.04704885896882	6.39e-177	1	99.128
Ae_longissima_Tr240_LON01_Contig103_simExt	TraesCS1D02G177400	1397	2.07571198946287	0	1	97.794
Ae_longissima_Tr240_LON01_Contig1031_lgORF	TraesCS1D02G030700	316	0.765997784682768	2.92e-125	0.977848101265823	92.903
Ae_longissima_Tr240_LON01_Contig1037_simExt	TraesCS5D02G097100	692	1.75855855855856	0	1	98.3843280346821
Ae_longissima_Tr240_LON01_Contig1039_simExt	TraesCS2D02G255100	526	1.50853973365409	0	1	99.81
Ae_longissima_Tr240_LON01_Contig1047_simExt	TraesCS6D02G165800	957	1.76654804270463	0	0.980146290491118	98.5388454157783
Ae_longissima_Tr240_LON01_Contig1052_simExt	TraesCS3D02G204400	1921	1.80726420620972	4.68658465143527e-34	0.888599687662676	99.2970990041008
Ae_longissima_Tr240_LON01_Contig1053_ESTScan	TraesCS5D02G030382	376	0.836989975364389	2.66e-141	1	90.741
Ae_longissima_Tr240_LON01_Contig1067_simExt	TraesCS7D02G341800	1206	2.1211005120679	0	1	98.59
Ae_longissima_Tr240_LON01_Contig1071_simExt	TraesCS5D02G119200	657	1.58995327102804	0	1	95.9902663622527
Ae_longissima_Tr240_LON01_Contig1074_simExt	TraesCS3D02G326900	398	1.05362970793482	0	1	95.226
Ae_longissima_Tr240_LON01_Contig1076_simExt	TraesCS1D02G313800	1774	1.74767691208006	0	1	98.1264013528749
Ae_longissima_Tr240_LON01_Contig1077_simExt	TraesCS2D02G351900	881	1.41986855447565	0	0.997729852440409	90.621
Ae_longissima_Tr240_LON01_Contig1096_simExt	TraesCS3D02G462100	1023	1.60137332851464	0	0.924731182795699	95.3304496124031
Ae_longissima_Tr240_LON01_Contig1103_simExt	TraesCS7D02G432900	487	1.70971563981043	2.3560308056872e-174	1	97.5151078028747
Ae_longissima_Tr240_LON01_Contig1105_ESTScan	TraesCS1D02G089700	926	1.79357145044471	0	1	95.572
Ae_longissima_Tr240_LON01_Contig1109_simExt	TraesCS3D02G237500	1125	1.82671829622459	3.79941916747338e-40	0.918222222222222	99.6130348499516
Ae_longissima_Tr240_LON01_Contig1122_simExt	TraesCS2D02G203000	721	1.73333333333333	0	1	97.9170700416089
Ae_longissima_Tr240_LON01_Contig1129	TraesCS2D02G378600	445	0.951089502596842	5.14e-164	0.849438202247191	94.444
Ae_longissima_Tr240_LON01_Contig1154_simExt	TraesCS7D02G468600	1215	1.58280399274047	0	1	95.305779835391
Ae_longissima_Tr240_LON01_Contig1164	TraesCS4D02G085000	644	1.56847133757962	0	0.998447204968944	95.3778553654743
Ae_longissima_Tr240_LON01_Contig1167_simExt	TraesCS7D02G261300	1999	1.70243974257509	0	0.919959979989995	95.084
Ae_longissima_Tr240_LON01_Contig1173_simExt	TraesCS2D02G446700	1219	1.96095051922291	0	0.980311730926989	96.488
Ae_longissima_Tr240_LON01_Contig1185_simExt	TraesCS2D02G169300	305	1.70626349892009	1.03740820734341e-70	1	97.4796557377049
Ae_longissima_Tr240_LON01_Contig1190_simExt	TraesCS7D02G317700	1423	1.67579408543264	0	1	97.0134975404076
Ae_longissima_Tr240_LON01_Contig1192	TraesCS6D02G130500	258	1.80544747081712	2.33e-130	0.996124031007752	99.222
Ae_longissima_Tr240_LON01_Contig1195_simExt	TraesCS2D02G476900	392	1.16581138499375	0	1	98.98
Ae_longissima_Tr240_LON01_Contig1197_ESTScan	TraesCS5D02G032169	735	1.31460516864554	0	1	90.094
Ae_longissima_Tr240_LON01_Contig12_simExt	TraesCS7D02G379300	400	1.18684395111531	0	1	99
Ae_longissima_Tr240_LON01_Contig1211_simExt	TraesCS6D02G330600	1078	1.67649536647009	1.81802879250358e-27	0.812615955473098	98.1412226027397
Ae_longissima_Tr240_LON01_Contig1212_simExt	TraesCS5D02G454300	735	1.45989621376192	0	0.936054421768707	93.931
Ae_longissima_Tr240_LON01_Contig1214_simExt	TraesCS6D02G206600	4513	1.81986472054112	2.00444001423994e-28	0.941280744515843	99.5016486974262
Ae_longissima_Tr240_LON01_Contig1215_simExt	TraesCS6D02G066700	616	1.36048955556593	0	1	93.641
Ae_longissima_Tr240_LON01_Contig122_simExt	TraesCS5D02G182300	952	1.93697037201742	0	0.948529411764706	98.45
Ae_longissima_Tr240_LON01_Contig1225_simExt	TraesCS1D02G175300	733	1.82706885257214	0	0.997271487039563	99.179
Ae_longissima_Tr240_LON01_Contig123_simExt	TraesCS1D02G111900	1894	1.69854586129754	0	0.94350580781415	97.4833598209289
Ae_longissima_Tr240_LON01_Contig1243_simExt	TraesCS1D02G267800	499	1.72727272727273	1.4971028971029e-24	1	97.8005230460922
Ae_longissima_Tr240_LON01_Contig1246_simExt	TraesCS3D02G318200	2769	1.76333393599711	0	1	98.5175037919827
Ae_longissima_Tr240_LON01_Contig1247_simExt	TraesCS6D02G262700	570	1.53968405412474	0	1	98.596
Ae_longissima_Tr240_LON01_Contig125_ESTScan	TraesCS5D02G032169	308	0.700122332339989	1.34e-113	1	90.997
Ae_longissima_Tr240_LON01_Contig1251_simExt	TraesCS1D02G113000	862	1.82053072625698	0	0.830626450116009	99.5115
Ae_longissima_Tr240_LON01_Contig1256_simExt	TraesCS2D02G242200	1449	2.09890078473795	0	0.915113871635611	99.548
Ae_longissima_Tr240_LON01_Contig1258_simExt	TraesCS6D02G358400	724	1.6674012855831	1.43067033976125e-14	0.998618784530387	96.5522501152605
Ae_longissima_Tr240_LON01_Contig126_simExt	TraesCS7D02G228000	1156	2.02753633185711	0	0.911764705882353	99.052
Ae_longissima_Tr240_LON01_Contig1260_simExt	TraesCS6D02G169900	1802	1.79613992762364	0	0.918978912319645	99.0952536231884
Ae_longissima_Tr240_LON01_Contig1263_simExt	TraesCS2D02G326700	1171	1.74408413672217	1.75652936021034e-106	0.973526900085397	98.1594035087719
Ae_longissima_Tr240_LON01_Contig1264_ESTScan	TraesCS1D02G304600	295	1.50104166666667	9.11479166666667e-48	1	93.9266282485876
Ae_longissima_Tr240_LON01_Contig1265_simExt	TraesCS1D02G268500	681	1.29148008622148	0	0.853157121879589	93.761
Ae_longissima_Tr240_LON01_Contig1278_simExt	TraesCS6D02G359900	3286	1.39824380647711	0	0.998174071819842	96.806
Ae_longissima_Tr240_LON01_Contig128	TraesCS2D02G536600	648	1.42644320297952	6.27001862197393e-81	0.825617283950617	93.302323364486
Ae_longissima_Tr240_LON01_Contig1281_simExt	TraesCS2D02G225900	529	1.70561998215879	1.42105263157895e-24	1	97.632456836799
Ae_longissima_Tr240_LON01_Contig1285	TraesCS4D02G248100	1117	1.7292817679558	3.6526770467102e-21	0.94449418084154	97.9983734597156
