Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_tauschii_Tr294_TAU12_Contig1_simExt	TraesCS6A02G171300	2391	1.72246435843045	0	0.823504809703053	97.515
Ae_tauschii_Tr294_TAU12_Contig1006_simExt	TraesCS5A02G124800	2793	1.73308984660336	1.88502569907962e-28	0.984962406015038	97.9321901126863
Ae_tauschii_Tr294_TAU12_Contig1027_simExt	TraesCS5A02G212300	907	1.72	0	0.909592061742007	97.697
Ae_tauschii_Tr294_TAU12_Contig1029_simExt	TraesCS7A02G345600	1163	1.35769230769231	2.38430769230769e-163	0.876182287188306	91.5929548577036
Ae_tauschii_Tr294_TAU12_Contig103_simExt	TraesCS7A02G071100	724	1.50549450549451	0	1	94.093
Ae_tauschii_Tr294_TAU12_Contig1030_simExt	TraesCS1A02G105800	896	1.76776716748761	0	0.919642857142857	97.209
Ae_tauschii_Tr294_TAU12_Contig1031_lgORF	TraesCS6A02G268300	421	1.0382553838871	0	0.997624703087886	94.524
Ae_tauschii_Tr294_TAU12_Contig1035_simExt	TraesCS2A02G158900	1334	1.75324341682723	7.29826589595376e-23	1	98.3831945277361
Ae_tauschii_Tr294_TAU12_Contig1039_simExt	TraesCS3A02G417000	2384	1.66845329249617	0	1	96.871471336689
Ae_tauschii_Tr294_TAU12_Contig104_simExt	TraesCS2A02G389200	880	1.54582951420715	0	0.807954545454545	95.0506319737459
Ae_tauschii_Tr294_TAU12_Contig1041_simExt	TraesCS6A02G189800	1470	1.76462585034014	2.85612244897959e-160	1	98.5031244897959
Ae_tauschii_Tr294_TAU12_Contig1048_simExt	TraesCS1A02G127000	549	1.40829833046884	0	0.994535519125683	97.623
Ae_tauschii_Tr294_TAU12_Contig1049_simExt	TraesCS1A02G227200	1284	1.6427193828351	0	0.971183800623053	96.4349406575782
Ae_tauschii_Tr294_TAU12_Contig1051_simExt	TraesCS7A02G325400	674	1.36239816349156	0	0.962908011869436	93.037
Ae_tauschii_Tr294_TAU12_Contig1052	TraesCS2A02G295600	279	0.828417662427483	1.14e-138	1	98.566
Ae_tauschii_Tr294_TAU12_Contig1054_simExt	TraesCS3A02G182900	3725	1.70404695705901	1.37071362372567e-66	0.867114093959731	97.5302244582043
Ae_tauschii_Tr294_TAU12_Contig1056_simExt	TraesCS2A02G506400	657	1.43174425925558	0	1	94.127
Ae_tauschii_Tr294_TAU12_Contig1058_simExt	TraesCS5A02G150700	1977	1.62673088500903	3.48133654425045e-99	0.834597875569044	96.150376969697
Ae_tauschii_Tr294_TAU12_Contig1059_simExt	TraesCS5A02G259300	714	1.57273482959268	0	0.834733893557423	95.346
Ae_tauschii_Tr294_TAU12_Contig1065	TraesCS4A02G107700	400	1.62653562653563	2.55626535626536e-25	0.9775	96.3010434782609
Ae_tauschii_Tr294_TAU12_Contig1066_simExt	TraesCS7A02G426100	619	1.1052264953728	0	0.894991922455573	90.072
Ae_tauschii_Tr294_TAU12_Contig1070_simExt	TraesCS3A02G427600	809	1.74788203630059	0	1	96.539
Ae_tauschii_Tr294_TAU12_Contig1075_simExt	TraesCS6A02G402600	830	1.47037484885127	3.17049576783555e-93	0.993975903614458	93.8291357575758
Ae_tauschii_Tr294_TAU12_Contig1076_simExt	TraesCS6A02G169200	1877	2.03311560406314	0	1	98.189
Ae_tauschii_Tr294_TAU12_Contig1080_simExt	TraesCS5A02G489100	819	1.50954653937947	2.94295942720764e-24	0.998778998778999	94.2786809290953
Ae_tauschii_Tr294_TAU12_Contig1084_simExt	TraesCS4A02G341600	2339	1.5632798573975	0	0.955109020949124	95.0535720680394
Ae_tauschii_Tr294_TAU12_Contig1088_simExt	TraesCS2A02G239900	1383	2.19930085347708	0	1	99.277
Ae_tauschii_Tr294_TAU12_Contig1089_simExt	TraesCS3A02G002300	309	0.744428179457704	1.01e-124	1	92.88
Ae_tauschii_Tr294_TAU12_Contig109_simExt	TraesCS1A02G136500	2086	1.81930718288334	4.90499235863474e-19	0.959252157238734	99.4888270864568
Ae_tauschii_Tr294_TAU12_Contig1091_simExt	TraesCS3A02G395400	2611	1.69438694752222	3.30500426153659e-33	0.977020298736116	97.4683872435646
Ae_tauschii_Tr294_TAU12_Contig1098_simExt	TraesCS3A02G217800	485	1.3027405097149	0	0.985567010309278	98.117
Ae_tauschii_Tr294_TAU12_Contig110_simExt	TraesCS5A02G400600	1182	1.76795620873138	0	0.933164128595601	94.39
Ae_tauschii_Tr294_TAU12_Contig1102_simExt	TraesCS5A02G124800	397	1.69367088607595	0	0.994962216624685	97.215
Ae_tauschii_Tr294_TAU12_Contig1105_simExt	TraesCS6A02G211000	2136	1.59584764283484	0	0.999531835205993	95.8954485558158
Ae_tauschii_Tr294_TAU12_Contig1107_simExt	TraesCS3A02G237100	980	1.98647388858068	0	1	98.061
Ae_tauschii_Tr294_TAU12_Contig1112_simExt	TraesCS6A02G213700	553	1.50424068192197	0	0.994575045207957	99.273
Ae_tauschii_Tr294_TAU12_Contig1113_simExt	TraesCS2A02G297900	522	1.69574036511156	0	1	97.254
