poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1197276 1202431 1.28204328826088e-06 2798 0.0321149908005718 0.0489322713830609
0.07 1A 3187498 3192426.5 1.22937490207059e-06 607 0.0256265046128501 0.120827954696282
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1246 0.0525806754414125 0.0667192925164775
0.12 1A 5491027 5495112 1.15658401937862e-06 279 0.0540236 0.092616375065712
0.14 1A 6569388 6576401 1.12599356487817e-06 230 0.0171429 0.232847417881455
0.15 1A 7495603 7503027 1.09898218543153e-06 1573 0.0460784394151303 0.0728002485802382
0.16 1A 8243343 8248048 1.07675536225756e-06 633 0.0256019884676145 0.071466642287307
0.17 1A 9111992 9116920.5 1.05029696827475e-06 541 0.0401973955637708 0.066045521382902
0.18 1A 9610864.5 9614276 1.034852939624e-06 635 0.0202967303937008 0.089273983371031
0.19 1A 10065492.8 10070837.6 1.02150338959398e-06 945 0.0380020907936508 0.0566676918956935
0.2 1A 11564200 11572148 9.80895544252246e-07 559 0 NA
0.21 1A 12086563.6666667 12090693.1666667 9.67158637381254e-07 1903 0.018456445244351 0.0577854109856107
0.22 1A 13504627 13510462 9.3007519782074e-07 1679 0.0124558655985706 0.139412515201965
0.23 1A 15448395.75 15452477.25 8.73821290111507e-07 1918 0.0233463720020855 0.107297091831773
0.24 1A 16931434 16934477 8.31349589658753e-07 141 0.0435714 0
0.25 1A 18493615 18494853 7.89150516385891e-07 264 0 Inf
0.27 1A 20365561 20371612.75 7.41482616558673e-07 1503 0.0165733421823021 0.0768560958458756
0.28 1A 21760904.8 21768164.8 7.08024633342341e-07 2249 0.00530408886616274 0.21226862173311
0.3 1A 24139305.3333333 24143939.3333333 6.5147874816274e-07 850 0.00801435127058824 0.055110139640116
0.31 1A 25620304.5 25627185 6.06857316574939e-07 833 0.0321402163265306 0.0763837317995598
0.32 1A 27858512.1666667 27865408.8333333 5.33318696800451e-07 2675 0.0205585901682243 0.0685301220707911
0.33 1A 29729224.6666667 29735108.8333333 4.79536548777122e-07 2541 0.0101687111924439 0.123052282120776
0.34 1A 33512006.3333333 33517367.5 4.21759541592028e-07 2788 0.00560322838593974 0.188310322667706
0.35 1A 36534585.9 36538572 3.26058058564939e-07 3690 0.00482331793224932 0.116168997133633
0.36 1A 41526338.4444444 41532356.3333333 2.2356752004476e-07 1063 0.0142407323142051 0.0924935970884387
0.37 1A 45830763.75 45836528.75 2.25913996792417e-07 1071 0.0020894277124183 0.274897426333458
0.38 1A 49081955.1538462 49088945.2307692 2.22804657696844e-07 5986 0.00261286321349816 0.225236365554393
0.39 1A 53492751.8571429 53497285.7142857 1.7828724513288e-07 2121 0.0109126010466761 0.0314846284210505
0.4 1A 58595314 58600693.1052632 1.49998835301524e-07 6213 0.00991687567519717 0.137423626726845
0.41 1A 65554329.8571429 65558726.9285714 1.26268273315444e-07 5147 0.0144482507810375 0.0880636507617559
0.42 1A 79329628.962963 79336026.5925926 5.27186023481877e-08 14206 0.0032424528007884 0.134731749781468
0.43 1A 151981739.768362 151989984.248588 5.53900137605858e-09 70945 0.00315348926015928 0.22703661495237
0.44 1A 281313670.061947 281320270.752212 1.15166251155542e-08 42505 0.00429985443039642 0.205739719536948
0.45 1A 329821356.441176 329829311.573529 3.06920103090727e-08 26817 0.00562620309527539 0.135160507065985
0.46 1A 354100871.028571 354106033.142857 2.44802259094051e-08 12956 0.0117276791323711 0.0779045349240492
0.47 1A 368100781.5 368105637.266667 1.52047380133867e-08 11733 0.00471586945964374 0.163000807819316
0.48 1A 379056650.473684 379063024.736842 1.41710741180252e-08 8183 0.00346813112330441 0.0952442337960733
0.49 1A 394775548.92 394782036.6 2.24122997307302e-08 18571 0.00582274988799741 0.0973938067030418
0.5 1A 427018340.931035 427024127.068965 7.44720354850113e-08 21901 0.00728906667138487 0.111687244006985
0.51 1A 447433041.285714 447438776.44898 1.31001097547021e-07 15101 0.00390856903767962 0.13340820983446
0.52 1A 459402304.833333 459407310.916667 1.8375682927951e-07 9027 0.00659465770798715 0.0988801408054611
0.53 1A 464692047.958333 464696022.625 2.10006868149706e-07 5456 0.0124742413214809 0.0737285227075922
0.54 1A 470450555.125 470454961.5 2.39505707616404e-07 2887 0.00351780647731209 0.169098053208894
0.55 1A 473953020.125 473958147.25 2.57895830111376e-07 3940 0.00538683530456853 0.287513665895138
0.56 1A 478546587.2 478552011 2.83500440091355e-07 1158 0.00445083739205527 0.0715733898592796
0.57 1A 481800371.409091 481804465 3.03264564813806e-07 4730 0.00995165862156448 0.0656547029751685
0.58 1A 485638887.384615 485644449.384615 3.27883467967362e-07 6457 0.00663636470961747 0.222562510831528
0.59 1A 487974925.4 487979739 3.43550998971964e-07 1185 0.00122315058227848 0.32075975561872
0.6 1A 491176634.5 491181671 3.66330990436499e-07 1302 0.00737775514592934 0.142745409010263
0.61 1A 493370728.285714 493374748.285714 3.78692532771119e-07 2198 0.00161518775796178 0.378189017434374
0.62 1A 494697883.6 494701757.8 3.83742139050675e-07 1690 0.000780424615384615 0.592054939595923
0.63 1A 496410587.833333 496415574.333333 3.88130625449315e-07 1417 0 NA
0.64 1A 498455814.571429 498459474.642857 3.90232704663796e-07 2731 0.0115193558696448 0.0786264987847395
0.65 1A 500148936.666667 500152554.222222 3.89431893614214e-07 2647 0.00595033350963355 0.0415513181877885
0.66 1A 502887029 502891508.6 3.89670042980646e-07 2270 0.00145009827753304 0.136606829829055
0.67 1A 506587814.384615 506591518 3.96166203236962e-07 3859 0.0062066403576056 0.231388340844256
0.68 1A 510759990.75 510763665 3.752770079243e-07 519 0.0121581722543353 0.182567174858989
0.69 1A 513621599.111111 513627724 3.30073403245271e-07 2925 0.00930226407863248 0.0948371755332647
0.7 1A 516732830 516738199.857143 3.31934374278902e-07 5599 0.0079527087470977 0.0457692413424962
0.71 1A 518755842.833333 518766001.166667 3.44917023453299e-07 4186 0.00239980271595796 0.187871969013382
0.72 1A 520503930.857143 520508866.714286 3.4521757665556e-07 1889 0.00645682646903123 0.0900100313642469
