poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1187301.33333333 1192894 1.28247397534523e-06 1246 0.0587146983146067 0.0459844324530916
0.07 1A 3119378 3122276 1.23125516685771e-06 111 0.0375212 0.0562569960449026
0.08 1A 3446931 3450200 1.22232163324067e-06 205 0.0748226 0.0182720194165934
0.09 1A 4045713 4048684 1.19607758843423e-06 187 0.0527422 0.0215254577928111
0.15 1A 7654304.5 7662060.5 1.09430463172929e-06 925 0.0565462918918919 0.0462045887492897
0.16 1A 8255691.5 8258805.5 1.07640746907329e-06 226 0.0567467707964602 0
0.17 1A 9119143 9123202 1.05009007971026e-06 16 0 Inf
0.18 1A 9596729.33333333 9599164.66666667 1.03530908642566e-06 575 0.0417440977391304 0.125535491063768
0.19 1A 10041551 10046121.8 1.0221743708854e-06 594 0.0573344281144781 0.0152355265544128
0.2 1A 11564200 11572148 9.80895544252246e-07 274 0.0139681583941606 0.293365504870645
0.21 1A 12142773.2 12146800.8 9.65678198478774e-07 1041 0.0436732402497598 0.0897654406606906
0.22 1A 13520544.6 13524831.4 9.29578847905854e-07 1221 0.0446309985257985 0.0349049821206377
0.23 1A 15315504.4 15319080.6 8.77818919878973e-07 769 0.0537149817945384 0.0799733886565611
0.24 1A 16931434 16934477 8.31349589658753e-07 144 0.10832 0.0111604505169867
0.26 1A 19895297 19897721 7.53136045557493e-07 59 0 NA
0.27 1A 20680816.6 20687929.6 7.33765258736029e-07 1001 0.0256556597402597 0.0822517704836879
0.28 1A 21880748 21888841.5 7.05213074045888e-07 1243 0.0490511729686243 0.0549748841277751
0.29 1A 22534635 22536459 6.90200625240664e-07 36 0.045045 0.0532800532800533
0.3 1A 23966033 23970147 6.57030731184223e-07 140 0.0659187 0.071900386385047
0.31 1A 25539196 25545141 6.09162871839144e-07 191 0.0278484 0.138828083480559
0.32 1A 27560478.3333333 27565736.6666667 5.43591858334617e-07 1788 0.0594355915548099 0.0505938061312563
0.33 1A 29990135.5 29998838.5 4.74435090470062e-07 1309 0.0373958387318564 0.0286881373124922
0.34 1A 33460531.6666667 33468000.3333333 4.20895044671883e-07 1971 0.0333538095129376 0.0924043872590044
0.35 1A 36465356.2 36470099.4 3.27496512177227e-07 2054 0.0314041929211295 0.092499886611281
0.36 1A 41700720 41708624.6 2.19946871558555e-07 650 0.0361209610769231 0.114813594682145
0.37 1A 45259897.4 45264659.8 2.22346599434789e-07 583 0.0210809819897084 0.154437789501199
0.38 1A 49325978.0769231 49334126.4615385 2.21472447013537e-07 4287 0.0116049812223 0.133833748023854
0.39 1A 53404782.8888889 53408807.5555556 1.79008703507941e-07 2301 0.0156206658279009 0.0697281839700377
0.4 1A 58692309.8333333 58697757.75 1.49841176854369e-07 4045 0.0148054176217553 0.116152478670025
0.41 1A 65618718.3333333 65624537.6666667 1.26346662148415e-07 4092 0.0295563860131965 0.0967762200506665
0.42 1A 80001645.4166667 80008350.9166667 4.96744172193202e-08 10924 0.0175834634904797 0.0725198906719257
0.43 1A 156549819.571429 156558092.474026 5.7781499233124e-09 52317 0.00508103390522257 0.125028881977012
0.44 1A 282586801.954545 282592814.125 1.22983865342349e-08 30993 0.00616288555841642 0.123355841613151
0.45 1A 330918901.453125 330926075.546875 3.19983732337017e-08 18888 0.0116462512210398 0.143656146326767
0.46 1A 354005520.705882 354010883.970588 2.46296254836134e-08 10066 0.0107775352868195 0.0945106897821602
0.47 1A 367637531.227273 367642169.272727 1.53563552120849e-08 7797 0.00987124805553418 0.119202879139394
0.48 1A 378963698.117647 378970995.882353 1.41187656700596e-08 5910 0.00902361530456853 0.125730563238059
0.49 1A 393391225.815789 393398844.210526 2.12473090677429e-08 13732 0.0110598436542383 0.114300571653948
0.5 1A 427204781.292683 427210716.609756 7.49539784444733e-08 16271 0.0160023753666032 0.100036119295849
0.51 1A 446839798.235294 446845445.352941 1.28552879206591e-07 9732 0.0222162686148787 0.0837274268088681
0.52 1A 459579312 459583919.5625 1.84604115517254e-07 5059 0.0252899666347763 0.132146596742652
0.53 1A 464822095.35 464825626.5 2.10656120786611e-07 4091 0.0380175673380592 0.0629353502393425
0.54 1A 470385796 470389193 2.39169699750928e-07 1928 0.0276728403319502 0.0748141111446313
0.55 1A 474064866.166667 474070229.166667 2.58489361724945e-07 3521 0.0172295874524283 0.130951474825589
0.56 1A 478699283.5 478703873.833333 2.8443600862686e-07 1021 0.0292151736728697 0.0462253383154679
0.57 1A 481626599.15 481630514.25 3.0218074444736e-07 3802 0.0254687886533403 0.100319848397467
0.58 1A 485454149.4 485460634.4 3.26657645712078e-07 3349 0.0155054323977307 0.220687567382037
0.59 1A 487900652.5 487906443 3.43045997889812e-07 523 0.0224329346080306 0.0630418674407357
0.6 1A 490987794 490994052.4 3.65001003971328e-07 760 0.0397472119736842 0.110230211413273
0.61 1A 493161365.857143 493164799.571429 3.7780228432468e-07 1828 0.0390821708971554 0.0483757835655035
0.62 1A 495092833 495096235.857143 3.84910303189868e-07 1805 0.0225654167867036 0.0472479310525265
0.63 1A 496607290 496610256.5 3.8843476151178e-07 595 0.0231184070588235 0.0512007432223857
0.64 1A 498253720.818182 498257510.909091 3.90144308614766e-07 1624 0.0247081075566503 0.0662560850067986
0.65 1A 500434347.833333 500438434.666667 3.89121065614793e-07 1821 0.026435347446458 0.116749922744699
0.66 1A 502887029 502891508.6 3.89670042980646e-07 2394 0.0161794228905597 0.0690931285017844
0.67 1A 505943579 505949578.2 3.96583640359256e-07 2919 0.0119207340733128 0.176736568845108
0.68 1A 510853855.5 510856882.5 3.78635585596112e-07 425 0.0306520924705882 0.075678848386921
0.69 1A 513906871.166667 513912990.5 3.26937593148355e-07 1363 0.0479067874981658 0.0417430896730919
0.7 1A 516704293 516708183.5 3.30881112283846e-07 1301 0.0454164664873174 0.0345351999117218
0.71 1A 518653009.571429 518665080.714286 3.45070354111688e-07 2979 0.0247545335045317 0.0640140073305958
0.72 1A 520449893.75 520455167.5 3.45196544029617e-07 885 0.0438985251977401 0.0511743427603097
0.73 1A 521302235.25 521305933.375 3.47035762769044e-07 1454 0.0468324711141678 0.0649499532949935
0.74 1A 522229516 522235237 3.50624290887924e-07 223 0.0502284 0.0399184525089392
0.75 1A 529710605.916667 529716440.333333 4.34976178264029e-07 5581 0.0262091318222541 0.075065380081983
0.76 1A 532529794.1 532535091.4 4.62779067051802e-07 3190 0.0268499276489028 0.037128578358533
0.77 1A 534577772.6 534582227.8 4.65761339409254e-07 787 0.0722098708703939 0.0443296623377695
0.78 1A 536526751.5 536530821.25 4.42374430056734e-07 1149 0.0420662916449086 0.108074218451807
0.79 1A 537466617.5 537471608.25 4.34789335272551e-07 1578 0.0273987060836502 0.116907281259815
0.8 1A 539329708 539335195 4.67218193675858e-07 77 0.0297694 0
0.81 1A 540142069.2 540147141.8 5.03218876199705e-07 1065 0.052282685915493 0.0739612613879723
0.82 1A 541776360 541780380.8 6.1207310153611e-07 1120 0.0484837472321429 0.0291517274817843
0.83 1A 542286495 542293205 6.56670797155275e-07 1006 0.0196694968190855 0.0611665508983751
0.84 1A 544198322.75 544202567.75 8.20068956772841e-07 1079 0.0533243802594995 0.0627481824336766
0.85 1A 546772314.875 546778076.375 1.05265988957146e-06 2128 0.0493011455961332 0.0487765174615465
0.86 1A 549793612.111111 549798133.222222 1.28115013409268e-06 1982 0.042110696518668 0.0971021160226991
0.87 1A 551573445.8 551577292.2 1.40303742094788e-06 1498 0.0280450930574099 0.07124518406836
0.88 1A 552211319 552213816 1.47409451758736e-06 68 0.0706061 0.0431971175295052
