poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1409955.6 1415970 NA 1024 0.00722174647460938 0.0433851093836875
0.06 1B 4330336.5 4334975 7.68685814193422e-07 202 0.0045118396039604 0.132107208361367
0.07 1B 4475908 4479190 7.67437826550965e-07 49 0.0299145 0
0.09 1B 6473815 6477799 7.49121041341185e-07 28 0 Inf
0.12 1B 8662571.33333333 8671397.66666667 7.26637504832272e-07 402 0.0170313040298507 0.0728225969299476
0.13 1B 9837979 9844502 7.13613779510062e-07 206 0.0045169613592233 0
0.14 1B 10153833.5 10156831 7.10001034062584e-07 91 0.00746230868131868 0.217269118714977
0.15 1B 11857187 11860248 6.89525639551083e-07 288 0.0322867541666667 0
0.18 1B 14798200.75 14805040.75 6.5580631736794e-07 771 0.0121372146303502 0.0907056447141901
0.19 1B 15533087.3333333 15537587.3333333 6.48458856668318e-07 65 0.0169230769230769 0
0.2 1B 17594932 17601865 6.28597592332163e-07 219 0.018299499543379 0
0.21 1B 18419377 18423130 6.20777349669413e-07 33 0.0140515 0
0.22 1B 20588785 20595873 6.00431779138865e-07 45 0 NA
0.25 1B 26044066.3333333 26046542.6666667 5.41945424284386e-07 153 0.0199948699346405 0
0.27 1B 28810569 28824577 5.22267811633846e-07 130 0.00380228 0.397761343194084
0.28 1B 33153221.25 33161699 4.69499840877231e-07 569 0.00863489732864675 0.0769956135691981
0.29 1B 40508835.875 40513483.25 3.98619860445492e-07 586 0.0203458178059483 0
0.31 1B 44193451.6666667 44199945.6666667 3.5618601582004e-07 750 0.00397428712 0.148204656134658
0.32 1B 47544015 47546636 3.19486715217127e-07 72 0.0101449 0
0.33 1B 51851272.6 51855913.8 2.77926585922111e-07 499 0.000643453258517034 1.48487568218149
0.34 1B 55232244 55246733 2.48795113560228e-07 187 0.00379750053475936 0
0.35 1B 56936763 56943352 2.35608114493241e-07 82 0.00973207317073171 0
0.38 1B 61523932 61528965 2.0473857406945e-07 8 NA NA
0.39 1B 68591647 68599390 1.70695755370498e-07 1122 0.00439640338680927 0.155050394661039
0.4 1B 72468584.5 72473591 1.57929057169792e-07 449 0 Inf
0.41 1B 95416437.4117647 95420989.4117647 8.47134436609015e-08 1692 0.00265805918882979 0.0402231874182489
0.42 1B 116171955.3 116178364.15 6.85206921998636e-09 3645 0.00204024205761317 0.166405152873076
0.43 1B 207587377.340278 207596284.402778 5.36216164668005e-09 22254 0.000683670654661862 0.280951045245173
0.44 1B 322258887.230769 322265801.430769 2.64720694499582e-08 9466 0.00116884298576526 0.35264971260292
0.45 1B 361843046.538462 361849774.410256 3.16759174364786e-08 5281 0.00157722267891847 0.160768582501952
0.46 1B 387958402.840909 387963461.431818 3.52358755700338e-08 4731 0.000845712687086166 0.289743052366683
0.47 1B 410580714.548387 410587536.483871 4.94018731495448e-08 5953 0.000879912463197345 0.339991252097418
0.48 1B 428902351.24 428908751.44 6.63859643676087e-08 3536 0.00212644473333805 0.0331545036149353
0.49 1B 443468493.782609 443475574.565217 7.56401775101084e-08 2864 0.00146710435072493 0.486598507409819
0.5 1B 454940165.857143 454946656.142857 8.05503107235054e-08 2932 0.000675045204638472 0.361522414642597
0.51 1B 466936757.111111 466942679.888889 8.51559922388356e-08 1537 0.00263141169160703 0.0638186821738015
0.52 1B 475447578.75 475453209.5 9.24256401905077e-08 1995 0.00178114977990431 0.0700310992216734
0.53 1B 482833197.266667 482839243.466667 1.01995044974487e-07 1490 0.00384282520613615 0.175803834865832
0.54 1B 490516907.083333 490520506.833333 1.15169708282633e-07 965 0.00453145367875648 0.111992679012657
0.55 1B 499874064.538462 499878564.307692 1.35126776843657e-07 1433 0.00186624111653873 0.209654720458054
0.56 1B 510523285.375 510527277.5625 1.59849612400879e-07 2370 0.00152196925316456 0.103947538675278
0.57 1B 519812044.5 519818114.4 1.8950829811645e-07 1656 0.00226936570048309 0.108812692558967
0.58 1B 527194767 527201073.5 2.03340539952384e-07 164 0 Inf
0.59 1B 530816098.714286 530820469.857143 2.11641090093588e-07 960 0.00456213192361111 0.0288463449662439
0.6 1B 535897528.25 535903761.5 2.35785853640883e-07 384 0.0045795 0
0.61 1B 540906371.666667 540909999 2.55887543637894e-07 210 0.00152214752380952 0
0.62 1B 543167217.6 543171231.8 2.62099962189397e-07 562 0.00831300427046263 0.0879982235953085
0.63 1B 545520242.6 545524096.8 2.66677267873519e-07 326 0.00509702656441718 0.0572461367558059
0.64 1B 547965998 547975530 2.6974256063876e-07 1439 0.000886361 0.176226165185517
0.65 1B 551765551.25 551772070.25 2.70302308124852e-07 682 0.0053286768914956 0.0689783019428954
0.66 1B 554913678.4 554917553.4 2.67161425590695e-07 399 0.000747894887218045 0.795241185903719
0.67 1B 558684626 558689435.333333 2.59155942236603e-07 107 0.00320111757009346 0
0.68 1B 562657175.8 562663165 2.58323886981564e-07 684 0.0117255682748538 0.0429231169695924
0.69 1B 566445843.5 566453826.25 2.73375360870182e-07 1347 0.00177024579064588 0.349220201483813
0.7 1B 569469539.166667 569478462.5 2.64220935920594e-07 820 0.00242186436585366 0
0.71 1B 572934921.75 572941604.875 2.31508235013662e-07 1246 0.00583914559390048 0.121914501605035
0.72 1B 576368576.25 576372095.5 1.91892920552876e-07 192 0.00944110833333334 0.0913869134361873
0.73 1B 582604779.571429 582611020.5 1.82673885896069e-07 2358 0.00336411472434266 0.0280370257024443
0.74 1B 587627226.4 587633159.6 2.18245258534869e-07 835 0.00571552386706587 0
0.75 1B 593353398 593356729.25 2.24419112739907e-07 588 0.000594560969387755 0
0.76 1B 598489575.428571 598494418.857143 2.36573062563252e-07 761 0.0104296676872536 0.09223966377295
0.77 1B 604562640 604566950 3.08313551409377e-07 1002 0.01424674500998 0.109729652012469
