Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
T_urartu_Tr246_URA09_Contig1004_simExt	TraesCS1D02G434000	1772	1.86478623843478	0	0.886568848758465	96.447
T_urartu_Tr246_URA09_Contig101_ESTScan	TraesCS3D02G266200	284	0.687321293005023	2.64e-115	1	92.982
T_urartu_Tr246_URA09_Contig1014_simExt	TraesCS5D02G177600	922	1.65612244897959	2.88979591836735e-24	0.993492407809111	96.6378810043668
T_urartu_Tr246_URA09_Contig1016_simExt	TraesCS2D02G493600	716	1.29928390691711	0	0.966480446927374	91.535
T_urartu_Tr246_URA09_Contig102_simExt	TraesCS1D02G276800	746	1.61526339234106	0	0.987935656836461	95.946
T_urartu_Tr246_URA09_Contig1020_simExt	TraesCS2D02G293900	268	1.26638176638177	1.55940170940171e-63	0.817164179104478	90.7143333333333
T_urartu_Tr246_URA09_Contig1023_simExt	TraesCS1D02G139400	486	1.05919660459576	0	0.87037037037037	95.981
T_urartu_Tr246_URA09_Contig1026_simExt	TraesCS2D02G506800	624	1.5344	0	1	94.4
T_urartu_Tr246_URA09_Contig1030_simExt	TraesCS1D02G226700	2522	1.76424870466321	2.29145077720207e-164	1	98.3789805709754
T_urartu_Tr246_URA09_Contig1033_simExt	TraesCS2D02G450000	1652	1.6449422946368	2.60353021045485e-50	0.926150121065375	96.4034722222222
T_urartu_Tr246_URA09_Contig1037_simExt	TraesCS1D02G187500	995	1.94780700772181	0	1	97.186
T_urartu_Tr246_URA09_Contig1041	TraesCS1D02G212400	670	1.64208633093525	2.3681654676259e-75	0.823880597014925	96.4223695652174
T_urartu_Tr246_URA09_Contig1045_simExt	TraesCS4D02G212500	543	1.21488368828957	0	0.887661141804788	96.473
T_urartu_Tr246_URA09_Contig1050_simExt	TraesCS3D02G063400	836	1.32786475243218	0	0.801435406698565	93.134
T_urartu_Tr246_URA09_Contig1051_simExt	TraesCS6D02G223600	1083	2.06939711459139	0	1	98.338
T_urartu_Tr246_URA09_Contig1055_simExt	TraesCS1D02G166300	1703	1.67715019255456	0	0.909571344685849	97.071233053583
T_urartu_Tr246_URA09_Contig1057_simExt	TraesCS6D02G186800	2025	1.79087756735129	0	0.925432098765432	99.0131128601921
T_urartu_Tr246_URA09_Contig1074_ESTScan	TraesCS6D02G262700	433	1.1773765249603	0	0.993071593533487	97.912
T_urartu_Tr246_URA09_Contig1076_simExt	TraesCS1D02G201300	1067	2.00682547971165	0	0.999062792877226	97.474
T_urartu_Tr246_URA09_Contig1078_simExt	TraesCS1D02G273500	1346	1.67307692307692	5.30531135531136e-34	0.809063893016345	96.8916377410468
T_urartu_Tr246_URA09_Contig1082_simExt	TraesCS3D02G412500	2363	1.66089743589744	0	0.999576809140923	96.688549322608
T_urartu_Tr246_URA09_Contig1084_simExt	TraesCS4D02G150800	1264	2.09581593666085	0	0.998417721518987	97.781
T_urartu_Tr246_URA09_Contig1087_simExt	TraesCS6D02G392100	501	1.12673407500144	0	1	93.625
T_urartu_Tr246_URA09_Contig1089	TraesCS3D02G112000	636	1.73809523809524	1.25347985347985e-23	0.858490566037736	97.9854358974359
T_urartu_Tr246_URA09_Contig1092_simExt	TraesCS3D02G202800	1832	1.72297492072643	0	1	97.8702161572052
T_urartu_Tr246_URA09_Contig1094_simExt	TraesCS3D02G277000	508	1.30919765166341	0	0.994094488188976	90.607
T_urartu_Tr246_URA09_Contig1096_ESTScan	TraesCS6D02G275300	422	1.42588235294118	6.19e-173	0.995260663507109	92.706
T_urartu_Tr246_URA09_Contig1104_lgORF	TraesCS6D02G038400	592	1.71114864864865	0	1	97.635
T_urartu_Tr246_URA09_Contig1105	TraesCS1D02G353100	254	1.54411764705882	2.44e-85	0.803149606299213	94.608
T_urartu_Tr246_URA09_Contig1107_simExt	TraesCS4D02G012900	263	1.76425855513308	2.38e-130	1	98.479
T_urartu_Tr246_URA09_Contig1117_simExt	TraesCS6D02G400800	870	1.50023116042534	3.28109107720758e-78	0.940229885057471	93.6044303178484
T_urartu_Tr246_URA09_Contig1118_ESTScan	TraesCS6D02G038400	273	1.70695970695971	6.88e-131	1	97.436
T_urartu_Tr246_URA09_Contig1119_simExt	TraesCS6D02G058200	2873	1.52341083789516	0	0.83710407239819	96.19
T_urartu_Tr246_URA09_Contig1123_simExt	TraesCS3D02G391700	3806	1.27053901325799	9.37491851218296e-24	1	92.3653105272377
T_urartu_Tr246_URA09_Contig113_simExt	TraesCS7D02G348300	404	0.791838100783947	6.21e-138	0.826732673267327	92.982
T_urartu_Tr246_URA09_Contig1138_simExt	TraesCS1D02G332900	2415	1.74189804481743	2.75029015266494e-32	1	98.2334867494824
T_urartu_Tr246_URA09_Contig1139_simExt	TraesCS3D02G283800	1218	1.6495021832621	0	0.925287356321839	92.541
T_urartu_Tr246_URA09_Contig114_simExt	TraesCS1D02G397700	917	1.84505237811553	0	1	96.51
T_urartu_Tr246_URA09_Contig1145_simExt	TraesCS2D02G000600	987	1.76257183908046	0	1	98.052011550152
T_urartu_Tr246_URA09_Contig115_simExt	TraesCS5D02G122300	505	1.42232134509133	0	1	99.802
T_urartu_Tr246_URA09_Contig1150_simExt	TraesCS6D02G066700	575	1.39717318645645	0	1	96.348
T_urartu_Tr246_URA09_Contig1152_simExt	TraesCS3D02G023900	1462	1.67682020802377	0	0.939124487004104	96.9537509104151
T_urartu_Tr246_URA09_Contig1167_simExt	TraesCS7D02G036600	2219	1.54041916167665	0	0.999549346552501	94.4992445897205
T_urartu_Tr246_URA09_Contig1173_simExt	TraesCS3D02G279900	1316	2.12229054363433	0	1	98.024
T_urartu_Tr246_URA09_Contig1174_simExt	TraesCS4D02G152000	1872	1.93400503650778	0	0.930555555555556	97.149
T_urartu_Tr246_URA09_Contig118_simExt	TraesCS5D02G436900	797	1.76801563875292	0	0.987452948557089	97.459
T_urartu_Tr246_URA09_Contig1182_simExt	TraesCS1D02G117400	1263	1.60672782874618	0	1	95.7420332541568
T_urartu_Tr246_URA09_Contig1191_simExt	TraesCS1D02G276600	848	1.83829363850583	0	1	97.406
T_urartu_Tr246_URA09_Contig1192_simExt	TraesCS5D02G089000	637	1.38280892297067	0	0.897959183673469	96.51
T_urartu_Tr246_URA09_Contig1198_simExt	TraesCS3D02G201400	1559	1.76124450456544	0	0.948043617703656	98.512399977447
T_urartu_Tr246_URA09_Contig1199_simExt	TraesCS5D02G013900	1980	1.82569728607356	0	0.954040404040404	95.503
T_urartu_Tr246_URA09_Contig120_simExt	TraesCS1D02G212200	1210	1.52314123618991	1.00418035234398e-130	0.950413223140496	94.4523101449275
T_urartu_Tr246_URA09_Contig1202_simExt	TraesCS4D02G070300	1677	1.4317637669593	2.79569034317638e-33	0.902802623732856	92.2369704975782
T_urartu_Tr246_URA09_Contig1206_simExt	TraesCS2D02G292900	895	1.98113053039893	0	1	98.994
T_urartu_Tr246_URA09_Contig121_simExt	TraesCS5D02G158300	674	1.25027818919071	0	0.86053412462908	93.355
T_urartu_Tr246_URA09_Contig1214_simExt	TraesCS2D02G149300	925	1.54594594594595	1.17515675675676e-151	1	94.8110481081081
T_urartu_Tr246_URA09_Contig1216_simExt	TraesCS6D02G145400	1207	1.60420108567383	1.63757375501534e-22	0.872410936205468	95.8320461380184
T_urartu_Tr246_URA09_Contig1217_simExt	TraesCS3D02G210700	2041	1.77901309164149	9.065055387714e-25	1	98.8221712301662
T_urartu_Tr246_URA09_Contig1220_simExt	TraesCS5D02G343000	1582	2.07141699763308	0	0.920353982300885	98.558
T_urartu_Tr246_URA09_Contig1227_simExt	TraesCS5D02G324700	1108	1.76976989504159	0	0.862815884476534	96.238
T_urartu_Tr246_URA09_Contig1229_simExt	TraesCS5D02G282400	1109	1.53846153846154	0	0.935076645626691	94.856
T_urartu_Tr246_URA09_Contig1230_simExt	TraesCS3D02G097600	2110	1.62373664452787	3.11259023967658e-122	0.84218009478673	96.1876094541362
T_urartu_Tr246_URA09_Contig1250_simExt	TraesCS4D02G097400	1054	1.87644518247419	0	0.901328273244782	97.581
T_urartu_Tr246_URA09_Contig1259_simExt	TraesCS4D02G092300	892	1.51405496290707	0	0.995515695067265	91.676
T_urartu_Tr246_URA09_Contig1262_simExt	TraesCS6D02G209500	1159	1.73495058400719	5.66469002695418e-65	0.959447799827437	98.0230791366907
