poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 44458.5 48030 NA 395 0.0592432 0.034327072136549 0.21055 3376482.54571361
0.002 1 268078.333333333 273663.666666667 NA 1291 0.0360915810999225 0.0334717830906071 0.211 2052601.76871597
0.01 1 1273993 1276221 1.96 35 0.0205128 0 0.1884 1306547.77070064
0.013 1 1553661 1558343 1.95 607 0.0256265046128501 0.120827954696282 0.09775 3145964.76065679
0.022 1 2477071 2481228 1.93 279 0.0540236 0.092616375065712 0.1718 3773476.13504074
0.037 1 3845261 3849085 1.91 153 0.0208514 0.308993640714772 0.1144 2187209.79020979
0.04 1 4151373 4159697 1.91 410 0.0335664 0.0841573716573717 0.1406 2864842.10526316
0.041 1 4160980 4164966 1.91 223 0.0109589 0 0.1653 795564.42831216
0.042 1 4312493 4363970 1.9 776 0.0545225 0.0434803980008254 0.1542 4242996.10894942
0.044 1 4416074 4418966 1.9 157 0.0160356 0.0895944024545386 0.1995 964547.368421053
0.047 1 4675054 4682504 1.9 230 0.0171429 0.232847417881455 0.1493 1377862.02277294
0.048 1 4757724 4771550 1.89 640 0.0432099 0.11612894267286 0.1808 2867913.71681416
0.051 1 5016258 5022272 1.89 341 0.0201964 0.13450268364659 0.1316 1841617.0212766
0.057 1 5502121 5508568 1.87 328 0.0344498 0.0411863058711516 0.2126 1944485.41862653
0.061 1 5756557 5764029 1.86 66 0.0134454 0 0.1135 1421540.08810573
0.068 1 6247444 6254946 1.85 559 0 NA 0.1012 0
0.074 1 6686731 6690773 1.83 395 0.0564309 0.0312070160142759 0.2036 3325986.2475442
0.08 1 7136393 7138280 1.81 149 0.0196491 0.269886661475589 0.2101 1122271.29938125
0.081 1 7217840 7229089 1.81 1171 0.0367636 0.0296643963050409 0.1085 4066020.2764977
0.103 1 8525620 8527437 1.76 250 0.0126733 0.21704844042199 0.1065 1427977.46478873
0.109 1 8912375 8919563 1.74 556 0.00289549 0.0885815526905636 0.2035 170741.425061425
0.11 1 8929487 8937936 1.74 724 0.0170933 0.0559571879040326 0.1074 1909865.92178771
0.115 1 9238809 9242299 1.74 312 0.06094 0.0599163111256974 0.1356 5392920.3539823
0.134 1 10236233 10241154 1.71 630 0.00253733 1.09058340854363 0.1143 266386.351706037
0.144 1 10739577 10746629 1.7 345 0.0118168 0 0.2154 658317.548746518
0.163 1 11498084 11501301 1.67 141 0.0435714 0 0.2298 2275268.92950392
0.187 1 12440825 12445476 1.62 365 0.0204739 0 0.1776 1383371.62162162
0.199 1 12950868 12954667 1.59 189 0.0834057 0.0436867024675772 0.2256 4436473.40425532
0.2 1 12990954 13005515 1.59 753 0.0184896 0.137507030979578 0.0783 2833655.17241379
0.211 1 13499647 13518570 1.56 542 0 NA 0.1256 0
0.212 1 13574504 13581973 1.55 539 0.00501044 0.0534597759877376 0.1435 418991.49825784
0.213 1 13586405 13591514 1.55 388 0.0126923 0.33990372115377 0.2052 742239.766081871
0.216 1 13725749 13735135 1.56 219 0.00363636 0 0.1075 405919.255813954
0.221 1 13988639 13992768 1.59 561 0.00625186 0.203536227618661 0.2245 334175.144766147
0.228 1 14369286 14375231 1.61 796 0.0396382 0.016607615885686 0.1544 3080689.11917098
0.282 1 17580274 17583426 1.47 256 0.0695908 0.0463049713467872 0.3682 2268032.59098316
0.286 1 17902454 17909429.5 1.42 998 0.0133994452905812 0.196605416860495 0.0986 1630764.13272793
0.292 1 18353003 18360045 1.34 551 0.0315296 0.0912383918603471 0.1187 3187491.15417018
0.293 1 18408378 18414274 1.33 282 0.0333333 0.0489297489297489 0.1207 3313998.34299917
0.298 1 18802466 18807666 1.3 312 0.0202212 0.0363792455442803 0.1161 2090046.51162791
0.332 1 22166621 22176854 1.06 984 0.00812526 0.160836699379466 0.0623 1565058.10593901
0.342 1 23812071 23816472 0.95 838 0.0112317 0.190733370727494 0.1923 700886.115444618
0.349 1 24655081 24658793 0.89 279 0.00567376 0 0.1515 449406.732673267
0.356 1 25330382.5 25336517.5 0.85 2156 0.000740276883116883 0.14470650855103 0.1166 76186.3001492504
0.371 1 27435356 27438060 0.72 183 0 NA 0.31 0
0.372 1 27635089 27640155 0.71 69 0.00993789 0.349999849062527 0.2251 529785.339848956
0.375 1 28059407 28062129 0.69 96 0.0290909 0.07868371208866 0.22 1586776.36363636
0.393 1 31214977 31217837 0.52 42 0.05 0 0.2976 2016129.03225806
0.395 1 31644015 31644972 0.5 136 0 NA 0.2872 0
0.398 1 32173373 32186590 0.48 38 0.0222222 0.266667116667117 0.1132 2355710.24734982
0.404 1 33441856 33445024 0.42 19 0 NA 0.1069 0
0.406 1 33846162 33852446 0.4 174 0.0043956 0 0.1742 302796.785304248
0.407 1 34083562 34088731 0.39 484 0.00304327 0.417639578479727 0.1733 210728.447778419
0.416 1 36169093 36172878 0.39 69 0 NA 0.1034 0
0.417 1 36438691 36461615 0.4 867 0.000939886 0.279040224027169 0.0876 128751.506849315
0.42 1 37114344 37117197 0.45 426 0.0177515 0.122936653240571 0.1192 1787063.75838926
0.421 1 37374602 37382171 0.44 327 0.00151515 0 0.1173 155002.557544757
0.422 1 37693920 37828128 0.43 518 0 Inf 0.0884 0
0.423 1 38111312 38113007 0.41 95 0.00904523 0.303353259121106 0.3243 334698.61239593
0.424 1 38531416 38549552 0.4 1534 0.000517911 0.576546935670414 0.0998 62273.867735471
0.425 1 38819098 38823047 0.39 251 0 NA 0.0976 0
0.432 1 40513042 40543033 0.33 212 0.00366133 0 0.0965 455294.922279793
0.434 1 41229756 41235195 0.31 165 0 NA 0.1187 0
0.438 1 42490639 42497130 0.27 176 0.00808625 0 0.1512 641765.873015873
0.446 1 45642070 45647323.5 0.19 830 0.00359271187951807 0 0.0908 474807.737381243
0.448 1 46520022.5 46524532 0.17 738 0.0243418617886179 0.0405655496397465 0.1172 2492340.79746941
0.45 1 47369547 47376303 0.15 104 0 Inf 0.225 0
0.453 1 52625810.0909091 52633371 0.0690909090909091 4440 0.00877399812837838 0.192216021828291 0.123109090909091 855241.28854375
0.454 1 58667551.5 58671730 0.03 1680 0.0194851827083333 0.0709262852431279 0.170825 1368782.04302649
0.457 1 63226660 63235665 0.04 516 0 Inf 0.0603 0
0.458 1 64110158 64114041 0.05 124 0 NA 0.0118 0
0.46 1 66068832.3333333 66077640.3333333 0.0666666666666667 1145 0.00301832881222707 0.0670555046064431 0.107533333333333 336825.285927386
0.461 1 67297058 67303566 0.09 134 0.0130969 0.127036168864388 0.102 1540811.76470588
0.462 1 68265152 68269538.5 0.075 726 0 Inf 0.14255 0
0.463 1 69858306.8 69864727.4 0.06 1510 0.0102732122516556 0.122708839400716 0.11276 1093282.60925743
0.465 1 72535217.6666667 72543587.6666667 0.04 1868 0.00602588533511777 0.0516458809859126 0.0984333333333333 734615.211866711
