poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 861282 865687.333333333 0.9575 1.9475 2607 0.0388726950134254 0.0556374750951405 0.178866666666667 2607933.32181013
0.05 1 4960672.5 4970943.83333333 1.25916666666667 1.885 4278 0.0320674810191678 0.0759999299571954 0.15555 2473865.45953079
0.1 1 8326754 8332434 1.71666666666667 1.76666666666667 3162 0.025978791315623 0.0575714383756671 0.145266666666667 2146022.22891792
0.15 1 10824631.3333333 10829694.6666667 2.15666666666667 1.69333333333333 1116 0.0105903954301075 0.14750271669113 0.1865 681419.545100752
0.2 1 13344698.875 13353202.25 2.14 1.57625 3556 0.013804335056243 0.104612851880601 0.160975 1029054.32939845
0.25 1 14369286 14375231 1.88 1.61 796 0.0396382 0.016607615885686 0.1544 3080689.11917098
0.3 1 18158171.5 18164045 1.385 1.38 2399 0.0267902066694456 0.0891336380444424 0.153483333333333 2094575.82821162
0.35 1 25553048.75 25558187.25 0.685 0.84 4605 0.00522581482084691 0.156736448593354 0.1743 359780.710557446
0.4 1 35218255.6153846 35235396 0.420769230769231 0.433076923076923 4729 0.0033217312784944 0.182120202096235 0.160953846153846 247653.450317877
0.45 1 87034373.2083333 87041689.775 0.0485833333333333 0.0509166666666667 47161 0.00547798093997159 0.159230459103019 0.120365833333333 546133.14641884
0.5 1 300684581.948617 300695177.980237 0.0265217391304348 0.024703557312253 100385 0.00460574127649549 0.171775035110632 0.118117391304348 467914.967538836
0.55 1 418728382.6 418738879.116667 0.1555 0.141 22435 0.00712085834874081 0.0958070283746116 0.125125 682919.48199712
0.6 1 447618939.037037 447627652.962963 0.195 0.211111111111111 21829 0.00377093631142059 0.136073245226038 0.12562962962963 360195.567482391
0.65 1 465628446.3125 465634157.3125 0.396875 0.411875 4959 0.00583545828796128 0.0970181329831811 0.13875625 504665.551681711
0.7 1 476889475.75 476894318 0.566666666666667 0.505 4010 0.00843024666084788 0.144076436801105 0.175891666666667 575143.563349644
0.75 1 486096384.428571 486101118.714286 0.642857142857143 0.568571428571429 5131 0.00520862140713311 0.125076089346738 0.172385714285714 362579.098532511
0.8 1 493277740.478261 493283341.217391 0.61695652173913 0.601304347826087 8432 0.00610482770991461 0.20296198188911 0.152478260869565 480448.374090799
0.85 1 502246563.238095 502253641.904762 0.477142857142857 0.639523809523809 6631 0.00794962287136178 0.0849130391259932 0.174138095238095 547815.079324884
0.9 1 510149348.2 510154980.2 1.05 0.731333333333333 6301 0.0075809777987621 0.117470222740453 0.21408 424942.701724333
0.95 1 516261228.692308 516266953.115385 0.871923076923077 0.810769230769231 9943 0.00578714960283617 0.0557156177973706 0.171096153846154 405887.529748204
1 1 522726570.828571 522732510.2 0.66 0.811714285714286 11389 0.0112199079674247 0.0610358286989962 0.181914285714286 740122.718127592
1.05 1 528416437.421053 528422101.578947 1.17 1.14105263157895 6987 0.00764428287963361 0.143714013681951 0.148368421052632 618267.646880618
1.1 1 532272280.333333 532276346.055556 1.57444444444444 1.405 4162 0.0182166378135512 0.0568944029599817 0.160172222222222 1364778.8032767
1.15 1 535614580.571429 535620071 1.33357142857143 1.28071428571429 6012 0.0184289432335329 0.0529053228624108 0.129392857142857 1709115.3537033
1.2 1 540715314.263158 540720204.894737 0.862631578947368 0.997894736842105 7129 0.0129585008755786 0.0548440533877052 0.183352631578947 848103.510529588
1.25 1 546314550.411765 546322590.176471 0.994705882352941 0.875882352941176 5484 0.0147759140846098 0.0686214998549932 0.179388235294118 988420.275859258
1.3 1 551956271.095238 551962373.380952 0.762380952380952 0.749523809523809 10339 0.0177372496779186 0.0705603219881023 0.137838095238095 1544181.20598199
1.35 1 556757558 556764808.333333 0.4075 0.6075 7448 0.0210226304752954 0.0512950386740213 0.145858333333333 1729565.66785267
0 2 2656416 2704045.5 0.62 0.8025 5099 0.0150405797881938 0.0500293092558808 0.1921625 939241.305969298
0.05 2 8427611.5 8441836.2 0.633 0.807 3202 0.0201205927857589 0.112426333218318 0.17807 1355911.23394792
0.1 2 15564368.6666667 15580247.9333333 0.668666666666667 0.808 5098 0.0271547496861514 0.0660305376763773 0.135326666666667 2407928.93418753
0.15 2 22048928.0769231 22063799 0.812307692307692 0.803076923076923 9027 0.00495935654658247 0.0841902260346017 0.122576923076923 485509.646229599
0.2 2 28445641 28456617.6923077 0.906923076923077 0.781538461538462 5830 0.013185045245283 0.0496549005416433 0.182407692307692 867400.606529815
0.25 2 33415504.6666667 33428004 0.927777777777778 0.773333333333333 4036 0.0096942591018335 0.109913325914411 0.122433333333333 950158.801159831
0.3 2 38841829.3636364 38847111.6363636 0.919090909090909 0.782727272727273 3174 0.012443528241966 0.095720805377091 0.140645454545455 1061693.31519586
0.35 2 45437323.5555556 45453950 0.786666666666667 0.755555555555556 3512 0.0024942697238041 0.215844878576679 0.139533333333333 214509.579686927
0.4 2 52686775.0555556 52693304.2777778 0.530555555555556 0.598888888888889 6431 0.00966144503498678 0.0859083458652127 0.158638888888889 730825.469289843
0.45 2 65525782.2592593 65541853.1481481 0.325925925925926 0.405185185185185 9848 0.0129744007534525 0.0707158755061787 0.145522222222222 1069890.2659944
0.5 2 85060820.5 85075158.4285714 0.205714285714286 0.20452380952381 13433 0.0100808613576267 0.0936551572239008 0.130707142857143 925506.698771131
0.55 2 289379799.783237 289394553.419075 0.0152890173410405 0.016242774566474 142362 0.00244921543993481 0.126704455891558 0.112708959537572 260765.296741296
0.6 2 560499793.873684 560509704.736842 0.070421052631579 0.0655789473684211 31893 0.00435013084131314 0.111214055564535 0.124588421052632 418992.147542391
0.65 2 610922226.6875 610931398.854167 0.189375 0.194166666666667 16445 0.00719544367467315 0.115408887427638 0.119079166666667 725108.568636365
0.7 2 629573056.285714 629582803.071429 0.303571428571429 0.360357142857143 13416 0.00431352656469887 0.171232268959734 0.141967857142857 364605.903182013
0.75 2 644506863.363636 644516756.909091 0.572727272727273 0.430909090909091 5177 0.00633547286459339 0.125103460626462 0.116045454545455 655137.029476168
0.8 2 654293383.37931 654306108.068966 0.413103448275862 0.438275862068966 8838 0.00586554618126273 0.0578408118265791 0.155358620689655 453058.567736367
0.85 2 667369467.863636 667381888.636364 0.431818181818182 0.447727272727273 6531 0.00861914358444343 0.0984460430076308 0.148568181818182 696176.810859129
0.9 2 676001184.357143 676006196.142857 0.674285714285714 0.599285714285714 3944 0.00512639630070994 0.221529030495907 0.141685714285714 434177.545129699
0.95 2 684188658.7 684194369 0.806 0.63 5782 0.0137582048443445 0.0765844709323523 0.1204 1371249.65226025
1 2 688909252.8125 688915258.0625 0.85625 0.64125 6164 0.00643606480532122 0.0563125570027791 0.11963125 645590.325804124
1.05 2 697883858.052632 697890333.921053 0.442631578947368 0.657894736842105 16727 0.0104399791881389 0.0812930724899106 0.155760526315789 804310.008581215
1.1 2 707224509.461538 707230426.538462 0.835384615384615 0.674615384615385 5567 0.0100362078606071 0.111458841475645 0.106292307692308 1133049.95386794
1.15 2 713109365.928571 713114990.214286 0.799285714285714 0.742142857142857 6111 0.0122352523073147 0.123336201937993 0.159421428571429 920974.231654136
1.2 2 720697539.875 720727095.625 0.730625 0.77625 7491 0.00901155965732212 0.154626112020554 0.13905 777696.626306116
1.25 2 727569399.3 727573493.7 0.805 0.736 3460 0.0103342818265896 0.0687357394359536 0.14309 866667.006213398
1.3 2 733642652.238095 733655686.952381 0.688571428571429 0.711428571428571 9695 0.0103538010912842 0.0858505320512348 0.147195238095238 844087.177704898
1.35 2 742239482.882353 742251187.705882 0.665294117647059 0.667647058823529 4477 0.0271012073218673 0.0484563131190864 0.194670588235294 1670588.7150725
1.4 2 748986772.7 748991377.85 0.6585 0.6425 5604 0.0135558474892934 0.0752828828823834 0.144565 1125238.95736534
1.45 2 756224135 756259911.1875 0.635625 0.6025 6779 0.0136561376589467 0.0563876548631434 0.12909375 1269415.8462928
1.5 2 764500494.545455 764506555.545455 0.385454545454545 0.557272727272727 6840 0.0121079058450292 0.0987305312909541 0.222672727272727 652504.11184121
0 3 1276257.5 1281948.875 0.7 1.26 3879 0.017118608484661 0.0591821014352193 0.20585 997927.140227991
0.05 3 7147739.54545455 7168232.72727273 0.841818181818182 1.23818181818182 4613 0.0187815026082809 0.0257659227704846 0.174354545454545 1292642.13165081
0.1 3 12426424.5 12431788.25 0.97125 1.1775 2621 0.0225296902327356 0.0215345940363359 0.195875 1380249.05063345
0.15 3 17054337.6363636 17057986.3636364 1.07727272727273 1.12545454545455 1848 0.0122761203679654 0.096164215963565 0.316172727272727 465927.107901731
0.2 3 22027337.5 22032793 1.255 1.0725 1174 0.0239189067972743 0.0244662785132429 0.153025 1875686.20530823
0.25 3 25134687.625 25138567.875 1.5725 1.005 1778 0.0192252791788526 0.0360717538796769 0.15625 1476501.44093588
0.3 3 28048652 28060966.2 1.342 0.986 4290 0.00861170823543124 0.0711943321296596 0.12674 815373.984733903
0.35 3 32184292.875 32189093.125 1.17 0.97875 4615 0.0193085486673889 0.0862951710549854 0.1630625 1420943.40518922
0.4 3 39013781.45 39019969.75 0.5805 0.7135 5982 0.0150334157923771 0.0434331090583313 0.130995 1377159.35347552
0.45 3 64160148.7777778 64170084.3174603 0.135873015873016 0.174761904761905 22759 0.00782975596080671 0.101203489252088 0.129780952380952 723966.574493026
0.5 3 253183430.055351 253194858.221402 0.0176752767527675 0.0151660516605166 104421 0.00224375201882763 0.166743019684644 0.115511808118081 233093.262624784
0.55 3 467155561.1875 467166464.364583 0.0573958333333333 0.0582291666666667 39762 0.00254090904617474 0.167117034823939 0.121363541666667 251236.146666206
0.6 3 515548392.613636 515560923.704545 0.1875 0.179318181818182 15003 0.00505586182336866 0.0959734253578223 0.134338636363636 451622.433595333
0.65 3 541754009.22807 541759976.649123 0.210701754385965 0.205438596491228 21698 0.00383127398866255 0.165358574323701 0.133301754385965 344896.344956066
0.7 3 563169447.081633 563178566.244898 0.298979591836735 0.284081632653061 21310 0.00747099382871891 0.128694396769339 0.119175510204082 752268.027139996
