Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_mutica_Tr237_MUT03_Contig1000_simExt	TraesCS3A02G282800	1188	1.76519916142558	7.05031446540881e-23	1	98.5744897586981
Ae_mutica_Tr237_MUT03_Contig10000_simExt	TraesCS3A02G140600	820	1.62079510703364	9.64311926605504e-143	0.823170731707317	96.1685209876543
Ae_mutica_Tr237_MUT03_Contig10001_simExt	TraesCS3A02G273100	862	1.77243530721277	0	1	96.404
Ae_mutica_Tr237_MUT03_Contig10002_simExt	TraesCS6A02G336900	1320	1.77257142857143	8.87238095238095e-76	1	98.7066803030303
Ae_mutica_Tr237_MUT03_Contig10008_simExt	TraesCS2A02G166700	1171	1.79427874236207	0	1	93.734
Ae_mutica_Tr237_MUT03_Contig10010_simExt	TraesCS4A02G070900	1094	2.00396192326099	0	0.998171846435101	97.436
Ae_mutica_Tr237_MUT03_Contig10011_simExt	TraesCS3A02G202100	1681	1.71304003170828	0	0.998810232004759	97.6813333333333
Ae_mutica_Tr237_MUT03_Contig10012_simExt	TraesCS1A02G096000	921	1.71681715575621	4.67178329571106e-17	0.96199782844734	97.6299729119639
Ae_mutica_Tr237_MUT03_Contig10013_simExt	TraesCS3A02G386100	2688	1.58363253683298	0	1	95.4146298363095
Ae_mutica_Tr237_MUT03_Contig10016_simExt	TraesCS2A02G199400	3541	1.60847902889755	4.21391430383187e-35	0.999717593900028	95.7992892027621
Ae_mutica_Tr237_MUT03_Contig10017_simExt	TraesCS3A02G086900	845	1.65386246842407	0	0.998816568047337	94.787
Ae_mutica_Tr237_MUT03_Contig10018_simExt	TraesCS2A02G245100	934	1.77765957446809	0	1	98.883
Ae_mutica_Tr237_MUT03_Contig10019_simExt	TraesCS2A02G324700	2388	1.59917481662592	0	1	95.6064078029034
Ae_mutica_Tr237_MUT03_Contig1002_simExt	TraesCS5A02G417000	384	0.972140089465426	9.16e-176	1	95.573
Ae_mutica_Tr237_MUT03_Contig10022_simExt	TraesCS5A02G426300	663	1.37590895274108	0	0.936651583710407	94.896
Ae_mutica_Tr237_MUT03_Contig10025_simExt	TraesCS1A02G353300	2882	1.5250970059553	0	0.922623178348369	95.254
Ae_mutica_Tr237_MUT03_Contig10026_simExt	TraesCS6A02G205700	2748	1.76403580146461	0	1	98.3291189956332
