poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1395416 1400785 NA 4006 0.000984458376934598 0.116568699236074
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 2145 0.0014556085034965 0.148208605387709
0.07 1B 4475908 4479190 7.67437826550965e-07 232 0.0147465 0.0655987522462957
0.08 1B 5333440.5 5335364 7.59828017785272e-07 247 0.00929998400809717 0
0.09 1B 6473815 6477799 7.49121041341185e-07 338 0.0336763 0.101984481668117
0.11 1B 8089536 8091094 7.32816391728473e-07 190 0 Inf
0.12 1B 8754953.33333333 8758994 7.25658180435014e-07 825 0.0249448071515152 0.0849827769339728
0.13 1B 9779022 9784277 7.14292421815624e-07 705 0.0318187655319149 0.0951978130823081
0.14 1B 10153833.5 10156831 7.10001034062584e-07 717 0.0278256786610879 0.104466458933842
0.15 1B 11804436.6666667 11808489.6666667 6.90174550159893e-07 1440 0.0288466618055556 0.0278541393425722
0.18 1B 14610049 14616342.25 6.577954579152e-07 2497 0.0186402805927113 0.0888912440258522
0.19 1B 15585458.25 15589626.75 6.47951461836419e-07 1201 0.0318813980849292 0.0885590596941609
0.2 1B 17698207.4 17702722.2 6.27624036002106e-07 1771 0.00920372072275551 0.0279883781811316
0.21 1B 18466227.8 18468448 6.20341545403152e-07 761 0.0028477850065703 0.106639185318101
0.22 1B 20378491.5 20382731 6.02399693052078e-07 1283 0.00366035208106002 0
0.25 1B 25643243.6666667 25645788.6666667 5.4583817915064e-07 521 0 Inf
0.26 1B 26782156 26786443 5.35648187522501e-07 382 0 NA
0.27 1B 29132322.25 29137514 5.18374589876626e-07 1444 0.00212379175900277 0.678767562576642
0.28 1B 33278290.6666667 33285156 4.67961693817511e-07 2316 0.00374321642487047 0.213422802697952
0.29 1B 39419783 39424331.1111111 4.08092308686297e-07 3388 0.00215262522727273 0.156125044850133
0.3 1B 42347605 42351160 3.7779501087664e-07 298 0.00257373 0.30173056225789
0.31 1B 44335798.1666667 44341251.6666667 3.54585294078339e-07 2346 0.00292653672208014 0.0679597130654021
0.32 1B 47160110 47164879 3.23493154739926e-07 393 0 Inf
0.33 1B 51872354.9 51876155.3 2.77746719428747e-07 3358 0.00176603531387731 0.230930385703744
0.34 1B 56403912 56408093.5 2.39633096521962e-07 1570 0.000509813227388535 0.737124665014233
0.35 1B 57138480.4 57143394.4 2.34128670387031e-07 1779 0.00205363754918494 0.126770808413768
0.36 1B 58552970.6 58556057.2 2.24000939490526e-07 1032 0.00465412653100775 0.380388763861381
0.37 1B 59717799.8333333 59721685.3333333 2.16117490898901e-07 1791 0.00785096939698492 0.151392935171248
0.38 1B 62801955.6666667 62805971.5 1.97415439239932e-07 1819 0.000860208136338648 0.293160926827354
0.39 1B 68788931.375 68795376.6875 1.69799303687607e-07 7007 0.000795004286856001 0.107720650111275
0.4 1B 71879810.6666667 71884310.3333333 1.59561084696522e-07 1410 0 NA
0.41 1B 95582829.7241379 95587805.7931034 8.11943197300635e-08 8435 0.000478460995850622 0.376290317317293
0.42 1B 116720410.977273 116726145.772727 8.01689597067358e-09 16591 0.000328788478090531 0.415252473173971
0.43 1B 205810275.004854 205818223.601942 5.40095913037611e-09 78336 0.000384845684997958 0.199465330686486
0.44 1B 321992559.109091 321998699.636364 2.64858909168562e-08 35572 4.07159749240976e-05 1.1187463334968
0.45 1B 360655066.060976 360661216.207317 3.15358169192682e-08 27161 0.000478277326497552 0.258060701482529
