# List of all Hordeum genes mapped on one of the seven chromosomes of the Hv_IBSC_PGSB_v21			
# Chromosome / Start position of the gene (in bp from the origin of the chromosome)			
# with local recombination rate estimates (from MareyMap):  loess with span=0.2 and degree=2			
Gene	Chromosome	Start	Recombination
HORVU1Hr1G077350	1H	517101820	0.8
HORVU1Hr1G075820	1H	512473415	0.79
HORVU1Hr1G085050	1H	534801259	1.35
HORVU1Hr1G084260	1H	533330934	1.41
HORVU1Hr1G079570	1H	523370174	0.79
HORVU1Hr1G078370	1H	520099407	0.71
HORVU1Hr1G085160	1H	535189594	1.33
HORVU1Hr1G078030	1H	519001928	0.72
HORVU1Hr1G076350	1H	513778616	0.85
HORVU1Hr1G074670	1H	508789844	0.71
HORVU1Hr1G078740	1H	521025072	0.71
HORVU1Hr1G092640	1H	551198087	0.77
HORVU1Hr1G074550	1H	508312545	0.69
HORVU1Hr1G080410	1H	525399085	0.95
HORVU1Hr1G086250	1H	537067033	1.15
HORVU1Hr1G080850	1H	526397435	1.05
HORVU1Hr1G080090	1H	524560520	0.88
HORVU1Hr1G073820	1H	504788040	0.65
HORVU1Hr1G082670	1H	530070589	1.3
HORVU1Hr1G082430	1H	529726361	1.27
HORVU1Hr1G088760	1H	542657139	0.9
HORVU1Hr1G081790	1H	528122024	1.06
HORVU1Hr1G080470	1H	525423903	0.95
HORVU1Hr1G074650	1H	508769840	0.71
HORVU1Hr1G082860	1H	530713062	1.35
HORVU1Hr1G083330	1H	531633435	1.4
HORVU1Hr1G093230	1H	552521506	0.74
HORVU1Hr1G081900	1H	528277572	1.09
HORVU1Hr1G095230	1H	557947570	0.57
HORVU1Hr1G090410	1H	545850732	0.89
HORVU1Hr1G079810	1H	523893683	0.83
HORVU1Hr1G073940	1H	505808815	0.66
HORVU1Hr1G093430	1H	552981391	0.72
HORVU1Hr1G090580	1H	546421876	0.88
HORVU1Hr1G094740	1H	556177625	0.62
HORVU1Hr1G085640	1H	536022574	1.25
HORVU1Hr1G085370	1H	535415738	1.31
HORVU1Hr1G081570	1H	527977231	1.05
HORVU1Hr1G076180	1H	513249950	0.83
HORVU1Hr1G080290	1H	524725774	0.89
HORVU1Hr1G080970	1H	526706446	1.06
HORVU1Hr1G078450	1H	520345574	0.71
HORVU1Hr1G086380	1H	537355774	1.16
HORVU1Hr1G082380	1H	529697208	1.26
HORVU1Hr1G076190	1H	513272813	0.83
HORVU1Hr1G087740	1H	539860231	1.04
HORVU1Hr1G088090	1H	540957135	0.96
HORVU1Hr1G079590	1H	523375301	0.79
HORVU1Hr1G083270	1H	531491320	1.39
HORVU1Hr1G093990	1H	554469113	0.67
HORVU1Hr1G078170	1H	519268135	0.72
HORVU1Hr1G080820	1H	526318520	1.04
HORVU1Hr1G081950	1H	528355864	1.1
HORVU1Hr1G092980	1H	551852109	0.76
HORVU1Hr1G077070	1H	516249045	0.85
HORVU1Hr1G094250	1H	554845940	0.67
HORVU1Hr1G073720	1H	504429847	0.65
HORVU1Hr1G083730	1H	532368566	1.42
HORVU1Hr1G078110	1H	519178081	0.72
HORVU1Hr1G091710	1H	548928414	0.83
HORVU1Hr1G082120	1H	528746766	1.15
HORVU1Hr1G078490	1H	520484686	0.71
HORVU1Hr1G092860	1H	551573220	0.76
HORVU1Hr1G094880	1H	556691612	0.61
HORVU1Hr1G084610	1H	534220609	1.39
HORVU1Hr1G094070	1H	554563524	0.67
HORVU1Hr1G079200	1H	522486714	0.75
