poscM Chromosome Start End Loess1 Loess2 nb_complete_site piSyn f0 div Ne
0 1 874468.5 879256.3 0.9575 1.9475 3976 0.0119955476320423 0.0339266432407682 0.20252 710777.066879849
0.05 1 4878372.42857143 4887373.71428571 1.25214285714286 1.88785714285714 5277 0.0129838670797802 0.062647328790452 0.175414285714286 888219.590114452
0.1 1 8351850.25 8362868.75 1.71375 1.76625 2776 0.0094186882204611 0.0966769387085049 0.209325 539946.297124248
0.15 1 11300002.6666667 11304591 2.22666666666667 1.67666666666667 531 0.0045659011299435 0.0940043147156303 0.229166666666667 239087.186440678
0.2 1 13252707.4285714 13261835.7142857 2.17285714285714 1.57428571428571 3079 0.0127416245209484 0.0751212936574255 0.148471428571429 1029824.36232047
0.25 1 15218521.6666667 15226103.6666667 1.77 1.62333333333333 1823 0.000425329286889742 1.1913300113033 0.1432 35642.1190131069
0.3 1 18837871 18843769.4285714 1.27857142857143 1.31142857142857 3109 0.00266487029269862 0.246091481530754 0.121014285714286 264253.45837172
0.35 1 25569596.375 25575482.625 0.68125 0.83875 5008 0.00174752112420128 0.267552853298373 0.166675 125815.230180983
0.4 1 33880941.3636364 33900286 0.458181818181818 0.478181818181818 5512 0.00186744508889695 0.290473063369306 0.177381818181818 126333.923603115
0.45 1 85730353 85737146.079646 0.0525663716814159 0.0550442477876106 44419 0.000533718871766586 0.193498482771536 0.126599115044248 50589.820149695
0.5 1 305707655.53719 305717591.81405 0.0271900826446281 0.0268181818181818 99268 0.000327712381321272 0.270186626281169 0.120212809917355 32713.2239780339
0.55 1 419065108.651515 419075244.545455 0.153939393939394 0.142272727272727 28963 0.000356234997410489 0.355696228048976 0.123268181818182 34679.0218357495
0.6 1 448350315.210526 448358660.368421 0.200175438596491 0.213157894736842 22861 0.00119790750299637 0.226291706032881 0.139568421052632 102995.29024933
0.65 1 465972735 465978449.941176 0.400588235294118 0.415294117647059 5760 0.00178486431944444 0.155396192833083 0.166558823529412 128593.438519042
0.7 1 476618787.75 476626509.4375 0.565625 0.503125 6602 0.00294123058467131 0.105466886671287 0.1626 217064.987798621
0.75 1 485538332.692308 485543629.384615 0.636153846153846 0.565384615384615 6025 0.00362456564315353 0.147638655686911 0.168861538461538 257576.640092907
0.8 1 493426313.782609 493431565.434783 0.61304347826087 0.601739130434783 8725 0.00254835600664756 0.1551809547546 0.164065217391304 186390.952122626
0.85 1 502693733 502701785.555556 0.477222222222222 0.641111111111111 7239 0.00198770362784915 0.11146568169267 0.181355555555556 131523.092640429
0.9 1 510177641.25 510183024.75 1.03666666666667 0.733333333333333 3908 0.00567487272773797 0.120673042955289 0.220975 308172.746839487
0.95 1 516170771.421053 516176555.263158 0.881052631578947 0.81 7088 0.00197361515519187 0.146988750624239 0.160552631578947 147511.63920136
1 1 522662604.322581 522668788.774194 0.664516129032258 0.810645161290323 10513 0.00409995371254637 0.0800894661461191 0.168248387096774 292421.493005205
1.05 1 528393154.4 528399636.133333 1.16 1.142 5875 0.00232546778042553 0.251136794132308 0.143506666666667 194455.170712903
1.1 1 532132162.666667 532147196.466667 1.56933333333333 1.40333333333333 3156 0.00271771070342205 0.0532960543244445 0.19988 163160.53852844
1.15 1 535679158.5 535684015.071429 1.31214285714286 1.27214285714286 5566 0.00481438708947179 0.0514450051315566 0.143635714285714 402216.435939759
1.2 1 540509224 540514491.181818 0.865454545454545 1.01318181818182 9173 0.00319720786809114 0.210805264774453 0.159127272727273 241105.712173235
1.25 1 546179261.857143 546194206 0.983809523809524 0.876190476190476 7526 0.00703547285942067 0.101830679035053 0.171590476190476 492018.416099797
1.3 1 551823366.666667 551834529.909091 0.773939393939394 0.753636363636364 14578 0.00424108898374263 0.0861891021546833 0.160463636363636 317162.622998146
1.35 1 556757558 556764808.333333 0.4075 0.6075 7773 0.00137636154329088 0.169786976229546 0.148308333333333 111364.871738993
0 2 2602160 2662872 0.62 0.802 3275 0.00607780678534351 0.156076644480127 0.19014 383578.844136542
0.05 2 9048314.44444444 9064434.66666667 0.634444444444444 0.807777777777778 4070 0.00642121778869779 0.123265904110805 0.133222222222222 578391.593977783
0.1 2 15640155.8 15653875.3333333 0.670666666666667 0.808666666666667 4927 0.0026546300872742 0.0865867300638853 0.160766666666667 198147.798345161
