Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_caudata_Tr139_CAU6_Contig1003_simExt	TraesCS5B02G450300	472	1.82415254237288	0	1	99.576
Ae_caudata_Tr139_CAU6_Contig1007_simExt	TraesCS6B02G031500	556	1.4441052927032	0	1	95.504
Ae_caudata_Tr139_CAU6_Contig1009_simExt	TraesCS5B02G278600	1014	1.58136094674556	0	1	95.365
Ae_caudata_Tr139_CAU6_Contig1013_simExt	TraesCS5B02G135200	3112	1.73344155844156	2.37214285714286e-106	1	97.9653186589546
Ae_caudata_Tr139_CAU6_Contig1016_simExt	TraesCS5B02G249000	2409	1.68905084157557	0	0.997094229970942	97.1831455731335
Ae_caudata_Tr139_CAU6_Contig1018_simExt	TraesCS3B02G128000	2016	1.77593598170906	0	1	98.7268754960318
Ae_caudata_Tr139_CAU6_Contig1023_simExt	TraesCS3B02G070300	975	1.77903575297941	1.44084507042254e-13	0.998974358974359	98.8063613963039
Ae_caudata_Tr139_CAU6_Contig1024_simExt	TraesCS1B02G200000	3149	1.61382821058058	7.60873767639668e-24	1	95.9649285222822
Ae_caudata_Tr139_CAU6_Contig1028_simExt	TraesCS6B02G339600	1766	2.02127565902987	0	1	96.942
Ae_caudata_Tr139_CAU6_Contig1029_simExt	TraesCS3B02G244500	404	1.24047027538115	0	1	98.267
Ae_caudata_Tr139_CAU6_Contig1031_simExt	TraesCS7B02G157300	885	1.97092046393877	0	0.998870056497175	97.398
Ae_caudata_Tr139_CAU6_Contig1034_simExt	TraesCS5B02G147600	879	1.81515191659618	0	0.988623435722412	95.13
Ae_caudata_Tr139_CAU6_Contig1039_simExt	TraesCS2B02G309500	1111	1.67862481315396	0	1	97.13
Ae_caudata_Tr139_CAU6_Contig104_simExt	TraesCS2B02G538900	1649	1.70785149117468	1.43682288496652e-55	0.995755003032141	97.504784409257
Ae_caudata_Tr139_CAU6_Contig1040_simExt	TraesCS3B02G377000	304	0.801474930202414	4.8e-123	1	92.763
Ae_caudata_Tr139_CAU6_Contig1041_simExt	TraesCS1B02G395100	1954	1.51566893530113	0	0.999488229273286	90.835
Ae_caudata_Tr139_CAU6_Contig1043_simExt	TraesCS6B02G110300	347	1.43342391304348	9.43206521739131e-71	1	92.3645830931796
Ae_caudata_Tr139_CAU6_Contig1045_simExt	TraesCS7B02G200000	1589	1.72589850377911	3.16242480333179e-29	1	97.6846527585484
Ae_caudata_Tr139_CAU6_Contig1050_simExt	TraesCS5B02G170400	2468	1.70509930976194	4.17101000140865e-168	0.998784440842788	97.5804385665991
Ae_caudata_Tr139_CAU6_Contig1053_simExt	TraesCS4B02G181600	994	1.78349149838471	0	0.88430583501006	95.568
Ae_caudata_Tr139_CAU6_Contig1054_simExt	TraesCS2B02G451100	649	1.73115650589129	0	0.998459167950693	97.994
