Query	Subject	Query_length.x	BitScore_corrected.x	Evalue.x	Coverage.x	Similarity.x	Query_length.y	BitScore_corrected.y	Evalue.y	Coverage.y	Similarity.y
Ae_searsii_Tr165_SER04_Contig1009_simExt	HORVU7Hr1G021340	1010	1.48378706433154	2.43717074388764e-29	0.993069306930693	93.893510573906	1010	1.48250173250173	1.75677721690922e-30	0.993069306930693	93.8995661714712
Ae_searsii_Tr165_SER04_Contig1013_simExt	HORVU4Hr1G072210	2763	1.49858103061987	1.60637291511078e-27	0.98914223669924	93.8332543533183	2763	1.49858103061987	8.0318645755539e-29	0.98914223669924	93.8332543533183
Ae_searsii_Tr165_SER04_Contig1030_simExt	HORVU7Hr1G066510	1066	1.44301963341303	2.46584075925523e-50	0.962476547842402	92.8943383689765	1066	1.44301963341303	3.30312250959936e-51	0.962476547842402	92.8943383689765
Ae_searsii_Tr165_SER04_Contig1037_simExt	HORVU3Hr1G013350	1118	1.46659836065574	2.85245901639344e-27	0.993738819320215	92.905532004629	1118	1.46659836065574	9.26229508196721e-29	0.993738819320215	92.905532004629
Ae_searsii_Tr165_SER04_Contig1048_simExt	HORVU1Hr1G078910	1295	1.57954545454545	8.20635330578512e-34	0.952123552123552	95.118443434609	1295	1.57954545454545	3.87022210743802e-35	0.952123552123552	95.118443434609
Ae_searsii_Tr165_SER04_Contig1067_simExt	HORVU3Hr1G001140	806	1.3526485948769	3.76150211390201e-47	1	91.1804231744062	806	1.3526485948769	4.01019646854016e-48	1	91.1804231744062
Ae_searsii_Tr165_SER04_Contig1071_simExt	HORVU6Hr1G032940	1288	1.59165250637213	1.6355140187735e-32	0.81444099378882	95.5090576696421	1288	1.59165250637213	1.34929906548825e-33	0.81444099378882	95.5090576696421
Ae_searsii_Tr165_SER04_Contig1089_simExt	HORVU3Hr1G063710	621	1.42849912838104	1.59658100432998e-35	0.948470209339775	92.5720562234357	621	1.42849912838104	1.85244334476747e-36	0.948470209339775	92.5720562234357
Ae_searsii_Tr165_SER04_Contig1097_simExt	HORVU2Hr1G032830	659	1.57386746434956	0	0.892261001517451	93.782	659	1.63783512339572	0	0.901365705614568	93.782
Ae_searsii_Tr165_SER04_Contig1117_simExt	HORVU3Hr1G022770	1794	1.3525216505349	5.24666327050433e-79	0.984392419175028	91.0987700372108	1794	1.3525216505349	3.24156902699949e-80	0.984392419175028	91.0987700372108
Ae_searsii_Tr165_SER04_Contig1124_simExt	HORVU6Hr1G025980	2479	1.45505671986157	2.79407806191117e-80	0.960064542154094	92.9423894060491	2479	1.45456729614146	1.43148335015136e-81	0.960064542154094	92.9462280014873
Ae_searsii_Tr165_SER04_Contig1128_simExt	HORVU5Hr1G052100	2699	1.60368100466236	1.49890961046775e-23	0.954427565765098	95.5803461715206	2699	1.60368100466236	6.96552113099718e-25	0.954427565765098	95.5803461715206
Ae_searsii_Tr165_SER04_Contig1131_simExt	HORVU2Hr1G010870	1138	1.58067813937638	2.20719032203101e-29	0.956942003514939	95.0947069787192	1138	1.58067813937638	3.01243823479298e-30	0.956942003514939	95.0947069787192
Ae_searsii_Tr165_SER04_Contig1133_simExt	HORVU4Hr1G078610	1400	1.54419276038197	0	1	94.6926730340136	1400	1.54419276038197	0	1	94.6926730340136
Ae_searsii_Tr165_SER04_Contig1163_simExt	HORVU1Hr1G011420	355	1.45310700813977	4.97180861623983e-20	1	92.5749292785463	355	1.45310700813977	1.35195552908477e-20	1	92.5749292785463
Ae_searsii_Tr165_SER04_Contig1173_simExt	HORVU6Hr1G074360	1440	1.53708416230972	3.59776447693518e-64	0.817361111111111	94.284576000046	1440	1.53708416230972	2.55226548743812e-65	0.817361111111111	94.284576000046
Ae_searsii_Tr165_SER04_Contig1180_simExt	HORVU3Hr1G015740	962	1.29638273045508	2.97992998833139e-43	0.933471933471933	90.2310417382543	962	1.29638273045508	1.71411901983664e-44	0.933471933471933	90.2310417382543
Ae_searsii_Tr165_SER04_Contig1198_simExt	HORVU3Hr1G059120	3805	1.53552103333915	3.37993303606849e-37	1	94.5639762551714	3805	1.53552103333915	2.06286992811692e-38	1	94.5639762551714
Ae_searsii_Tr165_SER04_Contig1203_simExt	HORVU4Hr1G031620	1242	1.42864622288706	2.35041136873598e-24	0.94122383252818	92.4273122128228	1242	1.42864622288706	6.33881824981301e-26	0.94122383252818	92.4273122128228
Ae_searsii_Tr165_SER04_Contig1215_simExt	HORVU7Hr1G106570	2482	1.475267447784	2.12198166072338e-72	0.85132957292506	93.0108932797304	2482	1.475267447784	1.14482934284259e-73	0.85132957292506	93.0108932797304
Ae_searsii_Tr165_SER04_Contig1220_simExt	HORVU2Hr1G118930	490	1.39520958083832	0	1	92.2155632653061	490	1.39520958083832	0	1	92.2155632653061
Ae_searsii_Tr165_SER04_Contig124_simExt	HORVU2Hr1G110110	1825	1.46525759577279	2.13828269484808e-110	0.962739726027397	92.3475557294631	1825	1.46525759577279	5.36845442536328e-112	0.962739726027397	92.3475557294631
Ae_searsii_Tr165_SER04_Contig1269_simExt	HORVU5Hr1G022100	910	1.6074400391581	6.35340186000979e-21	0.940659340659341	95.0614323724562	910	1.6074400391581	7.00799477891989e-22	0.940659340659341	95.0614323724562
Ae_searsii_Tr165_SER04_Contig1281_simExt	HORVU7Hr1G005720	629	1.40788267644363	0	0.918918918918919	92.28651816609	629	1.40788267644363	0	0.918918918918919	92.28651816609
Ae_searsii_Tr165_SER04_Contig1298_simExt	HORVU4Hr1G008580	2219	1.67684281711912	2.14955076804173e-31	0.958539882830104	96.0298305908165	2219	1.67684281711912	1.39806781953434e-32	0.958539882830104	96.0298305908165
Ae_searsii_Tr165_SER04_Contig1307_simExt	HORVU2Hr1G098600	2680	1.5769387755102	2.49142857246841e-82	0.962686567164179	95.2217818992248	2680	1.57677787980818	1.57241097914229e-83	0.962686567164179	95.2223709689922
Ae_searsii_Tr165_SER04_Contig1317_simExt	HORVU2Hr1G124850	968	1.51446021196336	1.07828273756063e-25	1	94.0334949035813	968	1.51446021196336	3.46039159331777e-27	1	94.0334949035813
Ae_searsii_Tr165_SER04_Contig1336_simExt	HORVU4Hr1G048800	1152	1.62846984821551	0	0.826388888888889	96.2819021212652	1152	1.62846984821551	0	0.826388888888889	96.2819021212652
Ae_searsii_Tr165_SER04_Contig1338_simExt	HORVU5Hr1G123080	2813	1.66057229596615	6.25520782870733e-20	0.999644507643086	96.6862888839621	2813	1.66057229596615	3.53454122663084e-21	0.999644507643086	96.6862888839621
Ae_searsii_Tr165_SER04_Contig1339_simExt	HORVU2Hr1G041590	2189	1.53344361334868	1.91613924050633e-55	0.837825491091823	93.9918939658306	2189	1.53344361334868	1.70461737629459e-57	0.837825491091823	93.9918939658306
Ae_searsii_Tr165_SER04_Contig1340	HORVU1Hr1G073640	512	1.45749613601236	2.92423493044822e-90	0.857421875	92.8953974943052	512	1.45749613601236	9.31020092735703e-92	0.857421875	92.8953974943052
Ae_searsii_Tr165_SER04_Contig1392_simExt	HORVU7Hr1G116690	4746	1.41761306846577	1.47396355147426e-13	0.979561736198904	92.5523993841156	4746	1.41783148676235	1.235261919746e-13	0.979561736198904	92.5500924015001
Ae_searsii_Tr165_SER04_Contig1400_simExt	HORVU3Hr1G022600	777	1.50570062522986	0	1	93.9407610467611	777	1.50570062522986	0	1	93.9407610467611
Ae_searsii_Tr165_SER04_Contig1405_simExt	HORVU3Hr1G023480	2649	1.57674622290344	3.61090431355375e-59	0.893544733861835	94.1309262287002	2649	1.57674622290344	1.52594701116707e-60	0.893544733861835	94.1309262287002
Ae_searsii_Tr165_SER04_Contig1408_simExt	HORVU2Hr1G038260	704	1.86585702012894	0	0.970170454545455	95.608	704	1.93782666357709	0	0.970170454545455	95.608
Ae_searsii_Tr165_SER04_Contig1412_simExt	HORVU1Hr1G033060	923	1.49835603569751	0	0.845070422535211	93.8436865384615	923	1.49835603569751	0	0.845070422535211	93.8436865384615
Ae_searsii_Tr165_SER04_Contig1421_simExt	HORVU5Hr1G106120	1126	1.56961249808546	1.2608362689539e-108	0.998223801065719	94.6851139891544	1126	1.56961249808546	1.21580640220554e-109	0.998223801065719	94.6851139891544
Ae_searsii_Tr165_SER04_Contig1436_simExt	HORVU6Hr1G032400	1217	1.34998228834573	1.72731137088204e-132	1	91.307837304848	1217	1.34998228834573	5.89479277364506e-134	1	91.307837304848
Ae_searsii_Tr165_SER04_Contig1445_simExt	HORVU3Hr1G011620	368	1.55338129496403	3.28057553996115e-23	0.847826086956522	94.7820524151774	368	1.55338129496403	1.22374100734063e-23	0.847826086956522	94.7820524151774
Ae_searsii_Tr165_SER04_Contig1454	HORVU2Hr1G073760	1004	1.66502344595407	1.09272574245521e-39	0.862549800796813	96.6670249968341	1004	1.66595642805842	5.35910940866651e-14	0.862549800796813	96.6803792028667
Ae_searsii_Tr165_SER04_Contig1481_simExt	HORVU4Hr1G014910	2073	1.44742544629037	9.45268806108761e-27	0.995658465991317	92.4198908672481	2073	1.44742544629037	7.94489732741719e-28	0.995658465991317	92.4198908672481
Ae_searsii_Tr165_SER04_Contig1505_simExt	HORVU7Hr1G008880	730	1.40960099750623	2.57163341645885e-104	0.923287671232877	92.2428345697329	730	1.40960099750623	6.88335411471322e-106	0.923287671232877	92.2428345697329
Ae_searsii_Tr165_SER04_Contig1510_simExt	HORVU1Hr1G017050	290	1.50659425911559	5.08182932505818e-57	1	93.8051639655172	290	1.50659425911559	7.13293793638479e-58	1	93.8051639655172
Ae_searsii_Tr165_SER04_Contig1511	HORVU0Hr1G003270	327	1.55335365853659	1.35685975609756e-49	0.984709480122324	94.4721304347826	327	1.55335365853659	2.26143292682927e-50	0.984709480122324	94.4721304347826
Ae_searsii_Tr165_SER04_Contig1515_simExt	HORVU2Hr1G099220	2205	1.60634844212119	8.99319072838572e-14	0.983219954648526	93.5099555677026	2205	1.60634844212119	1.18473760231103e-14	0.983219954648526	93.5099555677026
Ae_searsii_Tr165_SER04_Contig1522_simExt	HORVU1Hr1G030930	1017	1.7329614550838	8.17321419129699e-54	1	97.952119207087	1017	1.7329614550838	1.76278221329244e-54	1	97.952119207087
Ae_searsii_Tr165_SER04_Contig1559_simExt	HORVU2Hr1G033450	1289	1.49928778986952	5.60651814711413e-30	1	93.9844073361472	1289	1.4981780915509	3.69756319744933e-31	1	93.9917843255271
