poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 162631.75 166668.25 NA 1664 0.0323922924098558 0.00401306767343548 0.2282 1703363.3169074
0.01 1 1358536 1365524 1.95 1859 0.0271214034965035 0.0499131836809299 0.1209 2691950.71925593
0.02 1 1910919 1914393 1.94 193 0.016624 0 0.1397 1427974.23049392
0.04 1 4165175 4167785 1.91 25 0 Inf 0.3918 0
0.05 1 4901581.66666667 4906822 1.89333333333333 641 0.016438375975039 0.123151812010232 0.2313 852834.032427445
0.06 1 5675897 5681777.33333333 1.86333333333333 788 0.0102251878172589 0 0.1221 1004932.46361267
0.07 1 6247444 6254946 1.85 147 0.0064 0.309253125 0.0989 776541.961577351
0.08 1 7217840 7229089 1.81 1184 0.0415751 0.0412949096935425 0.1212 4116346.53465346
0.09 1 7941903 7943483.5 1.785 320 0.046978364375 0.019361544396042 0.1769 3186774.29338609
0.1 1 8349328 8356000 1.77 386 0.0104575 0.0705981353095864 0.1908 657704.402515723
0.11 1 9026890.33333333 9033266 1.74 1751 0.0313951515134209 0.0261077850921056 0.154566666666667 2437406.63032813
0.14 1 10739577 10746629 1.7 349 0.00583942 0 0.2825 248046.159292035
0.19 1 12495183 12500461 1.62 78 0.0215633 0.359148646079218 0.3148 821980.940279542
0.2 1 12970911 12980091 1.59 1062 0.0131304505367232 0.101915941503369 0.15795 997565.093008408
0.21 1 13553518.6666667 13564019 1.55333333333333 1417 0.0199428513055752 0.0760676630038728 0.1618 1479074.2624654
0.22 1 13725749 13735135 1.56 193 0.0306513 0.0848662210085706 0.0907 4055298.78721058
0.23 1 14369286 14375231 1.61 817 0 NA 0.1751 0
0.25 1 15687487 15695576 1.63 61 0 NA 0.1837 0
0.29 1 18141572.25 18148294.5 1.3775 1843 0.0118426507325014 0.105003821015291 0.11375 1249334.58276937
0.31 1 20234720 20239868 1.19 779 0.00124185 0 0.1113 133892.18328841
0.33 1 22166621 22176854 1.06 935 0.00215401 0.566329775627783 0.0581 444890.189328744
0.34 1 23812071 23816472 0.95 797 0.0146813 0.114033498395919 0.152 1159050
0.35 1 24850165 24855824.5 0.88 209 0 NA 0.1129 0
0.36 1 25352879.6666667 25359590.3333333 0.85 2789 0.00355136568304052 0.173709037757304 0.109 390976.038499873
0.37 1 27747381.5 27750094.5 0.705 212 0 NA 0.2418 0
0.39 1 30653893 30656636.5 0.55 592 0 Inf 0.2399 0
0.4 1 31928917 31937506.5 0.49 359 0.00841150802228412 0.0952211848724107 0.60735 166194.280509442
0.41 1 34083562 34088731 0.39 489 0.00188147 0.318453655917979 0.1662 135846.209386282
0.42 1 37544047.5 37575278.3333333 0.421666666666667 3962 0.000248981745330641 0.295685159040126 0.135866666666667 21990.5368790556
0.43 1 39678528.8 39690056.4 0.36 2242 0.00180760178412132 0.247281250912984 0.13732 157961.122993416
0.44 1 43393559.3333333 43397138 0.246666666666667 480 0 NA 0.155466666666667 0
0.45 1 52141500.8666667 52147883.6 0.0906666666666667 6204 0.000467537614442295 0.202085451628243 0.15356 36535.8906831697
0.46 1 67450050.5384615 67456069.4615385 0.0592307692307692 4390 0 Inf 0.100476923076923 0
0.47 1 101007669.9375 101014712.625 0.023 32838 0.000507580569462208 0.431937563474661 0.13035125 46727.337356155
0.48 1 220502919.57732 220517140.113402 -0.00474226804123711 39952 0.000349483620594714 0.0607514933635486 0.127677319587629 32846.894504691
0.49 1 337527042.706522 337536373.380435 0.0190217391304348 36895 0.000371303037810001 0.288482951165478 0.134010869565217 33248.3213352455
0.5 1 378063505.857143 378068211.428571 0.0742857142857143 5043 0 Inf 0.140842857142857 0
0.51 1 385243684.75 385249017.375 0.085 5101 0.000611085920407763 0.0652684044698687 0.1361375 53864.886933381
0.52 1 397422942.28 397430488.84 0.108 11761 0.000393003678938866 0.620364053334541 0.114896 41046.1995828087
0.53 1 406917381 406921928.058824 0.130588235294118 4523 0.00150518777802344 0 0.155147058823529 116420.211077452
0.54 1 412989713.9 412995093.3 0.145 5122 0.00148488286958219 0.305476859759668 0.14343 124231.990761949
0.55 1 419046520.363636 419055268.272727 0.157272727272727 6026 0.000966139398274145 0.0492564355193357 0.110518181818182 104902.854793277
0.56 1 425635550.857143 425641410.857143 0.153571428571429 5575 0 Inf 0.1204 0
0.57 1 433229574.6 433240037.1 0.122 5820 0.00146579404810997 0.217325682744308 0.1204 146092.430044183
0.58 1 439057264.375 439072524.25 0.159375 6341 0.0018351454939284 0.245565928540169 0.125125 175997.969447679
0.59 1 446934348.133333 446941744.066667 0.174 5176 0.0104465910162287 0.0158936508559932 0.11804 1062005.18633298
