poscM Chromosome Start End recRate nb_complete_site piSyn f0
0 1D 1629443.16666667 1634960.16666667 6.28833766867838e-07 4323 0.0616287546379829 0.0378582701050814
0.01 1D 3960652.33333333 3964612.66666667 7.90619041071356e-07 292 0.0491084883561644 0.0449205088878352
0.02 1D 5438992.66666667 5443623.33333333 9.07219385888456e-07 236 0.0512017322033898 0.040958344745487
0.03 1D 5511254 5517977 9.13196172291157e-07 108 0.0776758277777778 0.00836141716903349
0.04 1D 6328647.5 6336972.5 9.81164112860305e-07 1058 0.0642415966918714 0.0340641439921884
0.05 1D 6773267 6776839.33333333 1.01886324249173e-06 598 0.0665896483277592 0.0391270607541702
0.06 1D 7482658.66666667 7487854.66666667 9.75861546702496e-07 525 0.0539558045714286 0.0657359871539872
0.07 1D 9296318.45454546 9301321.5 9.40432960336914e-07 3130 0.0393908113929712 0.0747181639837202
0.08 1D 10698980 10705499.6666667 1.29617913679913e-06 172 0.0800581081395349 0.0166583202581648
0.1 1D 11568194.6666667 11575455.3333333 1.18327982144706e-06 1145 0.0447762534497817 0.0158601831567373
0.11 1D 12201475.6666667 12206032 1.09296141099887e-06 585 0.0590880996581197 0.050321745698209
0.12 1D 15017124.3333333 15021360.5 3.93231950521025e-07 909 0.0536735609460946 0.0501414467041316
0.13 1D 16965512 16972858 8.249972861905e-07 79 0.0374823 0.174852930583235
0.15 1D 18187983.75 18191296.75 1.06177225725564e-06 719 0.0561256112656467 0.0416514422516086
0.16 1D 19563730.5555556 19569905.3333333 1.32571590805506e-06 2696 0.0335215200667656 0.108344717163793
0.17 1D 20968400 20973809 1.21066412461952e-06 180 0.0123647 0.283548327092449
0.18 1D 21452673 21459650 1.11954868250699e-06 57 0 NA
0.19 1D 21885424 21888853 1.06436469519594e-06 321 0.0100255895950156 0.230406156984712
0.2 1D 23004498 23006751 1.02343644246628e-06 193 0.0509752 0.0702204209105604
0.21 1D 24432632.25 24436658.25 9.83620557099064e-07 769 0.0367105165149545 0.0974654637397251
