Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_searsii_Tr165_SER04_Contig1000_simExt	TraesCS5B02G532500	403	0.938010302820539	1.03e-155	1	91.892
Ae_searsii_Tr165_SER04_Contig101_simExt	TraesCS6B02G020900	2889	1.61280635474184	5.81255448997385e-21	0.994115610938041	95.8351370995822
Ae_searsii_Tr165_SER04_Contig1013_simExt	TraesCS4B02G269500	2763	1.69956913435174	7.54249902075989e-152	0.922909880564604	97.377488627451
Ae_searsii_Tr165_SER04_Contig1027_simExt	TraesCS5B02G130700	1489	1.74278038952317	0	1	98.12
Ae_searsii_Tr165_SER04_Contig1037_simExt	TraesCS3B02G087400	1118	1.65888278388278	0	0.994633273703041	96.7477882194245
Ae_searsii_Tr165_SER04_Contig1048_simExt	TraesCS1B02G384100	1295	2.09633398317536	0	0.958301158301158	98.227
Ae_searsii_Tr165_SER04_Contig1071_simExt	TraesCS6B02G190600	1288	1.55730129390018	2.58521256931608e-82	0.93167701863354	95.0457308333333
Ae_searsii_Tr165_SER04_Contig1079_simExt	TraesCS6B02G319000	748	1.660911800403	0	0.842245989304813	99.048
Ae_searsii_Tr165_SER04_Contig108_simExt	TraesCS2B02G294500	675	1.62354257663579	0	1	96.006
Ae_searsii_Tr165_SER04_Contig1083	TraesCS6B02G098300	329	0.915636124321254	6.5e-147	1	95.137
Ae_searsii_Tr165_SER04_Contig1086_simExt	TraesCS5B02G319000	613	1.70591157476403	9.34724292101341e-120	1	97.5612479608483
Ae_searsii_Tr165_SER04_Contig1088_simExt	TraesCS7B02G368700	384	1.02363830175556	1.6e-168	0.9609375	95.935
Ae_searsii_Tr165_SER04_Contig1089_simExt	TraesCS3B02G297000	621	1.6188455008489	0	0.948470209339775	96.095
Ae_searsii_Tr165_SER04_Contig110_simExt	TraesCS1B02G339600	662	1.62444444444444	8.90192592592593e-107	0.844410876132931	95.9781359570662
Ae_searsii_Tr165_SER04_Contig1100_simExt	TraesCS4B02G153200	814	1.69618696186962	1.68118081180812e-22	0.998771498771499	97.2941008610086
Ae_searsii_Tr165_SER04_Contig1101_simExt	TraesCS6B02G297100	1246	1.72129763710071	0	0.972712680577849	92.822
Ae_searsii_Tr165_SER04_Contig1103	TraesCS5B02G193200	740	1.47665056360709	6.73260869565217e-48	0.998648648648649	93.945647496617
Ae_searsii_Tr165_SER04_Contig1109_simExt	TraesCS1B02G259000	1263	2.13508048166471	0	1	98.259
Ae_searsii_Tr165_SER04_Contig1112_simExt	TraesCS2B02G453000	1732	1.54016260162602	0	0.88568129330254	94.6310136897001
Ae_searsii_Tr165_SER04_Contig1117_simExt	TraesCS3B02G141600	1794	1.58389674247081	1.85015365703749e-28	0.900222965440357	95.4503486068111
Ae_searsii_Tr165_SER04_Contig1119_simExt	TraesCS7B02G042600	319	1.71069182389937	3.74e-154	0.996865203761755	97.484
Ae_searsii_Tr165_SER04_Contig1125_simExt	TraesCS1B02G446800	432	1.57142857142857	1.66344827586207e-44	0.9375	94.0848740740741
Ae_searsii_Tr165_SER04_Contig1128_simExt	TraesCS5B02G166400	2699	1.7698916697796	6.79865521105715e-54	0.990366802519452	98.6580905349794
Ae_searsii_Tr165_SER04_Contig1133_simExt	TraesCS4B02G306200	1400	2.03097481876092	0	1	96.726
Ae_searsii_Tr165_SER04_Contig1136_simExt	TraesCS1B02G138200	1208	1.79709968743978	0	1	93.328
