poscM Chromosome Start End Recombination nb_complete_site piSyn f0 div Ne
0 1 59254 61646 NA 302 0.00341762119205298 0.274382398353062 0.4809 85280.628622657
0.002 1 269153.5 274154.5 NA 2427 0.00128878983930779 0.294413629131437 0.234125 66056.5000392673
0.008 1 968286 979886 NA 1287 0.000633914 0 0.1407 54065.1599147122
0.013 1 1553661 1558343 1.95 630 0.00366396038095238 0.200472119889839 0.092 477907.875776398
0.016 1 1910919 1914393 1.94 177 0.00903955 0 0.1391 779831.775700935
0.022 1 2477071 2481228 1.93 338 0.0336763 0.101984481668117 0.1467 2754707.56646217
0.037 1 3845261 3849085 1.91 297 0.0390057 0.145336963571991 0.1109 4220634.80613165
0.04 1 4151373 4159697 1.91 353 0.0280828 0.116926374862905 0.1266 2661876.77725119
0.041 1 4165175 4167785 1.91 74 0 NA 0.3416 0
0.042 1 4312493 4363970 1.9 1009 0.0365522 0.0560899207161265 0.1446 3033377.593361
0.044 1 4416074 4418966 1.9 83 0.00969697 0 0.1822 638658.836443469
0.046 1 4625638 4630551 1.9 82 0.029383 0.239741347037403 0.2395 1472217.11899791
0.047 1 4675054 4682504 1.9 204 0.0119171 0.0925938357486301 0.1614 886029.739776952
0.048 1 4757724 4771550 1.89 648 0.0268361 0.100570500184453 0.1877 1715680.34096963
0.051 1 5016258 5022272 1.89 409 0.025876 0.175704513835214 0.1308 2373944.95412844
0.057 1 5502121 5508568 1.87 893 0.0318491 0.0327918214329447 0.1872 2041608.97435897
0.068 1 6247444 6254946 1.85 793 0.00898129 0.354128415851175 0.1187 907965.290648694
0.069 1 6348635 6351820 1.84 172 0.00461983 0 0.1057 524484.011352886
0.081 1 7217840 7229089 1.81 1211 0.0238837 0.0400985609432374 0.1138 2518492.0913884
0.095 1 8048778 8051397 1.78 203 0.0666153 0 0.2462 3246887.08367181
0.1 1 8342823 8348788 1.77 927 0.0237680275080906 0.123827293030944 0.204 1398119.2651818
0.109 1 8912375 8919563 1.74 585 0.0216076 0.0540758807086395 0.2024 1281083.00395257
0.11 1 8929487 8937936 1.74 770 0.0180113 0.0166634834798154 0.1049 2060396.56816015
0.112 1 9050450 9083053 1.74 80 0 NA 0.3662 0
0.114 1 9160329 9166895 1.74 243 0 Inf 0.1511 0
0.115 1 9238809 9242299 1.74 536 0 NA 0.1664 0
0.144 1 10739577 10746629 1.7 349 0 NA 0.2357 0
0.163 1 11498084 11501301 1.67 177 0 Inf 0.2908 0
0.187 1 12440825 12445476 1.62 382 0 NA 0.1714 0
0.199 1 12950868 12954667 1.59 259 0 Inf 0.2654 0
0.2 1 12990954 13005515 1.59 948 0 NA 0.0766 0
0.211 1 13499647 13518570 1.56 550 0.00892193 0.138874660527487 0.1305 820407.356321839
0.212 1 13574504 13581973 1.55 551 0 Inf 0.1445 0
0.213 1 13586405 13591514 1.55 365 0.0022409 0 0.1534 175298.565840939
0.216 1 13725749 13735135 1.56 232 0 NA 0.1118 0
0.251 1 15598792 15607504 1.63 778 0.00299376 0 0.1031 348449.272550921
0.252 1 15687487 15695576 1.63 298 0.00257373 0.30173056225789 0.1707 180930.052724077
0.282 1 17580274 17583426 1.47 306 0.00236803 0 0.4308 65961.8384401114
0.286 1 17902454 17909429.5 1.42 732 0 NA 0.0739 0
0.292 1 18353003 18360045 1.34 629 0.00902013 0.200687794965261 0.1112 973395.323741007
0.293 1 18408378 18414274 1.33 273 0.0115942 0 0.139 1000938.1294964
0.298 1 18802466 18807666 1.3 312 0 NA 0.1327 0
0.312 1 19951023 19959238 1.21 954 0 NA 0.1357 0
0.332 1 22166621 22176854 1.06 1024 0.000777202 0.287630500178847 0.0602 154923.986710963
0.334 1 22563567 22568066 1.03 313 0 Inf 0.125 0
0.338 1 23166693 23169065 0.99 45 0 NA 0.4612 0
0.342 1 23812071 23816472 0.95 878 0.000975412 0.261964175138301 0.1435 81567.5540069687
0.349 1 24655081 24658793 0.89 280 0 NA 0.1509 0
0.356 1 25330382.5 25336517.5 0.85 2155 0.00145821323758701 0 0.121 144616.188851604
0.357 1 25397874 25405736 0.85 700 0 Inf 0.0805 0
0.371 1 27435356 27438060 0.72 189 0 NA 0.3144 0
0.372 1 27635089 27640155 0.71 253 0.0144404 0 0.3138 552214.149139579
0.375 1 28097411 28101297.5 0.69 596 0.00805882312080537 0.333084398899836 0.1928 501586.50129494
0.376 1 28250787 28255706 0.68 66 0 NA 0.1948 0
0.379 1 28822521 28827237 0.65 62 0 NA 0.0657 0
0.38 1 28887974 28895056 0.64 301 0 Inf 0.1887 0
0.381 1 29080611 29086514 0.63 316 0.0328317 0.115318122424364 0.1613 2442531.92808431
0.387 1 30191336 30193515 0.57 106 0 NA 0.6688 0
0.393 1 31214977 31217837 0.52 366 0 NA 0.2379 0
0.398 1 32173373 32186590 0.48 266 0.00295749 0 0.1291 274902.246320682
0.404 1 33441856 33445024 0.42 453 0 Inf 0.1002 0
0.406 1 33802888 33804923 0.4 106 0 NA 0.2358 0
0.414 1 35723711 35729110 0.37 403 0.00819113 0 0.1158 848821.761658031
0.416 1 36169093 36172878 0.39 675 0.00117589 0.577248722244428 0.1117 126326.589077887
0.417 1 36438691 36461615 0.4 832 0.000985019 0.173135746620116 0.0965 122489.409326425
0.42 1 37114344 37117197 0.45 445 0 NA 0.1273 0
0.421 1 37599000 37601168 0.43 15 0 NA 0.2351 0
0.422 1 37693920 37828128 0.43 557 0 NA 0.0985 0
0.425 1 38782244.3333333 38785972.6666667 0.39 527 0 NA 0.1269 0
0.426 1 39011650 39025960 0.38 1253 0 NA 0.1288 0
0.432 1 40513042 40543033 0.33 206 0 NA 0.0797 0
0.434 1 41229756 41235195 0.31 197 0 Inf 0.1552 0
0.438 1 42490639 42497130 0.27 176 0 NA 0.1762 0
0.448 1 46501536 46504543 0.17 316 0 NA 0.1212 0
0.453 1 52964468.375 52971768.625 0.065 3595 0.000453274147426982 0.509742886582542 0.13785 39458.0324201943
0.454 1 58537379.5 58539105.5 0.03 548 0 NA 0.2584 0
0.455 1 61124506 61129528 0.03 215 0 NA 0.0515 0
0.457 1 63226660 63235665 0.04 529 0 NA 0.0694 0
0.46 1 66306340.5 66313125 0.07 978 0.000811072229038855 0 0.1133 85903.5017516881
0.461 1 67297058 67303566 0.09 631 0 Inf 0.107 0
0.462 1 68265152 68269538.5 0.075 697 0 NA 0.1191 0
0.463 1 69858306.8 69864727.4 0.06 1885 0.000422208275862069 0.580615313497581 0.12418 40799.6401219587
0.465 1 72535217.6666667 72543587.6666667 0.04 1994 0.000401918189568706 0 0.102533333333333 47038.539741461
0.466 1 73965438.1666667 73974175.3333333 0.0316666666666667 2352 0.000341091339285714 0.28563478025834 0.1088 37620.3683035714
0.468 1 77509795.5 77515163.5 0.02 529 0 NA 0.1315 0
0.469 1 80060737.25 80066538.5 0.02 2161 0.00153237043961129 0 0.074225 247739.242510414
0.47 1 81670454 81677190.5 0.03 809 0 NA 0.13205 0
0.471 1 85951907.2857143 85961861.7142857 0.04 4053 0.000400481934863064 0.282523909531792 0.112071428571429 42881.4308839992
0.472 1 90311870.125 90321363.5 0.035 4235 0.000531213904368359 0.202342512046938 0.147875 43107.8062716504
0.473 1 96598592.4615385 96602828.4615385 0.03 3407 0.000246089815086586 0.997531451716785 0.194053846153846 15217.8265959121
0.474 1 116768441.580645 116775100.548387 0.0125806451612903 13034 0.00059602471382538 0.0897269534292039 0.117825806451613 60702.2924883758
0.476 1 142426894 142446852 0 315 0 NA 0.0697 0
0.478 1 143351069 143358345 0 259 0 NA 0.0983 0
0.48 1 144464332 144470550 0 193 0 NA 0.1781 0
0.482 1 150166868.6 150178182.4 -0.01 1545 0 Inf 0.144 0
0.483 1 200523633.30303 200542983.969697 -0.00818181818181818 15135 0.000407014352560291 0.0980401497303035 0.108790909090909 44895.0401420225
0.484 1 268754719.527778 268765189.583333 0 16606 0.000223671801156209 0.307850723057881 0.129355555555556 20749.4885113129
0.485 1 303884189.409091 303890481.318182 0 7943 9.78699433463427e-05 0.29256525140518 0.138377272727273 8487.22696299132
0.486 1 321994978.592593 322003119.925926 0 12002 0 Inf 0.15237037037037 0
0.487 1 332609391.2 332615366.2 0.002 1496 0 NA 0.11008 0
0.488 1 345175413.363636 345190046.272727 0.0172727272727273 4365 0.000183471202749141 0.286991042537458 0.166936363636364 13188.5850693713
0.489 1 354672152.285714 354678439.285714 0.03 2259 0 NA 0.1613 0
0.49 1 359705847.444444 359711130.444444 0.0433333333333333 2870 0.000544206209059233 0.146935156304952 0.129377777777778 50476.013894192
0.491 1 364264149.25 364266965.75 0.05 1045 0 NA 0.2804 0
0.492 1 368045539.25 368053601.666667 0.06 5527 0.000277595747602678 0.444010067664046 0.117158333333333 28432.8811827197
0.493 1 372283944 372292526 0.07 232 0.00296296 0 0.1951 182242.542286007
0.494 1 373211276.5 373215019.5 0.07 485 0.00176481705154639 0 0.08975 235964.396864142
0.497 1 375059276 375075518 0.07 2326 0 NA 0.0843 0
0.498 1 375901460 375915071 0.07 1355 0.000565318878228782 0.793340959720633 0.12895 52608.1933985683
0.499 1 376378591 376383176 0.07 105 0 NA 0.2389 0
0.503 1 378882289 378884507 0.07 159 0 NA 0.1159 0
0.504 1 379618428 379623540.5 0.08 786 0 NA 0.1254 0
0.505 1 380536098.428571 380539238.571429 0.08 2184 0.000738391987179487 0.141109126659437 0.125085714285714 70837.0567874337
0.507 1 382336657.333333 382344269.333333 0.08 1207 0 Inf 0.0568666666666667 0
0.508 1 383460565 383462205 0.08 77 0 NA 0.1158 0
0.51 1 385072345.5 385077745 0.08 1813 0 NA 0.141125 0
0.511 1 385971166.5 385976103 0.09 1152 0.00128882140625 0.154166379239172 0.1344 115073.33984375
0.514 1 388888451.666667 388892714 0.09 940 0 NA 0.1445 0
0.515 1 392842014.214286 392849669.214286 0.0971428571428571 7080 0 Inf 0.101878571428571 0
0.516 1 396314737 396321894 0.1 73 0 NA 0.0597 0
0.517 1 397315044.333333 397320891.333333 0.11 1024 0 NA 0.107966666666667 0
0.518 1 398512876.5 398518900 0.11 742 0.00114287227762803 0 0.20945 65478.4785463661
0.521 1 401282031 401295243.5 0.115 2566 0 NA 0.23825 0
0.522 1 402092179 402097588.5 0.12 1097 0 Inf 0.0986 0
0.523 1 402980344.75 402985980.5 0.12 1630 0 NA 0.09785 0
0.526 1 405081116.5 405086013 0.1225 963 0 NA 0.128025 0
0.527 1 405714931 405718563 0.13 190 0.00411311 0 0.1254 393599.043062201
0.528 1 406334400.333333 406337526.333333 0.13 645 0.00120662347286822 0.185032729039999 0.186966666666667 77444.1879537454
0.529 1 406682722.333333 406687266.333333 0.13 1327 0.00121339620195931 0 0.1777 81940.0924226881
0.53 1 407342662 407538866 0.13 280 0.00281195 0 0.1038 325080.924855491
0.533 1 409412148 409415944 0.14 496 0 NA 0.11405 0
0.534 1 409820775 409823159 0.14 70 0 NA 0.1686 0
0.535 1 410771953 410775529 0.15 334 0 Inf 0.1161 0
0.536 1 411003461 411009256.5 0.15 828 0 NA 0.09625 0
0.537 1 411745540 411751122 0.15 382 0.0042916335078534 0 0.1888 272773.316177123
0.538 1 412359982 412371785 0.15 2113 0.000364133 0 0.0853 51226.2133645955
0.54 1 413189358 413191542 0.15 37 0 Inf 0.1188 0
0.541 1 414083259.333333 414086676.333333 0.14 843 0 NA 0.1838 0
0.542 1 414509191 414517060 0.14 320 0 NA 0.0968 0
0.545 1 416315528 416322392 0.15 432 0 Inf 0.1001 0
0.547 1 417252252 417258240.5 0.15 1330 0.000567243115789474 0 0.137 49685.5283903189
0.549 1 418514975 418519803 0.16 373 0 NA 0.0912 0
0.55 1 419183644.5 419199543 0.16 1170 0 NA 0.10245 0
0.551 1 419848819.333333 419853333.666667 0.16 1130 0 Inf 0.117966666666667 0
0.552 1 420355366 420364697 0.16 508 0 NA 0.1099 0
0.554 1 421688241 421708558 0.16 1343 0.000587803 0 0.1046 67434.378585086
0.555 1 422891831 422894245 0.16 208 0 NA 0.3126 0
0.556 1 423267029 423271638 0.16 759 0 NA 0.11 0
0.557 1 423924433 423926822 0.16 183 0 NA 0.106 0
0.558 1 424601544 424604152 0.16 296 0 NA 0.1273 0
0.56 1 425619009 425629696 0.16 213 0 NA 0.0765 0
0.562 1 427113358.333333 427118413.333333 0.16 726 0.00114539283746556 0.278255442332632 0.1034 132927.602026951
0.563 1 427811041 427818946.5 0.15 520 0 NA 0.1128 0
0.564 1 428220464 428226049 0.14 1066 0 NA 0.0995 0
0.565 1 428958870 428965278.5 0.13 839 0.000848348450536353 0 0.0728 139837.656681816
0.568 1 430856235 430868178 0.12 1025 0 Inf 0.0688 0
0.57 1 431879601.5 431906951 0.11 2870 0 NA 0.0878 0
0.571 1 432616064.5 432621300.5 0.115 442 0 NA 0.1011 0
0.573 1 433602425 433609131.5 0.12 845 0.00184091514792899 0.152425841328081 0.08465 260968.479328387
0.574 1 434601360 434605641 0.13 794 0 Inf 0.15165 0
0.575 1 435008045.5 435014347.5 0.14 1165 0.000709019330472103 0.548501865939429 0.12255 69426.6174268889
0.576 1 435748067 435753445 0.153333333333333 1824 0 Inf 0.137933333333333 0
0.578 1 437224287.666667 437265889.666667 0.186666666666667 1017 0 NA 0.0964 0
0.579 1 439169648 439175794 0.17 269 0 NA 0.0749 0
0.581 1 441084505.5 441093806 0.16 774 0.00105394569767442 0 0.13935 90759.586452049
0.582 1 442150408.333333 442155919.666667 0.16 1032 0.000661543798449612 0 0.187366666666667 42368.9321191711
0.583 1 442913281 442937403.5 0.16 1251 0.00317850743405276 0 0.1501 254111.187266043
0.584 1 443704140 443712055 0.16 1052 0.00080444897338403 0 0.116433333333333 82909.1412591614
0.585 1 444487458.25 444492574 0.16 1655 0.00137769691238671 0 0.11515 143572.409454108
0.586 1 444895249 444898943 0.16 224 0 Inf 0.1151 0
0.588 1 446122024 446125170 0.17 373 0 NA 0.116 0
0.589 1 446877669 446885871.5 0.17 418 0.00365316172248804 0 0.11575 378729.509026838
0.59 1 447891396 447898232 0.18 42 0 NA 0.104 0
0.591 1 448240781 448266713 0.18 586 0 NA 0.0639 0
0.592 1 448974030.5 448978564.5 0.185 1543 0.00102468139987038 0.435480123945391 0.12825 95876.6222100943
0.594 1 449959645 449964633 0.196 1250 0.001203374088 0 0.12602 114588.867290906
0.596 1 450955307 450959520 0.21 241 0 NA 0.1285 0
0.597 1 451191493.333333 451197738 0.21 1314 0 NA 0.1374 0
