Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_speltoides_Tr290_SPE10_100038_simExt	TraesCS6B02G111600	527	1.42549896218452	0	1	98.292
Ae_speltoides_Tr290_SPE10_10004	TraesCS7B02G302100	273	1.29554655870445	5.8e-87	0.904761904761905	91.093
Ae_speltoides_Tr290_SPE10_100052_simExt	TraesCS5B02G476700	700	1.58129046341546	0	1	96.011
Ae_speltoides_Tr290_SPE10_100114_simExt	TraesCS7B02G274200	441	1.13453525217016	0	1	95.918
Ae_speltoides_Tr290_SPE10_100120	TraesCS5B02G234300	255	0.757047130397239	3.06e-124	1	98.039
Ae_speltoides_Tr290_SPE10_10013_simExt	TraesCS3B02G013000	299	0.903024813289513	5.84e-152	1	98.997
Ae_speltoides_Tr290_SPE10_100131_simExt	TraesCS3B02G347200	498	1.36028692836953	0	1	98.193
Ae_speltoides_Tr290_SPE10_10014_simExt	TraesCS5B02G182900	479	1.78914405010438	0	1	98.956
Ae_speltoides_Tr290_SPE10_100173_simExt	TraesCS7B02G348700	1011	1.76630799882043	0	1	94.02
Ae_speltoides_Tr290_SPE10_100208_simExt	TraesCS5B02G413300	785	1.87281635622571	0	0.997452229299363	98.851
Ae_speltoides_Tr290_SPE10_100211_simExt	TraesCS2B02G251700	1727	2.16386738957343	0	1	99.077
Ae_speltoides_Tr290_SPE10_10023_simExt	TraesCS7B02G409700	1022	2.01945982793124	0	0.998043052837573	97.745
Ae_speltoides_Tr290_SPE10_10027_simExt	TraesCS3B02G376200	2848	1.60893837486158	0	1	96.56
Ae_speltoides_Tr290_SPE10_100306_simExt	TraesCS4B02G029300	730	1.40552560314984	0	0.934246575342466	93.149
Ae_speltoides_Tr290_SPE10_100311	TraesCS5B02G188600	284	1.75843454790823	3.05843454790823e-84	1	98.3618462441315
Ae_speltoides_Tr290_SPE10_100315_simExt	TraesCS3B02G333400	1480	2.21124870577648	0	1	99.125
Ae_speltoides_Tr290_SPE10_100335_simExt	TraesCS7B02G327400	638	1.63043158225947	0	1	98.276
Ae_speltoides_Tr290_SPE10_10035_simExt	TraesCS4B02G060100	688	1.53913489591795	0	1	95.349
Ae_speltoides_Tr290_SPE10_100392_simExt	TraesCS1B02G139800	830	1.72924187725632	0	1	98.0145
Ae_speltoides_Tr290_SPE10_100430_simExt	TraesCS2B02G393300	950	1.84785858590261	0	0.921052631578947	97.489
Ae_speltoides_Tr290_SPE10_100447	TraesCS6B02G228300	351	1.83190883190883	0	1	99.715
Ae_speltoides_Tr290_SPE10_100463_simExt	TraesCS5B02G420200	314	0.691578951078369	1.4e-113	0.812101910828026	95.402
Ae_speltoides_Tr290_SPE10_100480_simExt	TraesCS4B02G242900	1876	2.02500632417581	0	0.974413646055437	97.976
Ae_speltoides_Tr290_SPE10_100508_simExt	TraesCS7B02G076500	1733	1.9169060280299	0	0.994229659549913	95.512
Ae_speltoides_Tr290_SPE10_100529_simExt	TraesCS2B02G133300	1873	1.74346952444742	0	1	98.2448138013881
Ae_speltoides_Tr290_SPE10_100544_simExt	TraesCS3B02G120600	1909	1.74728033472803	0	0.953378732320587	98.2711340659341
Ae_speltoides_Tr290_SPE10_100556_simExt	TraesCS3B02G126400	1999	1.96954185726662	0	0.977488744372186	97.699
Ae_speltoides_Tr290_SPE10_100564_simExt	TraesCS5B02G211200	859	1.77340823970037	0	0.991850989522701	98.6835492957746
Ae_speltoides_Tr290_SPE10_100577_simExt	TraesCS5B02G058800	681	1.71328116455356	0	1	98.532
Ae_speltoides_Tr290_SPE10_100603_simExt	TraesCS5B02G463200	718	1.60971602508642	0	0.915041782729805	97.869
Ae_speltoides_Tr290_SPE10_10061_simExt	TraesCS4B02G233500	619	1.57930492899589	0	1	97.9
Ae_speltoides_Tr290_SPE10_10065_simExt	TraesCS2B02G543000	646	1.49292687824721	0	1	95.532
Ae_speltoides_Tr290_SPE10_100715_simExt	TraesCS4B02G244300	1204	1.72026251025431	8.54372436423298e-63	1	97.6944775747508
Ae_speltoides_Tr290_SPE10_100720_simExt	TraesCS1B02G167000	1435	1.8072546230441	5.84893314366999e-132	1	99.2943554006969
Ae_speltoides_Tr290_SPE10_100723	TraesCS5B02G335400	267	0.579455940192001	4.34e-93	0.883895131086142	92.308
Ae_speltoides_Tr290_SPE10_100728_simExt	TraesCS5B02G052100	2083	1.65983801810386	0	0.987998079692751	96.7669980563654
Ae_speltoides_Tr290_SPE10_10073_simExt	TraesCS1B02G403000	410	1.06142444045869	0	0.995121951219512	95.588
Ae_speltoides_Tr290_SPE10_100731_ESTScan	TraesCS3B02G530900	287	0.706653217611826	2.11e-116	1	93.38
Ae_speltoides_Tr290_SPE10_100732_simExt	TraesCS5B02G007100	1310	1.94063790893695	0	1	95.242
Ae_speltoides_Tr290_SPE10_100737_ESTScan	TraesCS6B02G283400	256	0.760168856774064	8.54e-125	1	98.054
Ae_speltoides_Tr290_SPE10_100741_simExt	TraesCS3B02G107500	350	1.78134556574924	2.80091988844037e-70	1	98.7629885714286
Ae_speltoides_Tr290_SPE10_100743_simExt	TraesCS3B02G293700	1930	1.75823855351414	1.29279673374162e-161	0.996373056994819	98.5033098717282
Ae_speltoides_Tr290_SPE10_100777_simExt	TraesCS5B02G412900	530	1.36549074461336	0	0.969811320754717	97.665
Ae_speltoides_Tr290_SPE10_100797_simExt	TraesCS6B02G242800	917	2.04867687906631	0	0.996728462377317	99.453
Ae_speltoides_Tr290_SPE10_10082_simExt	TraesCS7B02G169800	1304	1.7919863597613	5.4388746803069e-39	0.899539877300613	99.0625038363171
Ae_speltoides_Tr290_SPE10_100874	TraesCS1B02G273100	439	1.71527777777778	0	0.981776765375854	97.685
Ae_speltoides_Tr290_SPE10_100878_ESTScan	TraesCS3B02G336800	407	1.19217777471958	0	1	99.263
Ae_speltoides_Tr290_SPE10_100902_simExt	TraesCS7B02G217500	774	1.87613979807054	0	1	99.096
Ae_speltoides_Tr290_SPE10_100925_simExt	TraesCS2B02G285700	523	1.45909657735579	0	1	99.235
