poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.02 1B 1388257 1393986.28571429 NA 3936 0.0176126755691057 0.0539815962794017
0.06 1B 4307058.25 4312010.75 7.68883329190219e-07 2156 0.0114974944805195 0.0694635762399165
0.07 1B 4475908 4479190 7.67437826550965e-07 243 0 NA
0.08 1B 5426568.5 5430140.5 7.58960640317754e-07 376 0.0256373279255319 0.170316223477874
0.09 1B 6476483.5 6480206 7.49096467401861e-07 435 0.02399606 0.0277823942763937
0.12 1B 8732008.25 8738682.25 7.25900955311586e-07 1974 0.022043960881459 0.115329164038094
0.13 1B 9779022 9784277 7.14292421815624e-07 550 0.00706221109090909 0.391155249060422
0.14 1B 10131654.6666667 10134220.3333333 7.10260219114051e-07 622 0.00780420610932476 0.119563731009756
0.15 1B 11776428 11781183.5 6.90518074147515e-07 1231 0.0116838229082047 0
0.18 1B 14718121.3333333 14725903.6666667 6.56649930742069e-07 1680 0.0360773254166667 0.0143542758992566
0.19 1B 15717166.8 15722701.2 6.46669021569572e-07 941 0.0171308251647184 0.0635523274781743
0.2 1B 17566386.7142857 17572260.1428571 6.28876790204488e-07 2335 0.0123633677430407 0.100955039461248
0.21 1B 18419377 18423130 6.20777349669413e-07 315 0 NA
0.22 1B 20587001.5 20592123.5 6.00457444050231e-07 505 0.0226807057227723 0.0986062459811056
0.23 1B 22021104 22025774 5.87244660248546e-07 146 0 Inf
0.25 1B 26044066.3333333 26046542.6666667 5.41945424284386e-07 599 0.0333861099833055 0
0.26 1B 26782156 26786443 5.35648187522501e-07 330 0.00315457 0
0.27 1B 29071572 29076011.8 5.19137584655172e-07 1216 0.0256397573190789 0.0827492611932867
0.28 1B 33283959 33292440 4.68016834422286e-07 1305 0.0260186224521073 0.10302415461501
0.29 1B 37936681.2 37940661.2 4.22527069462688e-07 2505 0.00194373500998004 0.454282771268896
0.31 1B 44353472.6 44359547.2 3.54409691786902e-07 2889 0.00338607444790585 0.0297387763251313
0.32 1B 47160110 47164879 3.23493154739926e-07 486 0.00614439 0.0958057675375424
0.33 1B 52105414.25 52109388.375 2.75692178171225e-07 2962 0.00244482701215395 0.311855596476857
0.34 1B 55593776 55605247 2.45960662118562e-07 2169 0.000461713552328262 0.285179827970495
0.35 1B 57138480.4 57143394.4 2.34128670387031e-07 1722 0.00600573170731707 0.0544775715610426
0.36 1B 58432959.5 58435758 2.24825703545755e-07 290 0 NA
0.37 1B 59710990 59714534 2.16159740532661e-07 748 0.0217379689839572 0.163183725058611
0.38 1B 62673015.2857143 62676837.7142857 1.9814344257224e-07 1868 0 Inf
0.39 1B 68508064.8 68516223.2 1.70904161867403e-07 5618 0.0010770889248843 0.237685927092771
0.4 1B 71412206 71415633.8 1.60857085718899e-07 1930 0.00100444705699482 0.888412931462995
0.41 1B 95553784.8275862 95559495.9310345 8.05198094647069e-08 9641 0.00184293660346437 0.254128321824305
0.42 1B 115511047.111111 115516854.388889 9.6770136900274e-09 15274 0.00130519345554537 0.372341024757289
0.43 1B 208808039.615741 208816674.430556 5.06966833295656e-09 76855 0.000505495715568278 0.295252113952716
0.44 1B 322036168.83 322042438.24 2.6484481854596e-08 36047 0.000785293528338003 0.259062365280023
0.45 1B 361188999.56338 361195132.028169 3.16045062834897e-08 23214 0.000760404525501852 0.389961496302421
0.46 1B 387481380.442623 387486265.147541 3.487582139216e-08 19409 0.000130961211963522 0.111318397032331
0.47 1B 410326707.754386 410332376.210526 4.91646312830334e-08 20949 0 Inf
0.48 1B 428057864.763158 428064334.026316 6.54789946130995e-08 13260 7.84668695324284e-05 0
0.49 1B 443002708 443008620.888889 7.54793917160612e-08 13687 7.41708687075327e-05 1.55997029502293
0.5 1B 455416413.388889 455422387.166667 8.07373805338257e-08 11985 0.000832624077596996 0.242876741300431
0.51 1B 467086894.65 467092555.2 8.5262719609008e-08 7329 0.00107726048574157 0.109592781835024
0.52 1B 475427309.421053 475432869.421053 9.24835696716867e-08 5578 0.00163022226604518 0.125267846395242
0.53 1B 483040065.571429 483044993.380952 1.02349680871636e-07 7762 0.0010282234076269 0.34954840911565
0.54 1B 490207377.793103 490211088.37931 1.1460285001232e-07 7299 0.00251322076174818 0.170581972806698
0.55 1B 500923022.631579 500926743.842105 1.37464954421627e-07 4810 0 NA
0.56 1B 510114548.92 510118067.64 1.58785267672834e-07 5275 0.000315587988625592 0.474288108947425
0.57 1B 518721047.875 518726706.5625 1.86390316783544e-07 7466 0.000403565072327886 0.280164560846479
0.58 1B 527217640 527222910.5 2.03403548484694e-07 969 0.00104049157894737 0
0.59 1B 530950631.642857 530954632.142857 2.12291270943537e-07 3925 0.00405711987261146 0.163492184581632
0.6 1B 535949638.6 535954258.9 2.36146498284232e-07 2951 0.00162875234157913 0.241706946445044
0.61 1B 540370505.857143 540375699.571429 2.54101462249237e-07 1400 0 Inf
0.62 1B 542857307.818182 542860974.363636 2.61329222717071e-07 2674 0.0173697515183246 0.105479973361544
0.63 1B 545520242.6 545524096.8 2.66677267873519e-07 1272 0.00713073867924528 0.0314303024786524
0.64 1B 548218636.4 548223406.2 2.69800711920384e-07 2184 0 NA
0.65 1B 551849654.333333 551854317.888889 2.70261768105987e-07 3246 0 Inf
0.66 1B 554847052.571429 554850317.714286 2.67255529230024e-07 2298 0.000455965091383812 0.541788265782871
0.67 1B 558380603.166667 558384110.666667 2.59889914601971e-07 893 0.0196153423292273 0.0328815663507495
0.68 1B 562381990.75 562386849.125 2.56498453022543e-07 2481 0.00116749504232164 0.372598584691222
0.69 1B 566315972.285714 566321758.428571 2.73040690713156e-07 3630 0.000263767676859504 0.90636650574379
0.7 1B 569529826.3 569539307.6 2.63966335485985e-07 3782 0.000542834378635643 0.484828494999916
0.71 1B 573553137.125 573557932.875 2.23311163470883e-07 4926 0.00309421893016646 0.130672554595571
0.72 1B 576411896.25 576415948.25 1.91646076882012e-07 1873 0.010082303966898 0.454541540778568
0.73 1B 582360061.833333 582364898.055556 1.81660917276053e-07 7378 0.00741522199512063 0.0720479382239327
0.74 1B 587971014.4 587975846.2 2.21454452146359e-07 3209 0.00202730682767217 0.0442308601490948
0.75 1B 593111826.083333 593115808.416667 2.24956760930707e-07 3030 0.00494040600330033 0.0191982050320113
0.76 1B 598561241.833333 598565595.75 2.37216080049342e-07 3933 0.00676875894482583 0.04301702261396
0.77 1B 604411690.428571 604415689.571429 3.06488117956793e-07 2216 0.00445184156588448 0.0877961697088664
0.78 1B 607187964.2 607192279.8 3.39944199100435e-07 1377 0.0131730329557008 0.111048332815762
0.79 1B 609959795.4 609965111.8 3.66729011213597e-07 1710 0.0239402725146199 0.0818501208636522
0.8 1B 613089458.25 613095800.75 3.94088279627514e-07 627 0.0184986688995215 0.0922423609185243
0.81 1B 614896719.2 614900795.6 4.08645513496939e-07 992 0.0132798391129032 0.216698517741589
0.83 1B 617817049 617823421 4.30355134876028e-07 668 0.0030303 0.421994521994522
0.84 1B 619984080.5 619986411.5 4.44906532971356e-07 393 0.00268146259541985 0.80438814296402
0.85 1B 622158374.833333 622162456.5 4.58312898533941e-07 1880 0.0198857950585106 0.0905382297038471
0.86 1B 623748266 623752026 4.67319059316361e-07 832 0.00128753110576923 0.529709353175821
0.87 1B 626041895 626046677.142857 4.79026823293914e-07 2454 0.0189392274653627 0.0611178437464376
0.88 1B 628091269.8 628094609.6 4.88289922152383e-07 1554 0.00910631673101673 0.26065508277656
0.89 1B 630824924.5 630828765 4.99618700554589e-07 831 0.00631892772563177 0.270092316421322
0.9 1B 633748373.6 633751867.6 5.11816470045684e-07 921 0.0172796400651466 0.0178610658040346
0.91 1B 637738546.4 637743063.8 5.47534478896923e-07 1382 0.0007217102170767 0.28667073482957
0.92 1B 639544972.5 639550970 5.45021920047094e-07 756 0.0386828912698413 0.110263056082605
0.93 1B 640706092 640710608.5 5.66007900939366e-07 2050 0.00190699665853659 0.0732023644432441
0.94 1B 641590668 641593096 5.89409964420086e-07 330 0 NA
0.95 1B 642854797 642860349.5 5.84027508626333e-07 1883 0.00474426680828465 0.0638348059402419
0.98 1B 645750521.5 645755287.833333 5.99506182346229e-07 1214 0.0145583395881384 0.0644989241281502
0.99 1B 647227620 647240151 6.1372518545546e-07 1579 0.00187232331855605 0.097051420185395
1 1B 648518875 648524414.5 6.03867660585682e-07 1022 0.00297105143835616 0.0937746152364168
1.01 1B 651532488.5 651535801.166667 5.47865630939309e-07 2474 0.0108212663702506 0.184138854174725
1.02 1B 655718202.166667 655723455.166667 5.38868444504753e-07 2421 0.00434851211895911 0.0820321243560484
1.03 1B 657760191.5 657764063.5 6.68018933571009e-07 2762 0.00790816927226647 0.179435882688104
1.04 1B 659609152.4 659612316.8 8.12787054070056e-07 1602 0 Inf
1.05 1B 661006187 661009026.5 8.97754144258091e-07 302 0.0106292452980132 0.0867925905587835
1.06 1B 662562072.4 662565409.6 9.44854517957762e-07 1712 0.000560122920560748 0.301642219220823
1.07 1B 663043769 663047956 9.58974392254877e-07 118 0 NA
1.08 1B 664674270.285714 664679119.857143 1.00470168796293e-06 1342 0.00413419367362146 0.05289735937151
1.09 1B 665353617 665358673 1.02298458975038e-06 1251 0.0281287309192646 0.0654179319556692
1.1 1B 666256742 666260483 1.04648954775992e-06 294 0.0507185 0.0383873734436153
1.11 1B 666748811.75 666751982.25 1.05893490179974e-06 410 0.0252152948292683 0.0210563799814075
1.12 1B 667450425 667456842.5 1.07628887558723e-06 1320 0.00746520618181818 0.110471864050161
1.13 1B 668100086 668105738 1.09189990681212e-06 1885 0.00213625701856764 0.333349426993515
1.14 1B 668726829 668732877.4 1.10653437106501e-06 836 0.00595769909090909 0.132734803265424
1.15 1B 669034944.833333 669039721.333333 1.11355946704867e-06 2157 0.0151532490449699 0.0289062568094389
1.16 1B 669895813 669902629 1.13274477897187e-06 777 0.0142257 0.0516260711247953
1.17 1B 670384230 670390259 1.14326435948687e-06 321 0.0492765 0.0270611752052195
1.18 1B 670783507 670784392 1.15163385561795e-06 21 0 NA
1.19 1B 671197600 671200873 1.1602208368028e-06 620 0.006114542 0.0742321559789549
1.21 1B 673176183 673181970 1.19870390918206e-06 320 0.0107759 0
1.22 1B 673795360.75 673804678 1.20992981112509e-06 1505 0.022449510910299 0.123947300154014
1.23 1B 674647121.333333 674651356 1.2246503745277e-06 2002 0.0117252912387612 0.0455427496104924
1.24 1B 675599505.666667 675606198 1.24031229765958e-06 1756 0.0104517836731207 0.0393783687278589
1.25 1B 676374310.333333 676379058.666667 1.25300301804822e-06 1973 0.0164001201723264 0.12824465794913
1.26 1B 677254014 677257494 1.2683718979755e-06 205 0.0223649 0.3455482627449
1.27 1B 678124649.666667 678129589 1.28394177848502e-06 783 0.0238683589016603 0.0603847227056829
1.28 1B 679689303.666667 679694110.666667 1.3125680170356e-06 860 0.00816497093023256 0
1.29 1B 680861625 680868122 1.33459882282223e-06 1092 0.00501672 0
1.3 1B 681685814 681695473 1.35039832240591e-06 1080 0.00273349 0.0972313782014933
1.31 1B 683516039 683524121 1.38625935121547e-06 744 0.00637326397849462 0.0602856556932096
1.32 1B 686426434.454545 686432299.454545 1.44582226309218e-06 5933 0.00240550129782572 0.0298521224930841
1.33 1B 688167535.666667 688173727.666667 NA 2159 0.0061057838073182 0.245048401415342
0.01 2B 1831881 1833776 1.17437036707527e-06 388 0 NA
0.02 2B 2286004.33333333 2289638 1.16891066796753e-06 755 0.0225864853245033 0.0670272512407088
0.03 2B 3348906 3356671.5 1.15608384055444e-06 698 0.00385917805157593 0.0785045056954019
0.04 2B 4959193 4964476.5 1.13656917965401e-06 1479 0.0201932085192698 0.0379952820480141
0.05 2B 5972957.5 5977620.16666667 1.12419936869493e-06 2269 0.0286666550022036 0.0306972199993813
0.06 2B 7261612.33333333 7269600.33333333 1.10835721889062e-06 1983 0.0111945041603631 0.202093428729453
0.09 2B 10477165 10482140 1.06846244303292e-06 1311 0.0178289822120519 0.168801301423886
0.1 2B 11149378.25 11155798.75 1.06003184909751e-06 1327 0.0068530580256217 0
0.13 2B 14045642 14051486 1.02328403551549e-06 701 0.00416522 0
0.14 2B 14833211 14836760 1.01329985014103e-06 150 0 NA
0.17 2B 17946604 17954228.6 9.74465717635852e-07 1962 0.0113096531192661 0.0355368146708473
0.18 2B 18878709 18888431 9.63050493438661e-07 371 0.00555667293800539 0.134912218361619
0.19 2B 19440639 19445593 9.56256878498299e-07 1036 0 NA
0.21 2B 21909162 21914144 9.2672580826008e-07 832 0 Inf
0.22 2B 22317103 22320961 9.21921174854031e-07 680 0 Inf
0.23 2B 23409318 23412515.6666667 9.09142230547972e-07 766 0.0441396548302872 0.0255305439929394
0.24 2B 24065498.2 24068955.2 9.01195470698987e-07 1127 0.0040028526974268 0.0655542333175303
0.25 2B 25090132.6666667 25094135 8.87363945535923e-07 845 0.0305577155029586 0.145746829582694
0.26 2B 25594256 25602539 8.80864693034128e-07 293 0 NA
0.27 2B 26456398 26462598.2857143 8.70436364079083e-07 1847 0.0263988868760152 0.0986347901841342
0.29 2B 27883361.4 27889743.8 8.54750748045028e-07 1715 0.0040285393819242 0.124051355892679
0.32 2B 30494467 30499674 8.28655036283557e-07 548 0.00382775 0.134422572007054
0.33 2B 31421336 31425016 8.17141345198164e-07 357 0.00278292857142857 0.576240856240856
0.37 2B 35387429 35396358 7.68295963785389e-07 510 0.0335697 0.084327831347912
0.38 2B 37429602 37432028 7.4401132006089e-07 153 0.0189274 0.598117015543604
0.39 2B 39363703 39369191 7.21465488714404e-07 481 0.00399639130977131 0.213068810072322
0.4 2B 40652975.8333333 40661471.1666667 7.06718548602151e-07 2494 0.00337082797914996 0.104460434811063
0.41 2B 42125668.6666667 42134089.3333333 6.90136744719734e-07 2504 0.0034067925399361 0.169280269586208
0.42 2B 43339138.6 43343426.2 6.7672467961424e-07 1193 0.0107053414920369 0.0663185495354475
0.43 2B 45598281 45604709.25 6.52240101140294e-07 3887 0.0138319499665552 0.0696330378566318
0.44 2B 47411894 47415239.3333333 6.33053781733002e-07 378 0 NA
0.45 2B 49263217.75 49270338.25 6.13894709192097e-07 1433 0.0121108401046755 0.102449859521473
0.46 2B 52423200.1666667 52428354.8333333 5.57719942806593e-07 1795 0.0130506442005571 0.0459180424606786
0.47 2B 55354013 55358189.6363636 4.83742664732739e-07 3240 0.0127782990401235 0.10862659919379
0.48 2B 58535194.5 58541530.5 4.52657145815513e-07 3451 0.0141997260509997 0.0783263361418314
0.49 2B 64621069 64625899 4.31826897230931e-07 3769 0.0180244829875298 0.125450834426037
0.5 2B 66883054.25 66887877 4.35265193622083e-07 1419 0.0238930859055673 0.0245392921365769
0.51 2B 69193089 69196635 4.3237012403925e-07 1143 0.00849369461067367 0.190156756023886
0.52 2B 72952693.5714286 72960751 4.09924632588342e-07 2014 0.00861146156901688 0
0.53 2B 74969171.5 74973926 3.98980624212804e-07 545 0.00847900965137615 0.153129113274104
0.54 2B 77094654.4285714 77099929.7142857 3.88150676445001e-07 2590 0.0165702585598456 0.0591991934550769
0.55 2B 79713860 79715651 3.75971644043379e-07 33 0 Inf
0.56 2B 80952210.6666667 80958508 3.70659744717384e-07 1103 0 NA
0.57 2B 81909931 81912417 3.66712458805603e-07 610 0 Inf
0.58 2B 85086346 85089387 3.5485452328885e-07 713 0.00284570838709677 0
0.59 2B 86520257.8 86524008 3.50130901537618e-07 1203 0.000915079102244389 0
0.6 2B 89020697.9166667 89026823.1666667 3.42715011442003e-07 5295 0.00839836085741265 0.0433141196660428
0.61 2B 90999539 91004112 3.38811797808124e-07 1489 0.00472378071860309 0.0406479881499911
0.62 2B 93102634 93104901.5 3.37969319795504e-07 270 0.00676162666666667 0.160891248391248
0.63 2B 96446375 96450209.7777778 3.31395382830522e-07 2133 0.0122088722315987 0.0167956008298926
0.64 2B 98561937.2 98567198 3.23591435370408e-07 2937 0.00826963948927477 0.175378518179744
0.65 2B 100785907.25 100789770.5 3.12139139296868e-07 1657 0 Inf
0.66 2B 104643710.285714 104648227.571429 2.84752026749815e-07 2371 0.00633014519190215 0.1323059802835
0.67 2B 108758541.571429 108762540.142857 2.43012995486118e-07 2595 0.0105413680038536 0.0836426919726952
0.68 2B 114193332.5 114199200.625 1.85460246945248e-07 6201 0.00464780061119174 0.241053138551547
0.69 2B 124896454.034483 124902192.862069 1.27174053040875e-07 11152 0.00644280317422884 0.0736461219480926
0.7 2B 139472859.653846 139478670.769231 9.42216719255472e-08 9049 0.0046861579532545 0.138465839191093
0.71 2B 147699368.764706 147703821.352941 1.06668012282809e-07 4759 0.0144197021769279 0.118565522769735
0.72 2B 154226938 154231590.588235 1.18921882208088e-07 4265 0.00308371575849941 0.124748647144316
0.73 2B 159931025.133333 159935393.666667 1.21994039177351e-07 4423 0.00234861538887633 0.145033408168244
0.74 2B 166035492 166039944 1.25790042453594e-07 5293 0.00811780367353108 0.102414387117545
0.75 2B 174118258.3 174122806.233333 1.16478967702843e-07 9587 0.00255511367821008 0.177372331407683
0.76 2B 186800163.323529 186805680.058824 8.77381897691015e-08 12032 0.0015395472265625 0.216230830060805
0.77 2B 207013967.560976 207019052.365854 6.34015485808879e-08 13414 0.000785274960489041 0.143813718055518
0.78 2B 222234433.372093 222241029.186047 4.59735341759284e-08 16831 4.17561547145149e-05 2.44666986312878
0.79 2B 241431824.375 241436687.15 2.7559610403872e-08 11661 0.000892601526455707 0.0845163219615607
0.8 2B 260553969.857143 260562183.857143 1.64771905537767e-08 17094 0.000120709558909559 0.314033886734633
0.81 2B 339011772.108434 339023829.686747 6.01186323121317e-09 35936 0.000115010034227516 0.436213516243413
0.82 2B 401610514.73913 401616783.875776 2.29050040248767e-08 60194 0.000216205370767851 0.412601214904559
0.83 2B 447246867.983051 447251378.033898 4.38533106031584e-08 18848 0.000204339106748727 0.554916385989259
0.84 2B 463561583.21875 463568456.875 5.86355421371213e-08 11794 0.000478214511022554 0.267464801139685
0.85 2B 478112449.068965 478116259.137931 7.113115365238e-08 7925 0.000495198935015773 0.277923376381285
0.86 2B 491156173.86 491160637.68 8.04653822112054e-08 12852 0.000852898776532835 0.606086259163354
0.87 2B 510401760.107143 510406460.714286 9.13878363447239e-08 9285 0.00298120423963382 0.224373094026214
