Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_umbellulata_Tr257_UMB03_Contig1002	TraesCS5A02G458900	425	1.04331879370695	0	1	94.836
Ae_umbellulata_Tr257_UMB03_Contig1004_simExt	TraesCS5A02G392800	3003	1.37584813600671	1.09878783258483e-168	1	92.4892225022452
Ae_umbellulata_Tr257_UMB03_Contig1006	TraesCS2A02G460800	377	0.874676748093998	7.19e-152	0.925729442970822	94.556
Ae_umbellulata_Tr257_UMB03_Contig1010_simExt	TraesCS4A02G134000	1154	1.70212765957447	2.53191489361702e-58	0.976603119584055	97.4305075421473
Ae_umbellulata_Tr257_UMB03_Contig1017_simExt	TraesCS4A02G177500	694	1.77876984126984	1.12044642857143e-129	0.997118155619596	98.7624070327553
Ae_umbellulata_Tr257_UMB03_Contig1018_simExt	TraesCS1A02G242500	2063	1.78354601945972	0	0.994183228308289	94.742
Ae_umbellulata_Tr257_UMB03_Contig102_simExt	TraesCS2A02G215100	1794	1.68574667044489	2.28761688863701e-97	1	97.1105730211817
Ae_umbellulata_Tr257_UMB03_Contig1025_simExt	TraesCS6A02G207300	2240	1.72484352431391	3.94665382763601e-72	0.926785714285714	97.9299309569685
Ae_umbellulata_Tr257_UMB03_Contig1040_simExt	TraesCS5A02G272400	1739	1.59712230215827	0	0.948821161587119	95.8112606060606
Ae_umbellulata_Tr257_UMB03_Contig1041_simExt	TraesCS1A02G105800	1417	2.00533768462668	0	0.990825688073395	96.121
Ae_umbellulata_Tr257_UMB03_Contig1042_simExt	TraesCS1A02G339500	821	1.57544873745056	1.29117736539457e-15	1	94.801541379077
Ae_umbellulata_Tr257_UMB03_Contig105_simExt	TraesCS1A02G263400	781	1.62747524752475	2.90618811881188e-24	0.996158770806658	95.9696041131105
Ae_umbellulata_Tr257_UMB03_Contig1051_simExt	TraesCS5A02G120900	624	1.74959871589085	0	1	98.2345080128205
Ae_umbellulata_Tr257_UMB03_Contig1052_simExt	TraesCS1A02G218000	350	0.996359155657674	1.39e-173	1	98
Ae_umbellulata_Tr257_UMB03_Contig1056_simExt	TraesCS7A02G466900	2158	1.60057061340942	0	0.957367933271548	95.8943397870281
Ae_umbellulata_Tr257_UMB03_Contig1058	TraesCS1A02G020500	386	1.55614973262032	9.34e-166	0.953367875647668	95.187
Ae_umbellulata_Tr257_UMB03_Contig106_simExt	TraesCS3A02G288200	527	1.71716072885504	0	1	97.6335670913527
