poscM Chromosome Start End recRate nb_complete_site piSyn f0
0.03 1A 1202326.28571429 1207661.71428571 1.28182851052807e-06 3493 0.0206776052046951 0.0757897200386393
0.07 1A 3187498 3192426.5 1.22937490207059e-06 595 0.0090582174789916 0.0429088261452148
0.08 1A 3403685.33333333 3408569 1.22348203918487e-06 1631 0.00862853645003066 0.0490221240877824
0.09 1A 4045713 4048684 1.19607758843423e-06 194 0 NA
0.12 1A 5491027 5495112 1.15658401937862e-06 267 0.0057623 0.450839074675043
0.15 1A 7495603 7503027 1.09898218543153e-06 1632 0.0204503706495098 0.0514442604920786
0.16 1A 8160028 8163050.8 1.07927387591317e-06 484 0.029642357231405 0.112047827694969
0.17 1A 9111992 9116920.5 1.05029696827475e-06 582 0.00801562158075601 0.259660476003156
0.18 1A 9602738.33333333 9605994 1.03510898989329e-06 675 0.0395269724444444 0.125422444961952
0.19 1A 10066113 10069211 1.02151723414911e-06 375 0.0619768 0
0.2 1A 11564200 11572148 9.80895544252246e-07 25 0 Inf
0.21 1A 12084602.2 12089128.2 9.67207780524832e-07 1609 0.0369801930640149 0.0192283853717372
0.22 1A 13553058.5 13556972.5 9.28736223428297e-07 1346 0.0068965443833581 0.0771197665746579
0.23 1A 15028610.3 15032389.7 8.8608042239772e-07 1484 0.0021430718328841 0.167213511250099
0.24 1A 16931434 16934477 8.31349589658753e-07 185 0.00836237 0.149207700687724
0.26 1A 19895297 19897721 7.53136045557493e-07 93 0 NA
0.27 1A 20494285.5 20498608 7.38343111091175e-07 1389 0.0070161487113031 0.0619269355298757
0.28 1A 21846568.7142857 21852455.2857143 7.06032826044632e-07 1743 0.000909833866896156 0.687527953238019
0.29 1A 22534635 22536459 6.90200625240664e-07 45 0.0172043 0
0.3 1A 24340372 24344574 6.45259290300834e-07 691 0.0134106703328509 0
0.31 1A 25620304.5 25627185 6.06857316574939e-07 918 0.00768668529411765 0.068676573280076
0.32 1A 27715595.8333333 27721529.5 5.37823734208278e-07 2942 0.00606953615703603 0.108932609991513
0.33 1A 29894467.2857143 29899598.2857143 4.76483971465783e-07 2030 0.00625401448965517 0.126850141610251
0.34 1A 33790734.125 33800136.75 4.16818534228051e-07 2570 0.00620615527976654 0.190942869434753
0.35 1A 36348832 36353222.5 3.31510006669916e-07 3480 0.00209780075 0.0530167221745106
0.36 1A 41359856.7142857 41366352.4285714 2.24978296705804e-07 2255 0.00243143822172949 0.125990330298592
0.37 1A 45545898.8 45550811.6 2.24549367497945e-07 1547 0.00052106861667744 0.818494774456277
0.38 1A 49123820.6923077 49131916.3846154 2.22771287424997e-07 4392 0.00267344361794171 0.117017456976953
0.39 1A 53420936.1 53425595.6 1.78867734000279e-07 2933 0.000778670552335493 0.816442900114142
0.4 1A 58513722.3157895 58519107.2631579 1.50324736184817e-07 5700 0.00391917807789474 0.139192434945992
0.41 1A 65131858.4285714 65136107.047619 1.28621643301517e-07 5921 0.00271314395034623 0.156611010678396
0.42 1A 80559177.3666667 80565132.0333333 4.73986049319887e-08 13956 3.69177456291201e-05 2.6701608235072
0.43 1A 152435511.450867 152443774.67052 5.76722760927825e-09 64391 0.000868887204826761 0.357396899854424
0.44 1A 282033942.495726 282040172.777778 1.14474419847117e-08 42009 0.00151745698605061 0.207866206039271
0.45 1A 329374174.91358 329380873.975309 3.02443949857626e-08 26493 0.000574611154455894 0.301607736638976
0.46 1A 354923980.130435 354929084.673913 2.37291504919428e-08 14665 0.000101880184111831 0.592091940761391
0.47 1A 368662055.387097 368666718.032258 1.50070278153859e-08 11556 0.00040523598044306 0.488306403241205
0.48 1A 378833726.807692 378839096.192308 1.41049269404445e-08 8957 0.00034253460835101 0.677130485833642
0.49 1A 394814886.56 394820988.46 2.25012000818749e-08 16175 8.90385334157651e-05 0.364814728239801
0.5 1A 425789935.491228 425795867.614035 7.17762407958567e-08 21978 0.00060895370975521 0.169868084922058
0.51 1A 446949613.42 446954647.7 1.29314393765363e-07 15070 0.0008202510132714 0.1421323672411
0.52 1A 459497852.555556 459502383.851852 1.8422579748971e-07 9051 0 Inf
0.53 1A 464754477.9 464757939.533333 2.10325191786181e-07 6535 0.000855792376434583 0.308931559131288
0.54 1A 470228862.4 470232767.7 2.38349805239483e-07 2621 0.000293487218618848 0
0.55 1A 474151730.8 474155977.4 2.58947853625037e-07 1971 0.000834422014205987 0.282645815181882
0.56 1A 478457484.272727 478461807.181818 2.82992175236115e-07 1895 0.00227036306068602 0
0.57 1A 481972192.25 481976147.25 3.04324686243555e-07 4353 0.000904032674017919 0.15541067342935
0.58 1A 485467719.153846 485473320.230769 3.2674663618608e-07 4919 0.00427971653994714 0.194463483109222
0.59 1A 487938845 487944332.25 3.43306830823642e-07 1261 0 NA
0.6 1A 490818011.2 490824401.4 3.63794367788707e-07 1815 0.0122765684683196 0.133074907580318
0.61 1A 493410340.285714 493414005.285714 3.7884479646863e-07 2076 0.000664221512524085 0.653330920678971
0.62 1A 494911483.571429 494915074.857143 3.84378339962299e-07 1498 0.00281539293724967 0.144494559142823
0.63 1A 496383634.833333 496387483.666667 3.88075099127106e-07 1998 0.0036046442042042 0.0314625521636869
0.64 1A 498493292.384615 498496721.923077 3.90254264153214e-07 2594 0.00309045836545875 0.107184013544812
0.65 1A 500191394.444444 500194824.888889 3.89413733977004e-07 1748 0.0134696873569794 0.0391240009269903
0.66 1A 502772025.2 502776575.4 3.89146403033372e-07 2223 0 NA
0.67 1A 506167247.111111 506171205.166667 3.96141974108924e-07 4526 0.00362405267123288 0.177945616249634
0.68 1A 510691576.166667 510694745.333333 3.78413144127674e-07 1036 0.00152223936293436 0
0.69 1A 513632106.333333 513638716.555556 3.29945117846755e-07 2546 0.000643543330714847 0.510994998649098
0.7 1A 516641321.857143 516646387.5 3.30549824340015e-07 5001 0.00297155719456109 0.306500392433225
0.71 1A 518755842.833333 518766001.166667 3.44917023453299e-07 3721 0.00142710673206127 0.175464510932097
0.72 1A 520534943 520539345.5 3.45188452743117e-07 1635 0.00960148782874618 0.103088956154769
0.73 1A 521339751.571429 521343346.142857 3.47168453542856e-07 1520 0.00420831388157895 0.0350833768575053
0.74 1A 522732472 522734895.5 3.53233145437008e-07 819 0 Inf
0.75 1A 529532519.928571 529537885.928571 4.32227543450141e-07 7268 0.00277144686296092 0.0680911549879089
0.76 1A 532543644.111111 532549203.555556 4.68718715591384e-07 2954 0.00451870589031821 0.0521299139336332
0.77 1A 534434146.555556 534438147.555556 4.6853357185364e-07 2569 0.00958027050992604 0.0574151512174145
0.78 1A 536502772.8 536506291 4.42772912864101e-07 1231 0 NA
0.79 1A 537618895.285714 537623394.714286 4.3508796945427e-07 2616 0.00268392711009174 0.198379398158478
0.8 1A 538804851 538808313 4.51075929880622e-07 35 0 NA
0.81 1A 540146414.636364 540150763.727273 5.03266861371133e-07 3016 0.00579966375 0.15764521092894
0.82 1A 541917537.5 541920931.333333 6.23745677039236e-07 1742 0.00393540879448909 0.198959171087445
0.83 1A 542310461.333333 542315178 6.58732917513589e-07 1095 0.00266050909589041 0
0.84 1A 544347666.363636 544351902 8.32786228618902e-07 2467 0.00413566850425618 0.044968564283736
0.85 1A 546993563.5 546999273.75 1.07350571760743e-06 2438 0 NA
0.86 1A 549541597.866667 549546210.333333 1.26527924048077e-06 4131 0.00400915759380295 0.123112523648519
0.87 1A 551583276.666667 551587180.5 1.40429909211274e-06 1316 0 Inf
0.88 1A 552213921.5 552215887 1.47433783813305e-06 383 0 NA
0.89 1A 553704158 553707207 1.60887420646116e-06 327 0.045283 0.0306313627630678
0.9 1A 554386309.25 554392752 1.65654678388955e-06 877 0.0191140023261117 0.136358297542899
0.91 1A 554887656 554890251 1.68619660190251e-06 348 0.00436067965517241 0
0.92 1A 555636929.5 555640137.5 1.72168811259233e-06 285 0.00283786428070175 0
0.94 1A 556792217 556795702 1.75590047225938e-06 575 0 NA
0.95 1A 557016652.666667 557021536.333333 1.75958576642677e-06 1272 0 NA
0.96 1A 557487151 557491334 1.76450617803736e-06 483 0 Inf
0.98 1A 557943068 557947079 1.7652612809824e-06 489 0.00951668650306749 0.0984525404812045
0.99 1A 558184883 558189224 1.76409132394855e-06 434 0.00353982 0.150566412981451
1 1A 558549030.666667 558554506 1.76025625955242e-06 1110 0 Inf
1.02 1A 558965290.5 558967725 1.75290492590564e-06 248 0 NA
1.06 1A 560248619 560249770 1.70986986477182e-06 118 0 NA
1.07 1A 560429261 560435391.5 1.70121871292714e-06 701 0 NA
1.08 1A 560960167 560962803 1.67273967333727e-06 234 0 NA
1.09 1A 561335324 561346990 1.64908765145755e-06 1618 0 NA
1.1 1A 562013685.666667 562018644.333333 1.60039940003043e-06 1195 0 NA
1.11 1A 562613356.333333 562616538.666667 1.5497135748817e-06 698 0 NA
1.12 1A 562908419 562912709 1.52283757750218e-06 47 0 NA
1.13 1A 563681549.5 563685037 1.44382344299854e-06 766 0 NA
1.14 1A 564323291.333333 564328471.666667 1.36962544256061e-06 1080 0 Inf
1.16 1A 566020293.8 566026983.6 1.22643863520647e-06 1733 0.0199571054818234 0.078914294540734
1.17 1A 566520925.833333 566524120 1.21287853394993e-06 1839 0.00341191554105492 0.208054611182968
1.18 1A 568105655.571429 568110801.857143 1.15763606227303e-06 2506 0.00352097055466879 0.130981766242646
1.19 1A 570344893 570348365.75 1.0747000763027e-06 1426 0.000492555764375877 0.666000950590426
1.2 1A 572189416.5 572192972.5 1.00466345184917e-06 1924 0.0144310499116424 0.00510651109789416
1.21 1A 573650999.833333 573655554.833333 9.44027974255573e-07 1663 0.000958925622369212 0.237450276881139
1.22 1A 575229191.4 575235065.8 8.88724925937437e-07 1849 0.000656006073553272 0
1.23 1A 576520643.4 576526116 8.42829056413893e-07 3239 0.00156765674590923 0.100206317296763
1.24 1A 577539455.5 577545219 8.05667659030128e-07 2396 0.00053572021869783 0.356721876830215
1.25 1A 578516213 578522072 7.69298887934663e-07 726 0.00111111 0
1.26 1A 578922141 578922999 7.54053147887011e-07 88 0.00874317 0
1.27 1A 579580153 579584504 7.28816037104827e-07 686 0 NA
1.28 1A 580520833.75 580525489.5 6.92284297382234e-07 1695 0.00162818168141593 0.267549591986529
1.29 1A 581881806.714286 581887088 6.38202869908394e-07 3290 0.00171052404255319 0.0498839074912626
