 Gene	Chromosome	Start	End	GC	Type
HORVU0Hr1G014750	chrUn	81618363	81619099	41.52	protein_coding
HORVU0Hr1G012490	chrUn	71291842	71302792	39.63	protein_coding
HORVU0Hr1G031810	chrUn	189236782	189239852	44.02	protein_coding
HORVU0Hr1G022520	chrUn	114780943	114786840	37.61	protein_coding
HORVU0Hr1G001400	chrUn	7484963	7494019	42.86	protein_coding
HORVU0Hr1G022770	chrUn	115108096	115109322	52	protein_coding
HORVU0Hr1G017800	chrUn	93215282	93219352	47.16	protein_coding
HORVU0Hr1G039050	chrUn	248023923	248025701	52.89	protein_coding
HORVU0Hr1G016190	chrUn	86844210	86852751	42.05	protein_coding
HORVU0Hr1G038360	chrUn	246900932	246903143	0	nontranslating_CDS
HORVU0Hr1G020980	chrUn	110159498	110164364	41.75	protein_coding
HORVU0Hr1G038790	chrUn	247491612	247499501	0	nontranslating_CDS
HORVU0Hr1G022540	chrUn	114819190	114820906	69.37	protein_coding
HORVU0Hr1G040540	chrUn	249762569	249773695	42.71	protein_coding
HORVU0Hr1G019620	chrUn	103646284	103653394	45.2	protein_coding
HORVU0Hr1G017510	chrUn	92680825	92689390	42.05	protein_coding
HORVU0Hr1G040000	chrUn	249573211	249577754	43.53	protein_coding
HORVU0Hr1G031640	chrUn	187998245	187999676	41.76	protein_coding
HORVU0Hr1G032000	chrUn	190866581	190868917	44.22	protein_coding
HORVU0Hr1G009560	chrUn	55081164	55088050	46.96	protein_coding
HORVU0Hr1G027920	chrUn	148434092	148434734	41.84	protein_coding
HORVU0Hr1G006070	chrUn	32786850	32791089	42.35	protein_coding
HORVU0Hr1G016630	chrUn	89884430	89886184	49.8	protein_coding
HORVU0Hr1G036380	chrUn	226247187	226247792	37.29	protein_coding
HORVU0Hr1G016330	chrUn	87346260	87350619	54.91	protein_coding
HORVU0Hr1G013950	chrUn	78087268	78090706	46.57	protein_coding
HORVU0Hr1G025800	chrUn	133995351	133998114	55.37	protein_coding
HORVU0Hr1G003020	chrUn	12157570	12162134	41.03	protein_coding
HORVU0Hr1G004800	chrUn	27939106	27941926	43.42	protein_coding
HORVU0Hr1G033200	chrUn	199373612	199376227	42.85	protein_coding
HORVU0Hr1G000410	chrUn	3366178	3402535	44.63	protein_coding
HORVU0Hr1G015810	chrUn	85473202	85481023	39.94	protein_coding
HORVU0Hr1G021000	chrUn	110165703	110169611	41.44	protein_coding
HORVU0Hr1G001240	chrUn	6520360	6527476	47.25	protein_coding
HORVU0Hr1G026700	chrUn	142757701	142762256	44.59	protein_coding
HORVU0Hr1G039460	chrUn	248734642	248738604	44.18	protein_coding
HORVU0Hr1G023870	chrUn	122000355	122013246	53.85	protein_coding
HORVU0Hr1G019670	chrUn	103708746	103710016	47.92	protein_coding
HORVU0Hr1G017330	chrUn	92420320	92425891	42.7	protein_coding
HORVU0Hr1G024390	chrUn	127055760	127056524	38.69	protein_coding
